Filename,Value,AlphaFold Rank
ranked_553.pdb_clean,0.6103,553.0
ranked_272.pdb_clean,0.6088,272.0
ranked_202.pdb_clean,0.6051,202.0
ranked_446.pdb_clean,0.6049,446.0
ranked_326.pdb_clean,0.6046,326.0
ranked_304.pdb_clean,0.6041,304.0
ranked_268.pdb_clean,0.6034,268.0
ranked_848.pdb_clean,0.6032,848.0
ranked_394.pdb_clean,0.6031,394.0
ranked_551.pdb_clean,0.6029,551.0
ranked_678.pdb_clean,0.6026,678.0
ranked_277.pdb_clean,0.6021,277.0
ranked_266.pdb_clean,0.6019,266.0
ranked_262.pdb_clean,0.6019,262.0
ranked_219.pdb_clean,0.6018,219.0
ranked_302.pdb_clean,0.6017,302.0
ranked_568.pdb_clean,0.6016,568.0
ranked_513.pdb_clean,0.6012,513.0
ranked_773.pdb_clean,0.6011,773.0
ranked_413.pdb_clean,0.6009,413.0
ranked_207.pdb_clean,0.6006,207.0
ranked_253.pdb_clean,0.6004,253.0
ranked_476.pdb_clean,0.5997,476.0
ranked_306.pdb_clean,0.5993,306.0
ranked_465.pdb_clean,0.5988,465.0
ranked_616.pdb_clean,0.5986,616.0
ranked_470.pdb_clean,0.5983,470.0
ranked_447.pdb_clean,0.5983,447.0
ranked_390.pdb_clean,0.5981,390.0
ranked_313.pdb_clean,0.5979,313.0
ranked_469.pdb_clean,0.5978,469.0
ranked_523.pdb_clean,0.5977,523.0
ranked_435.pdb_clean,0.5976,435.0
ranked_287.pdb_clean,0.5976,287.0
ranked_540.pdb_clean,0.5974,540.0
ranked_278.pdb_clean,0.5973,278.0
ranked_257.pdb_clean,0.5973,257.0
ranked_312.pdb_clean,0.5971,312.0
ranked_411.pdb_clean,0.5967,411.0
ranked_542.pdb_clean,0.5966,542.0
ranked_392.pdb_clean,0.5966,392.0
ranked_314.pdb_clean,0.5965,314.0
ranked_635.pdb_clean,0.5964,635.0
ranked_598.pdb_clean,0.5959,598.0
ranked_297.pdb_clean,0.5951,297.0
ranked_608.pdb_clean,0.5950,608.0
ranked_276.pdb_clean,0.5950,276.0
ranked_211.pdb_clean,0.5950,211.0
ranked_491.pdb_clean,0.5948,491.0
ranked_587.pdb_clean,0.5947,587.0
ranked_416.pdb_clean,0.5946,416.0
ranked_337.pdb_clean,0.5946,337.0
ranked_850.pdb_clean,0.5942,850.0
ranked_603.pdb_clean,0.5939,603.0
ranked_332.pdb_clean,0.5939,332.0
ranked_235.pdb_clean,0.5939,235.0
ranked_251.pdb_clean,0.5937,251.0
ranked_338.pdb_clean,0.5936,338.0
ranked_189.pdb_clean,0.5936,189.0
ranked_284.pdb_clean,0.5935,284.0
ranked_696.pdb_clean,0.5934,696.0
ranked_232.pdb_clean,0.5934,232.0
ranked_215.pdb_clean,0.5934,215.0
ranked_323.pdb_clean,0.5933,323.0
ranked_263.pdb_clean,0.5933,263.0
ranked_521.pdb_clean,0.5932,521.0
ranked_245.pdb_clean,0.5932,245.0
ranked_557.pdb_clean,0.5930,557.0
ranked_458.pdb_clean,0.5930,458.0
ranked_361.pdb_clean,0.5929,361.0
ranked_43.pdb_clean,0.5926,43.0
ranked_429.pdb_clean,0.5925,429.0
ranked_301.pdb_clean,0.5925,301.0
ranked_229.pdb_clean,0.5925,229.0
ranked_389.pdb_clean,0.5923,389.0
ranked_217.pdb_clean,0.5923,217.0
ranked_328.pdb_clean,0.5922,328.0
ranked_627.pdb_clean,0.5920,627.0
ranked_495.pdb_clean,0.5920,495.0
ranked_122.pdb_clean,0.5919,122.0
ranked_563.pdb_clean,0.5918,563.0
ranked_299.pdb_clean,0.5917,299.0
ranked_29.pdb_clean,0.5914,29.0
ranked_51.pdb_clean,0.5913,51.0
ranked_485.pdb_clean,0.5913,485.0
ranked_431.pdb_clean,0.5912,431.0
ranked_288.pdb_clean,0.5912,288.0
ranked_252.pdb_clean,0.5912,252.0
ranked_733.pdb_clean,0.5911,733.0
ranked_198.pdb_clean,0.5910,198.0
ranked_650.pdb_clean,0.5909,650.0
ranked_226.pdb_clean,0.5909,226.0
ranked_283.pdb_clean,0.5908,283.0
ranked_427.pdb_clean,0.5907,427.0
ranked_406.pdb_clean,0.5907,406.0
ranked_22.pdb_clean,0.5907,22.0
ranked_644.pdb_clean,0.5906,644.0
ranked_182.pdb_clean,0.5906,182.0
ranked_184.pdb_clean,0.5904,184.0
ranked_437.pdb_clean,0.5903,437.0
ranked_216.pdb_clean,0.5903,216.0
ranked_261.pdb_clean,0.5902,261.0
ranked_340.pdb_clean,0.5899,340.0
ranked_309.pdb_clean,0.5899,309.0
ranked_107.pdb_clean,0.5899,107.0
ranked_35.pdb_clean,0.5897,35.0
ranked_576.pdb_clean,0.5895,576.0
ranked_321.pdb_clean,0.5895,321.0
ranked_188.pdb_clean,0.5895,188.0
ranked_25.pdb_clean,0.5894,25.0
ranked_707.pdb_clean,0.5893,707.0
ranked_147.pdb_clean,0.5892,147.0
ranked_142.pdb_clean,0.5892,142.0
ranked_247.pdb_clean,0.5890,247.0
ranked_248.pdb_clean,0.5889,248.0
ranked_222.pdb_clean,0.5889,222.0
ranked_157.pdb_clean,0.5887,157.0
