Filename,Value,AlphaFold Rank
ranked_314.pdb_clean,0.6162,314.0
ranked_272.pdb_clean,0.6024,272.0
ranked_70.pdb_clean,0.6011,70.0
ranked_186.pdb_clean,0.5923,186.0
8EBL_AC,0.5879,
ranked_72.pdb_clean,0.5837,72.0
ranked_68.pdb_clean,0.5820,68.0
ranked_66.pdb_clean,0.5817,66.0
ranked_61.pdb_clean,0.5811,61.0
ranked_594.pdb_clean,0.5780,594.0
ranked_130.pdb_clean,0.5774,130.0
ranked_121.pdb_clean,0.5751,121.0
ranked_502.pdb_clean,0.5750,502.0
ranked_165.pdb_clean,0.5720,165.0
ranked_48.pdb_clean,0.5682,48.0
ranked_174.pdb_clean,0.5681,174.0
ranked_140.pdb_clean,0.5644,140.0
ranked_59.pdb_clean,0.5641,59.0
ranked_319.pdb_clean,0.5637,319.0
ranked_57.pdb_clean,0.5627,57.0
ranked_131.pdb_clean,0.5615,131.0
ranked_438.pdb_clean,0.5613,438.0
ranked_49.pdb_clean,0.5596,49.0
ranked_329.pdb_clean,0.5589,329.0
ranked_289.pdb_clean,0.5565,289.0
ranked_80.pdb_clean,0.5563,80.0
ranked_183.pdb_clean,0.5561,183.0
ranked_108.pdb_clean,0.5560,108.0
ranked_43.pdb_clean,0.5557,43.0
ranked_89.pdb_clean,0.5556,89.0
ranked_839.pdb_clean,0.5538,839.0
ranked_241.pdb_clean,0.5527,241.0
ranked_42.pdb_clean,0.5523,42.0
ranked_146.pdb_clean,0.5515,146.0
ranked_178.pdb_clean,0.5506,178.0
ranked_159.pdb_clean,0.5505,159.0
ranked_271.pdb_clean,0.5500,271.0
ranked_127.pdb_clean,0.5488,127.0
ranked_74.pdb_clean,0.5456,74.0
ranked_203.pdb_clean,0.5408,203.0
ranked_171.pdb_clean,0.5406,171.0
ranked_58.pdb_clean,0.5392,58.0
ranked_197.pdb_clean,0.5391,197.0
ranked_87.pdb_clean,0.5341,87.0
ranked_324.pdb_clean,0.5336,324.0
ranked_256.pdb_clean,0.5327,256.0
ranked_316.pdb_clean,0.5322,316.0
ranked_321.pdb_clean,0.5302,321.0
ranked_28.pdb_clean,0.5302,28.0
ranked_243.pdb_clean,0.5291,243.0
ranked_137.pdb_clean,0.5253,137.0
ranked_259.pdb_clean,0.5246,259.0
ranked_285.pdb_clean,0.5240,285.0
ranked_229.pdb_clean,0.5236,229.0
ranked_262.pdb_clean,0.5232,262.0
ranked_120.pdb_clean,0.5232,120.0
ranked_201.pdb_clean,0.5201,201.0
ranked_364.pdb_clean,0.5190,364.0
ranked_257.pdb_clean,0.5190,257.0
ranked_95.pdb_clean,0.5175,95.0
ranked_325.pdb_clean,0.5168,325.0
ranked_305.pdb_clean,0.5153,305.0
