Filename,Value,AlphaFold Rank
ranked_884.pdb_clean,0.5725,884.0
ranked_334.pdb_clean,0.5717,334.0
ranked_146.pdb_clean,0.5714,146.0
ranked_340.pdb_clean,0.5705,340.0
ranked_282.pdb_clean,0.5700,282.0
ranked_267.pdb_clean,0.5700,267.0
ranked_300.pdb_clean,0.5698,300.0
ranked_302.pdb_clean,0.5689,302.0
ranked_277.pdb_clean,0.5689,277.0
ranked_957.pdb_clean,0.5686,957.0
ranked_926.pdb_clean,0.5685,926.0
ranked_382.pdb_clean,0.5685,382.0
ranked_607.pdb_clean,0.5683,607.0
ranked_395.pdb_clean,0.5683,395.0
ranked_265.pdb_clean,0.5682,265.0
ranked_305.pdb_clean,0.5681,305.0
ranked_312.pdb_clean,0.5679,312.0
ranked_947.pdb_clean,0.5678,947.0
ranked_297.pdb_clean,0.5678,297.0
ranked_976.pdb_clean,0.5675,976.0
ranked_606.pdb_clean,0.5675,606.0
ranked_969.pdb_clean,0.5673,969.0
ranked_963.pdb_clean,0.5673,963.0
ranked_920.pdb_clean,0.5672,920.0
ranked_892.pdb_clean,0.5672,892.0
ranked_356.pdb_clean,0.5667,356.0
ranked_338.pdb_clean,0.5667,338.0
ranked_308.pdb_clean,0.5666,308.0
ranked_937.pdb_clean,0.5665,937.0
ranked_296.pdb_clean,0.5665,296.0
ranked_286.pdb_clean,0.5665,286.0
ranked_320.pdb_clean,0.5664,320.0
ranked_284.pdb_clean,0.5664,284.0
ranked_271.pdb_clean,0.5663,271.0
ranked_923.pdb_clean,0.5662,923.0
ranked_288.pdb_clean,0.5662,288.0
ranked_345.pdb_clean,0.5658,345.0
ranked_322.pdb_clean,0.5658,322.0
ranked_914.pdb_clean,0.5654,914.0
ranked_858.pdb_clean,0.5654,858.0
ranked_790.pdb_clean,0.5654,790.0
ranked_526.pdb_clean,0.5654,526.0
ranked_978.pdb_clean,0.5652,978.0
ranked_389.pdb_clean,0.5652,389.0
ranked_797.pdb_clean,0.5651,797.0
ranked_973.pdb_clean,0.5650,973.0
ranked_310.pdb_clean,0.5649,310.0
ranked_292.pdb_clean,0.5649,292.0
ranked_316.pdb_clean,0.5647,316.0
ranked_932.pdb_clean,0.5646,932.0
ranked_853.pdb_clean,0.5646,853.0
ranked_299.pdb_clean,0.5646,299.0
ranked_972.pdb_clean,0.5643,972.0
ranked_916.pdb_clean,0.5643,916.0
ranked_745.pdb_clean,0.5643,745.0
ranked_414.pdb_clean,0.5643,414.0
ranked_294.pdb_clean,0.5642,294.0
ranked_958.pdb_clean,0.5640,958.0
ranked_876.pdb_clean,0.5640,876.0
ranked_325.pdb_clean,0.5640,325.0
ranked_272.pdb_clean,0.5640,272.0
ranked_895.pdb_clean,0.5639,895.0
ranked_103.pdb_clean,0.5639,103.0
ranked_712.pdb_clean,0.5637,712.0
ranked_524.pdb_clean,0.5636,524.0
ranked_406.pdb_clean,0.5636,406.0
ranked_303.pdb_clean,0.5636,303.0
ranked_945.pdb_clean,0.5635,945.0
ranked_951.pdb_clean,0.5634,951.0
ranked_393.pdb_clean,0.5633,393.0
ranked_752.pdb_clean,0.5632,752.0
ranked_355.pdb_clean,0.5632,355.0
ranked_390.pdb_clean,0.5631,390.0
ranked_315.pdb_clean,0.5631,315.0
ranked_838.pdb_clean,0.5630,838.0
ranked_807.pdb_clean,0.5630,807.0
ranked_933.pdb_clean,0.5628,933.0
ranked_289.pdb_clean,0.5628,289.0
ranked_975.pdb_clean,0.5627,975.0
ranked_306.pdb_clean,0.5627,306.0
ranked_970.pdb_clean,0.5626,970.0
ranked_298.pdb_clean,0.5626,298.0
ranked_871.pdb_clean,0.5625,871.0
ranked_368.pdb_clean,0.5624,368.0
ranked_701.pdb_clean,0.5623,701.0
ranked_777.pdb_clean,0.5622,777.0
ranked_349.pdb_clean,0.5622,349.0
ranked_670.pdb_clean,0.5621,670.0
ranked_747.pdb_clean,0.5620,747.0
ranked_404.pdb_clean,0.5620,404.0
ranked_369.pdb_clean,0.5620,369.0
ranked_665.pdb_clean,0.5619,665.0
ranked_379.pdb_clean,0.5619,379.0
ranked_890.pdb_clean,0.5618,890.0
ranked_588.pdb_clean,0.5618,588.0
ranked_387.pdb_clean,0.5618,387.0
ranked_313.pdb_clean,0.5618,313.0
ranked_386.pdb_clean,0.5616,386.0
ranked_954.pdb_clean,0.5615,954.0
ranked_938.pdb_clean,0.5612,938.0
ranked_620.pdb_clean,0.5612,620.0
ranked_405.pdb_clean,0.5612,405.0
ranked_377.pdb_clean,0.5612,377.0
ranked_268.pdb_clean,0.5612,268.0
ranked_119.pdb_clean,0.5611,119.0
ranked_436.pdb_clean,0.5610,436.0
ranked_131.pdb_clean,0.5610,131.0
ranked_961.pdb_clean,0.5609,961.0
ranked_392.pdb_clean,0.5609,392.0
ranked_279.pdb_clean,0.5609,279.0
ranked_687.pdb_clean,0.5608,687.0
ranked_372.pdb_clean,0.5608,372.0
ranked_959.pdb_clean,0.5607,959.0
ranked_293.pdb_clean,0.5607,293.0
ranked_401.pdb_clean,0.5606,401.0
ranked_278.pdb_clean,0.5604,278.0
ranked_141.pdb_clean,0.5604,141.0
ranked_849.pdb_clean,0.5603,849.0
ranked_326.pdb_clean,0.5603,326.0
ranked_415.pdb_clean,0.5602,415.0
ranked_314.pdb_clean,0.5602,314.0
ranked_421.pdb_clean,0.5600,421.0
ranked_352.pdb_clean,0.5599,352.0
ranked_910.pdb_clean,0.5598,910.0
ranked_893.pdb_clean,0.5597,893.0
ranked_50.pdb_clean,0.5597,50.0
ranked_574.pdb_clean,0.5596,574.0
ranked_544.pdb_clean,0.5595,544.0
ranked_309.pdb_clean,0.5595,309.0
ranked_753.pdb_clean,0.5594,753.0
ranked_46.pdb_clean,0.5593,46.0
ranked_328.pdb_clean,0.5592,328.0
ranked_318.pdb_clean,0.5592,318.0
