Filename,Value,AlphaFold Rank
ranked_673.pdb_clean,0.3227,673.0
ranked_996.pdb_clean,0.3163,996.0
ranked_917.pdb_clean,0.3028,917.0
ranked_998.pdb_clean,0.3022,998.0
ranked_465.pdb_clean,0.3021,465.0
ranked_697.pdb_clean,0.3020,697.0
ranked_755.pdb_clean,0.3019,755.0
ranked_961.pdb_clean,0.3018,961.0
ranked_818.pdb_clean,0.3017,818.0
ranked_766.pdb_clean,0.3017,766.0
ranked_47.pdb_clean,0.3017,47.0
ranked_617.pdb_clean,0.3016,617.0
ranked_7.pdb_clean,0.3015,7.0
ranked_72.pdb_clean,0.3015,72.0
ranked_1.pdb_clean,0.3015,1.0
ranked_992.pdb_clean,0.3014,992.0
ranked_92.pdb_clean,0.3013,92.0
ranked_568.pdb_clean,0.3013,568.0
ranked_439.pdb_clean,0.3013,439.0
ranked_435.pdb_clean,0.3013,435.0
ranked_87.pdb_clean,0.3012,87.0
ranked_36.pdb_clean,0.3012,36.0
ranked_218.pdb_clean,0.3012,218.0
ranked_167.pdb_clean,0.3012,167.0
ranked_166.pdb_clean,0.3012,166.0
ranked_161.pdb_clean,0.3012,161.0
ranked_980.pdb_clean,0.3011,980.0
ranked_367.pdb_clean,0.3011,367.0
ranked_232.pdb_clean,0.3011,232.0
ranked_942.pdb_clean,0.3009,942.0
ranked_927.pdb_clean,0.3009,927.0
ranked_468.pdb_clean,0.3009,468.0
ranked_453.pdb_clean,0.3009,453.0
ranked_406.pdb_clean,0.3009,406.0
ranked_993.pdb_clean,0.3007,993.0
ranked_955.pdb_clean,0.3006,955.0
ranked_954.pdb_clean,0.3006,954.0
ranked_918.pdb_clean,0.3005,918.0
ranked_938.pdb_clean,0.3004,938.0
ranked_854.pdb_clean,0.3004,854.0
ranked_837.pdb_clean,0.3004,837.0
ranked_997.pdb_clean,0.3001,997.0
ranked_950.pdb_clean,0.3001,950.0
ranked_945.pdb_clean,0.3001,945.0
ranked_904.pdb_clean,0.3001,904.0
ranked_852.pdb_clean,0.3001,852.0
ranked_271.pdb_clean,0.3001,271.0
ranked_924.pdb_clean,0.3000,924.0
ranked_967.pdb_clean,0.2998,967.0
ranked_739.pdb_clean,0.2998,739.0
ranked_972.pdb_clean,0.2997,972.0
ranked_963.pdb_clean,0.2997,963.0
ranked_633.pdb_clean,0.2997,633.0
ranked_514.pdb_clean,0.2996,514.0
ranked_995.pdb_clean,0.2995,995.0
ranked_960.pdb_clean,0.2994,960.0
ranked_641.pdb_clean,0.2994,641.0
ranked_482.pdb_clean,0.2994,482.0
ranked_447.pdb_clean,0.2994,447.0
ranked_391.pdb_clean,0.2994,391.0
ranked_354.pdb_clean,0.2994,354.0
ranked_347.pdb_clean,0.2994,347.0
ranked_336.pdb_clean,0.2994,336.0
ranked_333.pdb_clean,0.2994,333.0
ranked_275.pdb_clean,0.2994,275.0
ranked_252.pdb_clean,0.2994,252.0
ranked_239.pdb_clean,0.2994,239.0
ranked_209.pdb_clean,0.2994,209.0
ranked_776.pdb_clean,0.2992,776.0
ranked_751.pdb_clean,0.2992,751.0
ranked_704.pdb_clean,0.2992,704.0
ranked_616.pdb_clean,0.2992,616.0
ranked_557.pdb_clean,0.2992,557.0
ranked_507.pdb_clean,0.2992,507.0
ranked_503.pdb_clean,0.2992,503.0
ranked_450.pdb_clean,0.2992,450.0
ranked_437.pdb_clean,0.2992,437.0
ranked_357.pdb_clean,0.2992,357.0
ranked_10.pdb_clean,0.2992,10.0
ranked_989.pdb_clean,0.2991,989.0
ranked_96.pdb_clean,0.2991,96.0
ranked_86.pdb_clean,0.2991,86.0
ranked_861.pdb_clean,0.2991,861.0
