Filename,Value,AlphaFold Rank
ranked_187.pdb_clean,0.5543,187.0
ranked_374.pdb_clean,0.5495,374.0
ranked_365.pdb_clean,0.5493,365.0
ranked_350.pdb_clean,0.5489,350.0
ranked_147.pdb_clean,0.5489,147.0
ranked_223.pdb_clean,0.5488,223.0
ranked_135.pdb_clean,0.5481,135.0
ranked_309.pdb_clean,0.5478,309.0
ranked_353.pdb_clean,0.5477,353.0
ranked_168.pdb_clean,0.5477,168.0
ranked_298.pdb_clean,0.5471,298.0
ranked_342.pdb_clean,0.5468,342.0
ranked_392.pdb_clean,0.5467,392.0
ranked_362.pdb_clean,0.5467,362.0
ranked_279.pdb_clean,0.5467,279.0
ranked_258.pdb_clean,0.5467,258.0
ranked_111.pdb_clean,0.5467,111.0
ranked_128.pdb_clean,0.5465,128.0
ranked_348.pdb_clean,0.5462,348.0
ranked_166.pdb_clean,0.5462,166.0
ranked_332.pdb_clean,0.5461,332.0
ranked_171.pdb_clean,0.5461,171.0
ranked_289.pdb_clean,0.5460,289.0
ranked_251.pdb_clean,0.5460,251.0
ranked_177.pdb_clean,0.5459,177.0
ranked_300.pdb_clean,0.5458,300.0
ranked_257.pdb_clean,0.5458,257.0
ranked_202.pdb_clean,0.5457,202.0
ranked_224.pdb_clean,0.5453,224.0
ranked_130.pdb_clean,0.5451,130.0
ranked_336.pdb_clean,0.5449,336.0
ranked_361.pdb_clean,0.5448,361.0
ranked_360.pdb_clean,0.5446,360.0
ranked_355.pdb_clean,0.5446,355.0
ranked_239.pdb_clean,0.5446,239.0
ranked_208.pdb_clean,0.5446,208.0
ranked_200.pdb_clean,0.5446,200.0
ranked_140.pdb_clean,0.5446,140.0
ranked_105.pdb_clean,0.5446,105.0
ranked_372.pdb_clean,0.5445,372.0
ranked_151.pdb_clean,0.5444,151.0
ranked_117.pdb_clean,0.5444,117.0
ranked_347.pdb_clean,0.5441,347.0
ranked_209.pdb_clean,0.5441,209.0
ranked_366.pdb_clean,0.5440,366.0
ranked_215.pdb_clean,0.5440,215.0
ranked_230.pdb_clean,0.5438,230.0
ranked_281.pdb_clean,0.5437,281.0
ranked_260.pdb_clean,0.5437,260.0
ranked_172.pdb_clean,0.5434,172.0
ranked_77.pdb_clean,0.5433,77.0
ranked_325.pdb_clean,0.5431,325.0
ranked_101.pdb_clean,0.5429,101.0
ranked_302.pdb_clean,0.5428,302.0
ranked_64.pdb_clean,0.5426,64.0
ranked_287.pdb_clean,0.5426,287.0
ranked_201.pdb_clean,0.5424,201.0
ranked_335.pdb_clean,0.5422,335.0
ranked_272.pdb_clean,0.5421,272.0
ranked_268.pdb_clean,0.5420,268.0
ranked_241.pdb_clean,0.5420,241.0
ranked_738.pdb_clean,0.5417,738.0
ranked_316.pdb_clean,0.5417,316.0
ranked_240.pdb_clean,0.5417,240.0
ranked_312.pdb_clean,0.5411,312.0
ranked_286.pdb_clean,0.5411,286.0
ranked_264.pdb_clean,0.5408,264.0
ranked_92.pdb_clean,0.5407,92.0
ranked_141.pdb_clean,0.5406,141.0
ranked_368.pdb_clean,0.5405,368.0
ranked_283.pdb_clean,0.5405,283.0
ranked_217.pdb_clean,0.5404,217.0
ranked_214.pdb_clean,0.5404,214.0
ranked_134.pdb_clean,0.5404,134.0
ranked_380.pdb_clean,0.5403,380.0
ranked_337.pdb_clean,0.5403,337.0
ranked_797.pdb_clean,0.5402,797.0
ranked_244.pdb_clean,0.5402,244.0
ranked_364.pdb_clean,0.5400,364.0
ranked_351.pdb_clean,0.5400,351.0
ranked_343.pdb_clean,0.5398,343.0
ranked_206.pdb_clean,0.5398,206.0
ranked_390.pdb_clean,0.5397,390.0
ranked_339.pdb_clean,0.5397,339.0
ranked_284.pdb_clean,0.5396,284.0
ranked_121.pdb_clean,0.5395,121.0
ranked_94.pdb_clean,0.5391,94.0
ranked_184.pdb_clean,0.5391,184.0
ranked_236.pdb_clean,0.5390,236.0
ranked_150.pdb_clean,0.5390,150.0
ranked_356.pdb_clean,0.5389,356.0
ranked_326.pdb_clean,0.5389,326.0
ranked_253.pdb_clean,0.5389,253.0
ranked_164.pdb_clean,0.5389,164.0
ranked_198.pdb_clean,0.5386,198.0
ranked_175.pdb_clean,0.5386,175.0
ranked_813.pdb_clean,0.5385,813.0
ranked_384.pdb_clean,0.5383,384.0
ranked_388.pdb_clean,0.5381,388.0
ranked_226.pdb_clean,0.5381,226.0
ranked_97.pdb_clean,0.5380,97.0
ranked_766.pdb_clean,0.5380,766.0
ranked_393.pdb_clean,0.5380,393.0
ranked_291.pdb_clean,0.5380,291.0
ranked_275.pdb_clean,0.5378,275.0
ranked_324.pdb_clean,0.5377,324.0
ranked_338.pdb_clean,0.5376,338.0
ranked_242.pdb_clean,0.5375,242.0
ranked_235.pdb_clean,0.5375,235.0
ranked_248.pdb_clean,0.5374,248.0
ranked_391.pdb_clean,0.5372,391.0
ranked_183.pdb_clean,0.5372,183.0
ranked_376.pdb_clean,0.5371,376.0
ranked_328.pdb_clean,0.5370,328.0
ranked_633.pdb_clean,0.5369,633.0
ranked_306.pdb_clean,0.5369,306.0
ranked_349.pdb_clean,0.5368,349.0
ranked_321.pdb_clean,0.5368,321.0
ranked_246.pdb_clean,0.5368,246.0
ranked_875.pdb_clean,0.5367,875.0
ranked_616.pdb_clean,0.5367,616.0
ranked_314.pdb_clean,0.5367,314.0
ranked_219.pdb_clean,0.5367,219.0
ranked_318.pdb_clean,0.5366,318.0
ranked_188.pdb_clean,0.5365,188.0
ranked_327.pdb_clean,0.5363,327.0
ranked_222.pdb_clean,0.5363,222.0
ranked_800.pdb_clean,0.5362,800.0
ranked_397.pdb_clean,0.5360,397.0
ranked_643.pdb_clean,0.5359,643.0
ranked_271.pdb_clean,0.5359,271.0
ranked_234.pdb_clean,0.5359,234.0
ranked_266.pdb_clean,0.5358,266.0
ranked_196.pdb_clean,0.5358,196.0
ranked_395.pdb_clean,0.5357,395.0
ranked_197.pdb_clean,0.5357,197.0
ranked_190.pdb_clean,0.5357,190.0
ranked_310.pdb_clean,0.5356,310.0
ranked_293.pdb_clean,0.5356,293.0
ranked_180.pdb_clean,0.5356,180.0
ranked_996.pdb_clean,0.5353,996.0
ranked_804.pdb_clean,0.5352,804.0
ranked_319.pdb_clean,0.5351,319.0
ranked_771.pdb_clean,0.5347,771.0
ranked_203.pdb_clean,0.5346,203.0
ranked_701.pdb_clean,0.5345,701.0
ranked_386.pdb_clean,0.5345,386.0
ranked_333.pdb_clean,0.5344,333.0
ranked_23.pdb_clean,0.5343,23.0
ranked_859.pdb_clean,0.5340,859.0
ranked_694.pdb_clean,0.5340,694.0
ranked_243.pdb_clean,0.5339,243.0
ranked_396.pdb_clean,0.5338,396.0
ranked_317.pdb_clean,0.5338,317.0
ranked_237.pdb_clean,0.5338,237.0
ranked_174.pdb_clean,0.5338,174.0
ranked_837.pdb_clean,0.5337,837.0
ranked_285.pdb_clean,0.5335,285.0
ranked_303.pdb_clean,0.5332,303.0
ranked_261.pdb_clean,0.5332,261.0
ranked_854.pdb_clean,0.5331,854.0
ranked_673.pdb_clean,0.5331,673.0
ranked_110.pdb_clean,0.5331,110.0
ranked_162.pdb_clean,0.5330,162.0
ranked_399.pdb_clean,0.5329,399.0
ranked_186.pdb_clean,0.5329,186.0
ranked_173.pdb_clean,0.5329,173.0
ranked_825.pdb_clean,0.5328,825.0
ranked_795.pdb_clean,0.5328,795.0
ranked_855.pdb_clean,0.5327,855.0
ranked_748.pdb_clean,0.5327,748.0
ranked_944.pdb_clean,0.5326,944.0
ranked_856.pdb_clean,0.5324,856.0
ranked_849.pdb_clean,0.5322,849.0
ranked_791.pdb_clean,0.5322,791.0
ranked_684.pdb_clean,0.5322,684.0
ranked_370.pdb_clean,0.5322,370.0
ranked_295.pdb_clean,0.5322,295.0
ranked_262.pdb_clean,0.5322,262.0
ranked_245.pdb_clean,0.5322,245.0
ranked_118.pdb_clean,0.5322,118.0
ranked_363.pdb_clean,0.5321,363.0
