Filename,Value,AlphaFold Rank
ranked_996.pdb_clean,0.8080,996.0
ranked_989.pdb_clean,0.8038,989.0
ranked_990.pdb_clean,0.8022,990.0
ranked_986.pdb_clean,0.7949,986.0
ranked_976.pdb_clean,0.7851,976.0
ranked_978.pdb_clean,0.7794,978.0
ranked_987.pdb_clean,0.7577,987.0
ranked_993.pdb_clean,0.7564,993.0
ranked_988.pdb_clean,0.7558,988.0
ranked_997.pdb_clean,0.7518,997.0
ranked_991.pdb_clean,0.7451,991.0
ranked_982.pdb_clean,0.7383,982.0
ranked_998.pdb_clean,0.7351,998.0
ranked_975.pdb_clean,0.7298,975.0
ranked_994.pdb_clean,0.7234,994.0
ranked_999.pdb_clean,0.7099,999.0
ranked_984.pdb_clean,0.7010,984.0
ranked_977.pdb_clean,0.6920,977.0
ranked_974.pdb_clean,0.6826,974.0
ranked_985.pdb_clean,0.6794,985.0
ranked_980.pdb_clean,0.6759,980.0
ranked_972.pdb_clean,0.6725,972.0
ranked_969.pdb_clean,0.6173,969.0
ranked_967.pdb_clean,0.6069,967.0
ranked_973.pdb_clean,0.5996,973.0
ranked_979.pdb_clean,0.5983,979.0
ranked_753.pdb_clean,0.5797,753.0
ranked_368.pdb_clean,0.5737,368.0
ranked_788.pdb_clean,0.5703,788.0
ranked_971.pdb_clean,0.5686,971.0
ranked_995.pdb_clean,0.5650,995.0
ranked_671.pdb_clean,0.5435,671.0
ranked_992.pdb_clean,0.5411,992.0
ranked_566.pdb_clean,0.5343,566.0
ranked_820.pdb_clean,0.5303,820.0
ranked_614.pdb_clean,0.5231,614.0
ranked_981.pdb_clean,0.5230,981.0
ranked_609.pdb_clean,0.5207,609.0
ranked_476.pdb_clean,0.5187,476.0
ranked_926.pdb_clean,0.5182,926.0
ranked_709.pdb_clean,0.5128,709.0
ranked_922.pdb_clean,0.5124,922.0
ranked_460.pdb_clean,0.5113,460.0
ranked_837.pdb_clean,0.5091,837.0
ranked_684.pdb_clean,0.5088,684.0
ranked_290.pdb_clean,0.5064,290.0
ranked_602.pdb_clean,0.5024,602.0
ranked_431.pdb_clean,0.4994,431.0
ranked_850.pdb_clean,0.4988,850.0
ranked_878.pdb_clean,0.4968,878.0
ranked_539.pdb_clean,0.4947,539.0
ranked_795.pdb_clean,0.4946,795.0
ranked_603.pdb_clean,0.4936,603.0
ranked_580.pdb_clean,0.4926,580.0
ranked_823.pdb_clean,0.4925,823.0
ranked_482.pdb_clean,0.4907,482.0
ranked_747.pdb_clean,0.4855,747.0
ranked_526.pdb_clean,0.4855,526.0
ranked_629.pdb_clean,0.4843,629.0
ranked_931.pdb_clean,0.4840,931.0
ranked_448.pdb_clean,0.4829,448.0
