Filename,Value,AlphaFold Rank
ranked_87.pdb_clean,0.5194,87.0
ranked_128.pdb_clean,0.4491,128.0
ranked_353.pdb_clean,0.4488,353.0
ranked_161.pdb_clean,0.4483,161.0
ranked_100.pdb_clean,0.4461,100.0
ranked_885.pdb_clean,0.4391,885.0
ranked_69.pdb_clean,0.4372,69.0
ranked_176.pdb_clean,0.4240,176.0
ranked_170.pdb_clean,0.4232,170.0
ranked_62.pdb_clean,0.4221,62.0
ranked_909.pdb_clean,0.4207,909.0
ranked_70.pdb_clean,0.4196,70.0
ranked_153.pdb_clean,0.4192,153.0
ranked_52.pdb_clean,0.4164,52.0
ranked_149.pdb_clean,0.4162,149.0
ranked_55.pdb_clean,0.4150,55.0
ranked_113.pdb_clean,0.4149,113.0
ranked_81.pdb_clean,0.4141,81.0
ranked_218.pdb_clean,0.4130,218.0
ranked_53.pdb_clean,0.4129,53.0
ranked_56.pdb_clean,0.4117,56.0
ranked_151.pdb_clean,0.4104,151.0
ranked_65.pdb_clean,0.4102,65.0
ranked_59.pdb_clean,0.4087,59.0
ranked_105.pdb_clean,0.4084,105.0
ranked_233.pdb_clean,0.4083,233.0
ranked_169.pdb_clean,0.4082,169.0
ranked_172.pdb_clean,0.4072,172.0
ranked_110.pdb_clean,0.4068,110.0
ranked_96.pdb_clean,0.4066,96.0
ranked_913.pdb_clean,0.4061,913.0
ranked_47.pdb_clean,0.4058,47.0
ranked_51.pdb_clean,0.4056,51.0
ranked_983.pdb_clean,0.4052,983.0
ranked_92.pdb_clean,0.4044,92.0
ranked_106.pdb_clean,0.4036,106.0
ranked_54.pdb_clean,0.4009,54.0
ranked_148.pdb_clean,0.4001,148.0
ranked_116.pdb_clean,0.3997,116.0
ranked_958.pdb_clean,0.3990,958.0
ranked_60.pdb_clean,0.3987,60.0
ranked_765.pdb_clean,0.3986,765.0
ranked_67.pdb_clean,0.3967,67.0
ranked_49.pdb_clean,0.3964,49.0
ranked_221.pdb_clean,0.3963,221.0
ranked_901.pdb_clean,0.3959,901.0
ranked_240.pdb_clean,0.3959,240.0
ranked_494.pdb_clean,0.3956,494.0
ranked_955.pdb_clean,0.3954,955.0
ranked_998.pdb_clean,0.3953,998.0
ranked_933.pdb_clean,0.3951,933.0
ranked_144.pdb_clean,0.3947,144.0
ranked_50.pdb_clean,0.3946,50.0
ranked_897.pdb_clean,0.3944,897.0
ranked_952.pdb_clean,0.3940,952.0
ranked_84.pdb_clean,0.3936,84.0
ranked_884.pdb_clean,0.3922,884.0
ranked_835.pdb_clean,0.3920,835.0
ranked_183.pdb_clean,0.3917,183.0
ranked_278.pdb_clean,0.3915,278.0
ranked_821.pdb_clean,0.3901,821.0
ranked_210.pdb_clean,0.3901,210.0
ranked_57.pdb_clean,0.3899,57.0
ranked_813.pdb_clean,0.3898,813.0
ranked_140.pdb_clean,0.3898,140.0
ranked_120.pdb_clean,0.3898,120.0
ranked_881.pdb_clean,0.3889,881.0
ranked_85.pdb_clean,0.3888,85.0
ranked_289.pdb_clean,0.3887,289.0
ranked_72.pdb_clean,0.3886,72.0
ranked_150.pdb_clean,0.3886,150.0
ranked_130.pdb_clean,0.3886,130.0
ranked_166.pdb_clean,0.3885,166.0
ranked_265.pdb_clean,0.3883,265.0
ranked_239.pdb_clean,0.3883,239.0
ranked_197.pdb_clean,0.3879,197.0
ranked_904.pdb_clean,0.3874,904.0
ranked_97.pdb_clean,0.3872,97.0
ranked_253.pdb_clean,0.3872,253.0
ranked_74.pdb_clean,0.3871,74.0
ranked_202.pdb_clean,0.3869,202.0
ranked_112.pdb_clean,0.3868,112.0
ranked_870.pdb_clean,0.3864,870.0
ranked_118.pdb_clean,0.3862,118.0
ranked_205.pdb_clean,0.3857,205.0
ranked_104.pdb_clean,0.3857,104.0
ranked_789.pdb_clean,0.3853,789.0
ranked_359.pdb_clean,0.3852,359.0
ranked_142.pdb_clean,0.3852,142.0
ranked_783.pdb_clean,0.3851,783.0
ranked_125.pdb_clean,0.3851,125.0
ranked_763.pdb_clean,0.3843,763.0
ranked_64.pdb_clean,0.3840,64.0
ranked_121.pdb_clean,0.3837,121.0
ranked_89.pdb_clean,0.3835,89.0
ranked_95.pdb_clean,0.3832,95.0
ranked_68.pdb_clean,0.3831,68.0
ranked_133.pdb_clean,0.3830,133.0
ranked_875.pdb_clean,0.3826,875.0
ranked_772.pdb_clean,0.3825,772.0
ranked_162.pdb_clean,0.3825,162.0
ranked_796.pdb_clean,0.3824,796.0
ranked_94.pdb_clean,0.3823,94.0
