Filename,Value,AlphaFold Rank
8OEP_AB,0.4909,
ranked_193.pdb_clean,0.3424,193.0
ranked_196.pdb_clean,0.3412,196.0
ranked_318.pdb_clean,0.3403,318.0
ranked_365.pdb_clean,0.3397,365.0
ranked_317.pdb_clean,0.3397,317.0
ranked_228.pdb_clean,0.3396,228.0
ranked_221.pdb_clean,0.3395,221.0
ranked_130.pdb_clean,0.3391,130.0
ranked_303.pdb_clean,0.3390,303.0
ranked_337.pdb_clean,0.3388,337.0
ranked_288.pdb_clean,0.3388,288.0
ranked_151.pdb_clean,0.3388,151.0
ranked_237.pdb_clean,0.3386,237.0
ranked_197.pdb_clean,0.3385,197.0
ranked_111.pdb_clean,0.3385,111.0
ranked_335.pdb_clean,0.3383,335.0
ranked_233.pdb_clean,0.3381,233.0
ranked_142.pdb_clean,0.3381,142.0
ranked_361.pdb_clean,0.3380,361.0
ranked_202.pdb_clean,0.3379,202.0
ranked_379.pdb_clean,0.3378,379.0
ranked_44.pdb_clean,0.3377,44.0
ranked_175.pdb_clean,0.3377,175.0
ranked_174.pdb_clean,0.3377,174.0
ranked_235.pdb_clean,0.3376,235.0
ranked_293.pdb_clean,0.3375,293.0
ranked_171.pdb_clean,0.3375,171.0
ranked_114.pdb_clean,0.3373,114.0
ranked_186.pdb_clean,0.3372,186.0
ranked_153.pdb_clean,0.3372,153.0
ranked_149.pdb_clean,0.3372,149.0
ranked_326.pdb_clean,0.3371,326.0
ranked_188.pdb_clean,0.3371,188.0
ranked_267.pdb_clean,0.3370,267.0
ranked_333.pdb_clean,0.3368,333.0
ranked_319.pdb_clean,0.3368,319.0
ranked_307.pdb_clean,0.3367,307.0
ranked_533.pdb_clean,0.3366,533.0
ranked_398.pdb_clean,0.3366,398.0
ranked_387.pdb_clean,0.3366,387.0
ranked_97.pdb_clean,0.3365,97.0
ranked_381.pdb_clean,0.3364,381.0
ranked_357.pdb_clean,0.3364,357.0
ranked_330.pdb_clean,0.3363,330.0
ranked_298.pdb_clean,0.3363,298.0
ranked_252.pdb_clean,0.3362,252.0
ranked_394.pdb_clean,0.3361,394.0
ranked_350.pdb_clean,0.3361,350.0
ranked_240.pdb_clean,0.3361,240.0
ranked_224.pdb_clean,0.3361,224.0
ranked_206.pdb_clean,0.3361,206.0
ranked_304.pdb_clean,0.3359,304.0
ranked_65.pdb_clean,0.3358,65.0
ranked_284.pdb_clean,0.3358,284.0
ranked_177.pdb_clean,0.3357,177.0
ranked_133.pdb_clean,0.3356,133.0
ranked_254.pdb_clean,0.3354,254.0
ranked_160.pdb_clean,0.3354,160.0
ranked_227.pdb_clean,0.3352,227.0
ranked_345.pdb_clean,0.3351,345.0
ranked_162.pdb_clean,0.3350,162.0
ranked_287.pdb_clean,0.3349,287.0
ranked_195.pdb_clean,0.3349,195.0
ranked_374.pdb_clean,0.3348,374.0
ranked_185.pdb_clean,0.3347,185.0
ranked_178.pdb_clean,0.3347,178.0
ranked_341.pdb_clean,0.3345,341.0
ranked_283.pdb_clean,0.3344,283.0
ranked_568.pdb_clean,0.3341,568.0
ranked_386.pdb_clean,0.3340,386.0
ranked_369.pdb_clean,0.3340,369.0
ranked_164.pdb_clean,0.3339,164.0
ranked_273.pdb_clean,0.3337,273.0
ranked_173.pdb_clean,0.3337,173.0
ranked_248.pdb_clean,0.3336,248.0
ranked_191.pdb_clean,0.3332,191.0
ranked_372.pdb_clean,0.3330,372.0
ranked_250.pdb_clean,0.3330,250.0
ranked_278.pdb_clean,0.3329,278.0
ranked_243.pdb_clean,0.3329,243.0
ranked_226.pdb_clean,0.3328,226.0
ranked_392.pdb_clean,0.3323,392.0
ranked_234.pdb_clean,0.3323,234.0
ranked_205.pdb_clean,0.3322,205.0
ranked_184.pdb_clean,0.3322,184.0
ranked_355.pdb_clean,0.3321,355.0
ranked_368.pdb_clean,0.3317,368.0
ranked_201.pdb_clean,0.3314,201.0
ranked_242.pdb_clean,0.3311,242.0
ranked_91.pdb_clean,0.3310,91.0
ranked_220.pdb_clean,0.3309,220.0
ranked_262.pdb_clean,0.3307,262.0
ranked_255.pdb_clean,0.3307,255.0
ranked_96.pdb_clean,0.3306,96.0
ranked_245.pdb_clean,0.3305,245.0
ranked_266.pdb_clean,0.3304,266.0
ranked_218.pdb_clean,0.3301,218.0
ranked_150.pdb_clean,0.3301,150.0
ranked_383.pdb_clean,0.3300,383.0
ranked_270.pdb_clean,0.3298,270.0
ranked_277.pdb_clean,0.3297,277.0
ranked_230.pdb_clean,0.3297,230.0
ranked_213.pdb_clean,0.3297,213.0
ranked_204.pdb_clean,0.3297,204.0
ranked_165.pdb_clean,0.3295,165.0
ranked_152.pdb_clean,0.3295,152.0
