#  old_rank	structure_name		score
0	475	ranked_475.pdb_clean	-288.3490368123729
1	527	ranked_527.pdb_clean	-281.89100478019077
2	488	ranked_488.pdb_clean	-269.179621401912
3	648	ranked_648.pdb_clean	-267.58510858647946
4	516	ranked_516.pdb_clean	-264.4090972453512
5	625	ranked_625.pdb_clean	-255.88135237843179
6	90	ranked_90.pdb_clean	-248.21950001842077
7	734	ranked_734.pdb_clean	-244.74542094143268
8	639	ranked_639.pdb_clean	-244.35190775160146
9	153	ranked_153.pdb_clean	-242.79646933894966
10	474	ranked_474.pdb_clean	-239.66878057112163
11	543	ranked_543.pdb_clean	-237.97487730090015
12	78	ranked_78.pdb_clean	-235.38156370404062
13	103	ranked_103.pdb_clean	-234.39261648676714
14	53	ranked_53.pdb_clean	-233.5010191289125
15	100	ranked_100.pdb_clean	-233.04181915492723
16	565	ranked_565.pdb_clean	-228.67604879945205
17	72	ranked_72.pdb_clean	-227.10995310769118
18	225	ranked_225.pdb_clean	-225.60224065505207
19	148	ranked_148.pdb_clean	-225.15374525697652
20	480	ranked_480.pdb_clean	-225.0064137544376
21	244	ranked_244.pdb_clean	-223.83563570827135
22	716	ranked_716.pdb_clean	-223.645883719294
23	602	ranked_602.pdb_clean	-222.80473157999495
24	110	ranked_110.pdb_clean	-220.65622583119702
25	104	ranked_104.pdb_clean	-219.7589602044577
26	430	ranked_430.pdb_clean	-217.86646779162456
27	169	ranked_169.pdb_clean	-217.7899282148376
28	365	ranked_365.pdb_clean	-216.33410087879386
29	212	ranked_212.pdb_clean	-211.88406884537852
30	715	ranked_715.pdb_clean	-208.90239359431808
31	73	ranked_73.pdb_clean	-206.77789059102972
32	31	ranked_31.pdb_clean	-205.83030542753858
33	23	ranked_23.pdb_clean	-205.05426438551106
34	39	ranked_39.pdb_clean	-203.9137323424173
35	699	ranked_699.pdb_clean	-202.0589051066965
36	167	ranked_167.pdb_clean	-201.61249140102308
37	465	ranked_465.pdb_clean	-200.31911407740222
38	154	ranked_154.pdb_clean	-198.7280422802264
39	138	ranked_138.pdb_clean	-196.10854279644414
40	37	ranked_37.pdb_clean	-192.14071368324835
41	34	ranked_34.pdb_clean	-190.90630745830882
42	299	ranked_299.pdb_clean	-189.72773819568206
43	198	ranked_198.pdb_clean	-189.09487847299764
44	63	ranked_63.pdb_clean	-188.0105435094975
45	199	ranked_199.pdb_clean	-188.00459553916784
46	3	ranked_3.pdb_clean	-187.18306743877272
47	68	ranked_68.pdb_clean	-185.071173235096
48	17	ranked_17.pdb_clean	-183.92184556523097
49	172	ranked_172.pdb_clean	-182.7753050083133
50	209	ranked_209.pdb_clean	-181.2018919586632
51	125	ranked_125.pdb_clean	-180.60791522486429
52	93	ranked_93.pdb_clean	-179.1296267621376
53	157	ranked_157.pdb_clean	-178.9078855056179
54	54	ranked_54.pdb_clean	-178.65850955174596
55	183	ranked_183.pdb_clean	-177.5950058506563
56	12	ranked_12.pdb_clean	-177.23738513785153
57	187	ranked_187.pdb_clean	-176.00185463471115
58	609	ranked_609.pdb_clean	-175.26441862057547
59	74	ranked_74.pdb_clean	-175.03664165672302
60	156	ranked_156.pdb_clean	-172.0460769562369
61	191	ranked_191.pdb_clean	-172.03119880438118
62	108	ranked_108.pdb_clean	-169.62309282061744
63	162	ranked_162.pdb_clean	-169.60663597606163
64	197	ranked_197.pdb_clean	-164.21967729814332
65	112	ranked_112.pdb_clean	-164.1828031220725
66	18	ranked_18.pdb_clean	-164.06673590465886
