#  old_rank	structure_name		score
0	134	ranked_134.pdb_clean	-323.54258124123817
1	118	ranked_118.pdb_clean	-316.38155745382954
2	207	ranked_207.pdb_clean	-312.86413633581344
3	223	ranked_223.pdb_clean	-307.9995612744804
4	438	ranked_438.pdb_clean	-304.27303095403664
5	126	ranked_126.pdb_clean	-301.8000684775306
6	372	ranked_372.pdb_clean	-296.9165004258031
7	21	ranked_21.pdb_clean	-294.6540381578881
8	330	ranked_330.pdb_clean	-294.0282760281693
9	418	ranked_418.pdb_clean	-291.33255295743857
10	208	ranked_208.pdb_clean	-289.2727578334472
11	270	ranked_270.pdb_clean	-288.9622820070927
12	71	ranked_71.pdb_clean	-287.603421345249
13	499	ranked_499.pdb_clean	-285.8065532207601
14	520	ranked_520.pdb_clean	-285.48169784359345
15	224	ranked_224.pdb_clean	-285.1758068297529
16	452	ranked_452.pdb_clean	-285.1039869487727
17	559	ranked_559.pdb_clean	-283.9450135336144
18	258	ranked_258.pdb_clean	-283.7047248872543
19	634	ranked_634.pdb_clean	-283.16671557294427
20	329	ranked_329.pdb_clean	-282.63336799225766
21	468	ranked_468.pdb_clean	-281.6687568386627
22	123	ranked_123.pdb_clean	-279.7326428052725
23	406	ranked_406.pdb_clean	-274.73079619640004
24	449	ranked_449.pdb_clean	-274.0756903220319
25	459	ranked_459.pdb_clean	-274.03462554756436
26	469	ranked_469.pdb_clean	-273.22405878776857
27	394	ranked_394.pdb_clean	-272.8208270819909
28	479	ranked_479.pdb_clean	-269.13940560886925
29	526	ranked_526.pdb_clean	-268.19623074628106
30	414	ranked_414.pdb_clean	-267.4375331207485
31	582	ranked_582.pdb_clean	-266.5112279414501
32	508	ranked_508.pdb_clean	-265.4311394513414
33	570	ranked_570.pdb_clean	-264.84553028476233
34	306	ranked_306.pdb_clean	-264.6331930031274
35	458	ranked_458.pdb_clean	-264.3648849651836
36	263	ranked_263.pdb_clean	-263.86555532045617
37	511	ranked_511.pdb_clean	-263.57641738207445
38	170	ranked_170.pdb_clean	-263.33829819353645
39	483	ranked_483.pdb_clean	-262.8725774592302
40	334	ranked_334.pdb_clean	-261.82875105839565
41	367	ranked_367.pdb_clean	-261.49705287124556
42	492	ranked_492.pdb_clean	-261.44420930078905
43	325	ranked_325.pdb_clean	-260.4258333947381
44	347	ranked_347.pdb_clean	-259.6861886174823
45	302	ranked_302.pdb_clean	-259.2736715462285
46	419	ranked_419.pdb_clean	-259.23982269638145
47	259	ranked_259.pdb_clean	-258.1988170990037
48	339	ranked_339.pdb_clean	-258.1005611924427
49	551	ranked_551.pdb_clean	-257.37541656830405
50	574	ranked_574.pdb_clean	-256.90250958964515
51	596	ranked_596.pdb_clean	-256.8359442529186
52	474	ranked_474.pdb_clean	-256.5529087781844
53	463	ranked_463.pdb_clean	-256.16427139660567
54	558	ranked_558.pdb_clean	-256.0088514466941
55	507	ranked_507.pdb_clean	-255.6823093919756
56	585	ranked_585.pdb_clean	-255.13697966967612
57	451	ranked_451.pdb_clean	-254.37796038256056
58	464	ranked_464.pdb_clean	-253.70237054997642
59	393	ranked_393.pdb_clean	-253.65660561986275
60	490	ranked_490.pdb_clean	-253.5508190304056
61	398	ranked_398.pdb_clean	-252.99119783935723
62	643	ranked_643.pdb_clean	-252.8347726805509
63	607	ranked_607.pdb_clean	-252.82722533109458
64	543	ranked_543.pdb_clean	-252.67014526344357
65	178	ranked_178.pdb_clean	-252.44685029569138
66	531	ranked_531.pdb_clean	-252.15954543108285
67	433	ranked_433.pdb_clean	-251.7382843945782
68	590	ranked_590.pdb_clean	-251.37209954843638
69	400	ranked_400.pdb_clean	-250.8270667673554
70	572	ranked_572.pdb_clean	-250.1915928646938
71	790	ranked_790.pdb_clean	-250.01300111415054
72	185	ranked_185.pdb_clean	-248.72935835579344
73	494	ranked_494.pdb_clean	-248.59642837390084
74	467	ranked_467.pdb_clean	-248.13761014038562
75	457	ranked_457.pdb_clean	-247.86961592695985
76	303	ranked_303.pdb_clean	-247.47565103221729
77	348	ranked_348.pdb_clean	-246.6616373873192
78	355	ranked_355.pdb_clean	-246.6516098363931
79	287	ranked_287.pdb_clean	-245.62962133014977
80	286	ranked_286.pdb_clean	-245.55119670602352
81	363	ranked_363.pdb_clean	-245.16637710733775
82	581	ranked_581.pdb_clean	-244.89663297940788
83	255	ranked_255.pdb_clean	-244.84865041623658
84	484	ranked_484.pdb_clean	-244.8314555773126
