#  old_rank	structure_name		score
0	375	ranked_375.pdb_clean	-60.2648025682399
1	251	ranked_251.pdb_clean	-37.305117473686906
2	281	ranked_281.pdb_clean	-25.240211944703233
3	224	ranked_224.pdb_clean	19.694292665489044
4	253	ranked_253.pdb_clean	87.20354971483486
5	391	ranked_391.pdb_clean	110.03901619692648
6	360	ranked_360.pdb_clean	110.27497385364585
7	353	ranked_353.pdb_clean	130.35915974422187
8	316	ranked_316.pdb_clean	131.192678063963
9	250	ranked_250.pdb_clean	140.5401275240278
10	406	ranked_406.pdb_clean	190.7829849327386
11	314	ranked_314.pdb_clean	191.3920974220768
12	8	ranked_8.pdb_clean	197.612714085706
13	507	ranked_507.pdb_clean	213.98721872162162
14	10	ranked_10.pdb_clean	217.88174556029855
15	1	ranked_1.pdb_clean	229.06135756985395
16	30	ranked_30.pdb_clean	237.04890531592991
17	21	ranked_21.pdb_clean	257.36849403101667
18	347	ranked_347.pdb_clean	261.7137153464998
19	336	ranked_336.pdb_clean	273.0552031820318
20	7	ranked_7.pdb_clean	281.43020389559604
21	913	ranked_913.pdb_clean	292.03028909581394
22	6	ranked_6.pdb_clean	299.4190491939967
23	289	ranked_289.pdb_clean	300.8894425759138
24	348	ranked_348.pdb_clean	301.3149420599972
25	24	ranked_24.pdb_clean	305.26409348551545
26	332	ranked_332.pdb_clean	316.7215174003975
27	378	ranked_378.pdb_clean	317.17855479526463
28	307	ranked_307.pdb_clean	321.34783531900706
29	247	ranked_247.pdb_clean	322.3052682439283
30	234	ranked_234.pdb_clean	326.8856868087866
31	231	ranked_231.pdb_clean	328.2275334926027
32	13	ranked_13.pdb_clean	328.6252301000046
33	22	ranked_22.pdb_clean	331.0946604759621
34	343	ranked_343.pdb_clean	334.10288116749683
35	27	ranked_27.pdb_clean	334.39655384483444
36	966	ranked_966.pdb_clean	334.4707982603954
37	26	ranked_26.pdb_clean	336.19323143187916
38	35	ranked_35.pdb_clean	339.49088159634357
39	14	ranked_14.pdb_clean	339.91947987832265
40	335	ranked_335.pdb_clean	349.2290905924287
41	31	ranked_31.pdb_clean	379.69291982448516
42	9	ranked_9.pdb_clean	380.7275677005667
43	33	ranked_33.pdb_clean	384.59681326931855
44	15	ranked_15.pdb_clean	399.80331911878017
45	12	ranked_12.pdb_clean	400.765272581008
46	925	ranked_925.pdb_clean	402.87194652055115
47	29	ranked_29.pdb_clean	411.44611066379997
48	36	ranked_36.pdb_clean	414.9387015986462
49	25	ranked_25.pdb_clean	417.16008893593727
50	734	ranked_734.pdb_clean	429.17210372926473
51	28	ranked_28.pdb_clean	431.22842092784305
52	302	ranked_302.pdb_clean	438.2759134087584
53	670	ranked_670.pdb_clean	440.5178378220813
54	730	ranked_730.pdb_clean	442.3618885668489
55	303	ranked_303.pdb_clean	444.1499979592141
56	398	ranked_398.pdb_clean	444.8965718943535
57	23	ranked_23.pdb_clean	445.84039741146427
58	19	ranked_19.pdb_clean	451.4154634103799
59	20	ranked_20.pdb_clean	460.6910522229063
