#  old_rank	structure_name		score
0	13	ranked_13.pdb_clean	-305.81466789897576
1	16	ranked_16.pdb_clean	-174.04967029767403
2	18	ranked_18.pdb_clean	-168.22520201434912
3	11	ranked_11.pdb_clean	-145.38912737257414
4	20	ranked_20.pdb_clean	-130.43442830209676
5	50	ranked_50.pdb_clean	-113.60356597981504
6	1	ranked_1.pdb_clean	-95.50090649134478
7	89	ranked_89.pdb_clean	-83.50242773753602
8	0	ranked_0.pdb_clean	-73.43745554624684
9	4	ranked_4.pdb_clean	-65.75766858419632
10	7	ranked_7.pdb_clean	-64.10241603423557
11	5	ranked_5.pdb_clean	-56.8920352152863
12	119	ranked_119.pdb_clean	-53.90152063294794
13	19	ranked_19.pdb_clean	-53.80689762614051
14	92	ranked_92.pdb_clean	-29.215500373518225
15	74	ranked_74.pdb_clean	-29.211141575376136
16	160	ranked_160.pdb_clean	-26.854461694425133
17	127	ranked_127.pdb_clean	-26.047369069749216
18	2	ranked_2.pdb_clean	-25.675814738083606
19	120	ranked_120.pdb_clean	-11.599209324659526
20	238	ranked_238.pdb_clean	0.3885630760221801
21	37	ranked_37.pdb_clean	3.299162464593003
22	40	ranked_40.pdb_clean	5.156676945421182
23	6	ranked_6.pdb_clean	9.208529386110015
24	63	ranked_63.pdb_clean	15.52610808578919
25	178	ranked_178.pdb_clean	15.529544278497767
26	60	ranked_60.pdb_clean	15.830303841700726
27	153	ranked_153.pdb_clean	28.559126513579287
28	144	ranked_144.pdb_clean	29.290997544116948
29	46	ranked_46.pdb_clean	29.43825967166279
30	21	ranked_21.pdb_clean	31.04023439691217
31	121	ranked_121.pdb_clean	32.726257788175516
32	78	ranked_78.pdb_clean	35.18791350235347
33	95	ranked_95.pdb_clean	36.10620906394274
34	41	ranked_41.pdb_clean	36.68468356081223
35	132	ranked_132.pdb_clean	38.29694278297238
36	75	ranked_75.pdb_clean	49.0836140281734
37	30	ranked_30.pdb_clean	49.598750498888435
38	116	ranked_116.pdb_clean	50.883188935897834
39	59	ranked_59.pdb_clean	56.05074508648272
40	32	ranked_32.pdb_clean	56.158883755032846
41	29	ranked_29.pdb_clean	59.607260281192126
42	8	ranked_8.pdb_clean	63.118837518830034
43	28	ranked_28.pdb_clean	64.22221305577771
44	48	ranked_48.pdb_clean	64.71197677146073
45	219	ranked_219.pdb_clean	64.80984362369288
46	174	ranked_174.pdb_clean	64.94007590942888
47	38	ranked_38.pdb_clean	69.40018092792327
48	44	ranked_44.pdb_clean	70.15765206184496
49	45	ranked_45.pdb_clean	71.25456406254513
50	111	ranked_111.pdb_clean	73.62405546798455
51	65	ranked_65.pdb_clean	75.91391343618511
52	70	ranked_70.pdb_clean	76.66253657700125
53	77	ranked_77.pdb_clean	77.55118712027343
54	191	ranked_191.pdb_clean	77.8226247987397
55	51	ranked_51.pdb_clean	78.426093131485
56	34	ranked_34.pdb_clean	80.01735929775575
57	225	ranked_225.pdb_clean	82.35252974835424
58	66	ranked_66.pdb_clean	84.13969139027512
59	80	ranked_80.pdb_clean	86.5507863619757
60	53	ranked_53.pdb_clean	87.52422179833641
61	170	ranked_170.pdb_clean	88.44771295960376
62	159	ranked_159.pdb_clean	88.60793927602023
63	39	ranked_39.pdb_clean	89.17331801290243
64	104	ranked_104.pdb_clean	89.69227069721023
65	61	ranked_61.pdb_clean	90.8433800741293
66	164	ranked_164.pdb_clean	90.90022747884294
67	42	ranked_42.pdb_clean	92.675279628668
68	24	ranked_24.pdb_clean	97.2560596911211
69	110	ranked_110.pdb_clean	98.98603176250106
70	206	ranked_206.pdb_clean	100.16041539472147
71	47	ranked_47.pdb_clean	100.22001155338606
72	67	ranked_67.pdb_clean	103.6467770960164
73	166	ranked_166.pdb_clean	104.46145345240987
74	148	ranked_148.pdb_clean	106.61861128533704
75	43	ranked_43.pdb_clean	106.86852790970468
76	180	ranked_180.pdb_clean	110.12508097162515
77	182	ranked_182.pdb_clean	111.86573299015595
78	10	ranked_10.pdb_clean	112.4263826266208
79	33	ranked_33.pdb_clean	113.09096533276607
80	81	ranked_81.pdb_clean	114.10191539155954
81	82	ranked_82.pdb_clean	121.60526949839493
82	9	ranked_9.pdb_clean	121.88403750850154
83	129	ranked_129.pdb_clean	128.7644682398065
84	194	ranked_194.pdb_clean	129.3909860292291
85	64	ranked_64.pdb_clean	129.7929934719231
86	71	ranked_71.pdb_clean	133.26792557352803
87	49	ranked_49.pdb_clean	135.41282290621257
88	190	ranked_190.pdb_clean	136.23031390805141
89	117	ranked_117.pdb_clean	138.55341066674734
90	3	ranked_3.pdb_clean	141.60068930853345
91	205	ranked_205.pdb_clean	143.42887541500772
92	102	ranked_102.pdb_clean	147.257282423634
93	58	ranked_58.pdb_clean	147.58220171561112
94	243	ranked_243.pdb_clean	148.03220452112112
95	25	ranked_25.pdb_clean	153.18854333593868
96	96	ranked_96.pdb_clean	154.9989004755712
97	56	ranked_56.pdb_clean	160.92041034814986
98	342	ranked_342.pdb_clean	165.26894692900638
99	105	ranked_105.pdb_clean	166.77179583174083
100	349	ranked_349.pdb_clean	171.4386943728639
101	57	ranked_57.pdb_clean	173.36594400253227
102	115	ranked_115.pdb_clean	174.82689431354862
103	264	ranked_264.pdb_clean	175.04931655959663
104	22	ranked_22.pdb_clean	178.24393154311917
105	52	ranked_52.pdb_clean	189.30779956372837
106	149	ranked_149.pdb_clean	191.1377043395968
107	157	ranked_157.pdb_clean	197.52584603436446
108	239	ranked_239.pdb_clean	197.9304290653837
109	79	ranked_79.pdb_clean	199.1277060277826
110	343	ranked_343.pdb_clean	202.28825221437066
111	54	ranked_54.pdb_clean	202.9110267420175
112	130	ranked_130.pdb_clean	207.12527767733366
113	183	ranked_183.pdb_clean	208.71982647217823
114	108	ranked_108.pdb_clean	213.82180358847887
115	285	ranked_285.pdb_clean	214.76572725910273
116	12	ranked_12.pdb_clean	215.11423069309404
117	321	ranked_321.pdb_clean	219.7597262814877
118	68	ranked_68.pdb_clean	224.60495809357894
119	221	ranked_221.pdb_clean	228.10504141809707
120	94	ranked_94.pdb_clean	229.35377666729295
121	184	ranked_184.pdb_clean	233.1627583981197
122	337	ranked_337.pdb_clean	248.52262435062306
123	168	ranked_168.pdb_clean	249.26012819272324
124	72	ranked_72.pdb_clean	251.73671945583231
125	288	ranked_288.pdb_clean	252.6323580352082
126	403	ranked_403.pdb_clean	260.7138517876568
127	366	ranked_366.pdb_clean	261.53078738869397
128	344	ranked_344.pdb_clean	262.41770526193574
129	269	ranked_269.pdb_clean	262.79461090454447
130	23	ranked_23.pdb_clean	266.91375622424044
131	413	ranked_413.pdb_clean	270.83684472440723
132	391	ranked_391.pdb_clean	273.0703438595668
133	185	ranked_185.pdb_clean	275.708545488827
134	364	ranked_364.pdb_clean	276.96832826001497
135	152	ranked_152.pdb_clean	277.5561262512863
136	100	ranked_100.pdb_clean	279.51020919807536
137	35	ranked_35.pdb_clean	283.5177788246695
138	73	ranked_73.pdb_clean	284.08358025385724
139	228	ranked_228.pdb_clean	284.74257409363315
140	208	ranked_208.pdb_clean	287.42809712765427
141	125	ranked_125.pdb_clean	290.31438565465305
142	419	ranked_419.pdb_clean	294.41607425368323
143	494	ranked_494.pdb_clean	295.13014725440206
144	426	ranked_426.pdb_clean	299.0042242160361
145	101	ranked_101.pdb_clean	303.3750938139704
146	109	ranked_109.pdb_clean	305.30501328490004
147	181	ranked_181.pdb_clean	312.4639117033528
148	253	ranked_253.pdb_clean	315.04916199375674
149	404	ranked_404.pdb_clean	315.35501329068796
150	374	ranked_374.pdb_clean	317.5208348216078
151	103	ranked_103.pdb_clean	318.40180538818447
152	295	ranked_295.pdb_clean	320.73674093479684
153	367	ranked_367.pdb_clean	323.2775612141404
154	282	ranked_282.pdb_clean	325.7538473781064
155	340	ranked_340.pdb_clean	326.1360084458901
156	278	ranked_278.pdb_clean	329.04037477550565
157	99	ranked_99.pdb_clean	329.15939291795377
158	486	ranked_486.pdb_clean	331.6195865586949
159	396	ranked_396.pdb_clean	332.194422755056
160	189	ranked_189.pdb_clean	337.49601992695665
161	85	ranked_85.pdb_clean	337.99329959414735
162	479	ranked_479.pdb_clean	339.3994194702519
163	324	ranked_324.pdb_clean	339.6432703993928
164	281	ranked_281.pdb_clean	341.4009661950178
165	457	ranked_457.pdb_clean	341.6907761141721
166	370	ranked_370.pdb_clean	349.68690398755035
167	407	ranked_407.pdb_clean	350.6905677390719
168	107	ranked_107.pdb_clean	354.1632707372625
169	266	ranked_266.pdb_clean	356.29039004726457
170	509	ranked_509.pdb_clean	356.4722725975951
171	314	ranked_314.pdb_clean	358.54566808320124
172	231	ranked_231.pdb_clean	362.19731770376177
173	91	ranked_91.pdb_clean	363.2213281577657
174	515	ranked_515.pdb_clean	364.4426244069097
175	450	ranked_450.pdb_clean	366.3944217092365
176	458	ranked_458.pdb_clean	366.4856139866749
177	161	ranked_161.pdb_clean	368.4229106316093
178	326	ranked_326.pdb_clean	375.736918618004
179	417	ranked_417.pdb_clean	380.8396183548149
180	497	ranked_497.pdb_clean	385.84491054974274
181	563	ranked_563.pdb_clean	385.98940969357693
182	188	ranked_188.pdb_clean	386.7400116274237
183	505	ranked_505.pdb_clean	387.7013429803714
184	434	ranked_434.pdb_clean	392.02362304928704
185	466	ranked_466.pdb_clean	393.9138727617404
186	106	ranked_106.pdb_clean	400.70011993562144
187	158	ranked_158.pdb_clean	401.19340781643746
188	372	ranked_372.pdb_clean	401.5363110119909
189	171	ranked_171.pdb_clean	402.63139062517064
190	530	ranked_530.pdb_clean	404.3492375644367
191	17	ranked_17.pdb_clean	405.96409551471055
192	300	ranked_300.pdb_clean	410.7067236727493
193	267	ranked_267.pdb_clean	416.7698358335086
194	198	ranked_198.pdb_clean	418.1941085741671
195	62	ranked_62.pdb_clean	424.6652957469457
196	137	ranked_137.pdb_clean	426.32547754208355
197	603	ranked_603.pdb_clean	426.45919186323437
198	554	ranked_554.pdb_clean	427.53205641509396
199	467	ranked_467.pdb_clean	427.5657385744381
200	162	ranked_162.pdb_clean	429.070519522675
201	491	ranked_491.pdb_clean	434.90600951718903
202	142	ranked_142.pdb_clean	435.17775313052476
203	492	ranked_492.pdb_clean	438.10526336065766
204	98	ranked_98.pdb_clean	440.6574200707093
205	134	ranked_134.pdb_clean	446.4862414368636
206	14	ranked_14.pdb_clean	453.7385046544202
207	639	ranked_639.pdb_clean	457.5580629317657
208	187	ranked_187.pdb_clean	459.05282427872385
209	423	ranked_423.pdb_clean	460.1436015562119
210	146	ranked_146.pdb_clean	468.6359752483723
211	638	ranked_638.pdb_clean	473.5572617373836
212	154	ranked_154.pdb_clean	476.3424019386195
213	147	ranked_147.pdb_clean	482.1404367830707
214	604	ranked_604.pdb_clean	482.638010730694
215	150	ranked_150.pdb_clean	485.4108781034908
216	650	ranked_650.pdb_clean	488.291228951807
217	531	ranked_531.pdb_clean	488.9227444685146
218	348	ranked_348.pdb_clean	489.03657008953627
219	36	ranked_36.pdb_clean	492.738707543324
220	199	ranked_199.pdb_clean	498.1088308670663
221	459	ranked_459.pdb_clean	500.8768526018783
222	605	ranked_605.pdb_clean	503.19691694978343
223	204	ranked_204.pdb_clean	518.1536257960249
224	69	ranked_69.pdb_clean	526.4871055678614
225	585	ranked_585.pdb_clean	527.6952705830327
226	233	ranked_233.pdb_clean	528.4623685284585
227	172	ranked_172.pdb_clean	529.1367089295941
228	519	ranked_519.pdb_clean	529.2722038959789
229	291	ranked_291.pdb_clean	530.1978398166927
230	625	ranked_625.pdb_clean	531.2086736583478
231	643	ranked_643.pdb_clean	531.7166974450593
232	573	ranked_573.pdb_clean	534.006487687695
233	518	ranked_518.pdb_clean	534.5090408518874
234	143	ranked_143.pdb_clean	535.3182049458558
235	222	ranked_222.pdb_clean	539.3241585665348
236	583	ranked_583.pdb_clean	543.2885848346843
237	548	ranked_548.pdb_clean	543.5415552239833
238	265	ranked_265.pdb_clean	546.4534071380915
239	88	ranked_88.pdb_clean	550.095754491824
240	353	ranked_353.pdb_clean	550.8032705217176
241	560	ranked_560.pdb_clean	552.853227656291
242	136	ranked_136.pdb_clean	555.2688449089367
243	504	ranked_504.pdb_clean	555.3217708545519
244	26	ranked_26.pdb_clean	558.4295887929118
245	118	ranked_118.pdb_clean	566.9252850929117
246	84	ranked_84.pdb_clean	570.2996889794333
247	280	ranked_280.pdb_clean	574.8217532272108
248	334	ranked_334.pdb_clean	578.8058756991527
249	246	ranked_246.pdb_clean	583.771739959725
250	234	ranked_234.pdb_clean	584.7289514554868
251	165	ranked_165.pdb_clean	584.9720507147761
252	484	ranked_484.pdb_clean	585.4457080330901
253	113	ranked_113.pdb_clean	587.1158117315297
254	131	ranked_131.pdb_clean	589.3989750116095
255	224	ranked_224.pdb_clean	594.324617543318
256	112	ranked_112.pdb_clean	594.914545895748
257	76	ranked_76.pdb_clean	624.1260096900126
258	379	ranked_379.pdb_clean	624.1771236946736
259	319	ranked_319.pdb_clean	627.7376508148175
260	566	ranked_566.pdb_clean	631.424121442041
261	133	ranked_133.pdb_clean	634.1689911552676
262	86	ranked_86.pdb_clean	635.8669939266993
263	553	ranked_553.pdb_clean	637.6227162882558
264	293	ranked_293.pdb_clean	649.7977259425738
265	227	ranked_227.pdb_clean	653.1405986453608
266	259	ranked_259.pdb_clean	661.3489739086472
267	717	ranked_717.pdb_clean	664.6240225945892
268	683	ranked_683.pdb_clean	671.0327511991584
269	83	ranked_83.pdb_clean	677.7243897562876
270	992	ranked_992.pdb_clean	678.998307077771
271	256	ranked_256.pdb_clean	680.2989719231757
272	561	ranked_561.pdb_clean	683.1931862017327
273	350	ranked_350.pdb_clean	696.9384684313427
274	135	ranked_135.pdb_clean	697.6980175737674
275	666	ranked_666.pdb_clean	700.5847748640222
276	728	ranked_728.pdb_clean	704.715619935231
277	167	ranked_167.pdb_clean	707.488569568749
278	678	ranked_678.pdb_clean	708.2281809610292
279	218	ranked_218.pdb_clean	709.1855482070639
280	90	ranked_90.pdb_clean	711.4959527735045
281	569	ranked_569.pdb_clean	718.4296135103373
282	156	ranked_156.pdb_clean	719.5612101574343
283	312	ranked_312.pdb_clean	720.8486932556077
284	289	ranked_289.pdb_clean	726.5421543427924
285	733	ranked_733.pdb_clean	735.9827872606418
286	613	ranked_613.pdb_clean	736.9625919754767
287	460	ranked_460.pdb_clean	737.5035886794817
288	652	ranked_652.pdb_clean	737.8685371631539
289	139	ranked_139.pdb_clean	739.644167234193
290	122	ranked_122.pdb_clean	740.8094291028372
291	676	ranked_676.pdb_clean	749.7309813754437
292	414	ranked_414.pdb_clean	756.8137843158058
293	235	ranked_235.pdb_clean	762.5292513814047
294	87	ranked_87.pdb_clean	772.8219070621483
295	382	ranked_382.pdb_clean	774.4738770417478
296	176	ranked_176.pdb_clean	775.748856741669
297	545	ranked_545.pdb_clean	776.6569289083459
298	383	ranked_383.pdb_clean	779.7028499953549
299	335	ranked_335.pdb_clean	780.8237789957295
