#  old_rank	structure_name		score
0	22	ranked_22.pdb_clean	980.1167878629618
1	14	ranked_14.pdb_clean	994.0540266978641
2	25	ranked_25.pdb_clean	1007.6339256147324
3	24	ranked_24.pdb_clean	1009.4227395242548
4	13	ranked_13.pdb_clean	1011.0458316482199
5	17	ranked_17.pdb_clean	1012.159393965254
6	29	ranked_29.pdb_clean	1033.236996035744
7	30	ranked_30.pdb_clean	1040.439110290949
8	27	ranked_27.pdb_clean	1042.0956891430412
9	34	ranked_34.pdb_clean	1057.8658101453914
10	19	ranked_19.pdb_clean	1058.5168165521588
11	36	ranked_36.pdb_clean	1069.950872728267
12	23	ranked_23.pdb_clean	1072.5280433102193
13	26	ranked_26.pdb_clean	1084.1760576104202
14	11	ranked_11.pdb_clean	1105.304845780004
15	28	ranked_28.pdb_clean	1110.4853778086383
16	20	ranked_20.pdb_clean	1113.6782610224934
17	35	ranked_35.pdb_clean	1130.8195930654533
18	15	ranked_15.pdb_clean	1133.0083065322908
19	32	ranked_32.pdb_clean	1140.8327519401503
20	37	ranked_37.pdb_clean	1165.551791562188
21	31	ranked_31.pdb_clean	1174.7756345983382
22	16	ranked_16.pdb_clean	1193.6953511687284
23	18	ranked_18.pdb_clean	1197.1629287621815
24	2	ranked_2.pdb_clean	1210.8853229939152
25	12	ranked_12.pdb_clean	1233.6855379975777
26	38	ranked_38.pdb_clean	1258.5693112872602
27	39	ranked_39.pdb_clean	1284.786994645517
28	21	ranked_21.pdb_clean	1318.6889112269337
29	6	ranked_6.pdb_clean	1331.7575398945685
30	7	ranked_7.pdb_clean	1339.4649607473839
31	0	ranked_0.pdb_clean	1340.3034982500767
32	3	ranked_3.pdb_clean	1342.8676448007657
33	33	ranked_33.pdb_clean	1362.9143590336023
34	70	ranked_70.pdb_clean	1364.996866286507
35	47	ranked_47.pdb_clean	1368.6897086328456
36	1	ranked_1.pdb_clean	1388.9577474078642
37	8	ranked_8.pdb_clean	1474.755489107261
38	4	ranked_4.pdb_clean	1485.3954018745205
39	40	ranked_40.pdb_clean	1510.0839849390068
40	9	ranked_9.pdb_clean	1515.8967336866579
41	10	ranked_10.pdb_clean	1551.132032781505
42	69	ranked_69.pdb_clean	1558.5895703091212
43	94	ranked_94.pdb_clean	1582.225082310859
44	75	ranked_75.pdb_clean	1645.1525958634018
45	42	ranked_42.pdb_clean	1709.6035973168198
46	5	ranked_5.pdb_clean	1718.6765357343031
47	53	ranked_53.pdb_clean	1721.2694413303293
48	41	ranked_41.pdb_clean	1778.3381617596988
49	61	ranked_61.pdb_clean	1835.790946199403
50	181	ranked_181.pdb_clean	1856.928276381123
51	43	ranked_43.pdb_clean	1858.259167804762
52	59	ranked_59.pdb_clean	1863.606752148672
53	96	ranked_96.pdb_clean	1927.9647136202614
54	106	ranked_106.pdb_clean	1937.935633378003
55	116	ranked_116.pdb_clean	1942.3362413271675
56	99	ranked_99.pdb_clean	1998.288390930868
57	71	ranked_71.pdb_clean	2009.9253690080945
58	68	ranked_68.pdb_clean	2038.9101695237691
59	141	ranked_141.pdb_clean	2066.191279254593
