#  old_rank	structure_name		score
0	844	ranked_844.pdb_clean	-207.4754692793116
1	785	ranked_785.pdb_clean	-207.24150497316282
2	679	ranked_679.pdb_clean	-207.16789850752426
3	790	ranked_790.pdb_clean	-197.70894757905182
4	705	ranked_705.pdb_clean	-197.38442723742037
5	834	ranked_834.pdb_clean	-196.06902433066855
6	406	ranked_406.pdb_clean	-193.45661199065708
7	824	ranked_824.pdb_clean	-192.13934357344843
8	908	ranked_908.pdb_clean	-190.8739179841
9	450	ranked_450.pdb_clean	-190.66461847943862
10	792	ranked_792.pdb_clean	-189.7740801167691
11	510	ranked_510.pdb_clean	-189.61843708745965
12	503	ranked_503.pdb_clean	-181.54442750568384
13	397	ranked_397.pdb_clean	-180.48804257947378
14	852	ranked_852.pdb_clean	-180.35633697955817
15	597	ranked_597.pdb_clean	-178.75553303568395
16	853	ranked_853.pdb_clean	-178.576637440858
17	652	ranked_652.pdb_clean	-177.2878041899342
18	877	ranked_877.pdb_clean	-177.16348271615635
19	475	ranked_475.pdb_clean	-175.86258614381322
20	427	ranked_427.pdb_clean	-175.4398853925535
21	695	ranked_695.pdb_clean	-174.6758264622238
22	546	ranked_546.pdb_clean	-174.60083430062497
23	799	ranked_799.pdb_clean	-174.1057774150299
24	742	ranked_742.pdb_clean	-174.04497571239733
25	725	ranked_725.pdb_clean	-174.015265852186
26	619	ranked_619.pdb_clean	-172.71500320118517
27	570	ranked_570.pdb_clean	-172.6286278831622
28	617	ranked_617.pdb_clean	-172.05763015414064
29	813	ranked_813.pdb_clean	-171.763860428386
30	807	ranked_807.pdb_clean	-170.0417212065188
31	690	ranked_690.pdb_clean	-166.91747596827366
32	613	ranked_613.pdb_clean	-166.5724077348238
33	840	ranked_840.pdb_clean	-165.83684665672575
34	493	ranked_493.pdb_clean	-165.16426894878407
35	591	ranked_591.pdb_clean	-165.01507442023728
36	922	ranked_922.pdb_clean	-164.6138887753337
37	858	ranked_858.pdb_clean	-164.0429341247256
38	860	ranked_860.pdb_clean	-163.13121759341203
39	703	ranked_703.pdb_clean	-162.90198835443968
40	839	ranked_839.pdb_clean	-161.16092499423323
41	387	ranked_387.pdb_clean	-160.53967175082946
42	594	ranked_594.pdb_clean	-159.29441328740393
43	630	ranked_630.pdb_clean	-158.66384091611533
44	530	ranked_530.pdb_clean	-157.35934856259922
45	708	ranked_708.pdb_clean	-157.2851019797647
46	810	ranked_810.pdb_clean	-156.96807893451268
47	667	ranked_667.pdb_clean	-155.79717958639853
