#  old_rank	structure_name		score
0	366	ranked_366.pdb_clean	-425.1306812914415
1	471	ranked_471.pdb_clean	-413.0803943293069
2	134	ranked_134.pdb_clean	-412.8444062500263
3	186	ranked_186.pdb_clean	-400.53909074107224
4	142	ranked_142.pdb_clean	-400.36292172296453
5	370	ranked_370.pdb_clean	-399.2980265849875
6	286	ranked_286.pdb_clean	-398.8879343440042
7	321	ranked_321.pdb_clean	-392.54418440599824
8	434	ranked_434.pdb_clean	-391.9321360154529
9	385	ranked_385.pdb_clean	-391.53321749317973
10	281	ranked_281.pdb_clean	-388.5717909316446
11	465	ranked_465.pdb_clean	-386.02564472228926
12	326	ranked_326.pdb_clean	-384.8988568735766
13	540	ranked_540.pdb_clean	-384.1424316988429
14	544	ranked_544.pdb_clean	-383.9832822581718
15	32	ranked_32.pdb_clean	-383.8235541591937
16	511	ranked_511.pdb_clean	-383.5033309461625
17	234	ranked_234.pdb_clean	-382.5006015258819
18	227	ranked_227.pdb_clean	-381.54622594022067
19	313	ranked_313.pdb_clean	-380.99474545836523
20	244	ranked_244.pdb_clean	-379.9147141540646
21	374	ranked_374.pdb_clean	-379.7955690794779
22	81	ranked_81.pdb_clean	-379.218948468547
23	377	ranked_377.pdb_clean	-378.9267149707508
24	614	ranked_614.pdb_clean	-378.1350668939105
25	295	ranked_295.pdb_clean	-377.73574192192905
26	183	ranked_183.pdb_clean	-377.6720600127668
27	382	ranked_382.pdb_clean	-376.87661730520716
28	225	ranked_225.pdb_clean	-375.743749074117
29	201	ranked_201.pdb_clean	-375.1960062226069
30	181	ranked_181.pdb_clean	-374.83187138900644
31	267	ranked_267.pdb_clean	-374.65548048499164
32	311	ranked_311.pdb_clean	-373.75163019316864
33	57	ranked_57.pdb_clean	-372.82692060707416
34	441	ranked_441.pdb_clean	-371.7826715215195
35	556	ranked_556.pdb_clean	-370.8724185248381
36	422	ranked_422.pdb_clean	-370.7991604426241
37	276	ranked_276.pdb_clean	-370.7055198975396
38	159	ranked_159.pdb_clean	-369.7472037867141
39	484	ranked_484.pdb_clean	-369.50451809515516
40	364	ranked_364.pdb_clean	-369.36843639107565
41	197	ranked_197.pdb_clean	-369.3386121376872
42	302	ranked_302.pdb_clean	-368.712423045036
43	171	ranked_171.pdb_clean	-368.6571747895486
44	66	ranked_66.pdb_clean	-368.30763284092905
45	323	ranked_323.pdb_clean	-368.2084930364098
46	429	ranked_429.pdb_clean	-367.87570296451884
47	291	ranked_291.pdb_clean	-367.8604453002126
48	334	ranked_334.pdb_clean	-367.7278530282006
49	636	ranked_636.pdb_clean	-367.4796389374699
50	56	ranked_56.pdb_clean	-367.1489655792207
51	580	ranked_580.pdb_clean	-366.9565904430167
52	589	ranked_589.pdb_clean	-366.2250202484365
53	226	ranked_226.pdb_clean	-366.1835063589278
54	154	ranked_154.pdb_clean	-365.8000813731052
55	442	ranked_442.pdb_clean	-365.75799476145176
56	337	ranked_337.pdb_clean	-365.2979210733124
57	140	ranked_140.pdb_clean	-364.8125140858619
