#  old_rank	structure_name		score
0	995	ranked_995.pdb_clean	-281.0850177583866
1	941	ranked_941.pdb_clean	-277.9765573398614
2	885	ranked_885.pdb_clean	-277.70511186407884
3	897	ranked_897.pdb_clean	-277.56961146496565
4	978	ranked_978.pdb_clean	-276.5220500886901
5	755	ranked_755.pdb_clean	-275.6171555771256
6	812	ranked_812.pdb_clean	-275.6154621369293
7	801	ranked_801.pdb_clean	-274.3864684582601
8	933	ranked_933.pdb_clean	-274.3030534716002
9	913	ranked_913.pdb_clean	-274.07555375684956
10	850	ranked_850.pdb_clean	-274.05534026042835
11	955	ranked_955.pdb_clean	-273.6915907311817
12	829	ranked_829.pdb_clean	-273.6503001448571
13	931	ranked_931.pdb_clean	-273.3420644847274
14	837	ranked_837.pdb_clean	-272.94192389088596
15	840	ranked_840.pdb_clean	-272.90352983345076
16	833	ranked_833.pdb_clean	-272.5705279990232
17	944	ranked_944.pdb_clean	-272.48854631515724
18	891	ranked_891.pdb_clean	-272.47922538411086
19	906	ranked_906.pdb_clean	-272.09046151050507
20	888	ranked_888.pdb_clean	-271.8832059229646
21	813	ranked_813.pdb_clean	-271.8731660115966
22	910	ranked_910.pdb_clean	-271.38360135558503
23	838	ranked_838.pdb_clean	-271.0114612661415
24	879	ranked_879.pdb_clean	-270.89928985594906
25	855	ranked_855.pdb_clean	-270.24680428380964
26	836	ranked_836.pdb_clean	-270.123268601765
27	718	ranked_718.pdb_clean	-269.93372793908577
28	823	ranked_823.pdb_clean	-269.4958675652112
29	894	ranked_894.pdb_clean	-269.3927476710406
30	961	ranked_961.pdb_clean	-269.3682254301126
31	777	ranked_777.pdb_clean	-269.24455529918714
32	914	ranked_914.pdb_clean	-269.1957654279882
33	863	ranked_863.pdb_clean	-269.10466437765433
34	883	ranked_883.pdb_clean	-268.7824934973934
35	858	ranked_858.pdb_clean	-268.4005524997079
36	915	ranked_915.pdb_clean	-268.2166470995411
37	842	ranked_842.pdb_clean	-268.0461970346538
38	945	ranked_945.pdb_clean	-267.9300092720676
39	849	ranked_849.pdb_clean	-267.8189570103863
40	876	ranked_876.pdb_clean	-267.665318828336
41	759	ranked_759.pdb_clean	-267.4966092781176
42	936	ranked_936.pdb_clean	-267.45536248508495
43	893	ranked_893.pdb_clean	-266.98782636523424
44	809	ranked_809.pdb_clean	-266.6956108779865
45	983	ranked_983.pdb_clean	-266.53503064593093
46	900	ranked_900.pdb_clean	-266.4916822198611
47	730	ranked_730.pdb_clean	-266.4342211181352
48	865	ranked_865.pdb_clean	-266.16977061983687
49	972	ranked_972.pdb_clean	-266.0737505406082
50	817	ranked_817.pdb_clean	-265.93901163305645
51	935	ranked_935.pdb_clean	-265.7026610957042
52	975	ranked_975.pdb_clean	-265.10372330693315
53	618	ranked_618.pdb_clean	-264.93394451203073
54	988	ranked_988.pdb_clean	-264.7972806710692
55	957	ranked_957.pdb_clean	-264.7163488727458
56	843	ranked_843.pdb_clean	-264.374587641221
57	965	ranked_965.pdb_clean	-264.1904503426405
58	920	ranked_920.pdb_clean	-264.10036554421805
59	804	ranked_804.pdb_clean	-263.9484124912192
