#  old_rank	structure_name		score
0	637	ranked_637.pdb_clean	112.30519866961833
1	622	ranked_622.pdb_clean	126.7982498158872
2	62	ranked_62.pdb_clean	137.08404515685186
3	186	ranked_186.pdb_clean	156.67753660401388
4	640	ranked_640.pdb_clean	160.11613441156672
5	518	ranked_518.pdb_clean	161.17938281188762
6	831	ranked_831.pdb_clean	174.9138299581074
7	513	ranked_513.pdb_clean	188.6009367313702
8	179	ranked_179.pdb_clean	197.3309972865681
9	493	ranked_493.pdb_clean	206.8170916355906
10	579	ranked_579.pdb_clean	215.33776963673375
11	182	ranked_182.pdb_clean	216.15324469076523
12	413	ranked_413.pdb_clean	218.85335207425703
13	567	ranked_567.pdb_clean	231.5380150327518
14	773	ranked_773.pdb_clean	238.91627610089807
15	5	ranked_5.pdb_clean	239.46153258543256
16	697	ranked_697.pdb_clean	240.00888813768404
17	786	ranked_786.pdb_clean	241.79486756605104
18	488	ranked_488.pdb_clean	248.19636819795363
19	525	ranked_525.pdb_clean	251.00115335684353
20	380	ranked_380.pdb_clean	258.0754596678894
21	49	ranked_49.pdb_clean	258.40112838738247
22	767	ranked_767.pdb_clean	266.16630130347573
23	18	ranked_18.pdb_clean	267.4718636107395
24	434	ranked_434.pdb_clean	274.5746689162465
25	177	ranked_177.pdb_clean	275.592450716438
26	131	ranked_131.pdb_clean	285.1304954851471
27	792	ranked_792.pdb_clean	290.21992309918045
28	31	ranked_31.pdb_clean	292.2306143601189
29	175	ranked_175.pdb_clean	301.19534094854026
30	4	ranked_4.pdb_clean	301.38078095931945
31	51	ranked_51.pdb_clean	301.39776856487197
32	169	ranked_169.pdb_clean	302.07104065318117
33	198	ranked_198.pdb_clean	312.19647039006765
34	15	ranked_15.pdb_clean	325.3724634190543
35	100	ranked_100.pdb_clean	326.3877950592512
36	770	ranked_770.pdb_clean	332.3788016984816
37	11	ranked_11.pdb_clean	334.6637350346149
38	9	ranked_9.pdb_clean	335.74777653168155
39	6	ranked_6.pdb_clean	341.51768009059913
40	54	ranked_54.pdb_clean	342.7248836808
41	55	ranked_55.pdb_clean	345.06143946243054
42	799	ranked_799.pdb_clean	347.48046415616983
43	689	ranked_689.pdb_clean	350.26827169854647
44	695	ranked_695.pdb_clean	352.6023724074668
45	760	ranked_760.pdb_clean	353.51279684295565
46	200	ranked_200.pdb_clean	353.57789322624154
47	647	ranked_647.pdb_clean	354.4960564729432
48	927	ranked_927.pdb_clean	362.12935186783824
49	188	ranked_188.pdb_clean	363.70004873581706
50	790	ranked_790.pdb_clean	364.17833534554404
51	28	ranked_28.pdb_clean	365.20289564628496
52	501	ranked_501.pdb_clean	365.6817581800507
53	37	ranked_37.pdb_clean	368.68024626759916
54	701	ranked_701.pdb_clean	370.6882437451597
55	1	ranked_1.pdb_clean	371.73910420751946
56	502	ranked_502.pdb_clean	372.01939779776217
57	524	ranked_524.pdb_clean	373.84570690563083
58	101	ranked_101.pdb_clean	376.3173461102464
59	210	ranked_210.pdb_clean	380.5611923972306
60	107	ranked_107.pdb_clean	387.0078902678683
61	27	ranked_27.pdb_clean	394.6550459154967
62	102	ranked_102.pdb_clean	396.01192931503545
63	607	ranked_607.pdb_clean	396.25225009025297
64	10	ranked_10.pdb_clean	397.07830699540466
65	658	ranked_658.pdb_clean	398.7853524470172
66	846	ranked_846.pdb_clean	399.32837848180037
67	17	ranked_17.pdb_clean	399.72294356273017
68	562	ranked_562.pdb_clean	402.3073256106821
69	20	ranked_20.pdb_clean	402.40448994581493
70	92	ranked_92.pdb_clean	404.13919393456086
71	885	ranked_885.pdb_clean	407.47814680543263
72	289	ranked_289.pdb_clean	409.6600150405776
73	206	ranked_206.pdb_clean	410.589606050951
74	253	ranked_253.pdb_clean	411.7551945220529
75	108	ranked_108.pdb_clean	412.2263979354667
76	259	ranked_259.pdb_clean	413.81621980480196
77	29	ranked_29.pdb_clean	416.2645304732646
78	32	ranked_32.pdb_clean	418.2850435499792
79	36	ranked_36.pdb_clean	419.2446649121121
80	205	ranked_205.pdb_clean	419.46830973495605
81	38	ranked_38.pdb_clean	421.55113583114843
82	74	ranked_74.pdb_clean	421.6601536131497
83	93	ranked_93.pdb_clean	424.0174258063462
84	52	ranked_52.pdb_clean	424.57687837539584
85	489	ranked_489.pdb_clean	425.71328543019706
86	3	ranked_3.pdb_clean	426.2174653208721
87	65	ranked_65.pdb_clean	427.76016672143453
