#  old_rank	structure_name		score
0	286	ranked_286.pdb_clean	-366.10958671230395
1	484	ranked_484.pdb_clean	-356.5832729686664
2	723	ranked_723.pdb_clean	-350.89993614705935
3	567	ranked_567.pdb_clean	-348.4650192703768
4	213	ranked_213.pdb_clean	-347.4605883546452
5	727	ranked_727.pdb_clean	-345.47049811532673
6	696	ranked_696.pdb_clean	-342.06061046057647
7	364	ranked_364.pdb_clean	-341.85212156198685
8	614	ranked_614.pdb_clean	-339.45967827874
9	793	ranked_793.pdb_clean	-339.3845904256216
10	754	ranked_754.pdb_clean	-336.93324775046233
11	478	ranked_478.pdb_clean	-336.68941638803534
12	665	ranked_665.pdb_clean	-336.4528507608269
13	718	ranked_718.pdb_clean	-335.9715295359609
14	32	ranked_32.pdb_clean	-332.4117660734217
15	628	ranked_628.pdb_clean	-331.4461272989812
16	292	ranked_292.pdb_clean	-330.6027862516395
17	730	ranked_730.pdb_clean	-330.4507015312246
18	719	ranked_719.pdb_clean	-327.3081038141625
19	777	ranked_777.pdb_clean	-326.7153603242774
20	51	ranked_51.pdb_clean	-326.5137466657325
21	663	ranked_663.pdb_clean	-325.6983156757221
22	201	ranked_201.pdb_clean	-322.00027103685943
23	431	ranked_431.pdb_clean	-320.97828987542135
24	669	ranked_669.pdb_clean	-319.0905373353216
25	750	ranked_750.pdb_clean	-317.984000625895
26	608	ranked_608.pdb_clean	-317.5162219706586
27	426	ranked_426.pdb_clean	-315.87626742333714
28	768	ranked_768.pdb_clean	-315.41141342411345
29	320	ranked_320.pdb_clean	-313.7864240675914
30	116	ranked_116.pdb_clean	-313.7219249662348
31	772	ranked_772.pdb_clean	-313.0576808286908
32	672	ranked_672.pdb_clean	-312.55493036140257
33	738	ranked_738.pdb_clean	-310.63555485581765
34	734	ranked_734.pdb_clean	-309.52851011911855
35	358	ranked_358.pdb_clean	-306.9984551699068
36	289	ranked_289.pdb_clean	-306.57530019226544
37	596	ranked_596.pdb_clean	-306.15239470367044
38	379	ranked_379.pdb_clean	-305.2295973621391
39	790	ranked_790.pdb_clean	-305.13559578017066
40	595	ranked_595.pdb_clean	-304.35155205998467
