#  old_rank	structure_name		score
0	143	ranked_143.pdb_clean	145.15874190259478
1	96	ranked_96.pdb_clean	168.64991106951584
2	49	ranked_49.pdb_clean	210.65399189006894
3	1	ranked_1.pdb_clean	212.5681956889773
4	192	ranked_192.pdb_clean	228.1282139912202
5	31	ranked_31.pdb_clean	255.85796758538692
6	208	ranked_208.pdb_clean	292.1854774124436
7	146	ranked_146.pdb_clean	295.7453476486662
8	131	ranked_131.pdb_clean	315.25372400805094
9	275	ranked_275.pdb_clean	316.009010129816
10	135	ranked_135.pdb_clean	316.93852230983265
11	61	ranked_61.pdb_clean	318.8799728370188
12	229	ranked_229.pdb_clean	368.82984292886596
13	190	ranked_190.pdb_clean	368.91291905182516
14	167	ranked_167.pdb_clean	370.04868416027034
15	285	ranked_285.pdb_clean	370.14707772619016
16	9	ranked_9.pdb_clean	370.7710653477556
17	8	ranked_8.pdb_clean	380.29026897571487
18	232	ranked_232.pdb_clean	393.06167493246016
19	171	ranked_171.pdb_clean	398.28175437528034
20	2	ranked_2.pdb_clean	406.1460964326044
21	127	ranked_127.pdb_clean	410.772527632298
22	266	ranked_266.pdb_clean	416.75935269129377
23	173	ranked_173.pdb_clean	417.7263947296809
24	12	ranked_12.pdb_clean	420.08336830381376
25	65	ranked_65.pdb_clean	424.15378199798636
26	194	ranked_194.pdb_clean	426.5227162512796
27	214	ranked_214.pdb_clean	434.74709476401756
28	116	ranked_116.pdb_clean	439.936130141563
29	130	ranked_130.pdb_clean	440.54851064606646
30	213	ranked_213.pdb_clean	440.5593267171952
31	4	ranked_4.pdb_clean	441.34970385955035
32	45	ranked_45.pdb_clean	441.4454689859383
33	36	ranked_36.pdb_clean	447.25460993693594
34	84	ranked_84.pdb_clean	455.7107852831988
35	21	ranked_21.pdb_clean	460.2022901015092
36	134	ranked_134.pdb_clean	472.8289431650111
37	73	ranked_73.pdb_clean	473.39902704224505
38	57	ranked_57.pdb_clean	475.86610472335497
39	170	ranked_170.pdb_clean	480.3822775268758
40	219	ranked_219.pdb_clean	480.50790687701056
41	110	ranked_110.pdb_clean	483.71393284877286
42	105	ranked_105.pdb_clean	485.09513416085156
43	60	ranked_60.pdb_clean	488.840794192286
44	63	ranked_63.pdb_clean	489.8204386308197
45	5	ranked_5.pdb_clean	491.7897084155187
46	151	ranked_151.pdb_clean	494.9549531241461
47	30	ranked_30.pdb_clean	496.34701453662797
48	6	ranked_6.pdb_clean	499.53567586158465
49	16	ranked_16.pdb_clean	500.02703799617916
50	77	ranked_77.pdb_clean	505.38556095807667
51	202	ranked_202.pdb_clean	515.6734023850661
52	47	ranked_47.pdb_clean	516.1667322224387
53	85	ranked_85.pdb_clean	518.5598631267792
54	74	ranked_74.pdb_clean	519.2095274022327
55	80	ranked_80.pdb_clean	519.6525422629919
56	67	ranked_67.pdb_clean	522.0263767035154
57	48	ranked_48.pdb_clean	526.1646269461122
58	44	ranked_44.pdb_clean	529.3955105632056
59	207	ranked_207.pdb_clean	531.746009050138
60	33	ranked_33.pdb_clean	533.1986088152681
61	136	ranked_136.pdb_clean	534.8360399386031
62	15	ranked_15.pdb_clean	537.9514422705793
63	222	ranked_222.pdb_clean	538.3937455431793
64	66	ranked_66.pdb_clean	538.4109073795395
65	11	ranked_11.pdb_clean	541.7200671090226
66	197	ranked_197.pdb_clean	542.4760946458821
67	218	ranked_218.pdb_clean	542.96376004566
68	145	ranked_145.pdb_clean	546.3824140075077
69	38	ranked_38.pdb_clean	549.7547754327426
70	41	ranked_41.pdb_clean	550.17682069785
71	52	ranked_52.pdb_clean	552.5601135713803
72	37	ranked_37.pdb_clean	554.3066328256033
73	163	ranked_163.pdb_clean	554.8846578775199
74	10	ranked_10.pdb_clean	555.0492689236642
75	187	ranked_187.pdb_clean	563.9186954421409
76	25	ranked_25.pdb_clean	564.6563131126077
77	26	ranked_26.pdb_clean	569.1315382415163
78	141	ranked_141.pdb_clean	571.8262099980519
79	71	ranked_71.pdb_clean	578.9185168847455
80	321	ranked_321.pdb_clean	581.9380537444796
81	153	ranked_153.pdb_clean	582.172617018529
82	241	ranked_241.pdb_clean	586.2982625122432
83	137	ranked_137.pdb_clean	586.4828123086553
84	300	ranked_300.pdb_clean	588.3547269559123
85	205	ranked_205.pdb_clean	590.0237845889321
86	196	ranked_196.pdb_clean	591.538764630548
87	291	ranked_291.pdb_clean	593.634350372489
88	102	ranked_102.pdb_clean	597.8154696293652
89	59	ranked_59.pdb_clean	601.1332938664934
90	14	ranked_14.pdb_clean	601.2663378241795
91	119	ranked_119.pdb_clean	603.2301949675917
92	174	ranked_174.pdb_clean	603.352497753426
93	277	ranked_277.pdb_clean	608.9017779459272
94	13	ranked_13.pdb_clean	616.5777648504277
95	191	ranked_191.pdb_clean	616.9638878790473
96	89	ranked_89.pdb_clean	618.7925646121097
97	69	ranked_69.pdb_clean	619.0450268239437
98	123	ranked_123.pdb_clean	640.0449568499597
99	309	ranked_309.pdb_clean	640.4705376284467
100	217	ranked_217.pdb_clean	644.8902737803969
101	144	ranked_144.pdb_clean	646.5429933089981
102	55	ranked_55.pdb_clean	650.4482702964822
103	32	ranked_32.pdb_clean	655.1658073004398
104	286	ranked_286.pdb_clean	656.622758503349
105	53	ranked_53.pdb_clean	658.1164094530949
106	418	ranked_418.pdb_clean	669.9821118573267
107	42	ranked_42.pdb_clean	670.0627611045763
108	296	ranked_296.pdb_clean	675.4457934605431
109	91	ranked_91.pdb_clean	678.163825330088
110	283	ranked_283.pdb_clean	685.4921446142998
111	100	ranked_100.pdb_clean	686.1720746681889
112	150	ranked_150.pdb_clean	689.1327507156481
113	125	ranked_125.pdb_clean	691.4384894945156
114	272	ranked_272.pdb_clean	699.4160410969976
115	199	ranked_199.pdb_clean	700.1771451825213
116	397	ranked_397.pdb_clean	704.5940185376418
117	162	ranked_162.pdb_clean	705.9122371308384
118	288	ranked_288.pdb_clean	711.6283482119519
119	101	ranked_101.pdb_clean	714.7485860105577
120	186	ranked_186.pdb_clean	718.2965825826493
121	68	ranked_68.pdb_clean	723.904312909126
122	206	ranked_206.pdb_clean	729.2253900337333
123	76	ranked_76.pdb_clean	729.5025595060654
124	372	ranked_372.pdb_clean	735.5405564108646
125	103	ranked_103.pdb_clean	736.335853038284
126	18	ranked_18.pdb_clean	752.5303311341331
127	112	ranked_112.pdb_clean	753.5154117943066
128	75	ranked_75.pdb_clean	753.7830001587117
129	142	ranked_142.pdb_clean	757.1381895171446
130	104	ranked_104.pdb_clean	760.8280787195049
131	133	ranked_133.pdb_clean	771.3459589773389
