#  old_rank	structure_name		score
0	14	ranked_14.pdb_clean	-233.26328734453853
1	76	ranked_76.pdb_clean	-201.82588382539126
2	24	ranked_24.pdb_clean	-185.25561534139646
3	3	ranked_3.pdb_clean	-178.10300886460382
4	65	ranked_65.pdb_clean	-108.98350589132019
5	23	ranked_23.pdb_clean	-91.99250405003059
6	100	ranked_100.pdb_clean	-91.30623196152123
7	161	ranked_161.pdb_clean	-31.10311646210875
8	150	ranked_150.pdb_clean	-29.330166702505114
9	135	ranked_135.pdb_clean	-22.40555029706922
10	158	ranked_158.pdb_clean	-18.372104467117865
11	186	ranked_186.pdb_clean	-12.547073437763181
12	297	ranked_297.pdb_clean	1.545361767867071
13	250	ranked_250.pdb_clean	4.590883684240872
14	252	ranked_252.pdb_clean	8.817955542747228
15	98	ranked_98.pdb_clean	9.963921418297922
16	205	ranked_205.pdb_clean	34.153496165563006
17	166	ranked_166.pdb_clean	37.04506673706789
18	246	ranked_246.pdb_clean	37.650140740633766
19	401	ranked_401.pdb_clean	38.479893109746065
20	303	ranked_303.pdb_clean	38.95086295260244
21	228	ranked_228.pdb_clean	38.99816067768375
22	121	ranked_121.pdb_clean	39.064925253429685
23	256	ranked_256.pdb_clean	40.66768102906324
24	103	ranked_103.pdb_clean	41.28716380531403
25	230	ranked_230.pdb_clean	42.251286909071275
26	220	ranked_220.pdb_clean	45.85814646692133
27	281	ranked_281.pdb_clean	46.53167689939824
28	211	ranked_211.pdb_clean	47.537324877079534
29	437	ranked_437.pdb_clean	51.83127322377404
30	227	ranked_227.pdb_clean	57.18251550730506
31	185	ranked_185.pdb_clean	60.5214637991157
32	231	ranked_231.pdb_clean	61.004782955860044
33	165	ranked_165.pdb_clean	64.25002113562579
34	310	ranked_310.pdb_clean	64.80751189295916
35	119	ranked_119.pdb_clean	65.08687194124252
36	484	ranked_484.pdb_clean	66.2486701682073
37	142	ranked_142.pdb_clean	66.9091730854197
38	419	ranked_419.pdb_clean	68.3020469093706
39	145	ranked_145.pdb_clean	81.08592119644794
40	203	ranked_203.pdb_clean	97.96748783834389
41	141	ranked_141.pdb_clean	101.873296571678
42	84	ranked_84.pdb_clean	101.91320132964427
43	463	ranked_463.pdb_clean	102.70627303899974
44	408	ranked_408.pdb_clean	102.91784801539802
45	421	ranked_421.pdb_clean	105.72478363263141
46	344	ranked_344.pdb_clean	112.5051992200768
47	519	ranked_519.pdb_clean	115.9151669353225
48	841	ranked_841.pdb_clean	119.39754985207
49	104	ranked_104.pdb_clean	121.30629245579283
50	113	ranked_113.pdb_clean	123.65174864841816
51	299	ranked_299.pdb_clean	130.96484659007666
52	423	ranked_423.pdb_clean	132.47601550054267
53	617	ranked_617.pdb_clean	135.30306040355015
54	445	ranked_445.pdb_clean	137.36481947764543
55	128	ranked_128.pdb_clean	146.79008264395844
56	245	ranked_245.pdb_clean	151.53150393653456
57	120	ranked_120.pdb_clean	151.5379565212222
58	164	ranked_164.pdb_clean	151.82984081047306
59	650	ranked_650.pdb_clean	153.8104258393654
60	47	ranked_47.pdb_clean	160.6631992213209
61	318	ranked_318.pdb_clean	166.43907690326884
62	57	ranked_57.pdb_clean	168.10299797919475
63	449	ranked_449.pdb_clean	172.5510717116645
64	187	ranked_187.pdb_clean	177.06119440455836
65	371	ranked_371.pdb_clean	179.31235389795077
66	176	ranked_176.pdb_clean	179.35808972978842
67	116	ranked_116.pdb_clean	181.84659175903215
68	430	ranked_430.pdb_clean	185.36949484861404
