#  old_rank	structure_name		score
0	232	ranked_232.pdb_clean	-343.94345337075214
1	690	ranked_690.pdb_clean	-343.00490448669524
2	312	ranked_312.pdb_clean	-342.25185331454605
3	362	ranked_362.pdb_clean	-342.1812440633304
4	732	ranked_732.pdb_clean	-341.60492621013367
5	253	ranked_253.pdb_clean	-341.4412843823126
6	171	ranked_171.pdb_clean	-340.12914033076083
7	361	ranked_361.pdb_clean	-339.8731588052161
8	267	ranked_267.pdb_clean	-339.4545524464984
9	591	ranked_591.pdb_clean	-339.4234007144028
10	313	ranked_313.pdb_clean	-339.1753269091352
11	19	ranked_19.pdb_clean	-338.93841246708917
12	996	ranked_996.pdb_clean	-338.38709407921857
13	216	ranked_216.pdb_clean	-337.90933642637003
14	433	ranked_433.pdb_clean	-337.7084110534894
15	394	ranked_394.pdb_clean	-337.201898624702
16	84	ranked_84.pdb_clean	-337.08792203194565
17	365	ranked_365.pdb_clean	-336.95772330136526
18	385	ranked_385.pdb_clean	-336.7568216619541
19	240	ranked_240.pdb_clean	-336.4984450445563
20	515	ranked_515.pdb_clean	-336.4504520022
21	243	ranked_243.pdb_clean	-336.242770590566
22	255	ranked_255.pdb_clean	-336.19394455119357
23	256	ranked_256.pdb_clean	-336.03987067949265
24	241	ranked_241.pdb_clean	-335.7298103297985
25	321	ranked_321.pdb_clean	-335.72895076019495
26	205	ranked_205.pdb_clean	-335.65572669923154
27	476	ranked_476.pdb_clean	-335.16053965650207
28	330	ranked_330.pdb_clean	-335.14749041556615
29	259	ranked_259.pdb_clean	-335.02225808558893
30	526	ranked_526.pdb_clean	-334.9563694934791
31	666	ranked_666.pdb_clean	-334.7693910325726
32	225	ranked_225.pdb_clean	-334.34439365537617
33	275	ranked_275.pdb_clean	-334.19522619562406
34	204	ranked_204.pdb_clean	-333.77969458502906
35	207	ranked_207.pdb_clean	-333.74397494114385
36	114	ranked_114.pdb_clean	-333.6294526500217
37	81	ranked_81.pdb_clean	-333.4112977668734
38	537	ranked_537.pdb_clean	-333.3648979625653
39	242	ranked_242.pdb_clean	-333.1988793958905
40	302	ranked_302.pdb_clean	-332.7976549955472
41	49	ranked_49.pdb_clean	-332.7543815729167
42	133	ranked_133.pdb_clean	-332.682879269559
43	442	ranked_442.pdb_clean	-332.63285849444185
44	470	ranked_470.pdb_clean	-332.6088710192609
45	228	ranked_228.pdb_clean	-332.60143586463664
46	226	ranked_226.pdb_clean	-332.54543081212705
47	396	ranked_396.pdb_clean	-332.2044834377975
