#  old_rank	structure_name		score
0	42	ranked_42.pdb_clean	-482.32789272120414
1	953	ranked_953.pdb_clean	-475.6803263848516
2	711	ranked_711.pdb_clean	-475.12091963471397
3	810	ranked_810.pdb_clean	-473.9211931483656
4	731	ranked_731.pdb_clean	-471.02845959088427
5	787	ranked_787.pdb_clean	-468.92132677807416
6	909	ranked_909.pdb_clean	-467.84205633716
7	592	ranked_592.pdb_clean	-466.76355431709425
8	139	ranked_139.pdb_clean	-465.44345415493626
9	691	ranked_691.pdb_clean	-465.15623356194965
10	393	ranked_393.pdb_clean	-460.67785146426377
11	747	ranked_747.pdb_clean	-454.178398962176
12	893	ranked_893.pdb_clean	-452.7994189046451
13	150	ranked_150.pdb_clean	-451.94079473659565
14	132	ranked_132.pdb_clean	-451.8512773826909
15	883	ranked_883.pdb_clean	-451.31557592193735
16	756	ranked_756.pdb_clean	-450.06994650869797
17	854	ranked_854.pdb_clean	-449.5286863787381
18	892	ranked_892.pdb_clean	-449.47691265675934
19	719	ranked_719.pdb_clean	-449.39821716179074
20	151	ranked_151.pdb_clean	-447.2939648816379
21	935	ranked_935.pdb_clean	-446.89397647210393
22	634	ranked_634.pdb_clean	-446.71930956158474
23	799	ranked_799.pdb_clean	-446.57974024818327
24	812	ranked_812.pdb_clean	-445.4027580526552
25	749	ranked_749.pdb_clean	-445.32686683979665
26	432	ranked_432.pdb_clean	-444.03517125982256
27	686	ranked_686.pdb_clean	-440.8464566209625
28	771	ranked_771.pdb_clean	-440.5958412391628
29	666	ranked_666.pdb_clean	-440.0430281652928
30	884	ranked_884.pdb_clean	-439.90072495153964
31	801	ranked_801.pdb_clean	-439.1426926686947
32	990	ranked_990.pdb_clean	-439.0514564424511
33	96	ranked_96.pdb_clean	-438.5075260664404
34	750	ranked_750.pdb_clean	-437.6654626216381
35	225	ranked_225.pdb_clean	-437.48927470104223
36	729	ranked_729.pdb_clean	-437.38535704469086
37	800	ranked_800.pdb_clean	-436.7258060386687
38	154	ranked_154.pdb_clean	-436.46540153734185
39	607	ranked_607.pdb_clean	-436.3033704265739
40	967	ranked_967.pdb_clean	-436.2918331393222
41	386	ranked_386.pdb_clean	-436.14020118563104
42	998	ranked_998.pdb_clean	-435.9367910637183
43	660	ranked_660.pdb_clean	-435.6795830180919
44	816	ranked_816.pdb_clean	-435.58801709623924
45	348	ranked_348.pdb_clean	-435.35339819573835
46	818	ranked_818.pdb_clean	-435.1875445982668
47	941	ranked_941.pdb_clean	-434.7222804742754
48	867	ranked_867.pdb_clean	-434.0725132649244
