#  old_rank	structure_name		score
0	255	ranked_255.pdb_clean	-786.7046037341876
1	462	ranked_462.pdb_clean	-783.228115392712
2	754	ranked_754.pdb_clean	-782.0607746094589
3	258	ranked_258.pdb_clean	-781.413921993888
4	380	ranked_380.pdb_clean	-776.2750345590003
5	174	ranked_174.pdb_clean	-772.4511761371483
6	592	ranked_592.pdb_clean	-771.6404988438127
7	356	ranked_356.pdb_clean	-767.8564523547399
8	820	ranked_820.pdb_clean	-766.2153110029815
9	774	ranked_774.pdb_clean	-764.9483474906893
10	846	ranked_846.pdb_clean	-761.454866290886
11	102	ranked_102.pdb_clean	-760.4372777028566
12	736	ranked_736.pdb_clean	-759.3148189358315
13	240	ranked_240.pdb_clean	-759.2795846770325
14	740	ranked_740.pdb_clean	-757.3149266042144
15	483	ranked_483.pdb_clean	-756.7102830120587
16	206	ranked_206.pdb_clean	-756.5598241115326
17	896	ranked_896.pdb_clean	-755.7095189100304
18	172	ranked_172.pdb_clean	-755.5859088900264
19	821	ranked_821.pdb_clean	-754.5558495248586
20	201	ranked_201.pdb_clean	-754.0013424405363
21	741	ranked_741.pdb_clean	-752.9436084658741
22	232	ranked_232.pdb_clean	-752.920025227146
23	290	ranked_290.pdb_clean	-751.9773147915542
24	931	ranked_931.pdb_clean	-751.4284792976011
25	204	ranked_204.pdb_clean	-751.2123796846004
26	713	ranked_713.pdb_clean	-749.9503033956399
27	862	ranked_862.pdb_clean	-748.6410892026294
28	161	ranked_161.pdb_clean	-748.584182837943
29	855	ranked_855.pdb_clean	-748.4921627550488
30	241	ranked_241.pdb_clean	-748.1382469956974
31	126	ranked_126.pdb_clean	-747.9123794025335
32	283	ranked_283.pdb_clean	-747.7440060933243
33	504	ranked_504.pdb_clean	-747.2625181171819
34	313	ranked_313.pdb_clean	-746.4967455836331
35	357	ranked_357.pdb_clean	-745.8856063485724
36	194	ranked_194.pdb_clean	-745.4111256012729
37	362	ranked_362.pdb_clean	-745.3361644012767
38	307	ranked_307.pdb_clean	-745.0477281413938
39	309	ranked_309.pdb_clean	-744.2210889427071
40	480	ranked_480.pdb_clean	-742.1672131099731
41	359	ranked_359.pdb_clean	-741.8975009313586
42	173	ranked_173.pdb_clean	-741.7573856727444
43	336	ranked_336.pdb_clean	-741.6873034753413
44	301	ranked_301.pdb_clean	-741.2306928617012
45	473	ranked_473.pdb_clean	-741.0867140043576
46	244	ranked_244.pdb_clean	-740.3441345499897
47	262	ranked_262.pdb_clean	-739.9339282857676
48	326	ranked_326.pdb_clean	-739.2679329970252
49	60	ranked_60.pdb_clean	-738.9662918132784
50	181	ranked_181.pdb_clean	-737.9383833746864
51	227	ranked_227.pdb_clean	-737.4900011152056
52	274	ranked_274.pdb_clean	-737.1762791931394
53	773	ranked_773.pdb_clean	-736.225747237575
54	956	ranked_956.pdb_clean	-736.2228451887631
55	281	ranked_281.pdb_clean	-735.9431975417589
56	178	ranked_178.pdb_clean	-734.9208227427505
57	199	ranked_199.pdb_clean	-734.7858454707604
58	220	ranked_220.pdb_clean	-733.4417490425747
59	798	ranked_798.pdb_clean	-733.19104085774
60	352	ranked_352.pdb_clean	-731.3576578146881
61	183	ranked_183.pdb_clean	-731.2340146378399
62	160	ranked_160.pdb_clean	-730.3314658322624
63	490	ranked_490.pdb_clean	-729.7435818621226
64	383	ranked_383.pdb_clean	-729.5144537153976
65	344	ranked_344.pdb_clean	-729.4793778497833
66	308	ranked_308.pdb_clean	-729.4020806283281
67	478	ranked_478.pdb_clean	-728.802045083049
68	667	ranked_667.pdb_clean	-728.655803824289
69	527	ranked_527.pdb_clean	-727.2906888508311
70	153	ranked_153.pdb_clean	-727.1283298081104
71	228	ranked_228.pdb_clean	-726.8452502804629
72	374	ranked_374.pdb_clean	-726.5436125820488
73	510	ranked_510.pdb_clean	-726.5002700457381
74	239	ranked_239.pdb_clean	-726.1317554441297
75	333	ranked_333.pdb_clean	-723.3553625248975
76	314	ranked_314.pdb_clean	-722.998176285633
77	867	ranked_867.pdb_clean	-722.8332623420638
78	842	ranked_842.pdb_clean	-722.7093411034639
79	35	ranked_35.pdb_clean	-722.5670775841362
80	726	ranked_726.pdb_clean	-722.3058410649285
81	306	ranked_306.pdb_clean	-721.9100036056784
82	977	ranked_977.pdb_clean	-721.8844183990277
83	534	ranked_534.pdb_clean	-721.8536309996646
84	355	ranked_355.pdb_clean	-720.0005476952573
85	348	ranked_348.pdb_clean	-719.3700866412547
86	219	ranked_219.pdb_clean	-719.3489979481947
87	876	ranked_876.pdb_clean	-718.4326356588816
88	465	ranked_465.pdb_clean	-718.2660671209644
89	749	ranked_749.pdb_clean	-718.0931558659241
90	267	ranked_267.pdb_clean	-717.6402393456979
91	316	ranked_316.pdb_clean	-716.8112620878102
92	276	ranked_276.pdb_clean	-716.621355557386
93	996	ranked_996.pdb_clean	-715.7182919736429
94	170	ranked_170.pdb_clean	-715.7048805464473
95	454	ranked_454.pdb_clean	-715.2830882629336
96	83	ranked_83.pdb_clean	-714.9550445630098
97	860	ranked_860.pdb_clean	-714.8070738899243
98	63	ranked_63.pdb_clean	-714.1368174006809
99	231	ranked_231.pdb_clean	-713.9077977318202
100	385	ranked_385.pdb_clean	-712.2723731444532
101	93	ranked_93.pdb_clean	-711.7803613528569
102	825	ranked_825.pdb_clean	-711.321032936793
103	34	ranked_34.pdb_clean	-711.0030251527852
104	106	ranked_106.pdb_clean	-710.6624928486789
105	515	ranked_515.pdb_clean	-710.0103818529013
106	223	ranked_223.pdb_clean	-709.9414101915955
107	463	ranked_463.pdb_clean	-708.7089682578434
108	621	ranked_621.pdb_clean	-708.7068755486965
109	425	ranked_425.pdb_clean	-708.6685045458408
110	924	ranked_924.pdb_clean	-708.3140106855948
111	139	ranked_139.pdb_clean	-707.1664880329555
112	660	ranked_660.pdb_clean	-707.1641682435434
113	854	ranked_854.pdb_clean	-707.064875345013
114	560	ranked_560.pdb_clean	-706.0604764411746
115	760	ranked_760.pdb_clean	-705.9405130984387
116	408	ranked_408.pdb_clean	-705.4443514006073
117	784	ranked_784.pdb_clean	-705.3523334207657
118	716	ranked_716.pdb_clean	-705.2930839191307
119	133	ranked_133.pdb_clean	-705.2397918885279
120	909	ranked_909.pdb_clean	-705.0043425010695
121	777	ranked_777.pdb_clean	-704.8594992296166
122	400	ranked_400.pdb_clean	-704.5966438240475
123	148	ranked_148.pdb_clean	-704.493327455185
124	182	ranked_182.pdb_clean	-703.985378937851
125	72	ranked_72.pdb_clean	-703.2681168453719
126	169	ranked_169.pdb_clean	-702.9781710590531
127	568	ranked_568.pdb_clean	-702.4440097282643
128	642	ranked_642.pdb_clean	-701.6742246614187
129	626	ranked_626.pdb_clean	-701.5999291334988
130	707	ranked_707.pdb_clean	-700.2004640652805
131	134	ranked_134.pdb_clean	-700.0333626705948
132	850	ranked_850.pdb_clean	-699.7479799481405
133	256	ranked_256.pdb_clean	-699.7268579442056
134	948	ranked_948.pdb_clean	-699.117089319449
135	436	ranked_436.pdb_clean	-698.7340461765172
136	165	ranked_165.pdb_clean	-698.0912236884932
137	714	ranked_714.pdb_clean	-697.425171592165
138	64	ranked_64.pdb_clean	-697.0069190108608
139	41	ranked_41.pdb_clean	-696.3688875195269
140	122	ranked_122.pdb_clean	-695.9815142623623
141	903	ranked_903.pdb_clean	-695.226909639134
142	149	ranked_149.pdb_clean	-694.0454411461155
143	902	ranked_902.pdb_clean	-693.8232327267931
144	302	ranked_302.pdb_clean	-693.5287345741092
145	46	ranked_46.pdb_clean	-692.634734466755
146	112	ranked_112.pdb_clean	-692.2284625279223
147	766	ranked_766.pdb_clean	-691.3194041300677
148	107	ranked_107.pdb_clean	-691.2534821803804
149	111	ranked_111.pdb_clean	-691.184099029275
150	214	ranked_214.pdb_clean	-690.6830009878948
151	507	ranked_507.pdb_clean	-690.4822282934629
152	81	ranked_81.pdb_clean	-688.8484090882005
153	675	ranked_675.pdb_clean	-688.8057070157585
154	878	ranked_878.pdb_clean	-688.763498874403
155	377	ranked_377.pdb_clean	-687.7615936524184
156	414	ranked_414.pdb_clean	-687.6693101258144
157	273	ranked_273.pdb_clean	-687.6624730532224
158	938	ranked_938.pdb_clean	-687.5621065644891
159	398	ranked_398.pdb_clean	-687.4477305159967
160	268	ranked_268.pdb_clean	-687.280524581621
161	703	ranked_703.pdb_clean	-686.8830339044475
162	585	ranked_585.pdb_clean	-686.7909284426619
163	192	ranked_192.pdb_clean	-686.7486291267146
164	528	ranked_528.pdb_clean	-686.3179421113033
165	387	ranked_387.pdb_clean	-685.6675879992445
