#  old_rank	structure_name		score
0	260	ranked_260.pdb_clean	-587.755969135803
1	312	ranked_312.pdb_clean	-586.2316173211145
2	539	ranked_539.pdb_clean	-586.2010453489312
3	171	ranked_171.pdb_clean	-584.7043063967236
4	292	ranked_292.pdb_clean	-584.3904524018476
5	265	ranked_265.pdb_clean	-583.9556229402504
6	361	ranked_361.pdb_clean	-583.1923016591753
7	205	ranked_205.pdb_clean	-582.389662706405
8	253	ranked_253.pdb_clean	-582.1946806575836
9	247	ranked_247.pdb_clean	-581.9851318315656
10	220	ranked_220.pdb_clean	-581.8653824591106
11	284	ranked_284.pdb_clean	-581.7979095768517
12	303	ranked_303.pdb_clean	-581.518043488758
13	335	ranked_335.pdb_clean	-581.4348668113053
14	290	ranked_290.pdb_clean	-580.3435276008131
15	244	ranked_244.pdb_clean	-580.2067409771978
16	570	ranked_570.pdb_clean	-580.1436864418491
17	276	ranked_276.pdb_clean	-580.0208365918731
18	230	ranked_230.pdb_clean	-580.0133205161167
19	240	ranked_240.pdb_clean	-579.9238262518093
20	419	ranked_419.pdb_clean	-579.7569906553562
21	211	ranked_211.pdb_clean	-579.7216773925727
22	273	ranked_273.pdb_clean	-579.6745059953921
23	236	ranked_236.pdb_clean	-579.4618735222527
24	168	ranked_168.pdb_clean	-578.9192584084584
25	213	ranked_213.pdb_clean	-578.918340809284
26	191	ranked_191.pdb_clean	-578.8396496613323
27	263	ranked_263.pdb_clean	-578.831635865859
28	250	ranked_250.pdb_clean	-578.725763694335
29	311	ranked_311.pdb_clean	-578.6961114853707
30	375	ranked_375.pdb_clean	-578.61842100332
31	179	ranked_179.pdb_clean	-578.5350659060427
32	258	ranked_258.pdb_clean	-578.3983131163794
33	189	ranked_189.pdb_clean	-578.2885730237882
34	246	ranked_246.pdb_clean	-578.1322463702339
35	208	ranked_208.pdb_clean	-578.0778609210348
36	528	ranked_528.pdb_clean	-578.0450032759005
37	432	ranked_432.pdb_clean	-577.9978495745705
38	224	ranked_224.pdb_clean	-577.7670245757073
39	358	ranked_358.pdb_clean	-577.6749157691838
40	444	ranked_444.pdb_clean	-577.5428440463425
41	300	ranked_300.pdb_clean	-577.499233022831
42	275	ranked_275.pdb_clean	-577.2419153043336
43	271	ranked_271.pdb_clean	-577.1931873108566
44	333	ranked_333.pdb_clean	-577.0580116635491
45	382	ranked_382.pdb_clean	-576.8050975967562
46	544	ranked_544.pdb_clean	-576.7890210444348
47	426	ranked_426.pdb_clean	-576.7703831620848
48	288	ranked_288.pdb_clean	-576.5756362066304
49	326	ranked_326.pdb_clean	-576.5537082371615
50	536	ranked_536.pdb_clean	-576.3923598296317
51	192	ranked_192.pdb_clean	-576.2053197002286
52	285	ranked_285.pdb_clean	-576.2049022593254
53	268	ranked_268.pdb_clean	-576.1829747152749
54	324	ranked_324.pdb_clean	-576.1762461336513
55	428	ranked_428.pdb_clean	-576.136657645877
56	277	ranked_277.pdb_clean	-576.1328446175118
57	291	ranked_291.pdb_clean	-576.1277763888716
58	195	ranked_195.pdb_clean	-576.1124875105724
59	261	ranked_261.pdb_clean	-576.0978168549082
60	548	ranked_548.pdb_clean	-576.0674985892949
61	293	ranked_293.pdb_clean	-575.8499644526908
