#  old_rank	structure_name		score
0	686	ranked_686.pdb_clean	-135.02822904431525
1	135	ranked_135.pdb_clean	-129.98570162035801
2	106	ranked_106.pdb_clean	-126.38497472110959
3	799	ranked_799.pdb_clean	-117.69695431155097
4	854	ranked_854.pdb_clean	-109.89212713532712
5	204	ranked_204.pdb_clean	-107.35083728410558
6	102	ranked_102.pdb_clean	-97.09660832185475
7	821	ranked_821.pdb_clean	-95.67330300576296
8	62	ranked_62.pdb_clean	-92.30917718555398
9	718	ranked_718.pdb_clean	-84.79391305927663
10	804	ranked_804.pdb_clean	-81.85403171617239
11	909	ranked_909.pdb_clean	-80.79097977669234
12	731	ranked_731.pdb_clean	-79.01806719898539
13	896	ranked_896.pdb_clean	-76.71775914898132
14	206	ranked_206.pdb_clean	-75.61457223266544
15	287	ranked_287.pdb_clean	-72.59606093401634
16	450	ranked_450.pdb_clean	-72.44528608748737
17	124	ranked_124.pdb_clean	-72.03404856225256
18	295	ranked_295.pdb_clean	-69.70868264653804
19	895	ranked_895.pdb_clean	-68.48514748254571
20	753	ranked_753.pdb_clean	-67.11167855111216
21	76	ranked_76.pdb_clean	-66.642695826779
22	741	ranked_741.pdb_clean	-66.57014767613448
23	403	ranked_403.pdb_clean	-66.05683159998968
24	291	ranked_291.pdb_clean	-64.72741068565999
25	802	ranked_802.pdb_clean	-62.17726218592505
26	946	ranked_946.pdb_clean	-61.845750146892044
27	133	ranked_133.pdb_clean	-61.42159180462602
28	57	ranked_57.pdb_clean	-59.303470388928204
29	805	ranked_805.pdb_clean	-58.07839590455748
30	83	ranked_83.pdb_clean	-57.25227018250494
31	876	ranked_876.pdb_clean	-53.25725975178684
32	69	ranked_69.pdb_clean	-53.2329391910918
33	185	ranked_185.pdb_clean	-52.69452168389275
34	856	ranked_856.pdb_clean	-51.98385580923802
35	240	ranked_240.pdb_clean	-51.421664484733085
36	72	ranked_72.pdb_clean	-49.8081707266743
37	738	ranked_738.pdb_clean	-49.07356726218693
38	63	ranked_63.pdb_clean	-47.99568909449846
39	342	ranked_342.pdb_clean	-47.771947042446705
40	768	ranked_768.pdb_clean	-46.90030360083487
41	848	ranked_848.pdb_clean	-46.70864546697292
42	151	ranked_151.pdb_clean	-46.354111152771175
43	916	ranked_916.pdb_clean	-45.83453037537666
44	36	ranked_36.pdb_clean	-42.817320215097325
45	252	ranked_252.pdb_clean	-42.46416532059379
46	167	ranked_167.pdb_clean	-40.803554983170116
47	764	ranked_764.pdb_clean	-40.781253955702695
48	53	ranked_53.pdb_clean	-40.52395209737132
49	801	ranked_801.pdb_clean	-40.11550648364111
50	719	ranked_719.pdb_clean	-39.992609650355355
51	150	ranked_150.pdb_clean	-39.9359456705046
52	789	ranked_789.pdb_clean	-39.50368150659952
53	297	ranked_297.pdb_clean	-39.09024153926876
54	412	ranked_412.pdb_clean	-38.68427841594729
55	278	ranked_278.pdb_clean	-38.44928484616241
56	749	ranked_749.pdb_clean	-38.204498954334866
57	960	ranked_960.pdb_clean	-37.27631580898375
58	187	ranked_187.pdb_clean	-37.18237174181886
59	51	ranked_51.pdb_clean	-35.25439248488999
60	751	ranked_751.pdb_clean	-35.16173327603355
61	683	ranked_683.pdb_clean	-34.7274700801009
62	752	ranked_752.pdb_clean	-34.6076730629127
63	995	ranked_995.pdb_clean	-32.43808460286202
64	918	ranked_918.pdb_clean	-31.244926269333064
65	199	ranked_199.pdb_clean	-30.59070608993229
66	362	ranked_362.pdb_clean	-30.589497610309948
67	23	ranked_23.pdb_clean	-29.71186556666919
68	220	ranked_220.pdb_clean	-28.96236568431476
69	67	ranked_67.pdb_clean	-28.86722480941834
70	137	ranked_137.pdb_clean	-28.843455672412745
71	290	ranked_290.pdb_clean	-28.580141472220042
72	612	ranked_612.pdb_clean	-27.810860328241553
73	564	ranked_564.pdb_clean	-27.23162786695512
74	806	ranked_806.pdb_clean	-27.114803443569247
75	100	ranked_100.pdb_clean	-26.55120424270399
76	344	ranked_344.pdb_clean	-26.029771870762126
77	8	ranked_8.pdb_clean	-25.72774225446546
78	953	ranked_953.pdb_clean	-24.78571002404079
79	755	ranked_755.pdb_clean	-23.740784881896026
80	734	ranked_734.pdb_clean	-23.457128204905658
81	505	ranked_505.pdb_clean	-22.992183390938294
82	760	ranked_760.pdb_clean	-22.772546670917222
83	947	ranked_947.pdb_clean	-22.330226172637758
84	86	ranked_86.pdb_clean	-21.55822520772511
85	842	ranked_842.pdb_clean	-20.21501295181249
86	708	ranked_708.pdb_clean	-18.747598863821658
87	736	ranked_736.pdb_clean	-17.24201053728722
88	911	ranked_911.pdb_clean	-16.722697608709964
89	814	ranked_814.pdb_clean	-16.01295963861545
90	766	ranked_766.pdb_clean	-15.955443545289292
91	318	ranked_318.pdb_clean	-12.658694600252467
92	328	ranked_328.pdb_clean	-12.403513016940217
93	50	ranked_50.pdb_clean	-11.18083308802931
94	885	ranked_885.pdb_clean	-8.821220880616487
95	210	ranked_210.pdb_clean	-8.386380289473358
