#  old_rank	structure_name		score
0	128	ranked_128.pdb_clean	-29.681481883734797
1	312	ranked_312.pdb_clean	-28.58711424277291
2	357	ranked_357.pdb_clean	-28.516262311216487
3	283	ranked_283.pdb_clean	-24.35731991904411
4	385	ranked_385.pdb_clean	-24.13959205229619
5	319	ranked_319.pdb_clean	-24.023603124951972
6	187	ranked_187.pdb_clean	-23.741679001866515
7	321	ranked_321.pdb_clean	-23.38831375713053
8	135	ranked_135.pdb_clean	-23.11493225607917
9	201	ranked_201.pdb_clean	-22.812150867814807
10	243	ranked_243.pdb_clean	-22.545760135926642
11	235	ranked_235.pdb_clean	-21.72068171383885
12	166	ranked_166.pdb_clean	-21.63207046128511
13	140	ranked_140.pdb_clean	-21.250793105984506
14	340	ranked_340.pdb_clean	-20.03254193486076
15	305	ranked_305.pdb_clean	-19.961003217686546
16	336	ranked_336.pdb_clean	-19.68417997418496
17	248	ranked_248.pdb_clean	-19.589986582937875
18	217	ranked_217.pdb_clean	-19.524259511141025
19	348	ranked_348.pdb_clean	-19.369207392058172
20	110	ranked_110.pdb_clean	-19.36540452164583
21	245	ranked_245.pdb_clean	-19.35726976414752
22	208	ranked_208.pdb_clean	-19.268917942706583
23	384	ranked_384.pdb_clean	-18.708695143784063
24	105	ranked_105.pdb_clean	-18.60385206761198
25	97	ranked_97.pdb_clean	-18.441560576095036
26	246	ranked_246.pdb_clean	-18.399368372712196
27	200	ranked_200.pdb_clean	-18.03114478341641
28	219	ranked_219.pdb_clean	-17.916653326825454
29	356	ranked_356.pdb_clean	-17.88608338103647
30	352	ranked_352.pdb_clean	-17.844910904164152
31	350	ranked_350.pdb_clean	-17.815762470336242
32	335	ranked_335.pdb_clean	-17.808215775520054
33	185	ranked_185.pdb_clean	-17.58793913577172
34	257	ranked_257.pdb_clean	-17.53264719989639
35	206	ranked_206.pdb_clean	-17.449920193338514
36	242	ranked_242.pdb_clean	-17.40311369625376
37	318	ranked_318.pdb_clean	-17.38339389338691
38	386	ranked_386.pdb_clean	-17.312220292418544
39	363	ranked_363.pdb_clean	-17.092187777484014
40	264	ranked_264.pdb_clean	-17.02027858990879
41	399	ranked_399.pdb_clean	-16.79484923937226
42	372	ranked_372.pdb_clean	-16.767198191857624
43	198	ranked_198.pdb_clean	-16.60975291265072
44	306	ranked_306.pdb_clean	-16.5735039953938
45	314	ranked_314.pdb_clean	-16.55941401090609
46	285	ranked_285.pdb_clean	-16.542069052204823
47	287	ranked_287.pdb_clean	-16.522114229400295
48	229	ranked_229.pdb_clean	-16.30202107595567
49	171	ranked_171.pdb_clean	-16.253665005495456
50	281	ranked_281.pdb_clean	-16.18499336940264
51	310	ranked_310.pdb_clean	-16.066929633454702
52	196	ranked_196.pdb_clean	-15.987018830079368
53	317	ranked_317.pdb_clean	-15.916412562822252
54	188	ranked_188.pdb_clean	-15.881115713531134
55	173	ranked_173.pdb_clean	-15.850670811496402
56	127	ranked_127.pdb_clean	-15.776756370224964
57	270	ranked_270.pdb_clean	-15.759901352291761
58	121	ranked_121.pdb_clean	-15.757494430655349
59	152	ranked_152.pdb_clean	-15.675914553432323
