complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7qox,ranked_0.pdb,vina,-3.064,-20.616,  0.000,  0.000,  0.000, -6.187, 17.552, -6.187
7qox,ranked_0.pdb,vinardo,-1.679,-11.298,  0.000,  0.000,  0.000,-10.520,  9.619,-10.520
7qox,ranked_1.pdb,vina,-3.127,-21.040,  0.000,  0.000,  0.000, -6.312, 17.914, -6.312
7qox,ranked_1.pdb,vinardo,-1.729,-11.633,  0.000,  0.000,  0.000,-10.730,  9.904,-10.730
7qox,ranked_2.pdb,vina,-3.054,-20.550,  0.000,  0.000,  0.000, -5.411, 17.496, -5.411
7qox,ranked_2.pdb,vinardo,-1.667,-11.215,  0.000,  0.000,  0.000, -9.860,  9.549, -9.860
7qox,ranked_3.pdb,vina,-3.024,-20.351,  0.000,  0.000,  0.000, -4.696, 17.327, -4.696
7qox,ranked_3.pdb,vinardo,-1.699,-11.434,  0.000,  0.000,  0.000, -9.162,  9.735, -9.162
7qox,ranked_4.pdb,vina,-3.040,-20.454,  0.000,  0.000,  0.000, -6.157, 17.414, -6.157
7qox,ranked_4.pdb,vinardo,-1.626,-10.941,  0.000,  0.000,  0.000,-10.459,  9.315,-10.459
7qox,ranked_5.pdb,vina,-3.223,-21.690,  0.000,  0.000,  0.000, -5.808, 18.467, -5.808
7qox,ranked_5.pdb,vinardo,-1.812,-12.196,  0.000,  0.000,  0.000,-10.122, 10.384,-10.122
7qox,ranked_6.pdb,vina,-3.004,-20.215,  0.000,  0.000,  0.000, -5.946, 17.211, -5.946
7qox,ranked_6.pdb,vinardo,-1.654,-11.129,  0.000,  0.000,  0.000,-10.311,  9.475,-10.311
7qox,ranked_7.pdb,vina,-3.269,-21.997,  0.000,  0.000,  0.000, -6.825, 18.728, -6.825
7qox,ranked_7.pdb,vinardo,-1.926,-12.958,  0.000,  0.000,  0.000,-11.045, 11.033,-11.045
7qox,ranked_8.pdb,vina,-3.015,-20.290,  0.000,  0.000,  0.000, -6.560, 17.275, -6.560
7qox,ranked_8.pdb,vinardo,-1.610,-10.831,  0.000,  0.000,  0.000,-10.775,  9.221,-10.775
7qox,ranked_9.pdb,vina,-3.094,-20.823,  0.000,  0.000,  0.000, -6.403, 17.728, -6.403
7qox,ranked_9.pdb,vinardo,-1.683,-11.322,  0.000,  0.000,  0.000,-10.716,  9.639,-10.716
7qox,ranked_10.pdb,vina,-2.981,-20.062,  0.000,  0.000,  0.000, -5.580, 17.081, -5.580
7qox,ranked_10.pdb,vinardo,-1.586,-10.671,  0.000,  0.000,  0.000, -9.878,  9.085, -9.878
7qox,ranked_11.pdb,vina,0.146,-0.205, 0.000, 0.000, 0.000,-0.179, 0.060,-0.179
7qox,ranked_11.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.366, 0.000,-0.366
7qox,ranked_12.pdb,vina,-2.968,-19.975,  0.000,  0.000,  0.000, -5.059, 17.007, -5.059
7qox,ranked_12.pdb,vinardo,-1.592,-10.711,  0.000,  0.000,  0.000, -9.571,  9.119, -9.571
7qox,ranked_13.pdb,vina,-3.405,-22.911,  0.000,  0.000,  0.000, -4.025, 19.506, -4.025
7qox,ranked_13.pdb,vinardo,-2.110,-14.196,  0.000,  0.000,  0.000, -9.082, 12.086, -9.082
7qox,ranked_14.pdb,vina,-3.203,-21.555,  0.000,  0.000,  0.000, -6.161, 18.352, -6.161
7qox,ranked_14.pdb,vinardo,-1.813,-12.199,  0.000,  0.000,  0.000,-10.507, 10.386,-10.507
7qox,ranked_15.pdb,vina,-2.942,-19.795,  0.000,  0.000,  0.000, -5.013, 16.854, -5.013
