Filename,Value,AlphaFold Rank
ranked_932.pdb_clean,0.8701,932.0
ranked_963.pdb_clean,0.8541,963.0
ranked_985.pdb_clean,0.8518,985.0
ranked_987.pdb_clean,0.8491,987.0
ranked_824.pdb_clean,0.8430,824.0
ranked_927.pdb_clean,0.8425,927.0
ranked_974.pdb_clean,0.8406,974.0
ranked_802.pdb_clean,0.8398,802.0
ranked_942.pdb_clean,0.8386,942.0
ranked_961.pdb_clean,0.8383,961.0
ranked_823.pdb_clean,0.8360,823.0
ranked_937.pdb_clean,0.8327,937.0
ranked_913.pdb_clean,0.8315,913.0
ranked_929.pdb_clean,0.8310,929.0
ranked_955.pdb_clean,0.8303,955.0
ranked_975.pdb_clean,0.8294,975.0
ranked_871.pdb_clean,0.8265,871.0
ranked_954.pdb_clean,0.8240,954.0
ranked_973.pdb_clean,0.8226,973.0
ranked_911.pdb_clean,0.8220,911.0
ranked_984.pdb_clean,0.8212,984.0
ranked_935.pdb_clean,0.8186,935.0
ranked_956.pdb_clean,0.8162,956.0
ranked_945.pdb_clean,0.8151,945.0
ranked_877.pdb_clean,0.8147,877.0
ranked_931.pdb_clean,0.8144,931.0
ranked_882.pdb_clean,0.8137,882.0
ranked_854.pdb_clean,0.8133,854.0
ranked_814.pdb_clean,0.8124,814.0
ranked_934.pdb_clean,0.8100,934.0
ranked_857.pdb_clean,0.8091,857.0
ranked_843.pdb_clean,0.8082,843.0
ranked_726.pdb_clean,0.8058,726.0
ranked_982.pdb_clean,0.8041,982.0
ranked_810.pdb_clean,0.8006,810.0
ranked_862.pdb_clean,0.7982,862.0
ranked_970.pdb_clean,0.7972,970.0
ranked_951.pdb_clean,0.7968,951.0
ranked_898.pdb_clean,0.7929,898.0
ranked_593.pdb_clean,0.7927,593.0
ranked_969.pdb_clean,0.7920,969.0
ranked_976.pdb_clean,0.7918,976.0
ranked_839.pdb_clean,0.7913,839.0
ranked_947.pdb_clean,0.7898,947.0
ranked_876.pdb_clean,0.7890,876.0
ranked_989.pdb_clean,0.7859,989.0
ranked_819.pdb_clean,0.7821,819.0
ranked_761.pdb_clean,0.7817,761.0
ranked_888.pdb_clean,0.7800,888.0
ranked_980.pdb_clean,0.7793,980.0
ranked_903.pdb_clean,0.7791,903.0
ranked_785.pdb_clean,0.7775,785.0
ranked_834.pdb_clean,0.7728,834.0
ranked_950.pdb_clean,0.7727,950.0
ranked_493.pdb_clean,0.7692,493.0
ranked_923.pdb_clean,0.7676,923.0
ranked_964.pdb_clean,0.7671,964.0
ranked_723.pdb_clean,0.7669,723.0
ranked_808.pdb_clean,0.7650,808.0
ranked_866.pdb_clean,0.7642,866.0
ranked_933.pdb_clean,0.7623,933.0
ranked_971.pdb_clean,0.7620,971.0
ranked_738.pdb_clean,0.7612,738.0
ranked_777.pdb_clean,0.7605,777.0
ranked_769.pdb_clean,0.7599,769.0
ranked_972.pdb_clean,0.7579,972.0
ranked_944.pdb_clean,0.7553,944.0
ranked_805.pdb_clean,0.7552,805.0
ranked_925.pdb_clean,0.7543,925.0
ranked_912.pdb_clean,0.7515,912.0
ranked_965.pdb_clean,0.7510,965.0
ranked_850.pdb_clean,0.7506,850.0
ranked_885.pdb_clean,0.7500,885.0
ranked_825.pdb_clean,0.7495,825.0
ranked_928.pdb_clean,0.7469,928.0
ranked_948.pdb_clean,0.7435,948.0
ranked_890.pdb_clean,0.7402,890.0
ranked_962.pdb_clean,0.7394,962.0
