complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8a68,ranked_0.pdb,vina,4.636, 7.346, 0.000, 0.000, 0.000,-0.323,-2.710,-0.323
8a68,ranked_0.pdb,vinardo,5.435, 8.613, 0.000, 0.000, 0.000,-0.785,-3.177,-0.785
8a68,ranked_1.pdb,vina,4.743, 7.516, 0.000, 0.000, 0.000,-0.419,-2.773,-0.419
8a68,ranked_1.pdb,vinardo,5.518, 8.744, 0.000, 0.000, 0.000,-0.871,-3.226,-0.871
8a68,ranked_2.pdb,vina,4.339, 6.876, 0.000, 0.000, 0.000, 2.099,-2.537, 2.099
8a68,ranked_2.pdb,vinardo,6.988,11.073, 0.000, 0.000, 0.000, 1.168,-4.085, 1.168
8a68,ranked_3.pdb,vina,5.541, 8.780, 0.000, 0.000, 0.000,-0.338,-3.239,-0.338
8a68,ranked_3.pdb,vinardo,6.403,10.147, 0.000, 0.000, 0.000,-0.777,-3.743,-0.777
8a68,ranked_4.pdb,vina,4.457, 7.062, 0.000, 0.000, 0.000,-0.400,-2.605,-0.400
8a68,ranked_4.pdb,vinardo,5.265, 8.344, 0.000, 0.000, 0.000,-0.851,-3.078,-0.851
8a68,ranked_5.pdb,vina,1.150, 1.822, 0.000, 0.000, 0.000,-0.496,-0.672,-0.496
8a68,ranked_5.pdb,vinardo,1.862, 2.951, 0.000, 0.000, 0.000,-1.098,-1.089,-1.098
8a68,ranked_6.pdb,vina,6.127, 9.709, 0.000, 0.000, 0.000,-0.294,-3.582,-0.294
8a68,ranked_6.pdb,vinardo,6.949,11.012, 0.000, 0.000, 0.000,-0.902,-4.063,-0.902
8a68,ranked_7.pdb,vina,2.449, 3.881, 0.000, 0.000, 0.000,-0.514,-1.432,-0.514
8a68,ranked_7.pdb,vinardo,2.991, 4.740, 0.000, 0.000, 0.000,-1.054,-1.749,-1.054
8a68,ranked_8.pdb,vina,5.353, 8.483, 0.000, 0.000, 0.000,-0.314,-3.129,-0.314
8a68,ranked_8.pdb,vinardo,6.253, 9.908, 0.000, 0.000, 0.000,-0.797,-3.655,-0.797
8a68,ranked_9.pdb,vina,6.067, 9.614, 0.000, 0.000, 0.000,-0.021,-3.547,-0.021
8a68,ranked_9.pdb,vinardo,7.011,11.109, 0.000, 0.000, 0.000,-0.522,-4.098,-0.522
8a68,ranked_10.pdb,vina,1.051, 1.666, 0.000, 0.000, 0.000,-0.532,-0.615,-0.532
8a68,ranked_10.pdb,vinardo,1.735, 2.749, 0.000, 0.000, 0.000,-1.112,-1.014,-1.112
8a68,ranked_11.pdb,vina,4.045, 6.409, 0.000, 0.000, 0.000,-0.302,-2.364,-0.302
8a68,ranked_11.pdb,vinardo,4.852, 7.688, 0.000, 0.000, 0.000,-0.936,-2.836,-0.936
8a68,ranked_12.pdb,vina,5.902, 9.352, 0.000, 0.000, 0.000,-0.355,-3.450,-0.355
8a68,ranked_12.pdb,vinardo,6.733,10.668, 0.000, 0.000, 0.000,-0.790,-3.936,-0.790
8a68,ranked_13.pdb,vina,1.690, 2.679, 0.000, 0.000, 0.000,-0.411,-0.988,-0.411
8a68,ranked_13.pdb,vinardo,2.405, 3.811, 0.000, 0.000, 0.000,-1.025,-1.406,-1.025
8a68,ranked_14.pdb,vina,0.705, 1.118, 0.000, 0.000, 0.000,-0.424,-0.412,-0.424
8a68,ranked_14.pdb,vinardo,1.501, 2.379, 0.000, 0.000, 0.000,-1.037,-0.877,-1.037
8a68,ranked_15.pdb,vina,5.932, 9.399, 0.000, 0.000, 0.000,-0.088,-3.468,-0.088
8a68,ranked_15.pdb,vinardo,6.753,10.702, 0.000, 0.000, 0.000,-0.712,-3.948,-0.712
8a68,ranked_16.pdb,vina,5.207, 8.250, 0.000, 0.000, 0.000,-0.253,-3.044,-0.253
8a68,ranked_16.pdb,vinardo,5.948, 9.426, 0.000, 0.000, 0.000,-0.885,-3.477,-0.885
8a68,ranked_17.pdb,vina,5.291, 8.384, 0.000, 0.000, 0.000,-0.317,-3.093,-0.317
8a68,ranked_17.pdb,vinardo,6.132, 9.716, 0.000, 0.000, 0.000,-0.737,-3.585,-0.737
8a68,ranked_18.pdb,vina,3.849, 6.098, 0.000, 0.000, 0.000,-0.477,-2.250,-0.477
8a68,ranked_18.pdb,vinardo,4.520, 7.162, 0.000, 0.000, 0.000,-1.099,-2.642,-1.099
8a68,ranked_19.pdb,vina,0.517,-0.819, 0.000, 0.000, 0.000, 0.619, 0.302, 0.619
8a68,ranked_19.pdb,vinardo,0.579, 0.918, 0.000, 0.000, 0.000, 0.025,-0.339, 0.025
8a68,ranked_20.pdb,vina,5.178, 8.206, 0.000, 0.000, 0.000,-0.332,-3.027,-0.332
8a68,ranked_20.pdb,vinardo,6.019, 9.538, 0.000, 0.000, 0.000,-0.932,-3.519,-0.932
8a68,ranked_21.pdb,vina,0.781, 1.237, 0.000, 0.000, 0.000,-0.405,-0.456,-0.405
8a68,ranked_21.pdb,vinardo,1.654, 2.622, 0.000, 0.000, 0.000,-1.053,-0.967,-1.053
8a68,ranked_22.pdb,vina,5.900, 9.348, 0.000, 0.000, 0.000,-0.276,-3.449,-0.276
8a68,ranked_22.pdb,vinardo,6.831,10.825, 0.000, 0.000, 0.000,-0.747,-3.994,-0.747
8a68,ranked_23.pdb,vina,6.211, 9.842, 0.000, 0.000, 0.000,-0.202,-3.631,-0.202
8a68,ranked_23.pdb,vinardo,7.185,11.385, 0.000, 0.000, 0.000,-0.848,-4.200,-0.848
8a68,ranked_24.pdb,vina,1.210, 1.917, 0.000, 0.000, 0.000,-0.410,-0.707,-0.410
8a68,ranked_24.pdb,vinardo,1.884, 2.986, 0.000, 0.000, 0.000,-0.969,-1.102,-0.969
8a68,ranked_25.pdb,vina,5.819, 9.221, 0.000, 0.000, 0.000,-0.082,-3.402,-0.082
8a68,ranked_25.pdb,vinardo,6.800,10.775, 0.000, 0.000, 0.000,-0.592,-3.975,-0.592
8a68,ranked_26.pdb,vina,1.381, 2.188, 0.000, 0.000, 0.000,-0.348,-0.807,-0.348
8a68,ranked_26.pdb,vinardo,2.255, 3.573, 0.000, 0.000, 0.000,-0.992,-1.318,-0.992
8a68,ranked_27.pdb,vina,1.452, 2.301, 0.000, 0.000, 0.000,-0.408,-0.849,-0.408
8a68,ranked_27.pdb,vinardo,2.316, 3.669, 0.000, 0.000, 0.000,-1.001,-1.354,-1.001
8a68,ranked_28.pdb,vina,3.066, 4.858, 0.000, 0.000, 0.000,-0.369,-1.792,-0.369
8a68,ranked_28.pdb,vinardo,3.749, 5.940, 0.000, 0.000, 0.000,-0.953,-2.191,-0.953
8a68,ranked_29.pdb,vina,4.618, 7.318, 0.000, 0.000, 0.000,-0.172,-2.700,-0.172
8a68,ranked_29.pdb,vinardo,5.343, 8.466, 0.000, 0.000, 0.000,-0.622,-3.123,-0.622
8a68,ranked_30.pdb,vina,5.365, 8.501, 0.000, 0.000, 0.000,-0.133,-3.136,-0.133
8a68,ranked_30.pdb,vinardo,6.243, 9.892, 0.000, 0.000, 0.000,-0.590,-3.650,-0.590
8a68,ranked_31.pdb,vina,7.642,12.109, 0.000, 0.000, 0.000,-0.227,-4.467,-0.227
8a68,ranked_31.pdb,vinardo,8.599,13.626, 0.000, 0.000, 0.000,-0.748,-5.027,-0.748
