complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8ccw,ranked_0.pdb,vina,1.215,-2.209, 0.000, 0.000, 0.000,-0.190, 0.994,-0.190
8ccw,ranked_0.pdb,vinardo,0.892,-1.622, 0.000, 0.000, 0.000,-0.703, 0.730,-0.703
8ccw,ranked_1.pdb,vina,1.249,-2.272, 0.000, 0.000, 0.000, 0.905, 1.022, 0.905
8ccw,ranked_1.pdb,vinardo,0.825,-1.500, 0.000, 0.000, 0.000, 0.154, 0.675, 0.154
8ccw,ranked_2.pdb,vina,1.730, 3.146, 0.000, 0.000, 0.000, 1.457,-1.416, 1.457
8ccw,ranked_2.pdb,vinardo,2.443, 4.443, 0.000, 0.000, 0.000, 0.707,-2.000, 0.707
8ccw,ranked_3.pdb,vina,1.376,-2.503, 0.000, 0.000, 0.000, 1.254, 1.126, 1.254
8ccw,ranked_3.pdb,vinardo,0.928,-1.688, 0.000, 0.000, 0.000, 0.418, 0.760, 0.418
8ccw,ranked_4.pdb,vina,0.806, 1.465, 0.000, 0.000, 0.000,-0.231,-0.659,-0.231
8ccw,ranked_4.pdb,vinardo,1.712, 3.113, 0.000, 0.000, 0.000,-0.564,-1.401,-0.564
8ccw,ranked_5.pdb,vina,1.128,-2.052, 0.000, 0.000, 0.000,-0.428, 0.924,-0.428
8ccw,ranked_5.pdb,vinardo,0.914,-1.662, 0.000, 0.000, 0.000,-0.898, 0.748,-0.898
8ccw,ranked_6.pdb,vina,16.600, 30.186,  0.000,  0.000,  0.000,  0.500,-13.586,  0.500
8ccw,ranked_6.pdb,vinardo,17.210, 31.295,  0.000,  0.000,  0.000, -0.067,-14.085, -0.067
8ccw,ranked_7.pdb,vina,1.418,-2.578, 0.000, 0.000, 0.000,-0.133, 1.160,-0.133
8ccw,ranked_7.pdb,vinardo,1.033,-1.878, 0.000, 0.000, 0.000,-0.609, 0.845,-0.609
8ccw,ranked_8.pdb,vina,24.672, 44.865,  0.000,  0.000,  0.000,  0.842,-20.193,  0.842
8ccw,ranked_8.pdb,vinardo,28.665, 52.126,  0.000,  0.000,  0.000,  0.201,-23.461,  0.201
8ccw,ranked_9.pdb,vina,7.165,13.030, 0.000, 0.000, 0.000, 0.993,-5.864, 0.993
8ccw,ranked_9.pdb,vinardo,9.435,17.156, 0.000, 0.000, 0.000, 0.224,-7.722, 0.224
8ccw,ranked_10.pdb,vina,1.238,-2.252, 0.000, 0.000, 0.000,-0.464, 1.014,-0.464
8ccw,ranked_10.pdb,vinardo,0.918,-1.670, 0.000, 0.000, 0.000,-0.921, 0.751,-0.921
8ccw,ranked_11.pdb,vina,1.214,-2.207, 0.000, 0.000, 0.000, 1.197, 0.993, 1.197
8ccw,ranked_11.pdb,vinardo,0.854,-1.552, 0.000, 0.000, 0.000, 0.388, 0.699, 0.388
8ccw,ranked_12.pdb,vina,1.035,-1.881, 0.000, 0.000, 0.000,-0.070, 0.847,-0.070
8ccw,ranked_12.pdb,vinardo,0.637,-1.159, 0.000, 0.000, 0.000,-0.586, 0.522,-0.586
8ccw,ranked_13.pdb,vina,1.247,-2.267, 0.000, 0.000, 0.000, 1.010, 1.020, 1.010
8ccw,ranked_13.pdb,vinardo,0.841,-1.528, 0.000, 0.000, 0.000, 0.225, 0.688, 0.225
8ccw,ranked_14.pdb,vina,1.132,-2.059, 0.000, 0.000, 0.000,-0.561, 0.927,-0.561
8ccw,ranked_14.pdb,vinardo,0.802,-1.459, 0.000, 0.000, 0.000,-1.006, 0.657,-1.006
8ccw,ranked_15.pdb,vina,25.737, 46.802,  0.000,  0.000,  0.000,  0.458,-21.064,  0.458
8ccw,ranked_15.pdb,vinardo,29.549, 53.732,  0.000,  0.000,  0.000, -0.069,-24.184, -0.069
8ccw,ranked_16.pdb,vina,1.217,-2.212, 0.000, 0.000, 0.000,-0.781, 0.996,-0.781
8ccw,ranked_16.pdb,vinardo,0.953,-1.734, 0.000, 0.000, 0.000,-1.102, 0.780,-1.102
8ccw,ranked_17.pdb,vina,1.261,-2.293, 0.000, 0.000, 0.000,-0.691, 1.032,-0.691
8ccw,ranked_17.pdb,vinardo,0.967,-1.759, 0.000, 0.000, 0.000,-1.108, 0.792,-1.108
8ccw,ranked_18.pdb,vina,0.787,-1.431, 0.000, 0.000, 0.000,-0.221, 0.644,-0.221
8ccw,ranked_18.pdb,vinardo,0.376,-0.684, 0.000, 0.000, 0.000,-0.749, 0.308,-0.749
8ccw,ranked_19.pdb,vina,2.183, 3.969, 0.000, 0.000, 0.000,-0.429,-1.786,-0.429
8ccw,ranked_19.pdb,vinardo,2.967, 5.394, 0.000, 0.000, 0.000,-0.656,-2.428,-0.656
8ccw,ranked_20.pdb,vina,1.230,-2.237, 0.000, 0.000, 0.000,-0.624, 1.007,-0.624
8ccw,ranked_20.pdb,vinardo,0.894,-1.626, 0.000, 0.000, 0.000,-1.038, 0.732,-1.038
8ccw,ranked_21.pdb,vina,15.710, 28.569,  0.000,  0.000,  0.000,  0.712,-12.858,  0.712
8ccw,ranked_21.pdb,vinardo,18.805, 34.197,  0.000,  0.000,  0.000,  0.057,-15.391,  0.057
8ccw,ranked_22.pdb,vina,17.496, 31.815,  0.000,  0.000,  0.000,  0.322,-14.319,  0.322
8ccw,ranked_22.pdb,vinardo,20.396, 37.090,  0.000,  0.000,  0.000, -0.175,-16.693, -0.175
8ccw,ranked_23.pdb,vina,14.479, 26.330,  0.000,  0.000,  0.000,  1.470,-11.850,  1.470
8ccw,ranked_23.pdb,vinardo,17.961, 32.662,  0.000,  0.000,  0.000,  0.683,-14.700,  0.683
8ccw,ranked_24.pdb,vina,1.224,-2.226, 0.000, 0.000, 0.000,-0.625, 1.002,-0.625
8ccw,ranked_24.pdb,vinardo,0.868,-1.578, 0.000, 0.000, 0.000,-1.094, 0.710,-1.094
8ccw,ranked_25.pdb,vina,19.227, 34.962,  0.000,  0.000,  0.000,  0.675,-15.736,  0.675
8ccw,ranked_25.pdb,vinardo,22.720, 41.314,  0.000,  0.000,  0.000,  0.062,-18.595,  0.062
8ccw,ranked_26.pdb,vina,1.202,-2.186, 0.000, 0.000, 0.000,-0.703, 0.984,-0.703
8ccw,ranked_26.pdb,vinardo,0.859,-1.563, 0.000, 0.000, 0.000,-1.104, 0.703,-1.104
8ccw,ranked_27.pdb,vina,1.165,-2.119, 0.000, 0.000, 0.000,-0.788, 0.954,-0.788
8ccw,ranked_27.pdb,vinardo,0.925,-1.682, 0.000, 0.000, 0.000,-1.177, 0.757,-1.177
8ccw,ranked_28.pdb,vina,1.194,-2.171, 0.000, 0.000, 0.000,-0.847, 0.977,-0.847
