complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8b58,ranked_0.pdb,vina,0.942,-0.997, 0.000, 0.000, 0.000, 0.000, 0.055, 0.000
8b58,ranked_0.pdb,vinardo,0.613,-0.649, 0.000, 0.000, 0.000, 0.000, 0.036, 0.000
8b58,ranked_1.pdb,vina,0.890,-0.942, 0.000, 0.000, 0.000, 0.000, 0.052, 0.000
8b58,ranked_1.pdb,vinardo,0.559,-0.592, 0.000, 0.000, 0.000, 0.000, 0.033, 0.000
8b58,ranked_2.pdb,vina,0.915,-0.969, 0.000, 0.000, 0.000, 0.000, 0.054, 0.000
8b58,ranked_2.pdb,vinardo,0.568,-0.602, 0.000, 0.000, 0.000, 0.000, 0.033, 0.000
8b58,ranked_3.pdb,vina,0.927,-0.981, 0.000, 0.000, 0.000, 0.000, 0.054, 0.000
8b58,ranked_3.pdb,vinardo,0.584,-0.618, 0.000, 0.000, 0.000, 0.000, 0.034, 0.000
8b58,ranked_4.pdb,vina,0.926,-0.980, 0.000, 0.000, 0.000, 0.000, 0.054, 0.000
8b58,ranked_4.pdb,vinardo,0.589,-0.623, 0.000, 0.000, 0.000, 0.000, 0.034, 0.000
8b58,ranked_5.pdb,vina,0.931,-0.985, 0.000, 0.000, 0.000, 0.000, 0.054, 0.000
8b58,ranked_5.pdb,vinardo,0.582,-0.616, 0.000, 0.000, 0.000, 0.000, 0.034, 0.000
8b58,ranked_6.pdb,vina,0.926,-0.981, 0.000, 0.000, 0.000, 0.000, 0.054, 0.000
8b58,ranked_6.pdb,vinardo,0.595,-0.630, 0.000, 0.000, 0.000, 0.000, 0.035, 0.000
8b58,ranked_7.pdb,vina,0.966,-1.023, 0.000, 0.000, 0.000, 0.000, 0.056, 0.000
8b58,ranked_7.pdb,vinardo,0.610,-0.646, 0.000, 0.000, 0.000, 0.000, 0.036, 0.000
8b58,ranked_8.pdb,vina,0.955,-1.010, 0.000, 0.000, 0.000, 0.000, 0.056, 0.000
8b58,ranked_8.pdb,vinardo,0.599,-0.634, 0.000, 0.000, 0.000, 0.000, 0.035, 0.000
8b58,ranked_9.pdb,vina,0.920,-0.974, 0.000, 0.000, 0.000, 0.000, 0.054, 0.000
8b58,ranked_9.pdb,vinardo,0.592,-0.627, 0.000, 0.000, 0.000, 0.000, 0.035, 0.000
8b58,ranked_10.pdb,vina,0.910,-0.963, 0.000, 0.000, 0.000, 0.000, 0.053, 0.000
8b58,ranked_10.pdb,vinardo,0.568,-0.601, 0.000, 0.000, 0.000, 0.000, 0.033, 0.000
8b58,ranked_11.pdb,vina,0.925,-0.979, 0.000, 0.000, 0.000, 0.000, 0.054, 0.000
8b58,ranked_11.pdb,vinardo,0.582,-0.616, 0.000, 0.000, 0.000, 0.000, 0.034, 0.000
8b58,ranked_12.pdb,vina,0.932,-0.987, 0.000, 0.000, 0.000, 0.000, 0.055, 0.000
8b58,ranked_12.pdb,vinardo,0.607,-0.642, 0.000, 0.000, 0.000, 0.000, 0.035, 0.000
8b58,ranked_13.pdb,vina,0.949,-1.004, 0.000, 0.000, 0.000, 0.000, 0.055, 0.000
8b58,ranked_13.pdb,vinardo,0.614,-0.650, 0.000, 0.000, 0.000, 0.000, 0.036, 0.000
8b58,ranked_14.pdb,vina,0.940,-0.995, 0.000, 0.000, 0.000, 0.000, 0.055, 0.000
8b58,ranked_14.pdb,vinardo,0.598,-0.633, 0.000, 0.000, 0.000, 0.000, 0.035, 0.000
8b58,ranked_15.pdb,vina,0.741, 0.784, 0.000, 0.000, 0.000, 0.000,-0.043, 0.000
8b58,ranked_15.pdb,vinardo,0.384, 0.406, 0.000, 0.000, 0.000, 0.000,-0.022, 0.000
8b58,ranked_16.pdb,vina,1.882, 1.992, 0.000, 0.000, 0.000, 0.000,-0.110, 0.000
8b58,ranked_16.pdb,vinardo,1.436, 1.520, 0.000, 0.000, 0.000, 0.000,-0.084, 0.000
8b58,ranked_17.pdb,vina,0.954,-1.010, 0.000, 0.000, 0.000, 0.000, 0.056, 0.000
8b58,ranked_17.pdb,vinardo,0.666,-0.705, 0.000, 0.000, 0.000, 0.000, 0.039, 0.000
8b58,ranked_18.pdb,vina,0.907,-0.960, 0.000, 0.000, 0.000, 0.000, 0.053, 0.000
8b58,ranked_18.pdb,vinardo,0.546,-0.578, 0.000, 0.000, 0.000, 0.000, 0.032, 0.000
8b58,ranked_19.pdb,vina,0.902,-0.955, 0.000, 0.000, 0.000, 0.000, 0.053, 0.000
8b58,ranked_19.pdb,vinardo,0.556,-0.589, 0.000, 0.000, 0.000, 0.000, 0.033, 0.000
8b58,ranked_20.pdb,vina,0.903, 0.956, 0.000, 0.000, 0.000, 0.000,-0.053, 0.000
8b58,ranked_20.pdb,vinardo,0.516, 0.546, 0.000, 0.000, 0.000, 0.000,-0.030, 0.000
8b58,ranked_21.pdb,vina,1.552, 1.643, 0.000, 0.000, 0.000, 0.000,-0.091, 0.000
8b58,ranked_21.pdb,vinardo,1.103, 1.167, 0.000, 0.000, 0.000, 0.000,-0.064, 0.000
8b58,ranked_22.pdb,vina,0.907,-0.960, 0.000, 0.000, 0.000, 0.000, 0.053, 0.000
8b58,ranked_22.pdb,vinardo,0.567,-0.600, 0.000, 0.000, 0.000, 0.000, 0.033, 0.000
8b58,ranked_23.pdb,vina,0.927,-0.981, 0.000, 0.000, 0.000, 0.000, 0.054, 0.000
8b58,ranked_23.pdb,vinardo,0.601,-0.636, 0.000, 0.000, 0.000, 0.000, 0.035, 0.000
8b58,ranked_24.pdb,vina,0.962,-1.019, 0.000, 0.000, 0.000, 0.000, 0.056, 0.000
8b58,ranked_24.pdb,vinardo,0.641,-0.678, 0.000, 0.000, 0.000, 0.000, 0.037, 0.000
8b58,ranked_25.pdb,vina,0.971,-1.027, 0.000, 0.000, 0.000, 0.000, 0.057, 0.000
8b58,ranked_25.pdb,vinardo,0.653,-0.691, 0.000, 0.000, 0.000, 0.000, 0.038, 0.000
8b58,ranked_26.pdb,vina,2.021, 2.139, 0.000, 0.000, 0.000, 0.000,-0.118, 0.000
8b58,ranked_26.pdb,vinardo,1.536, 1.626, 0.000, 0.000, 0.000, 0.000,-0.090, 0.000
8b58,ranked_27.pdb,vina,0.930,-0.984, 0.000, 0.000, 0.000, 0.000, 0.054, 0.000
8b58,ranked_27.pdb,vinardo,0.577,-0.610, 0.000, 0.000, 0.000, 0.000, 0.034, 0.000
8b58,ranked_28.pdb,vina,1.938, 2.051, 0.000, 0.000, 0.000, 0.000,-0.113, 0.000
8b58,ranked_28.pdb,vinardo,1.490, 1.577, 0.000, 0.000, 0.000, 0.000,-0.087, 0.000
8b58,ranked_29.pdb,vina,0.974,-1.031, 0.000, 0.000, 0.000, 0.000, 0.057, 0.000
8b58,ranked_29.pdb,vinardo,0.637,-0.674, 0.000, 0.000, 0.000, 0.000, 0.037, 0.000
8b58,ranked_30.pdb,vina,0.751, 0.795, 0.000, 0.000, 0.000, 0.000,-0.044, 0.000
8b58,ranked_30.pdb,vinardo,0.397, 0.421, 0.000, 0.000, 0.000, 0.000,-0.023, 0.000
8b58,ranked_31.pdb,vina,0.944,-0.999, 0.000, 0.000, 0.000, 0.000, 0.055, 0.000
8b58,ranked_31.pdb,vinardo,0.590,-0.625, 0.000, 0.000, 0.000, 0.000, 0.034, 0.000
8b58,ranked_32.pdb,vina,0.916,-0.969, 0.000, 0.000, 0.000, 0.000, 0.054, 0.000
8b58,ranked_32.pdb,vinardo,0.604,-0.639, 0.000, 0.000, 0.000, 0.000, 0.035, 0.000
8b58,ranked_33.pdb,vina,0.928,-0.982, 0.000, 0.000, 0.000, 0.000, 0.054, 0.000
8b58,ranked_33.pdb,vinardo,0.593,-0.627, 0.000, 0.000, 0.000, 0.000, 0.035, 0.000
8b58,ranked_34.pdb,vina,0.769, 0.814, 0.000, 0.000, 0.000, 0.000,-0.045, 0.000
8b58,ranked_34.pdb,vinardo,0.383, 0.406, 0.000, 0.000, 0.000, 0.000,-0.022, 0.000
8b58,ranked_35.pdb,vina,0.916,-0.970, 0.000, 0.000, 0.000, 0.000, 0.054, 0.000
8b58,ranked_35.pdb,vinardo,0.582,-0.616, 0.000, 0.000, 0.000, 0.000, 0.034, 0.000
8b58,ranked_36.pdb,vina,0.958,-1.014, 0.000, 0.000, 0.000, 0.000, 0.056, 0.000
8b58,ranked_36.pdb,vinardo,0.654,-0.692, 0.000, 0.000, 0.000, 0.000, 0.038, 0.000
8b58,ranked_37.pdb,vina,0.819, 0.867, 0.000, 0.000, 0.000, 0.000,-0.048, 0.000
8b58,ranked_37.pdb,vinardo,0.449, 0.475, 0.000, 0.000, 0.000, 0.000,-0.026, 0.000
8b58,ranked_38.pdb,vina,0.895,-0.948, 0.000, 0.000, 0.000, 0.000, 0.052, 0.000
8b58,ranked_38.pdb,vinardo,0.576,-0.610, 0.000, 0.000, 0.000, 0.000, 0.034, 0.000
8b58,ranked_39.pdb,vina,1.528, 1.618, 0.000, 0.000, 0.000, 0.000,-0.089, 0.000
8b58,ranked_39.pdb,vinardo,1.082, 1.146, 0.000, 0.000, 0.000, 0.000,-0.063, 0.000
