Filename,Value,AlphaFold Rank
ranked_980.pdb_clean,0.5645,980.0
ranked_995.pdb_clean,0.3538,995.0
ranked_998.pdb_clean,0.3201,998.0
ranked_981.pdb_clean,0.3166,981.0
ranked_992.pdb_clean,0.3013,992.0
ranked_979.pdb_clean,0.2957,979.0
ranked_994.pdb_clean,0.2912,994.0
ranked_997.pdb_clean,0.2674,997.0
ranked_970.pdb_clean,0.2624,970.0
ranked_978.pdb_clean,0.2610,978.0
ranked_999.pdb_clean,0.2343,999.0
ranked_990.pdb_clean,0.2291,990.0
ranked_983.pdb_clean,0.2194,983.0
ranked_795.pdb_clean,0.2061,795.0
ranked_982.pdb_clean,0.2060,982.0
ranked_536.pdb_clean,0.2053,536.0
ranked_918.pdb_clean,0.2043,918.0
ranked_746.pdb_clean,0.2043,746.0
ranked_947.pdb_clean,0.2042,947.0
ranked_727.pdb_clean,0.2040,727.0
ranked_773.pdb_clean,0.2038,773.0
ranked_953.pdb_clean,0.2036,953.0
ranked_963.pdb_clean,0.2034,963.0
ranked_611.pdb_clean,0.2033,611.0
ranked_985.pdb_clean,0.2031,985.0
ranked_629.pdb_clean,0.2029,629.0
ranked_993.pdb_clean,0.2027,993.0
ranked_972.pdb_clean,0.2026,972.0
ranked_843.pdb_clean,0.2026,843.0
ranked_976.pdb_clean,0.2020,976.0
ranked_941.pdb_clean,0.2020,941.0
ranked_908.pdb_clean,0.2017,908.0
ranked_822.pdb_clean,0.2017,822.0
ranked_962.pdb_clean,0.2012,962.0
ranked_669.pdb_clean,0.2012,669.0
ranked_988.pdb_clean,0.2006,988.0
ranked_903.pdb_clean,0.2004,903.0
ranked_926.pdb_clean,0.2003,926.0
ranked_959.pdb_clean,0.2002,959.0
ranked_749.pdb_clean,0.2000,749.0
ranked_738.pdb_clean,0.1999,738.0
ranked_800.pdb_clean,0.1996,800.0
ranked_803.pdb_clean,0.1995,803.0
ranked_922.pdb_clean,0.1993,922.0
ranked_906.pdb_clean,0.1991,906.0
ranked_974.pdb_clean,0.1990,974.0
ranked_975.pdb_clean,0.1989,975.0
ranked_846.pdb_clean,0.1989,846.0
ranked_784.pdb_clean,0.1989,784.0
ranked_977.pdb_clean,0.1988,977.0
ranked_942.pdb_clean,0.1988,942.0
ranked_850.pdb_clean,0.1988,850.0
ranked_899.pdb_clean,0.1987,899.0
ranked_991.pdb_clean,0.1985,991.0
ranked_920.pdb_clean,0.1985,920.0
ranked_961.pdb_clean,0.1984,961.0
ranked_804.pdb_clean,0.1984,804.0
ranked_858.pdb_clean,0.1981,858.0
ranked_797.pdb_clean,0.1981,797.0
ranked_910.pdb_clean,0.1978,910.0
ranked_949.pdb_clean,0.1977,949.0
ranked_943.pdb_clean,0.1977,943.0
ranked_874.pdb_clean,0.1977,874.0
ranked_969.pdb_clean,0.1976,969.0
ranked_885.pdb_clean,0.1976,885.0
ranked_649.pdb_clean,0.1976,649.0
ranked_939.pdb_clean,0.1975,939.0
ranked_964.pdb_clean,0.1974,964.0
ranked_681.pdb_clean,0.1974,681.0
ranked_945.pdb_clean,0.1973,945.0
ranked_577.pdb_clean,0.1973,577.0
ranked_967.pdb_clean,0.1971,967.0
ranked_808.pdb_clean,0.1971,808.0
ranked_986.pdb_clean,0.1970,986.0
ranked_958.pdb_clean,0.1967,958.0
ranked_247.pdb_clean,0.1967,247.0
ranked_767.pdb_clean,0.1966,767.0
ranked_996.pdb_clean,0.1965,996.0
ranked_965.pdb_clean,0.1963,965.0
ranked_772.pdb_clean,0.1963,772.0
ranked_973.pdb_clean,0.1962,973.0
ranked_917.pdb_clean,0.1962,917.0
ranked_793.pdb_clean,0.1962,793.0
ranked_857.pdb_clean,0.1960,857.0
ranked_483.pdb_clean,0.1960,483.0
ranked_957.pdb_clean,0.1959,957.0
ranked_768.pdb_clean,0.1959,768.0
ranked_860.pdb_clean,0.1958,860.0
ranked_935.pdb_clean,0.1957,935.0
ranked_915.pdb_clean,0.1957,915.0
ranked_954.pdb_clean,0.1954,954.0
ranked_984.pdb_clean,0.1953,984.0
ranked_871.pdb_clean,0.1952,871.0
ranked_245.pdb_clean,0.1952,245.0
ranked_955.pdb_clean,0.1951,955.0
ranked_847.pdb_clean,0.1951,847.0
ranked_770.pdb_clean,0.1951,770.0
ranked_762.pdb_clean,0.1951,762.0
ranked_679.pdb_clean,0.1951,679.0
ranked_842.pdb_clean,0.1950,842.0
ranked_199.pdb_clean,0.1950,199.0
ranked_152.pdb_clean,0.1950,152.0
ranked_816.pdb_clean,0.1949,816.0
ranked_782.pdb_clean,0.1949,782.0
ranked_948.pdb_clean,0.1948,948.0
ranked_788.pdb_clean,0.1948,788.0
ranked_966.pdb_clean,0.1947,966.0
ranked_362.pdb_clean,0.1947,362.0
ranked_851.pdb_clean,0.1946,851.0
ranked_407.pdb_clean,0.1946,407.0
ranked_405.pdb_clean,0.1946,405.0
ranked_853.pdb_clean,0.1945,853.0
ranked_774.pdb_clean,0.1945,774.0
ranked_924.pdb_clean,0.1944,924.0
ranked_887.pdb_clean,0.1944,887.0
ranked_892.pdb_clean,0.1943,892.0
ranked_821.pdb_clean,0.1943,821.0
ranked_648.pdb_clean,0.1943,648.0
ranked_402.pdb_clean,0.1943,402.0
ranked_209.pdb_clean,0.1943,209.0
ranked_856.pdb_clean,0.1942,856.0
ranked_845.pdb_clean,0.1942,845.0
ranked_748.pdb_clean,0.1942,748.0
ranked_928.pdb_clean,0.1941,928.0
ranked_621.pdb_clean,0.1940,621.0
ranked_286.pdb_clean,0.1940,286.0
ranked_907.pdb_clean,0.1939,907.0
ranked_517.pdb_clean,0.1939,517.0
ranked_987.pdb_clean,0.1938,987.0
ranked_895.pdb_clean,0.1938,895.0
ranked_891.pdb_clean,0.1938,891.0
ranked_388.pdb_clean,0.1938,388.0
ranked_280.pdb_clean,0.1938,280.0
ranked_914.pdb_clean,0.1937,914.0
ranked_867.pdb_clean,0.1937,867.0
ranked_729.pdb_clean,0.1937,729.0
ranked_854.pdb_clean,0.1936,854.0
ranked_635.pdb_clean,0.1936,635.0
ranked_625.pdb_clean,0.1936,625.0
ranked_98.pdb_clean,0.1935,98.0
ranked_834.pdb_clean,0.1935,834.0
ranked_558.pdb_clean,0.1935,558.0
ranked_44.pdb_clean,0.1935,44.0
ranked_306.pdb_clean,0.1935,306.0
ranked_285.pdb_clean,0.1935,285.0
ranked_212.pdb_clean,0.1935,212.0
ranked_175.pdb_clean,0.1935,175.0
ranked_350.pdb_clean,0.1934,350.0
ranked_960.pdb_clean,0.1933,960.0
ranked_921.pdb_clean,0.1933,921.0
ranked_817.pdb_clean,0.1933,817.0
ranked_724.pdb_clean,0.1933,724.0
ranked_700.pdb_clean,0.1933,700.0
ranked_548.pdb_clean,0.1933,548.0
ranked_707.pdb_clean,0.1932,707.0
ranked_414.pdb_clean,0.1932,414.0
ranked_157.pdb_clean,0.1932,157.0
ranked_956.pdb_clean,0.1931,956.0
ranked_825.pdb_clean,0.1931,825.0
ranked_734.pdb_clean,0.1931,734.0
ranked_367.pdb_clean,0.1931,367.0
ranked_296.pdb_clean,0.1930,296.0
ranked_184.pdb_clean,0.1930,184.0
ranked_173.pdb_clean,0.1930,173.0
ranked_862.pdb_clean,0.1929,862.0
ranked_777.pdb_clean,0.1929,777.0
ranked_713.pdb_clean,0.1929,713.0
ranked_696.pdb_clean,0.1929,696.0
ranked_494.pdb_clean,0.1929,494.0
ranked_436.pdb_clean,0.1929,436.0
ranked_246.pdb_clean,0.1929,246.0
ranked_937.pdb_clean,0.1928,937.0
ranked_852.pdb_clean,0.1928,852.0
ranked_731.pdb_clean,0.1928,731.0
ranked_546.pdb_clean,0.1928,546.0
ranked_471.pdb_clean,0.1928,471.0
ranked_248.pdb_clean,0.1928,248.0
ranked_932.pdb_clean,0.1927,932.0
ranked_833.pdb_clean,0.1927,833.0
ranked_676.pdb_clean,0.1927,676.0
ranked_299.pdb_clean,0.1927,299.0
ranked_162.pdb_clean,0.1927,162.0
ranked_705.pdb_clean,0.1926,705.0
ranked_692.pdb_clean,0.1926,692.0
ranked_481.pdb_clean,0.1926,481.0
ranked_194.pdb_clean,0.1926,194.0
ranked_190.pdb_clean,0.1926,190.0
ranked_185.pdb_clean,0.1926,185.0
ranked_151.pdb_clean,0.1926,151.0
ranked_934.pdb_clean,0.1925,934.0
ranked_792.pdb_clean,0.1925,792.0
ranked_704.pdb_clean,0.1925,704.0
ranked_630.pdb_clean,0.1925,630.0
ranked_550.pdb_clean,0.1925,550.0
ranked_364.pdb_clean,0.1925,364.0
ranked_105.pdb_clean,0.1925,105.0
ranked_416.pdb_clean,0.1924,416.0
ranked_187.pdb_clean,0.1924,187.0
ranked_951.pdb_clean,0.1923,951.0
ranked_758.pdb_clean,0.1923,758.0
ranked_702.pdb_clean,0.1923,702.0
ranked_49.pdb_clean,0.1923,49.0
ranked_303.pdb_clean,0.1923,303.0
ranked_295.pdb_clean,0.1923,295.0
ranked_149.pdb_clean,0.1923,149.0
ranked_123.pdb_clean,0.1923,123.0
ranked_103.pdb_clean,0.1923,103.0
ranked_968.pdb_clean,0.1922,968.0
ranked_944.pdb_clean,0.1922,944.0
ranked_880.pdb_clean,0.1922,880.0
ranked_878.pdb_clean,0.1922,878.0
ranked_197.pdb_clean,0.1922,197.0
ranked_140.pdb_clean,0.1922,140.0
ranked_761.pdb_clean,0.1921,761.0
ranked_675.pdb_clean,0.1921,675.0
ranked_650.pdb_clean,0.1921,650.0
ranked_565.pdb_clean,0.1921,565.0
ranked_931.pdb_clean,0.1920,931.0
ranked_839.pdb_clean,0.1920,839.0
ranked_543.pdb_clean,0.1920,543.0
ranked_540.pdb_clean,0.1920,540.0
ranked_528.pdb_clean,0.1920,528.0
ranked_468.pdb_clean,0.1920,468.0
ranked_398.pdb_clean,0.1920,398.0
ranked_919.pdb_clean,0.1919,919.0
ranked_86.pdb_clean,0.1919,86.0
ranked_712.pdb_clean,0.1919,712.0
ranked_236.pdb_clean,0.1919,236.0
ranked_119.pdb_clean,0.1919,119.0
ranked_811.pdb_clean,0.1918,811.0
ranked_598.pdb_clean,0.1918,598.0
ranked_549.pdb_clean,0.1918,549.0
ranked_352.pdb_clean,0.1918,352.0
ranked_754.pdb_clean,0.1917,754.0
ranked_644.pdb_clean,0.1917,644.0
ranked_615.pdb_clean,0.1917,615.0
ranked_575.pdb_clean,0.1917,575.0
ranked_474.pdb_clean,0.1917,474.0
ranked_328.pdb_clean,0.1917,328.0
ranked_131.pdb_clean,0.1917,131.0
ranked_113.pdb_clean,0.1917,113.0
ranked_916.pdb_clean,0.1916,916.0
ranked_718.pdb_clean,0.1916,718.0
ranked_685.pdb_clean,0.1916,685.0
ranked_581.pdb_clean,0.1916,581.0
ranked_533.pdb_clean,0.1916,533.0
ranked_513.pdb_clean,0.1916,513.0
ranked_477.pdb_clean,0.1916,477.0
ranked_413.pdb_clean,0.1916,413.0
ranked_401.pdb_clean,0.1916,401.0
ranked_211.pdb_clean,0.1916,211.0
ranked_946.pdb_clean,0.1915,946.0
ranked_911.pdb_clean,0.1915,911.0
ranked_898.pdb_clean,0.1915,898.0
ranked_701.pdb_clean,0.1915,701.0
ranked_646.pdb_clean,0.1915,646.0
ranked_636.pdb_clean,0.1915,636.0
ranked_531.pdb_clean,0.1915,531.0
ranked_345.pdb_clean,0.1915,345.0
ranked_178.pdb_clean,0.1915,178.0
ranked_16.pdb_clean,0.1915,16.0
ranked_897.pdb_clean,0.1914,897.0
ranked_855.pdb_clean,0.1914,855.0
ranked_465.pdb_clean,0.1914,465.0
ranked_343.pdb_clean,0.1914,343.0
ranked_261.pdb_clean,0.1914,261.0
ranked_237.pdb_clean,0.1914,237.0
ranked_204.pdb_clean,0.1914,204.0
ranked_153.pdb_clean,0.1914,153.0
ranked_912.pdb_clean,0.1913,912.0
ranked_861.pdb_clean,0.1913,861.0
ranked_699.pdb_clean,0.1913,699.0
ranked_503.pdb_clean,0.1913,503.0
ranked_347.pdb_clean,0.1913,347.0
ranked_344.pdb_clean,0.1913,344.0
ranked_333.pdb_clean,0.1913,333.0
ranked_253.pdb_clean,0.1913,253.0
ranked_223.pdb_clean,0.1913,223.0
ranked_145.pdb_clean,0.1913,145.0
ranked_93.pdb_clean,0.1912,93.0
ranked_781.pdb_clean,0.1912,781.0
ranked_743.pdb_clean,0.1912,743.0
ranked_740.pdb_clean,0.1912,740.0
ranked_580.pdb_clean,0.1912,580.0
ranked_512.pdb_clean,0.1912,512.0
ranked_274.pdb_clean,0.1912,274.0
ranked_873.pdb_clean,0.1911,873.0
ranked_632.pdb_clean,0.1911,632.0
ranked_612.pdb_clean,0.1911,612.0
ranked_54.pdb_clean,0.1911,54.0
ranked_456.pdb_clean,0.1911,456.0
ranked_290.pdb_clean,0.1911,290.0
ranked_188.pdb_clean,0.1911,188.0
ranked_791.pdb_clean,0.1910,791.0
ranked_66.pdb_clean,0.1910,66.0
ranked_597.pdb_clean,0.1910,597.0
ranked_499.pdb_clean,0.1910,499.0
ranked_373.pdb_clean,0.1910,373.0
ranked_357.pdb_clean,0.1910,357.0
ranked_232.pdb_clean,0.1910,232.0
ranked_214.pdb_clean,0.1910,214.0
ranked_200.pdb_clean,0.1910,200.0
ranked_177.pdb_clean,0.1910,177.0
ranked_15.pdb_clean,0.1910,15.0
ranked_865.pdb_clean,0.1909,865.0
ranked_753.pdb_clean,0.1909,753.0
ranked_651.pdb_clean,0.1909,651.0
ranked_53.pdb_clean,0.1909,53.0
ranked_535.pdb_clean,0.1909,535.0
ranked_385.pdb_clean,0.1909,385.0
ranked_377.pdb_clean,0.1909,377.0
ranked_336.pdb_clean,0.1909,336.0
ranked_32.pdb_clean,0.1909,32.0
ranked_265.pdb_clean,0.1909,265.0
ranked_257.pdb_clean,0.1909,257.0
ranked_203.pdb_clean,0.1909,203.0
ranked_169.pdb_clean,0.1909,169.0
ranked_776.pdb_clean,0.1908,776.0
ranked_337.pdb_clean,0.1908,337.0
ranked_331.pdb_clean,0.1908,331.0
ranked_304.pdb_clean,0.1908,304.0
ranked_301.pdb_clean,0.1908,301.0
ranked_291.pdb_clean,0.1908,291.0
ranked_250.pdb_clean,0.1908,250.0
ranked_227.pdb_clean,0.1908,227.0
ranked_161.pdb_clean,0.1908,161.0
ranked_148.pdb_clean,0.1908,148.0
ranked_875.pdb_clean,0.1907,875.0
ranked_741.pdb_clean,0.1907,741.0
ranked_663.pdb_clean,0.1907,663.0
ranked_633.pdb_clean,0.1907,633.0
ranked_601.pdb_clean,0.1907,601.0
ranked_58.pdb_clean,0.1907,58.0
ranked_589.pdb_clean,0.1907,589.0
ranked_579.pdb_clean,0.1907,579.0
ranked_521.pdb_clean,0.1907,521.0
ranked_391.pdb_clean,0.1907,391.0
ranked_349.pdb_clean,0.1907,349.0
ranked_338.pdb_clean,0.1907,338.0
ranked_27.pdb_clean,0.1907,27.0
ranked_160.pdb_clean,0.1907,160.0
ranked_830.pdb_clean,0.1906,830.0
ranked_74.pdb_clean,0.1906,74.0
ranked_59.pdb_clean,0.1906,59.0
ranked_534.pdb_clean,0.1906,534.0
ranked_1.pdb_clean,0.1906,1.0
ranked_174.pdb_clean,0.1906,174.0
ranked_81.pdb_clean,0.1905,81.0
ranked_771.pdb_clean,0.1905,771.0
ranked_664.pdb_clean,0.1905,664.0
ranked_608.pdb_clean,0.1905,608.0
ranked_482.pdb_clean,0.1905,482.0
ranked_418.pdb_clean,0.1905,418.0
ranked_279.pdb_clean,0.1905,279.0
ranked_270.pdb_clean,0.1905,270.0
ranked_263.pdb_clean,0.1905,263.0
ranked_254.pdb_clean,0.1905,254.0
ranked_233.pdb_clean,0.1905,233.0
ranked_217.pdb_clean,0.1905,217.0
ranked_196.pdb_clean,0.1905,196.0
ranked_156.pdb_clean,0.1905,156.0
ranked_14.pdb_clean,0.1905,14.0
ranked_11.pdb_clean,0.1905,11.0
ranked_107.pdb_clean,0.1905,107.0
ranked_100.pdb_clean,0.1905,100.0
ranked_85.pdb_clean,0.1904,85.0
