#  old_rank	structure_name		score
0	107	ranked_107.pdb_clean	56.719994331349945
1	87	ranked_87.pdb_clean	78.89688338354352
2	52	ranked_52.pdb_clean	80.73321931361912
3	85	ranked_85.pdb_clean	82.1978600697336
4	47	ranked_47.pdb_clean	83.29331018169856
5	132	ranked_132.pdb_clean	88.03826309767697
6	345	ranked_345.pdb_clean	88.91155069316869
7	93	ranked_93.pdb_clean	94.21807860015002
8	84	ranked_84.pdb_clean	99.97720102083954
9	65	ranked_65.pdb_clean	103.80401057337622
10	100	ranked_100.pdb_clean	105.3721439074763
11	169	ranked_169.pdb_clean	107.67455663053371
12	155	ranked_155.pdb_clean	108.49640155793486
13	91	ranked_91.pdb_clean	108.52320975314649
14	45	ranked_45.pdb_clean	110.17945097158125
15	341	ranked_341.pdb_clean	111.02328562479451
16	131	ranked_131.pdb_clean	115.49204918091786
17	57	ranked_57.pdb_clean	120.5465689243035
18	149	ranked_149.pdb_clean	122.66754983157537
19	321	ranked_321.pdb_clean	126.4971557863025
20	55	ranked_55.pdb_clean	128.60473960528458
21	123	ranked_123.pdb_clean	131.41555877878764
22	325	ranked_325.pdb_clean	131.63307330836005
23	300	ranked_300.pdb_clean	132.04680038674684
24	110	ranked_110.pdb_clean	132.27656891087668
25	60	ranked_60.pdb_clean	132.6372723862808
26	59	ranked_59.pdb_clean	132.92249544563975
27	267	ranked_267.pdb_clean	135.86540461944122
28	73	ranked_73.pdb_clean	143.89651705457734
29	283	ranked_283.pdb_clean	144.04364319034735
30	327	ranked_327.pdb_clean	145.55950336975778
31	290	ranked_290.pdb_clean	146.60821504423305
32	313	ranked_313.pdb_clean	148.23025243019592
33	126	ranked_126.pdb_clean	152.8185173267188
34	86	ranked_86.pdb_clean	157.4298980050271
35	19	ranked_19.pdb_clean	159.93955045578508
36	148	ranked_148.pdb_clean	162.47652242802414
37	115	ranked_115.pdb_clean	163.32544053005145
38	318	ranked_318.pdb_clean	169.6141901849664
39	292	ranked_292.pdb_clean	175.8863945595029
40	351	ranked_351.pdb_clean	178.75499190925296
41	312	ranked_312.pdb_clean	178.85213411667658
42	330	ranked_330.pdb_clean	181.71274283109676
43	296	ranked_296.pdb_clean	182.2413916954619
44	320	ranked_320.pdb_clean	182.83478781027458
45	362	ranked_362.pdb_clean	183.7373445063421
46	69	ranked_69.pdb_clean	185.61341395257688
47	309	ranked_309.pdb_clean	185.96825584035273
48	13	ranked_13.pdb_clean	186.47304333612257
49	297	ranked_297.pdb_clean	187.62277962946385
50	268	ranked_268.pdb_clean	188.46741729380634
51	317	ranked_317.pdb_clean	190.09007045205055
52	105	ranked_105.pdb_clean	191.75559186211905
53	56	ranked_56.pdb_clean	192.72199025024108
54	111	ranked_111.pdb_clean	195.40966298003954
55	349	ranked_349.pdb_clean	196.6760508112942
56	72	ranked_72.pdb_clean	200.16416208113748
57	96	ranked_96.pdb_clean	200.36998431055648
58	359	ranked_359.pdb_clean	204.03810682961884
59	233	ranked_233.pdb_clean	205.06187495462157
60	28	ranked_28.pdb_clean	206.43608139666316
61	304	ranked_304.pdb_clean	208.5347053075084
62	90	ranked_90.pdb_clean	209.73583802301823
63	185	ranked_185.pdb_clean	213.0321499971446
64	311	ranked_311.pdb_clean	217.99193540121593
65	396	ranked_396.pdb_clean	218.52163255229686
66	354	ranked_354.pdb_clean	219.797561903362
67	49	ranked_49.pdb_clean	220.94342083069247
68	397	ranked_397.pdb_clean	222.85008948933418
69	328	ranked_328.pdb_clean	223.93618757241194
70	272	ranked_272.pdb_clean	224.77004297794213
71	109	ranked_109.pdb_clean	225.1481374508945
72	335	ranked_335.pdb_clean	225.56926290359846
73	68	ranked_68.pdb_clean	227.59810634321235
74	92	ranked_92.pdb_clean	228.09803142516262
75	223	ranked_223.pdb_clean	233.42943566339312
76	178	ranked_178.pdb_clean	233.9934274906918
77	248	ranked_248.pdb_clean	238.53490230340603
78	37	ranked_37.pdb_clean	239.7304738971371
79	226	ranked_226.pdb_clean	240.20703298503514
80	97	ranked_97.pdb_clean	241.2820938567424
81	319	ranked_319.pdb_clean	246.7761831784601
82	199	ranked_199.pdb_clean	247.37158283791317
83	33	ranked_33.pdb_clean	247.69924083856807
84	329	ranked_329.pdb_clean	247.97273993429144
85	357	ranked_357.pdb_clean	248.60124221681048
86	48	ranked_48.pdb_clean	249.29445914045152
87	263	ranked_263.pdb_clean	250.57284613613064
88	241	ranked_241.pdb_clean	251.45184235091426
89	307	ranked_307.pdb_clean	252.58463277821352
90	103	ranked_103.pdb_clean	254.0289420717785
91	20	ranked_20.pdb_clean	255.12680508882073
92	32	ranked_32.pdb_clean	257.4418330112481
93	39	ranked_39.pdb_clean	258.5092388537111
94	75	ranked_75.pdb_clean	258.9909251194606
95	51	ranked_51.pdb_clean	260.8535229111312
96	71	ranked_71.pdb_clean	263.51051982114785
97	332	ranked_332.pdb_clean	264.278866614177
98	363	ranked_363.pdb_clean	264.9350989834906
99	102	ranked_102.pdb_clean	268.85567672319183
100	373	ranked_373.pdb_clean	270.74788891590214
101	116	ranked_116.pdb_clean	271.6412365938369
102	29	ranked_29.pdb_clean	272.1579592231094
103	66	ranked_66.pdb_clean	272.8615403876065
104	77	ranked_77.pdb_clean	274.59539124610245
105	144	ranked_144.pdb_clean	274.95605804796213
106	228	ranked_228.pdb_clean	276.92449406480074
107	384	ranked_384.pdb_clean	277.41094419427634
108	183	ranked_183.pdb_clean	278.21889661412814
109	342	ranked_342.pdb_clean	279.14752475863173
110	137	ranked_137.pdb_clean	279.4034217167058
111	235	ranked_235.pdb_clean	281.409671622795
112	293	ranked_293.pdb_clean	282.05954610648917
113	43	ranked_43.pdb_clean	282.3474663684826
114	118	ranked_118.pdb_clean	283.1019403243035
115	350	ranked_350.pdb_clean	283.7566176509476
116	34	ranked_34.pdb_clean	283.8755125064847
117	361	ranked_361.pdb_clean	285.4278990637534
118	371	ranked_371.pdb_clean	292.5289240140235
119	186	ranked_186.pdb_clean	293.55780823416103
120	79	ranked_79.pdb_clean	293.60799180059615
121	368	ranked_368.pdb_clean	295.640444375142
122	197	ranked_197.pdb_clean	296.6312123452172
123	15	ranked_15.pdb_clean	298.0912761556309
124	24	ranked_24.pdb_clean	298.80366881042966
125	299	ranked_299.pdb_clean	302.9838588671599
126	142	ranked_142.pdb_clean	303.2116941312037
127	168	ranked_168.pdb_clean	305.79169452657266
128	140	ranked_140.pdb_clean	307.5236579291231
129	18	ranked_18.pdb_clean	309.6034566585619
130	44	ranked_44.pdb_clean	309.9539817562234
131	171	ranked_171.pdb_clean	310.0396699779055
132	125	ranked_125.pdb_clean	310.75276836534323
133	238	ranked_238.pdb_clean	311.38776535263383
134	277	ranked_277.pdb_clean	312.3413351602359
135	82	ranked_82.pdb_clean	314.37992886873127
136	143	ranked_143.pdb_clean	315.5680317854824
137	113	ranked_113.pdb_clean	316.11942667605
138	250	ranked_250.pdb_clean	316.877505031946
139	30	ranked_30.pdb_clean	319.8811216573088
140	67	ranked_67.pdb_clean	320.30162995455197
141	112	ranked_112.pdb_clean	320.76118845557744
142	98	ranked_98.pdb_clean	322.80411235769355
143	389	ranked_389.pdb_clean	325.31697308970155
144	246	ranked_246.pdb_clean	325.33316935589755
145	83	ranked_83.pdb_clean	326.5111761217007
146	205	ranked_205.pdb_clean	327.0357828715249
147	130	ranked_130.pdb_clean	329.644767302857
148	80	ranked_80.pdb_clean	331.5472237091613
149	23	ranked_23.pdb_clean	332.1379243046929
150	145	ranked_145.pdb_clean	332.2234638576097
151	222	ranked_222.pdb_clean	332.2306600655782
152	279	ranked_279.pdb_clean	335.4715368620313
153	152	ranked_152.pdb_clean	336.057360927874
154	234	ranked_234.pdb_clean	338.72267509491724
155	17	ranked_17.pdb_clean	338.7552089468656
