complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8fk3,ranked_0.pdb,vina,0.096, 0.220, 0.000, 0.000, 0.000,-1.147,-0.123,-1.147
8fk3,ranked_0.pdb,vinardo,0.856, 1.956, 0.000, 0.000, 0.000,-0.985,-1.101,-0.985
8fk3,ranked_1.pdb,vina,0.260, 0.595, 0.000, 0.000, 0.000,-1.092,-0.335,-1.092
8fk3,ranked_1.pdb,vinardo,1.168, 2.671, 0.000, 0.000, 0.000,-1.030,-1.503,-1.030
8fk3,ranked_2.pdb,vina,3.229, 7.383, 0.000, 0.000, 0.000,-0.940,-4.153,-0.940
8fk3,ranked_2.pdb,vinardo,3.917, 8.955, 0.000, 0.000, 0.000,-0.960,-5.038,-0.960
8fk3,ranked_3.pdb,vina,0.126,-0.288, 0.000, 0.000, 0.000,-0.864, 0.162,-0.864
8fk3,ranked_3.pdb,vinardo,0.700, 1.600, 0.000, 0.000, 0.000,-0.780,-0.900,-0.780
8fk3,ranked_4.pdb,vina,1.035,-2.365, 0.000, 0.000, 0.000,-0.492, 1.331,-0.492
8fk3,ranked_4.pdb,vinardo,0.121,-0.278, 0.000, 0.000, 0.000,-0.711, 0.156,-0.711
8fk3,ranked_5.pdb,vina,0.731,-1.670, 0.000, 0.000, 0.000,-0.755, 0.940,-0.755
8fk3,ranked_5.pdb,vinardo,0.235, 0.536, 0.000, 0.000, 0.000,-0.885,-0.302,-0.885
8fk3,ranked_6.pdb,vina,3.683, 8.419, 0.000, 0.000, 0.000,-1.079,-4.736,-1.079
8fk3,ranked_6.pdb,vinardo,4.305, 9.843, 0.000, 0.000, 0.000,-1.013,-5.537,-1.013
8fk3,ranked_7.pdb,vina,0.624, 1.426, 0.000, 0.000, 0.000,-0.668,-0.802,-0.668
8fk3,ranked_7.pdb,vinardo,1.418, 3.241, 0.000, 0.000, 0.000,-0.709,-1.823,-0.709
8fk3,ranked_8.pdb,vina,0.109, 0.249, 0.000, 0.000, 0.000,-1.166,-0.140,-1.166
