Filename,Value,AlphaFold Rank
ranked_982.pdb_clean,0.5977,982.0
ranked_787.pdb_clean,0.5927,787.0
ranked_495.pdb_clean,0.5920,495.0
ranked_995.pdb_clean,0.5918,995.0
ranked_834.pdb_clean,0.5918,834.0
ranked_650.pdb_clean,0.5905,650.0
ranked_608.pdb_clean,0.5898,608.0
ranked_981.pdb_clean,0.5883,981.0
ranked_778.pdb_clean,0.5877,778.0
ranked_725.pdb_clean,0.5874,725.0
ranked_766.pdb_clean,0.5870,766.0
ranked_937.pdb_clean,0.5866,937.0
ranked_996.pdb_clean,0.5864,996.0
ranked_643.pdb_clean,0.5846,643.0
ranked_860.pdb_clean,0.5845,860.0
ranked_836.pdb_clean,0.5842,836.0
ranked_518.pdb_clean,0.5835,518.0
ranked_628.pdb_clean,0.5825,628.0
ranked_742.pdb_clean,0.5820,742.0
ranked_939.pdb_clean,0.5817,939.0
ranked_851.pdb_clean,0.5817,851.0
ranked_202.pdb_clean,0.5813,202.0
ranked_747.pdb_clean,0.5810,747.0
ranked_949.pdb_clean,0.5806,949.0
ranked_559.pdb_clean,0.5806,559.0
ranked_975.pdb_clean,0.5803,975.0
ranked_820.pdb_clean,0.5802,820.0
ranked_934.pdb_clean,0.5798,934.0
ranked_839.pdb_clean,0.5798,839.0
ranked_486.pdb_clean,0.5790,486.0
ranked_4.pdb_clean,0.5785,4.0
ranked_2.pdb_clean,0.5784,2.0
ranked_137.pdb_clean,0.5781,137.0
ranked_517.pdb_clean,0.5780,517.0
ranked_704.pdb_clean,0.5779,704.0
ranked_408.pdb_clean,0.5779,408.0
ranked_161.pdb_clean,0.5778,161.0
ranked_703.pdb_clean,0.5776,703.0
ranked_46.pdb_clean,0.5776,46.0
ranked_63.pdb_clean,0.5774,63.0
ranked_612.pdb_clean,0.5771,612.0
ranked_41.pdb_clean,0.5771,41.0
ranked_837.pdb_clean,0.5770,837.0
ranked_642.pdb_clean,0.5770,642.0
ranked_724.pdb_clean,0.5768,724.0
ranked_828.pdb_clean,0.5767,828.0
ranked_869.pdb_clean,0.5765,869.0
ranked_335.pdb_clean,0.5765,335.0
ranked_677.pdb_clean,0.5764,677.0
ranked_5.pdb_clean,0.5764,5.0
ranked_11.pdb_clean,0.5764,11.0
ranked_504.pdb_clean,0.5763,504.0
ranked_15.pdb_clean,0.5762,15.0
ranked_483.pdb_clean,0.5761,483.0
ranked_117.pdb_clean,0.5761,117.0
ranked_947.pdb_clean,0.5760,947.0
ranked_743.pdb_clean,0.5760,743.0
ranked_50.pdb_clean,0.5760,50.0
ranked_120.pdb_clean,0.5760,120.0
ranked_66.pdb_clean,0.5759,66.0
ranked_130.pdb_clean,0.5759,130.0
ranked_850.pdb_clean,0.5756,850.0
ranked_774.pdb_clean,0.5755,774.0
ranked_593.pdb_clean,0.5755,593.0
ranked_435.pdb_clean,0.5755,435.0
ranked_204.pdb_clean,0.5755,204.0
ranked_957.pdb_clean,0.5754,957.0
ranked_197.pdb_clean,0.5754,197.0
ranked_986.pdb_clean,0.5753,986.0
ranked_800.pdb_clean,0.5753,800.0
ranked_690.pdb_clean,0.5753,690.0
ranked_213.pdb_clean,0.5753,213.0
ranked_933.pdb_clean,0.5752,933.0
ranked_833.pdb_clean,0.5752,833.0
ranked_449.pdb_clean,0.5752,449.0
ranked_9.pdb_clean,0.5751,9.0
ranked_94.pdb_clean,0.5751,94.0
ranked_832.pdb_clean,0.5751,832.0
ranked_23.pdb_clean,0.5751,23.0
ranked_136.pdb_clean,0.5751,136.0
ranked_923.pdb_clean,0.5750,923.0
ranked_732.pdb_clean,0.5750,732.0
ranked_571.pdb_clean,0.5748,571.0
ranked_316.pdb_clean,0.5748,316.0
ranked_244.pdb_clean,0.5748,244.0
ranked_195.pdb_clean,0.5748,195.0
ranked_172.pdb_clean,0.5748,172.0
ranked_895.pdb_clean,0.5746,895.0
ranked_187.pdb_clean,0.5746,187.0
ranked_119.pdb_clean,0.5746,119.0
ranked_25.pdb_clean,0.5745,25.0
ranked_18.pdb_clean,0.5745,18.0
ranked_144.pdb_clean,0.5745,144.0
ranked_761.pdb_clean,0.5744,761.0
ranked_728.pdb_clean,0.5744,728.0
ranked_405.pdb_clean,0.5743,405.0
ranked_710.pdb_clean,0.5742,710.0
ranked_472.pdb_clean,0.5742,472.0
ranked_168.pdb_clean,0.5742,168.0
ranked_121.pdb_clean,0.5742,121.0
ranked_911.pdb_clean,0.5741,911.0
ranked_77.pdb_clean,0.5741,77.0
ranked_391.pdb_clean,0.5741,391.0
ranked_377.pdb_clean,0.5741,377.0
ranked_311.pdb_clean,0.5741,311.0
ranked_96.pdb_clean,0.5739,96.0
ranked_278.pdb_clean,0.5739,278.0
ranked_178.pdb_clean,0.5739,178.0
ranked_123.pdb_clean,0.5739,123.0
ranked_988.pdb_clean,0.5738,988.0
ranked_447.pdb_clean,0.5738,447.0
ranked_247.pdb_clean,0.5738,247.0
ranked_242.pdb_clean,0.5738,242.0
ranked_876.pdb_clean,0.5737,876.0
ranked_940.pdb_clean,0.5736,940.0
ranked_85.pdb_clean,0.5736,85.0
ranked_64.pdb_clean,0.5736,64.0
ranked_496.pdb_clean,0.5736,496.0
ranked_444.pdb_clean,0.5736,444.0
ranked_441.pdb_clean,0.5736,441.0
ranked_34.pdb_clean,0.5735,34.0
ranked_112.pdb_clean,0.5735,112.0
ranked_718.pdb_clean,0.5733,718.0
ranked_424.pdb_clean,0.5733,424.0
ranked_371.pdb_clean,0.5733,371.0
ranked_967.pdb_clean,0.5732,967.0
ranked_925.pdb_clean,0.5731,925.0
ranked_529.pdb_clean,0.5731,529.0
ranked_887.pdb_clean,0.5730,887.0
ranked_821.pdb_clean,0.5730,821.0
ranked_49.pdb_clean,0.5730,49.0
ranked_283.pdb_clean,0.5730,283.0
ranked_919.pdb_clean,0.5729,919.0
ranked_807.pdb_clean,0.5729,807.0
ranked_48.pdb_clean,0.5729,48.0
ranked_239.pdb_clean,0.5729,239.0
ranked_170.pdb_clean,0.5729,170.0
ranked_86.pdb_clean,0.5727,86.0
ranked_848.pdb_clean,0.5727,848.0
ranked_306.pdb_clean,0.5727,306.0
ranked_217.pdb_clean,0.5727,217.0
ranked_159.pdb_clean,0.5727,159.0
ranked_101.pdb_clean,0.5727,101.0
