Filename,Value,AlphaFold Rank
ranked_234.pdb_clean,0.6958,234.0
ranked_244.pdb_clean,0.6957,244.0
ranked_410.pdb_clean,0.6877,410.0
ranked_664.pdb_clean,0.6818,664.0
ranked_648.pdb_clean,0.6806,648.0
ranked_571.pdb_clean,0.6805,571.0
ranked_660.pdb_clean,0.6596,660.0
ranked_463.pdb_clean,0.6573,463.0
ranked_570.pdb_clean,0.6508,570.0
ranked_94.pdb_clean,0.6488,94.0
ranked_423.pdb_clean,0.6471,423.0
ranked_379.pdb_clean,0.6448,379.0
7Y9C_AC,0.6443,
ranked_916.pdb_clean,0.6431,916.0
ranked_194.pdb_clean,0.6361,194.0
ranked_931.pdb_clean,0.6344,931.0
ranked_123.pdb_clean,0.6317,123.0
ranked_716.pdb_clean,0.6284,716.0
ranked_805.pdb_clean,0.6281,805.0
ranked_690.pdb_clean,0.6268,690.0
ranked_668.pdb_clean,0.6251,668.0
ranked_283.pdb_clean,0.6188,283.0
ranked_41.pdb_clean,0.6185,41.0
ranked_669.pdb_clean,0.6159,669.0
ranked_871.pdb_clean,0.6149,871.0
ranked_626.pdb_clean,0.6144,626.0
ranked_127.pdb_clean,0.6132,127.0
ranked_129.pdb_clean,0.6126,129.0
ranked_835.pdb_clean,0.6115,835.0
ranked_4.pdb_clean,0.6099,4.0
ranked_433.pdb_clean,0.6093,433.0
ranked_402.pdb_clean,0.6078,402.0
ranked_23.pdb_clean,0.6047,23.0
ranked_477.pdb_clean,0.6011,477.0
ranked_66.pdb_clean,0.6007,66.0
ranked_915.pdb_clean,0.6006,915.0
ranked_22.pdb_clean,0.6005,22.0
ranked_540.pdb_clean,0.6001,540.0
ranked_364.pdb_clean,0.5993,364.0
ranked_99.pdb_clean,0.5982,99.0
ranked_598.pdb_clean,0.5967,598.0
ranked_980.pdb_clean,0.5957,980.0
ranked_0.pdb_clean,0.5949,0.0
ranked_464.pdb_clean,0.5918,464.0
ranked_350.pdb_clean,0.5915,350.0
ranked_785.pdb_clean,0.5908,785.0
ranked_247.pdb_clean,0.5903,247.0
ranked_681.pdb_clean,0.5898,681.0
ranked_633.pdb_clean,0.5896,633.0
ranked_996.pdb_clean,0.5887,996.0
ranked_343.pdb_clean,0.5876,343.0
ranked_43.pdb_clean,0.5874,43.0
ranked_727.pdb_clean,0.5867,727.0
ranked_390.pdb_clean,0.5841,390.0
ranked_566.pdb_clean,0.5833,566.0
ranked_441.pdb_clean,0.5815,441.0
ranked_831.pdb_clean,0.5803,831.0
ranked_3.pdb_clean,0.5799,3.0
ranked_359.pdb_clean,0.5786,359.0
ranked_462.pdb_clean,0.5785,462.0
ranked_1.pdb_clean,0.5785,1.0
ranked_44.pdb_clean,0.5781,44.0
ranked_358.pdb_clean,0.5779,358.0
ranked_960.pdb_clean,0.5755,960.0
ranked_296.pdb_clean,0.5753,296.0
ranked_50.pdb_clean,0.5739,50.0
ranked_357.pdb_clean,0.5733,357.0
ranked_688.pdb_clean,0.5726,688.0
ranked_564.pdb_clean,0.5725,564.0
ranked_486.pdb_clean,0.5725,486.0
ranked_595.pdb_clean,0.5716,595.0
ranked_962.pdb_clean,0.5710,962.0
ranked_639.pdb_clean,0.5705,639.0
ranked_778.pdb_clean,0.5704,778.0
ranked_472.pdb_clean,0.5701,472.0
ranked_651.pdb_clean,0.5699,651.0
ranked_326.pdb_clean,0.5697,326.0
ranked_710.pdb_clean,0.5695,710.0
ranked_547.pdb_clean,0.5695,547.0
ranked_383.pdb_clean,0.5691,383.0
ranked_714.pdb_clean,0.5685,714.0
ranked_24.pdb_clean,0.5685,24.0
ranked_200.pdb_clean,0.5682,200.0
ranked_5.pdb_clean,0.5671,5.0
ranked_116.pdb_clean,0.5666,116.0
ranked_396.pdb_clean,0.5663,396.0
ranked_230.pdb_clean,0.5657,230.0
ranked_893.pdb_clean,0.5655,893.0
ranked_30.pdb_clean,0.5653,30.0
ranked_873.pdb_clean,0.5650,873.0
ranked_725.pdb_clean,0.5650,725.0
ranked_250.pdb_clean,0.5646,250.0
ranked_460.pdb_clean,0.5632,460.0
ranked_776.pdb_clean,0.5623,776.0
ranked_367.pdb_clean,0.5622,367.0
ranked_665.pdb_clean,0.5607,665.0
ranked_478.pdb_clean,0.5599,478.0
ranked_503.pdb_clean,0.5596,503.0
ranked_704.pdb_clean,0.5595,704.0
ranked_435.pdb_clean,0.5583,435.0
ranked_556.pdb_clean,0.5580,556.0
ranked_593.pdb_clean,0.5575,593.0
ranked_529.pdb_clean,0.5575,529.0
ranked_737.pdb_clean,0.5572,737.0
ranked_265.pdb_clean,0.5569,265.0
ranked_654.pdb_clean,0.5566,654.0
ranked_213.pdb_clean,0.5564,213.0
ranked_823.pdb_clean,0.5558,823.0
ranked_309.pdb_clean,0.5556,309.0
ranked_802.pdb_clean,0.5555,802.0
ranked_489.pdb_clean,0.5544,489.0
ranked_101.pdb_clean,0.5544,101.0
ranked_856.pdb_clean,0.5501,856.0
ranked_321.pdb_clean,0.5498,321.0
ranked_890.pdb_clean,0.5492,890.0
ranked_40.pdb_clean,0.5488,40.0
ranked_858.pdb_clean,0.5476,858.0
ranked_606.pdb_clean,0.5472,606.0
ranked_399.pdb_clean,0.5471,399.0
ranked_657.pdb_clean,0.5467,657.0
ranked_794.pdb_clean,0.5466,794.0
ranked_542.pdb_clean,0.5461,542.0
ranked_253.pdb_clean,0.5447,253.0
ranked_515.pdb_clean,0.5445,515.0
ranked_899.pdb_clean,0.5443,899.0
ranked_179.pdb_clean,0.5442,179.0
ranked_847.pdb_clean,0.5436,847.0
ranked_589.pdb_clean,0.5431,589.0
ranked_795.pdb_clean,0.5430,795.0
ranked_555.pdb_clean,0.5427,555.0
ranked_417.pdb_clean,0.5427,417.0
ranked_16.pdb_clean,0.5424,16.0
ranked_412.pdb_clean,0.5413,412.0
ranked_239.pdb_clean,0.5411,239.0
ranked_833.pdb_clean,0.5400,833.0
ranked_35.pdb_clean,0.5398,35.0
ranked_518.pdb_clean,0.5394,518.0
ranked_331.pdb_clean,0.5393,331.0
ranked_169.pdb_clean,0.5389,169.0
ranked_461.pdb_clean,0.5388,461.0
ranked_448.pdb_clean,0.5374,448.0
ranked_145.pdb_clean,0.5374,145.0
ranked_228.pdb_clean,0.5363,228.0
ranked_279.pdb_clean,0.5355,279.0
ranked_447.pdb_clean,0.5351,447.0
ranked_157.pdb_clean,0.5343,157.0
ranked_667.pdb_clean,0.5332,667.0
ranked_770.pdb_clean,0.5330,770.0
ranked_330.pdb_clean,0.5330,330.0
ranked_483.pdb_clean,0.5320,483.0
ranked_317.pdb_clean,0.5320,317.0
ranked_371.pdb_clean,0.5314,371.0
ranked_75.pdb_clean,0.5310,75.0
ranked_110.pdb_clean,0.5299,110.0
ranked_61.pdb_clean,0.5295,61.0
ranked_526.pdb_clean,0.5293,526.0
ranked_485.pdb_clean,0.5291,485.0
ranked_415.pdb_clean,0.5281,415.0
ranked_730.pdb_clean,0.5280,730.0
ranked_991.pdb_clean,0.5277,991.0
ranked_920.pdb_clean,0.5272,920.0
ranked_495.pdb_clean,0.5270,495.0
ranked_182.pdb_clean,0.5265,182.0
ranked_535.pdb_clean,0.5264,535.0
ranked_203.pdb_clean,0.5260,203.0
ranked_156.pdb_clean,0.5259,156.0
ranked_128.pdb_clean,0.5254,128.0
ranked_754.pdb_clean,0.5253,754.0
ranked_122.pdb_clean,0.5247,122.0
ranked_167.pdb_clean,0.5243,167.0
ranked_854.pdb_clean,0.5237,854.0
ranked_868.pdb_clean,0.5236,868.0
ranked_905.pdb_clean,0.5231,905.0
ranked_550.pdb_clean,0.5227,550.0
ranked_729.pdb_clean,0.5213,729.0
ranked_807.pdb_clean,0.5199,807.0
ranked_316.pdb_clean,0.5197,316.0
ranked_623.pdb_clean,0.5189,623.0
ranked_384.pdb_clean,0.5187,384.0
ranked_467.pdb_clean,0.5183,467.0
ranked_743.pdb_clean,0.5180,743.0
ranked_565.pdb_clean,0.5173,565.0
ranked_465.pdb_clean,0.5164,465.0
ranked_2.pdb_clean,0.5163,2.0
ranked_119.pdb_clean,0.5163,119.0
ranked_767.pdb_clean,0.5160,767.0
ranked_256.pdb_clean,0.5152,256.0
ranked_159.pdb_clean,0.5150,159.0
ranked_418.pdb_clean,0.5135,418.0
ranked_808.pdb_clean,0.5134,808.0
ranked_193.pdb_clean,0.5127,193.0
ranked_853.pdb_clean,0.5122,853.0
ranked_146.pdb_clean,0.5121,146.0
ranked_306.pdb_clean,0.5120,306.0
ranked_803.pdb_clean,0.5117,803.0
ranked_166.pdb_clean,0.5110,166.0
ranked_150.pdb_clean,0.5106,150.0
ranked_204.pdb_clean,0.5104,204.0
ranked_338.pdb_clean,0.5102,338.0
ranked_445.pdb_clean,0.5093,445.0
ranked_380.pdb_clean,0.5080,380.0
ranked_911.pdb_clean,0.5077,911.0
ranked_111.pdb_clean,0.5077,111.0
ranked_90.pdb_clean,0.5075,90.0
ranked_567.pdb_clean,0.5072,567.0
ranked_475.pdb_clean,0.5070,475.0
ranked_933.pdb_clean,0.5054,933.0
ranked_923.pdb_clean,0.5053,923.0
ranked_424.pdb_clean,0.5052,424.0
ranked_624.pdb_clean,0.5048,624.0
ranked_977.pdb_clean,0.5047,977.0
ranked_158.pdb_clean,0.5040,158.0
ranked_63.pdb_clean,0.5034,63.0
ranked_428.pdb_clean,0.5028,428.0
ranked_456.pdb_clean,0.5015,456.0
ranked_10.pdb_clean,0.5002,10.0
ranked_450.pdb_clean,0.4993,450.0
ranked_976.pdb_clean,0.4988,976.0
ranked_348.pdb_clean,0.4964,348.0
ranked_604.pdb_clean,0.4962,604.0
ranked_152.pdb_clean,0.4955,152.0
ranked_211.pdb_clean,0.4952,211.0
ranked_912.pdb_clean,0.4930,912.0
ranked_59.pdb_clean,0.4926,59.0
ranked_451.pdb_clean,0.4915,451.0
ranked_468.pdb_clean,0.4911,468.0
ranked_587.pdb_clean,0.4910,587.0
ranked_510.pdb_clean,0.4909,510.0
ranked_537.pdb_clean,0.4890,537.0
ranked_549.pdb_clean,0.4867,549.0
ranked_8.pdb_clean,0.4859,8.0
ranked_892.pdb_clean,0.4844,892.0
ranked_51.pdb_clean,0.4839,51.0
ranked_828.pdb_clean,0.4835,828.0
ranked_575.pdb_clean,0.4832,575.0
ranked_93.pdb_clean,0.4820,93.0
ranked_74.pdb_clean,0.4817,74.0
ranked_174.pdb_clean,0.4816,174.0
ranked_78.pdb_clean,0.4812,78.0
ranked_191.pdb_clean,0.4796,191.0
ranked_280.pdb_clean,0.4793,280.0
ranked_819.pdb_clean,0.4766,819.0
ranked_21.pdb_clean,0.4759,21.0
ranked_608.pdb_clean,0.4755,608.0
ranked_262.pdb_clean,0.4736,262.0
ranked_311.pdb_clean,0.4731,311.0
ranked_697.pdb_clean,0.4726,697.0
ranked_33.pdb_clean,0.4723,33.0
ranked_155.pdb_clean,0.4722,155.0
ranked_731.pdb_clean,0.4716,731.0
ranked_270.pdb_clean,0.4711,270.0
ranked_36.pdb_clean,0.4709,36.0
ranked_170.pdb_clean,0.4706,170.0
ranked_569.pdb_clean,0.4704,569.0
ranked_563.pdb_clean,0.4703,563.0
ranked_908.pdb_clean,0.4701,908.0
ranked_607.pdb_clean,0.4701,607.0
ranked_47.pdb_clean,0.4694,47.0
ranked_928.pdb_clean,0.4688,928.0
ranked_241.pdb_clean,0.4683,241.0
ranked_389.pdb_clean,0.4677,389.0
ranked_187.pdb_clean,0.4662,187.0
ranked_673.pdb_clean,0.4661,673.0
ranked_627.pdb_clean,0.4661,627.0
ranked_552.pdb_clean,0.4660,552.0
ranked_597.pdb_clean,0.4658,597.0
ranked_15.pdb_clean,0.4637,15.0
ranked_505.pdb_clean,0.4634,505.0
ranked_443.pdb_clean,0.4626,443.0
ranked_782.pdb_clean,0.4625,782.0
ranked_70.pdb_clean,0.4623,70.0
ranked_429.pdb_clean,0.4617,429.0
ranked_49.pdb_clean,0.4598,49.0
ranked_20.pdb_clean,0.4596,20.0
ranked_695.pdb_clean,0.4593,695.0
ranked_631.pdb_clean,0.4575,631.0
ranked_278.pdb_clean,0.4555,278.0
ranked_969.pdb_clean,0.4544,969.0
ranked_60.pdb_clean,0.4541,60.0
ranked_56.pdb_clean,0.4541,56.0
ranked_370.pdb_clean,0.4538,370.0
ranked_963.pdb_clean,0.4533,963.0
ranked_756.pdb_clean,0.4526,756.0
ranked_580.pdb_clean,0.4515,580.0
ranked_439.pdb_clean,0.4514,439.0
ranked_342.pdb_clean,0.4511,342.0
ranked_69.pdb_clean,0.4494,69.0
ranked_215.pdb_clean,0.4483,215.0
ranked_857.pdb_clean,0.4481,857.0
ranked_273.pdb_clean,0.4481,273.0
ranked_482.pdb_clean,0.4479,482.0
ranked_57.pdb_clean,0.4478,57.0
ranked_113.pdb_clean,0.4475,113.0
ranked_400.pdb_clean,0.4474,400.0
ranked_661.pdb_clean,0.4471,661.0
ranked_209.pdb_clean,0.4471,209.0
ranked_613.pdb_clean,0.4469,613.0
ranked_97.pdb_clean,0.4465,97.0
ranked_341.pdb_clean,0.4445,341.0
ranked_702.pdb_clean,0.4433,702.0
ranked_929.pdb_clean,0.4432,929.0
ranked_612.pdb_clean,0.4432,612.0
ranked_827.pdb_clean,0.4422,827.0
ranked_39.pdb_clean,0.4415,39.0
ranked_18.pdb_clean,0.4407,18.0
ranked_742.pdb_clean,0.4401,742.0
ranked_77.pdb_clean,0.4386,77.0
ranked_184.pdb_clean,0.4385,184.0
ranked_889.pdb_clean,0.4384,889.0
ranked_653.pdb_clean,0.4384,653.0
ranked_308.pdb_clean,0.4382,308.0
ranked_917.pdb_clean,0.4374,917.0
ranked_679.pdb_clean,0.4374,679.0
ranked_26.pdb_clean,0.4372,26.0
ranked_131.pdb_clean,0.4372,131.0
ranked_723.pdb_clean,0.4369,723.0
ranked_322.pdb_clean,0.4361,322.0
ranked_208.pdb_clean,0.4361,208.0
ranked_332.pdb_clean,0.4348,332.0
