#  old_rank	structure_name		score
0	704	ranked_704.pdb_clean	-163.66775378959258
1	572	ranked_572.pdb_clean	-163.35656207014534
2	599	ranked_599.pdb_clean	-162.7494659019074
3	712	ranked_712.pdb_clean	-162.10862492254657
4	613	ranked_613.pdb_clean	-160.35672279389263
5	431	ranked_431.pdb_clean	-159.30921622588698
6	632	ranked_632.pdb_clean	-158.00658263396656
7	651	ranked_651.pdb_clean	-157.13094991573178
8	516	ranked_516.pdb_clean	-155.85820980482558
9	465	ranked_465.pdb_clean	-155.03173531420393
10	679	ranked_679.pdb_clean	-154.82597891826265
11	418	ranked_418.pdb_clean	-153.87889361868218
12	787	ranked_787.pdb_clean	-153.2024854125078
13	582	ranked_582.pdb_clean	-152.52165207339897
14	737	ranked_737.pdb_clean	-152.46208032051155
15	691	ranked_691.pdb_clean	-152.44725049647468
16	690	ranked_690.pdb_clean	-152.3444491532825
17	552	ranked_552.pdb_clean	-152.21616546493485
18	671	ranked_671.pdb_clean	-152.00944190357097
19	541	ranked_541.pdb_clean	-152.00310887979114
20	521	ranked_521.pdb_clean	-150.37431195251577
21	429	ranked_429.pdb_clean	-150.18252337983577
22	725	ranked_725.pdb_clean	-149.91809973655432
23	642	ranked_642.pdb_clean	-149.0580912207502
24	479	ranked_479.pdb_clean	-147.4360996644808
25	489	ranked_489.pdb_clean	-146.9454690749523
26	739	ranked_739.pdb_clean	-146.80386797774707
27	684	ranked_684.pdb_clean	-145.5339324057312
28	472	ranked_472.pdb_clean	-145.45188168525067
29	723	ranked_723.pdb_clean	-145.39164272423002
30	542	ranked_542.pdb_clean	-144.4160678288727
31	565	ranked_565.pdb_clean	-143.11538360603808
32	435	ranked_435.pdb_clean	-140.4277837389892
33	596	ranked_596.pdb_clean	-139.26658127850544
34	551	ranked_551.pdb_clean	-139.20021967180273
35	595	ranked_595.pdb_clean	-138.9244894031869
36	753	ranked_753.pdb_clean	-138.36578629938222
37	514	ranked_514.pdb_clean	-135.96165063528548
38	615	ranked_615.pdb_clean	-135.90797592328948
39	424	ranked_424.pdb_clean	-134.4511690110275
40	785	ranked_785.pdb_clean	-134.27947772438523
41	591	ranked_591.pdb_clean	-133.7933838013596
42	535	ranked_535.pdb_clean	-133.36426903586386
43	777	ranked_777.pdb_clean	-132.71928436175085
44	999	ranked_999.pdb_clean	-131.9196207468462
45	505	ranked_505.pdb_clean	-131.46822377603004
46	729	ranked_729.pdb_clean	-131.20836339157776
47	998	ranked_998.pdb_clean	-130.8586479855331
48	558	ranked_558.pdb_clean	-130.3300677248237
49	395	ranked_395.pdb_clean	-129.23392667084437
50	449	ranked_449.pdb_clean	-128.3198142068365
51	658	ranked_658.pdb_clean	-128.2388264445686
52	822	ranked_822.pdb_clean	-126.84248519931052
