Filename,Value,AlphaFold Rank
ranked_996.pdb_clean,0.7046,996.0
ranked_985.pdb_clean,0.6725,985.0
ranked_979.pdb_clean,0.6684,979.0
ranked_994.pdb_clean,0.6373,994.0
ranked_128.pdb_clean,0.6299,128.0
ranked_178.pdb_clean,0.6283,178.0
ranked_142.pdb_clean,0.6272,142.0
ranked_490.pdb_clean,0.6267,490.0
ranked_614.pdb_clean,0.6260,614.0
ranked_304.pdb_clean,0.6239,304.0
ranked_146.pdb_clean,0.6237,146.0
ranked_106.pdb_clean,0.6235,106.0
ranked_275.pdb_clean,0.6227,275.0
ranked_85.pdb_clean,0.6226,85.0
ranked_171.pdb_clean,0.6223,171.0
ranked_117.pdb_clean,0.6210,117.0
ranked_135.pdb_clean,0.6205,135.0
ranked_414.pdb_clean,0.6199,414.0
ranked_181.pdb_clean,0.6187,181.0
ranked_189.pdb_clean,0.6181,189.0
ranked_159.pdb_clean,0.6180,159.0
ranked_53.pdb_clean,0.6178,53.0
ranked_91.pdb_clean,0.6177,91.0
ranked_177.pdb_clean,0.6177,177.0
ranked_126.pdb_clean,0.6176,126.0
ranked_108.pdb_clean,0.6175,108.0
ranked_38.pdb_clean,0.6170,38.0
ranked_759.pdb_clean,0.6169,759.0
ranked_460.pdb_clean,0.6165,460.0
ranked_113.pdb_clean,0.6165,113.0
ranked_137.pdb_clean,0.6163,137.0
ranked_560.pdb_clean,0.6157,560.0
ranked_77.pdb_clean,0.6155,77.0
ranked_139.pdb_clean,0.6153,139.0
ranked_975.pdb_clean,0.6148,975.0
ranked_124.pdb_clean,0.6148,124.0
ranked_34.pdb_clean,0.6147,34.0
ranked_415.pdb_clean,0.6145,415.0
ranked_87.pdb_clean,0.6142,87.0
ranked_119.pdb_clean,0.6141,119.0
ranked_103.pdb_clean,0.6138,103.0
ranked_122.pdb_clean,0.6136,122.0
ranked_704.pdb_clean,0.6134,704.0
ranked_633.pdb_clean,0.6131,633.0
ranked_166.pdb_clean,0.6129,166.0
ranked_95.pdb_clean,0.6127,95.0
ranked_82.pdb_clean,0.6127,82.0
ranked_47.pdb_clean,0.6126,47.0
ranked_44.pdb_clean,0.6126,44.0
ranked_175.pdb_clean,0.6126,175.0
ranked_81.pdb_clean,0.6125,81.0
ranked_71.pdb_clean,0.6124,71.0
ranked_46.pdb_clean,0.6124,46.0
ranked_747.pdb_clean,0.6121,747.0
ranked_401.pdb_clean,0.6119,401.0
ranked_57.pdb_clean,0.6118,57.0
ranked_67.pdb_clean,0.6116,67.0
ranked_908.pdb_clean,0.6115,908.0
ranked_156.pdb_clean,0.6115,156.0
ranked_267.pdb_clean,0.6114,267.0
ranked_741.pdb_clean,0.6113,741.0
ranked_154.pdb_clean,0.6113,154.0
ranked_40.pdb_clean,0.6110,40.0
ranked_731.pdb_clean,0.6109,731.0
ranked_66.pdb_clean,0.6108,66.0
ranked_80.pdb_clean,0.6105,80.0
ranked_464.pdb_clean,0.6105,464.0
ranked_163.pdb_clean,0.6102,163.0
ranked_915.pdb_clean,0.6099,915.0
ranked_902.pdb_clean,0.6099,902.0
ranked_136.pdb_clean,0.6093,136.0
ranked_100.pdb_clean,0.6092,100.0
ranked_56.pdb_clean,0.6090,56.0
ranked_379.pdb_clean,0.6090,379.0
ranked_99.pdb_clean,0.6088,99.0
ranked_922.pdb_clean,0.6088,922.0
ranked_503.pdb_clean,0.6086,503.0
ranked_501.pdb_clean,0.6081,501.0
ranked_147.pdb_clean,0.6075,147.0
ranked_882.pdb_clean,0.6074,882.0
ranked_884.pdb_clean,0.6073,884.0
ranked_65.pdb_clean,0.6072,65.0
ranked_101.pdb_clean,0.6069,101.0
ranked_955.pdb_clean,0.6068,955.0
ranked_63.pdb_clean,0.6068,63.0
ranked_150.pdb_clean,0.6068,150.0
ranked_277.pdb_clean,0.6067,277.0
ranked_548.pdb_clean,0.6066,548.0
ranked_233.pdb_clean,0.6066,233.0
ranked_554.pdb_clean,0.6065,554.0
ranked_62.pdb_clean,0.6064,62.0
ranked_59.pdb_clean,0.6063,59.0
ranked_173.pdb_clean,0.6061,173.0
ranked_155.pdb_clean,0.6061,155.0
ranked_571.pdb_clean,0.6057,571.0
ranked_176.pdb_clean,0.6057,176.0
ranked_97.pdb_clean,0.6056,97.0
ranked_37.pdb_clean,0.6055,37.0
ranked_167.pdb_clean,0.6052,167.0
ranked_640.pdb_clean,0.6049,640.0
ranked_514.pdb_clean,0.6049,514.0
ranked_48.pdb_clean,0.6049,48.0
ranked_794.pdb_clean,0.6046,794.0
ranked_60.pdb_clean,0.6045,60.0
ranked_199.pdb_clean,0.6045,199.0
ranked_92.pdb_clean,0.6044,92.0
ranked_78.pdb_clean,0.6044,78.0
ranked_96.pdb_clean,0.6041,96.0
ranked_22.pdb_clean,0.6039,22.0
ranked_75.pdb_clean,0.6038,75.0
ranked_68.pdb_clean,0.6038,68.0
ranked_118.pdb_clean,0.6037,118.0
ranked_41.pdb_clean,0.6036,41.0
ranked_107.pdb_clean,0.6035,107.0
ranked_79.pdb_clean,0.6034,79.0
ranked_666.pdb_clean,0.6027,666.0
ranked_898.pdb_clean,0.6026,898.0
ranked_927.pdb_clean,0.6025,927.0
ranked_42.pdb_clean,0.6023,42.0
ranked_525.pdb_clean,0.6022,525.0
ranked_162.pdb_clean,0.6022,162.0
ranked_70.pdb_clean,0.6021,70.0
ranked_611.pdb_clean,0.6021,611.0
ranked_272.pdb_clean,0.6021,272.0
ranked_105.pdb_clean,0.6021,105.0
ranked_54.pdb_clean,0.6019,54.0
ranked_465.pdb_clean,0.6013,465.0
ranked_570.pdb_clean,0.6012,570.0
ranked_572.pdb_clean,0.6011,572.0
ranked_61.pdb_clean,0.6010,61.0
ranked_953.pdb_clean,0.6007,953.0
ranked_15.pdb_clean,0.6002,15.0
ranked_94.pdb_clean,0.5993,94.0
7QWV_AB,0.5993,
ranked_49.pdb_clean,0.5992,49.0
ranked_193.pdb_clean,0.5991,193.0
ranked_7.pdb_clean,0.5986,7.0
ranked_102.pdb_clean,0.5986,102.0
ranked_39.pdb_clean,0.5985,39.0
ranked_26.pdb_clean,0.5985,26.0
ranked_2.pdb_clean,0.5982,2.0
ranked_564.pdb_clean,0.5981,564.0
ranked_679.pdb_clean,0.5979,679.0
ranked_655.pdb_clean,0.5979,655.0
ranked_112.pdb_clean,0.5977,112.0
ranked_194.pdb_clean,0.5976,194.0
ranked_288.pdb_clean,0.5975,288.0
ranked_93.pdb_clean,0.5969,93.0
ranked_627.pdb_clean,0.5967,627.0
ranked_111.pdb_clean,0.5965,111.0
ranked_134.pdb_clean,0.5964,134.0
ranked_69.pdb_clean,0.5963,69.0
ranked_331.pdb_clean,0.5962,331.0
ranked_90.pdb_clean,0.5961,90.0
ranked_459.pdb_clean,0.5961,459.0
ranked_454.pdb_clean,0.5960,454.0
ranked_508.pdb_clean,0.5959,508.0
ranked_74.pdb_clean,0.5958,74.0
ranked_3.pdb_clean,0.5958,3.0
ranked_13.pdb_clean,0.5957,13.0
ranked_351.pdb_clean,0.5956,351.0
ranked_929.pdb_clean,0.5955,929.0
ranked_16.pdb_clean,0.5952,16.0
ranked_211.pdb_clean,0.5951,211.0
ranked_157.pdb_clean,0.5951,157.0
ranked_9.pdb_clean,0.5948,9.0
ranked_21.pdb_clean,0.5943,21.0
ranked_577.pdb_clean,0.5940,577.0
ranked_684.pdb_clean,0.5938,684.0
ranked_359.pdb_clean,0.5938,359.0
ranked_131.pdb_clean,0.5937,131.0
ranked_567.pdb_clean,0.5936,567.0
ranked_98.pdb_clean,0.5935,98.0
ranked_104.pdb_clean,0.5934,104.0
ranked_35.pdb_clean,0.5932,35.0
ranked_31.pdb_clean,0.5931,31.0
ranked_843.pdb_clean,0.5926,843.0
ranked_541.pdb_clean,0.5924,541.0
ranked_4.pdb_clean,0.5920,4.0
ranked_527.pdb_clean,0.5919,527.0
ranked_25.pdb_clean,0.5919,25.0
ranked_138.pdb_clean,0.5919,138.0
ranked_670.pdb_clean,0.5918,670.0
ranked_1.pdb_clean,0.5916,1.0
ranked_0.pdb_clean,0.5916,0.0
ranked_925.pdb_clean,0.5911,925.0
ranked_750.pdb_clean,0.5911,750.0
ranked_798.pdb_clean,0.5910,798.0
ranked_300.pdb_clean,0.5910,300.0
ranked_110.pdb_clean,0.5910,110.0
ranked_45.pdb_clean,0.5909,45.0
ranked_692.pdb_clean,0.5908,692.0
ranked_152.pdb_clean,0.5907,152.0
ranked_894.pdb_clean,0.5905,894.0
ranked_665.pdb_clean,0.5900,665.0
