complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8i3g,ranked_0.pdb,vina, 1.219, 11.834,  0.000,  0.000,  0.000,-13.743,-10.615,-13.743
8i3g,ranked_0.pdb,vinardo, 2.519, 24.458,  0.000,  0.000,  0.000,-20.164,-21.939,-20.164
8i3g,ranked_1.pdb,vina, 1.754, 17.031,  0.000,  0.000,  0.000,-11.835,-15.277,-11.835
8i3g,ranked_1.pdb,vinardo, 3.031, 29.432,  0.000,  0.000,  0.000,-18.525,-26.401,-18.525
8i3g,ranked_2.pdb,vina, 1.651, 16.035,  0.000,  0.000,  0.000, -9.776,-14.384, -9.776
8i3g,ranked_2.pdb,vinardo, 2.960, 28.739,  0.000,  0.000,  0.000,-16.418,-25.780,-16.418
8i3g,ranked_3.pdb,vina, 1.303, 12.658,  0.000,  0.000,  0.000,-10.264,-11.354,-10.264
8i3g,ranked_3.pdb,vinardo, 2.660, 25.826,  0.000,  0.000,  0.000,-16.996,-23.167,-16.996
8i3g,ranked_4.pdb,vina, 2.759, 26.794,  0.000,  0.000,  0.000,-12.215,-24.034,-12.215
8i3g,ranked_4.pdb,vinardo, 4.093, 39.741,  0.000,  0.000,  0.000,-19.264,-35.649,-19.264
8i3g,ranked_5.pdb,vina, 1.514, 14.701,  0.000,  0.000,  0.000,-11.965,-13.187,-11.965
8i3g,ranked_5.pdb,vinardo, 2.830, 27.482,  0.000,  0.000,  0.000,-18.728,-24.652,-18.728
8i3g,ranked_6.pdb,vina, 3.123, 30.322,  0.000,  0.000,  0.000,-10.612,-27.199,-10.612
8i3g,ranked_6.pdb,vinardo, 4.396, 42.684,  0.000,  0.000,  0.000,-17.286,-38.288,-17.286
8i3g,ranked_7.pdb,vina,-0.199, -1.807,  0.000,  0.000,  0.000,-10.781,  1.607,-10.781
8i3g,ranked_7.pdb,vinardo, 0.996,  9.030,  0.000,  0.000,  0.000,-17.258, -8.035,-17.258
8i3g,ranked_8.pdb,vina, 1.503, 14.595,  0.000,  0.000,  0.000,-11.647,-13.092,-11.647
8i3g,ranked_8.pdb,vinardo, 2.777, 26.965,  0.000,  0.000,  0.000,-18.534,-24.188,-18.534
8i3g,ranked_9.pdb,vina, 1.415, 13.736,  0.000,  0.000,  0.000,-11.607,-12.322,-11.607
8i3g,ranked_9.pdb,vinardo, 2.684, 26.065,  0.000,  0.000,  0.000,-18.494,-23.381,-18.494
8i3g,ranked_10.pdb,vina, 1.742, 16.911,  0.000,  0.000,  0.000,-10.812,-15.170,-10.812
8i3g,ranked_10.pdb,vinardo, 3.024, 29.365,  0.000,  0.000,  0.000,-17.622,-26.341,-17.622
8i3g,ranked_11.pdb,vina, 3.922, 38.088,  0.000,  0.000,  0.000,  2.230,-34.166,  2.230
8i3g,ranked_11.pdb,vinardo, 4.979, 48.349,  0.000,  0.000,  0.000, -2.998,-43.370, -2.998
8i3g,ranked_12.pdb,vina, 1.322, 12.835,  0.000,  0.000,  0.000,-10.715,-11.513,-10.715
8i3g,ranked_12.pdb,vinardo, 2.639, 25.629,  0.000,  0.000,  0.000,-17.826,-22.990,-17.826
8i3g,ranked_13.pdb,vina, 2.573, 24.988,  0.000,  0.000,  0.000, -4.385,-22.415, -4.385
8i3g,ranked_13.pdb,vinardo, 4.040, 39.232,  0.000,  0.000,  0.000,-10.426,-35.192,-10.426
8i3g,ranked_14.pdb,vina, 1.531, 14.868,  0.000,  0.000,  0.000,-11.229,-13.337,-11.229
8i3g,ranked_14.pdb,vinardo, 2.873, 27.896,  0.000,  0.000,  0.000,-18.137,-25.024,-18.137
8i3g,ranked_15.pdb,vina, 2.531, 24.581,  0.000,  0.000,  0.000,-10.000,-22.049,-10.000
8i3g,ranked_15.pdb,vinardo, 3.815, 37.049,  0.000,  0.000,  0.000,-16.921,-33.234,-16.921
8i3g,ranked_16.pdb,vina, 3.733, 36.247,  0.000,  0.000,  0.000,-10.827,-32.514,-10.827
8i3g,ranked_16.pdb,vinardo, 4.999, 48.539,  0.000,  0.000,  0.000,-17.703,-43.540,-17.703
8i3g,ranked_17.pdb,vina, 1.339, 13.007,  0.000,  0.000,  0.000,-11.291,-11.668,-11.291
8i3g,ranked_17.pdb,vinardo, 2.672, 25.946,  0.000,  0.000,  0.000,-18.368,-23.274,-18.368
8i3g,ranked_18.pdb,vina, 3.004, 29.169,  0.000,  0.000,  0.000,-11.632,-26.165,-11.632
8i3g,ranked_18.pdb,vinardo, 4.260, 41.365,  0.000,  0.000,  0.000,-18.626,-37.105,-18.626
8i3g,ranked_19.pdb,vina, 1.979, 19.221,  0.000,  0.000,  0.000,-11.998,-17.242,-11.998
8i3g,ranked_19.pdb,vinardo, 3.245, 31.511,  0.000,  0.000,  0.000,-18.747,-28.266,-18.747
8i3g,ranked_20.pdb,vina, 1.624, 15.766,  0.000,  0.000,  0.000,-10.227,-14.142,-10.227
8i3g,ranked_20.pdb,vinardo, 2.981, 28.944,  0.000,  0.000,  0.000,-17.527,-25.964,-17.527
8i3g,ranked_21.pdb,vina, 3.618, 35.128,  0.000,  0.000,  0.000,-11.619,-31.511,-11.619
8i3g,ranked_21.pdb,vinardo, 4.898, 47.563,  0.000,  0.000,  0.000,-18.300,-42.665,-18.300
8i3g,ranked_22.pdb,vina, 3.953, 38.383,  0.000,  0.000,  0.000, -6.506,-34.430, -6.506
8i3g,ranked_22.pdb,vinardo, 5.351, 51.959,  0.000,  0.000,  0.000,-12.828,-46.608,-12.828
8i3g,ranked_23.pdb,vina, 2.048, 19.892,  0.000,  0.000,  0.000, -7.842,-17.843, -7.842
8i3g,ranked_23.pdb,vinardo, 3.111, 30.207,  0.000,  0.000,  0.000,-14.907,-27.096,-14.907
8i3g,ranked_24.pdb,vina, 1.240, 12.042,  0.000,  0.000,  0.000,-11.815,-10.802,-11.815
8i3g,ranked_24.pdb,vinardo, 2.567, 24.924,  0.000,  0.000,  0.000,-18.945,-22.357,-18.945
8i3g,ranked_25.pdb,vina, 1.644, 15.960,  0.000,  0.000,  0.000, -9.566,-14.317, -9.566
8i3g,ranked_25.pdb,vinardo, 3.003, 29.157,  0.000,  0.000,  0.000,-16.471,-26.155,-16.471
8i3g,ranked_26.pdb,vina, 1.198, 11.633,  0.000,  0.000,  0.000,-11.666,-10.435,-11.666
8i3g,ranked_26.pdb,vinardo, 2.486, 24.145,  0.000,  0.000,  0.000,-18.667,-21.658,-18.667
8i3g,ranked_27.pdb,vina, 1.714, 16.641,  0.000,  0.000,  0.000,-10.851,-14.927,-10.851
8i3g,ranked_27.pdb,vinardo, 3.022, 29.342,  0.000,  0.000,  0.000,-17.817,-26.320,-17.817
8i3g,ranked_28.pdb,vina, 3.263, 31.687,  0.000,  0.000,  0.000,-10.702,-28.423,-10.702
8i3g,ranked_28.pdb,vinardo, 4.479, 43.497,  0.000,  0.000,  0.000,-17.574,-39.018,-17.574
8i3g,ranked_29.pdb,vina,1.012, 9.824, 0.000, 0.000, 0.000,-5.431,-8.812,-5.431
8i3g,ranked_29.pdb,vinardo, 2.115, 20.542,  0.000,  0.000,  0.000,-12.075,-18.426,-12.075
8i3g,ranked_30.pdb,vina, 1.896, 18.407,  0.000,  0.000,  0.000, -8.714,-16.512, -8.714
8i3g,ranked_30.pdb,vinardo, 3.224, 31.304,  0.000,  0.000,  0.000,-15.840,-28.080,-15.840
8i3g,ranked_31.pdb,vina, 2.028, 19.697,  0.000,  0.000,  0.000, -9.666,-17.669, -9.666
8i3g,ranked_31.pdb,vinardo, 3.289, 31.943,  0.000,  0.000,  0.000,-16.427,-28.653,-16.427
8i3g,ranked_32.pdb,vina, 2.184, 21.211,  0.000,  0.000,  0.000, -8.683,-19.027, -8.683
8i3g,ranked_32.pdb,vinardo, 3.490, 33.888,  0.000,  0.000,  0.000,-15.112,-30.398,-15.112
8i3g,ranked_33.pdb,vina, 1.685, 16.361,  0.000,  0.000,  0.000,-10.252,-14.676,-10.252
8i3g,ranked_33.pdb,vinardo, 2.988, 29.020,  0.000,  0.000,  0.000,-17.318,-26.031,-17.318
8i3g,ranked_34.pdb,vina, 3.464, 33.637,  0.000,  0.000,  0.000,-11.195,-30.173,-11.195
8i3g,ranked_34.pdb,vinardo, 4.727, 45.900,  0.000,  0.000,  0.000,-18.153,-41.173,-18.153
8i3g,ranked_35.pdb,vina, 2.905, 28.210,  0.000,  0.000,  0.000, -9.089,-25.305, -9.089
8i3g,ranked_35.pdb,vinardo, 4.123, 40.041,  0.000,  0.000,  0.000,-15.794,-35.917,-15.794
8i3g,ranked_36.pdb,vina, 2.609, 25.338,  0.000,  0.000,  0.000,-11.757,-22.729,-11.757
8i3g,ranked_36.pdb,vinardo, 3.971, 38.557,  0.000,  0.000,  0.000,-19.090,-34.586,-19.090
