#  old_rank	structure_name		score
0	175	ranked_175.pdb_clean	44.144314514635745
1	311	ranked_311.pdb_clean	49.30649626516969
2	615	ranked_615.pdb_clean	55.6144523676682
3	362	ranked_362.pdb_clean	66.73899190197528
4	305	ranked_305.pdb_clean	67.01995805029776
5	289	ranked_289.pdb_clean	75.61136071168403
6	810	ranked_810.pdb_clean	77.37301948545655
7	331	ranked_331.pdb_clean	78.88865042253568
8	761	ranked_761.pdb_clean	80.03758816831328
9	726	ranked_726.pdb_clean	80.35847392872824
10	525	ranked_525.pdb_clean	80.58432429878764
11	272	ranked_272.pdb_clean	80.88649635965842
12	245	ranked_245.pdb_clean	82.33996997432297
13	292	ranked_292.pdb_clean	83.79304858155001
14	231	ranked_231.pdb_clean	83.82632596742437
15	215	ranked_215.pdb_clean	84.83337046525392
16	190	ranked_190.pdb_clean	84.98783206104841
17	367	ranked_367.pdb_clean	85.27103862704783
18	386	ranked_386.pdb_clean	86.42153052666183
19	335	ranked_335.pdb_clean	86.9268139313466
20	330	ranked_330.pdb_clean	87.89149389465112
21	257	ranked_257.pdb_clean	88.0094748045139
22	270	ranked_270.pdb_clean	88.16625528639378
23	275	ranked_275.pdb_clean	88.40041924364604
24	232	ranked_232.pdb_clean	88.66119435597184
25	601	ranked_601.pdb_clean	88.84982062427989
26	300	ranked_300.pdb_clean	89.12918804833649
27	280	ranked_280.pdb_clean	89.16170355468833
28	253	ranked_253.pdb_clean	90.3549889186267
29	589	ranked_589.pdb_clean	95.94457763099192
30	304	ranked_304.pdb_clean	95.94606988448595
31	329	ranked_329.pdb_clean	96.16330943952369
32	357	ranked_357.pdb_clean	97.53998666493104
33	395	ranked_395.pdb_clean	98.33668230648559
34	596	ranked_596.pdb_clean	99.26849139001138
35	602	ranked_602.pdb_clean	99.36982355585062
36	398	ranked_398.pdb_clean	99.66227320902613
37	266	ranked_266.pdb_clean	100.53495036525842
38	355	ranked_355.pdb_clean	101.98891457478433
39	286	ranked_286.pdb_clean	102.55529775743776
40	336	ranked_336.pdb_clean	103.84436971447462
41	249	ranked_249.pdb_clean	104.0758648498576
42	633	ranked_633.pdb_clean	105.26736570740579
43	691	ranked_691.pdb_clean	105.4702339002194
44	345	ranked_345.pdb_clean	106.81739040120198
45	261	ranked_261.pdb_clean	107.62924181616975
46	647	ranked_647.pdb_clean	107.95819177565235
47	210	ranked_210.pdb_clean	108.60929547542926
48	364	ranked_364.pdb_clean	109.42808151834711
49	198	ranked_198.pdb_clean	109.63862459680962
50	205	ranked_205.pdb_clean	110.27237459022541
51	390	ranked_390.pdb_clean	110.62024041406715
52	307	ranked_307.pdb_clean	110.69372170471453
53	608	ranked_608.pdb_clean	110.92412244556684
54	223	ranked_223.pdb_clean	111.00062994819632
55	207	ranked_207.pdb_clean	111.04542478605484
56	674	ranked_674.pdb_clean	112.132026234693
57	290	ranked_290.pdb_clean	112.74923689871801
58	306	ranked_306.pdb_clean	113.81351992738209
59	352	ranked_352.pdb_clean	113.85344547119081
60	655	ranked_655.pdb_clean	114.241513518076
61	671	ranked_671.pdb_clean	114.951431305493
62	203	ranked_203.pdb_clean	114.9517807246248
63	220	ranked_220.pdb_clean	115.81402690430028
64	258	ranked_258.pdb_clean	115.89130220042449
65	233	ranked_233.pdb_clean	116.1257143104213
66	342	ranked_342.pdb_clean	116.14288216559825
67	265	ranked_265.pdb_clean	116.66614232042025
68	371	ranked_371.pdb_clean	118.27081003339714
69	688	ranked_688.pdb_clean	119.39204712431905
70	389	ranked_389.pdb_clean	119.8684854859282
71	287	ranked_287.pdb_clean	120.17458693319816
72	225	ranked_225.pdb_clean	120.20231750526983
73	278	ranked_278.pdb_clean	120.27385734494837
74	372	ranked_372.pdb_clean	120.67728728478548
75	267	ranked_267.pdb_clean	121.75396890666434
76	343	ranked_343.pdb_clean	123.1639768416643
77	321	ranked_321.pdb_clean	123.28386359899682
78	687	ranked_687.pdb_clean	123.42975360496624
79	246	ranked_246.pdb_clean	123.95114649194807
80	324	ranked_324.pdb_clean	124.37672773709212
81	251	ranked_251.pdb_clean	124.59240656165551
82	384	ranked_384.pdb_clean	125.27760425634978
83	722	ranked_722.pdb_clean	125.6550145489824
84	763	ranked_763.pdb_clean	125.75334733332838
85	284	ranked_284.pdb_clean	126.41491254057021
86	153	ranked_153.pdb_clean	126.69002815903198
87	240	ranked_240.pdb_clean	126.8651973291727
88	314	ranked_314.pdb_clean	127.07927327840483
89	237	ranked_237.pdb_clean	127.09238216877819
90	787	ranked_787.pdb_clean	127.19315030555029
91	356	ranked_356.pdb_clean	127.54043804665011
92	146	ranked_146.pdb_clean	127.67398473951388
93	693	ranked_693.pdb_clean	127.89685699542238
94	377	ranked_377.pdb_clean	128.44825848640087
95	276	ranked_276.pdb_clean	128.46010126489566
96	393	ranked_393.pdb_clean	128.74308526690376
97	353	ranked_353.pdb_clean	129.52746513827708
98	255	ranked_255.pdb_clean	129.55372605201256
99	380	ranked_380.pdb_clean	129.9501301812398
100	242	ranked_242.pdb_clean	130.19546297567004
101	741	ranked_741.pdb_clean	130.41024066487486
102	859	ranked_859.pdb_clean	131.30257599210998
103	271	ranked_271.pdb_clean	132.07600206849366
104	578	ranked_578.pdb_clean	132.705576434924
105	308	ranked_308.pdb_clean	132.849487820558
106	201	ranked_201.pdb_clean	132.96244786503476
107	744	ranked_744.pdb_clean	133.0454638790438
108	339	ranked_339.pdb_clean	133.68462866574805
109	192	ranked_192.pdb_clean	134.60004464783657
110	298	ranked_298.pdb_clean	134.8815528796191
111	177	ranked_177.pdb_clean	135.50546328278807
112	333	ranked_333.pdb_clean	136.99267211418893
113	299	ranked_299.pdb_clean	137.22581713526523
114	359	ranked_359.pdb_clean	137.33638924961588
115	216	ranked_216.pdb_clean	137.63366875049985
116	234	ranked_234.pdb_clean	138.31985493238432
117	322	ranked_322.pdb_clean	138.34427626003267
118	379	ranked_379.pdb_clean	138.46967617759634
119	334	ranked_334.pdb_clean	138.48545632479843
120	752	ranked_752.pdb_clean	138.62335607006048
121	399	ranked_399.pdb_clean	138.6861250069205
122	252	ranked_252.pdb_clean	138.77123936698646
123	160	ranked_160.pdb_clean	139.02197597144306
124	690	ranked_690.pdb_clean	139.88399235561073
125	844	ranked_844.pdb_clean	140.32489924254986
126	721	ranked_721.pdb_clean	140.49914059157737
127	699	ranked_699.pdb_clean	141.16164042357403
128	250	ranked_250.pdb_clean	141.25780130324708
129	697	ranked_697.pdb_clean	142.37533497175068
130	178	ranked_178.pdb_clean	142.48825329719546
131	263	ranked_263.pdb_clean	142.6417819827647
132	637	ranked_637.pdb_clean	142.64360575968286
133	768	ranked_768.pdb_clean	142.87725449322244
134	239	ranked_239.pdb_clean	143.09288696339436
135	743	ranked_743.pdb_clean	143.70515643235083
136	319	ranked_319.pdb_clean	143.70711565386284
137	784	ranked_784.pdb_clean	144.1713872902788
138	323	ranked_323.pdb_clean	144.718220131554
139	281	ranked_281.pdb_clean	144.8487265526346
140	815	ranked_815.pdb_clean	145.04607600226043
141	528	ranked_528.pdb_clean	145.20370596516648
142	762	ranked_762.pdb_clean	145.62735636127863
143	135	ranked_135.pdb_clean	145.91611147824705
144	136	ranked_136.pdb_clean	146.67973327320294
145	349	ranked_349.pdb_clean	146.9061435921068
146	636	ranked_636.pdb_clean	147.54447332596513
147	667	ranked_667.pdb_clean	148.02448530226883
148	351	ranked_351.pdb_clean	149.7738001405078
149	347	ranked_347.pdb_clean	150.27357835976613
150	227	ranked_227.pdb_clean	150.7205823840801
151	846	ranked_846.pdb_clean	150.82549658068731
152	341	ranked_341.pdb_clean	151.4083579319773
153	228	ranked_228.pdb_clean	151.5118560218993
154	230	ranked_230.pdb_clean	152.11303329071038
155	948	ranked_948.pdb_clean	152.3803669992915
156	277	ranked_277.pdb_clean	152.95133064121836
157	826	ranked_826.pdb_clean	153.29022063406305
158	338	ranked_338.pdb_clean	153.55677981856735
159	282	ranked_282.pdb_clean	154.19341749815925
160	959	ranked_959.pdb_clean	154.50398993055023
161	238	ranked_238.pdb_clean	154.74857987790017
162	375	ranked_375.pdb_clean	155.3671767334835
163	313	ranked_313.pdb_clean	155.86160170288596
164	370	ranked_370.pdb_clean	156.52139197531451
165	625	ranked_625.pdb_clean	156.92661894777228
166	254	ranked_254.pdb_clean	157.40106042137145
167	111	ranked_111.pdb_clean	157.8653097325783
168	630	ranked_630.pdb_clean	158.98000964053122
169	295	ranked_295.pdb_clean	160.059014599331
170	835	ranked_835.pdb_clean	160.44567829452077
