#  old_rank	structure_name		score
0	189	ranked_189.pdb_clean	121.69105551055867
1	451	ranked_451.pdb_clean	178.57919534517688
2	539	ranked_539.pdb_clean	183.84158253168098
3	679	ranked_679.pdb_clean	202.43086818975507
4	431	ranked_431.pdb_clean	207.15106625446373
5	620	ranked_620.pdb_clean	212.2683860640601
6	358	ranked_358.pdb_clean	243.49679722567663
7	826	ranked_826.pdb_clean	243.9230592282558
8	299	ranked_299.pdb_clean	246.62102655502395
9	628	ranked_628.pdb_clean	258.17370807568676
10	772	ranked_772.pdb_clean	263.1629009233437
11	38	ranked_38.pdb_clean	268.2936307983221
12	103	ranked_103.pdb_clean	284.4109606631461
13	125	ranked_125.pdb_clean	284.898233815709
14	797	ranked_797.pdb_clean	286.64128701622485
15	707	ranked_707.pdb_clean	291.73795406799144
16	838	ranked_838.pdb_clean	300.0871936759531
17	23	ranked_23.pdb_clean	309.6166318528095
18	818	ranked_818.pdb_clean	311.03506210212487
19	445	ranked_445.pdb_clean	311.16543369447226
20	139	ranked_139.pdb_clean	314.6313366834391
21	866	ranked_866.pdb_clean	315.59878976926944
22	708	ranked_708.pdb_clean	325.52473972351254
23	403	ranked_403.pdb_clean	330.17569877003086
24	714	ranked_714.pdb_clean	330.70083719816165
25	214	ranked_214.pdb_clean	333.95446219063535
26	439	ranked_439.pdb_clean	334.89554758234357
27	477	ranked_477.pdb_clean	335.9341195887766
28	824	ranked_824.pdb_clean	337.0899923710414
29	757	ranked_757.pdb_clean	339.212648705207
30	146	ranked_146.pdb_clean	342.3797252644489
31	947	ranked_947.pdb_clean	342.7995308287315
32	149	ranked_149.pdb_clean	343.8031691208562
33	138	ranked_138.pdb_clean	345.6967307906385
34	491	ranked_491.pdb_clean	347.52961502653767
35	94	ranked_94.pdb_clean	347.84157032325083
36	208	ranked_208.pdb_clean	355.33818205203
37	482	ranked_482.pdb_clean	357.9186114130747
38	610	ranked_610.pdb_clean	358.97093245171834
39	687	ranked_687.pdb_clean	363.51482807494824
40	670	ranked_670.pdb_clean	365.48969810446476
41	663	ranked_663.pdb_clean	365.53789976321883
42	696	ranked_696.pdb_clean	369.67456406779144
43	774	ranked_774.pdb_clean	369.8813817546384
44	145	ranked_145.pdb_clean	374.4891978393609
45	812	ranked_812.pdb_clean	374.7062645919469
46	33	ranked_33.pdb_clean	381.2500439483302
47	712	ranked_712.pdb_clean	382.6940295315196
48	756	ranked_756.pdb_clean	385.5735055819144
49	694	ranked_694.pdb_clean	385.6017721647978
50	734	ranked_734.pdb_clean	388.22382113688604
51	144	ranked_144.pdb_clean	395.1854517487386
52	426	ranked_426.pdb_clean	395.9098433017168
53	630	ranked_630.pdb_clean	396.5238881863638
54	807	ranked_807.pdb_clean	397.097891676893
55	829	ranked_829.pdb_clean	403.78648099092067
56	719	ranked_719.pdb_clean	406.50279441001214
57	562	ranked_562.pdb_clean	407.8775429395336
58	574	ranked_574.pdb_clean	409.14966015359295
59	128	ranked_128.pdb_clean	411.053895417361
60	881	ranked_881.pdb_clean	411.25675865157143
61	869	ranked_869.pdb_clean	412.0350943762661
62	164	ranked_164.pdb_clean	413.219865367089
63	821	ranked_821.pdb_clean	413.3802572011772
64	951	ranked_951.pdb_clean	414.3443853934274
65	195	ranked_195.pdb_clean	416.46455328551644
66	786	ranked_786.pdb_clean	420.52961643332117
67	127	ranked_127.pdb_clean	421.0074404504762
68	604	ranked_604.pdb_clean	421.0565028489721
69	834	ranked_834.pdb_clean	421.1415148270338
70	697	ranked_697.pdb_clean	422.94478433892385
71	184	ranked_184.pdb_clean	423.3696958129374
72	902	ranked_902.pdb_clean	425.03522013387345
73	898	ranked_898.pdb_clean	425.9396400884356
74	90	ranked_90.pdb_clean	426.5453527684246
75	124	ranked_124.pdb_clean	427.22276198666793
