complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7v1a,ranked_0.pdb,vina,0.035,-0.041, 0.000, 0.000, 0.000, 0.008, 0.006, 0.008
7v1a,ranked_0.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.097, 0.000,-0.097
7v1a,ranked_1.pdb,vina,0.036,-0.043, 0.000, 0.000, 0.000, 0.001, 0.006, 0.001
7v1a,ranked_1.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.099, 0.000,-0.099
7v1a,ranked_2.pdb,vina,0.039,-0.046, 0.000, 0.000, 0.000, 0.001, 0.007, 0.001
7v1a,ranked_2.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.099, 0.000,-0.099
7v1a,ranked_3.pdb,vina,0.045,-0.052, 0.000, 0.000, 0.000, 0.001, 0.008, 0.001
7v1a,ranked_3.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.099, 0.000,-0.099
7v1a,ranked_4.pdb,vina,0.039,-0.046, 0.000, 0.000, 0.000, 0.001, 0.007, 0.001
7v1a,ranked_4.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.099, 0.000,-0.099
7v1a,ranked_5.pdb,vina,0.039,-0.045, 0.000, 0.000, 0.000, 0.005, 0.007, 0.005
7v1a,ranked_5.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.098, 0.000,-0.098
7v1a,ranked_6.pdb,vina,0.042,-0.050, 0.000, 0.000, 0.000, 0.003, 0.007, 0.003
7v1a,ranked_6.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.098, 0.000,-0.098
7v1a,ranked_7.pdb,vina,0.035,-0.041, 0.000, 0.000, 0.000, 0.001, 0.006, 0.001
7v1a,ranked_7.pdb,vinardo,0.000,-0.000, 0.000, 0.000, 0.000,-0.100, 0.000,-0.100
7v1a,ranked_8.pdb,vina,0.042,-0.049, 0.000, 0.000, 0.000, 0.001, 0.007, 0.001
