complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7sxf,ranked_0.pdb,vina,0.018,-0.088, 0.000, 0.000, 0.000,-3.134, 0.070,-3.134
7sxf,ranked_0.pdb,vinardo,1.578, 7.759, 0.000, 0.000, 0.000,-6.465,-6.181,-6.465
7sxf,ranked_1.pdb,vina,0.185,-0.911, 0.000, 0.000, 0.000,-0.604, 0.726,-0.604
7sxf,ranked_1.pdb,vinardo,1.344, 6.610, 0.000, 0.000, 0.000,-3.546,-5.266,-3.546
7sxf,ranked_2.pdb,vina,1.343,-6.605, 0.000, 0.000, 0.000,-2.118, 5.261,-2.118
7sxf,ranked_2.pdb,vinardo,0.274, 1.348, 0.000, 0.000, 0.000,-5.407,-1.073,-5.407
7sxf,ranked_3.pdb,vina,1.333,-6.553, 0.000, 0.000, 0.000,-2.073, 5.220,-2.073
7sxf,ranked_3.pdb,vinardo,0.227, 1.115, 0.000, 0.000, 0.000,-5.608,-0.888,-5.608
7sxf,ranked_4.pdb,vina,1.738,-8.547, 0.000, 0.000, 0.000,-7.597, 6.808,-7.597
7sxf,ranked_4.pdb,vinardo,-0.796, -3.912,  0.000,  0.000,  0.000,-12.472,  3.117,-12.472
7sxf,ranked_5.pdb,vina,1.198,-5.889, 0.000, 0.000, 0.000,-2.352, 4.691,-2.352
7sxf,ranked_5.pdb,vinardo,0.360, 1.770, 0.000, 0.000, 0.000,-5.618,-1.410,-5.618
7sxf,ranked_6.pdb,vina,1.683,-8.277, 0.000, 0.000, 0.000,-1.619, 6.594,-1.619
7sxf,ranked_6.pdb,vinardo,0.122,-0.599, 0.000, 0.000, 0.000,-4.770, 0.477,-4.770
7sxf,ranked_7.pdb,vina,1.353,-6.654, 0.000, 0.000, 0.000,-1.545, 5.301,-1.545
7sxf,ranked_7.pdb,vinardo,0.197, 0.969, 0.000, 0.000, 0.000,-4.723,-0.772,-4.723
7sxf,ranked_8.pdb,vina,1.572,-7.730, 0.000, 0.000, 0.000,-1.610, 6.158,-1.610
7sxf,ranked_8.pdb,vinardo,1.000e-03, 3.000e-03, 0.000e+00, 0.000e+00, 0.000e+00,-4.828e+00,
 -2.000e-03,-4.828e+00
7sxf,ranked_9.pdb,vina,1.614,-7.937, 0.000, 0.000, 0.000,-1.951, 6.323,-1.951
7sxf,ranked_9.pdb,vinardo,0.035,-0.172, 0.000, 0.000, 0.000,-5.064, 0.137,-5.064
7sxf,ranked_10.pdb,vina,1.572,-7.731, 0.000, 0.000, 0.000,-1.154, 6.159,-1.154
7sxf,ranked_10.pdb,vinardo,0.008, 0.039, 0.000, 0.000, 0.000,-4.206,-0.031,-4.206
7sxf,ranked_11.pdb,vina,1.033,-5.079, 0.000, 0.000, 0.000,-3.330, 4.046,-3.330
7sxf,ranked_11.pdb,vinardo,0.526, 2.586, 0.000, 0.000, 0.000,-6.903,-2.060,-6.903
7sxf,ranked_12.pdb,vina,1.409,-6.927, 0.000, 0.000, 0.000,-1.593, 5.518,-1.593
7sxf,ranked_12.pdb,vinardo,0.168, 0.827, 0.000, 0.000, 0.000,-4.983,-0.659,-4.983
7sxf,ranked_13.pdb,vina,1.858,-9.138, 0.000, 0.000, 0.000,-7.405, 7.279,-7.405
7sxf,ranked_13.pdb,vinardo,-0.923, -4.538,  0.000,  0.000,  0.000,-12.272,  3.615,-12.272
7sxf,ranked_14.pdb,vina,1.865,-9.168, 0.000, 0.000, 0.000, 2.261, 7.303, 2.261
7sxf,ranked_14.pdb,vinardo,0.799,-3.930, 0.000, 0.000, 0.000,-1.941, 3.131,-1.941
7sxf,ranked_15.pdb,vina,0.866,-4.260, 0.000, 0.000, 0.000,-0.886, 3.394,-0.886
7sxf,ranked_15.pdb,vinardo,0.641, 3.152, 0.000, 0.000, 0.000,-4.445,-2.511,-4.445
7sxf,ranked_16.pdb,vina,0.392, 1.929, 0.000, 0.000, 0.000, 0.129,-1.537, 0.129
7sxf,ranked_16.pdb,vinardo,1.839, 9.044, 0.000, 0.000, 0.000,-3.630,-7.205,-3.630
7sxf,ranked_17.pdb,vina,-2.646,-13.008,  0.000,  0.000,  0.000,  0.595, 10.363,  0.595
7sxf,ranked_17.pdb,vinardo,1.404,-6.902, 0.000, 0.000, 0.000,-3.517, 5.498,-3.517
7sxf,ranked_18.pdb,vina,1.038,-5.102, 0.000, 0.000, 0.000,-1.781, 4.065,-1.781
7sxf,ranked_18.pdb,vinardo,0.492, 2.421, 0.000, 0.000, 0.000,-5.217,-1.929,-5.217
7sxf,ranked_19.pdb,vina,1.461,-7.183, 0.000, 0.000, 0.000,-1.911, 5.722,-1.911
7sxf,ranked_19.pdb,vinardo,0.110, 0.539, 0.000, 0.000, 0.000,-5.269,-0.430,-5.269
7sxf,ranked_20.pdb,vina,1.156,-5.684, 0.000, 0.000, 0.000,-2.306, 4.528,-2.306
7sxf,ranked_20.pdb,vinardo,0.436, 2.142, 0.000, 0.000, 0.000,-5.945,-1.706,-5.945
7sxf,ranked_21.pdb,vina,0.411,-2.020, 0.000, 0.000, 0.000,-2.143, 1.609,-2.143
7sxf,ranked_21.pdb,vinardo,1.042, 5.124, 0.000, 0.000, 0.000,-6.195,-4.082,-6.195
7sxf,ranked_22.pdb,vina,1.643,-8.077, 0.000, 0.000, 0.000,-1.262, 6.434,-1.262
7sxf,ranked_22.pdb,vinardo,0.053,-0.259, 0.000, 0.000, 0.000,-4.397, 0.206,-4.397
7sxf,ranked_23.pdb,vina,-2.626,-12.910,  0.000,  0.000,  0.000, -0.627, 10.284, -0.627
7sxf,ranked_23.pdb,vinardo,1.304,-6.411, 0.000, 0.000, 0.000,-4.520, 5.107,-4.520
7sxf,ranked_24.pdb,vina,1.212,-5.958, 0.000, 0.000, 0.000,-2.236, 4.747,-2.236
7sxf,ranked_24.pdb,vinardo,0.331, 1.630, 0.000, 0.000, 0.000,-5.427,-1.298,-5.427
7sxf,ranked_25.pdb,vina,1.463,-7.195, 0.000, 0.000, 0.000,-0.594, 5.732,-0.594
7sxf,ranked_25.pdb,vinardo,0.051, 0.249, 0.000, 0.000, 0.000,-4.020,-0.198,-4.020
