Filename,Value,AlphaFold Rank
ranked_51.pdb_clean,0.6283,51.0
ranked_138.pdb_clean,0.6194,138.0
ranked_375.pdb_clean,0.6165,375.0
ranked_80.pdb_clean,0.6131,80.0
ranked_141.pdb_clean,0.6093,141.0
ranked_82.pdb_clean,0.6082,82.0
ranked_73.pdb_clean,0.6037,73.0
ranked_110.pdb_clean,0.6025,110.0
ranked_88.pdb_clean,0.5991,88.0
ranked_71.pdb_clean,0.5978,71.0
ranked_269.pdb_clean,0.5977,269.0
ranked_90.pdb_clean,0.5970,90.0
ranked_75.pdb_clean,0.5960,75.0
ranked_68.pdb_clean,0.5941,68.0
ranked_403.pdb_clean,0.5897,403.0
ranked_60.pdb_clean,0.5894,60.0
ranked_53.pdb_clean,0.5887,53.0
8CCW_AB,0.5869,
ranked_59.pdb_clean,0.5866,59.0
ranked_87.pdb_clean,0.5861,87.0
ranked_146.pdb_clean,0.5851,146.0
ranked_200.pdb_clean,0.5826,200.0
ranked_66.pdb_clean,0.5813,66.0
ranked_67.pdb_clean,0.5810,67.0
ranked_94.pdb_clean,0.5796,94.0
ranked_217.pdb_clean,0.5788,217.0
ranked_99.pdb_clean,0.5775,99.0
ranked_419.pdb_clean,0.5764,419.0
ranked_787.pdb_clean,0.5756,787.0
ranked_105.pdb_clean,0.5749,105.0
ranked_143.pdb_clean,0.5733,143.0
ranked_70.pdb_clean,0.5721,70.0
ranked_167.pdb_clean,0.5705,167.0
ranked_103.pdb_clean,0.5690,103.0
ranked_84.pdb_clean,0.5685,84.0
ranked_192.pdb_clean,0.5680,192.0
ranked_79.pdb_clean,0.5676,79.0
ranked_193.pdb_clean,0.5644,193.0
ranked_6.pdb_clean,0.5637,6.0
ranked_221.pdb_clean,0.5633,221.0
ranked_81.pdb_clean,0.5628,81.0
ranked_111.pdb_clean,0.5628,111.0
ranked_295.pdb_clean,0.5605,295.0
ranked_395.pdb_clean,0.5548,395.0
ranked_149.pdb_clean,0.5505,149.0
ranked_54.pdb_clean,0.5449,54.0
ranked_127.pdb_clean,0.5420,127.0
ranked_114.pdb_clean,0.5411,114.0
ranked_93.pdb_clean,0.5397,93.0
ranked_86.pdb_clean,0.5351,86.0
ranked_76.pdb_clean,0.5342,76.0
ranked_260.pdb_clean,0.5296,260.0
ranked_77.pdb_clean,0.5277,77.0
ranked_61.pdb_clean,0.5275,61.0
ranked_112.pdb_clean,0.5227,112.0
ranked_72.pdb_clean,0.5223,72.0
ranked_100.pdb_clean,0.5212,100.0
ranked_22.pdb_clean,0.5204,22.0
ranked_21.pdb_clean,0.5155,21.0
ranked_647.pdb_clean,0.5147,647.0
ranked_107.pdb_clean,0.5146,107.0
ranked_540.pdb_clean,0.5141,540.0
ranked_108.pdb_clean,0.5116,108.0
ranked_15.pdb_clean,0.5114,15.0
ranked_85.pdb_clean,0.5103,85.0
ranked_137.pdb_clean,0.5083,137.0
ranked_332.pdb_clean,0.5078,332.0
ranked_78.pdb_clean,0.5064,78.0
ranked_139.pdb_clean,0.5061,139.0
ranked_477.pdb_clean,0.5045,477.0
ranked_158.pdb_clean,0.5040,158.0
ranked_129.pdb_clean,0.5033,129.0
ranked_98.pdb_clean,0.5029,98.0
ranked_154.pdb_clean,0.5022,154.0
ranked_8.pdb_clean,0.5021,8.0
ranked_96.pdb_clean,0.5012,96.0
ranked_499.pdb_clean,0.5010,499.0
ranked_104.pdb_clean,0.4980,104.0
ranked_121.pdb_clean,0.4976,121.0
ranked_95.pdb_clean,0.4972,95.0
ranked_91.pdb_clean,0.4964,91.0
ranked_413.pdb_clean,0.4963,413.0
ranked_172.pdb_clean,0.4941,172.0
ranked_106.pdb_clean,0.4926,106.0
ranked_161.pdb_clean,0.4923,161.0
ranked_307.pdb_clean,0.4901,307.0
ranked_148.pdb_clean,0.4900,148.0
ranked_2.pdb_clean,0.4897,2.0
ranked_162.pdb_clean,0.4897,162.0
ranked_144.pdb_clean,0.4889,144.0
ranked_122.pdb_clean,0.4877,122.0
ranked_147.pdb_clean,0.4859,147.0
ranked_83.pdb_clean,0.4857,83.0
ranked_39.pdb_clean,0.4846,39.0
ranked_257.pdb_clean,0.4835,257.0
ranked_451.pdb_clean,0.4834,451.0
ranked_89.pdb_clean,0.4828,89.0
ranked_40.pdb_clean,0.4828,40.0
ranked_140.pdb_clean,0.4820,140.0
ranked_212.pdb_clean,0.4813,212.0
ranked_130.pdb_clean,0.4813,130.0
ranked_235.pdb_clean,0.4805,235.0
ranked_123.pdb_clean,0.4799,123.0
ranked_69.pdb_clean,0.4796,69.0
ranked_157.pdb_clean,0.4791,157.0
ranked_246.pdb_clean,0.4787,246.0
ranked_115.pdb_clean,0.4786,115.0
ranked_173.pdb_clean,0.4770,173.0
ranked_199.pdb_clean,0.4763,199.0
ranked_125.pdb_clean,0.4759,125.0
ranked_131.pdb_clean,0.4754,131.0
ranked_135.pdb_clean,0.4752,135.0
ranked_176.pdb_clean,0.4748,176.0
ranked_62.pdb_clean,0.4745,62.0
ranked_153.pdb_clean,0.4745,153.0
ranked_522.pdb_clean,0.4738,522.0
ranked_187.pdb_clean,0.4730,187.0
ranked_164.pdb_clean,0.4730,164.0
ranked_184.pdb_clean,0.4715,184.0
ranked_4.pdb_clean,0.4713,4.0
ranked_36.pdb_clean,0.4708,36.0
ranked_9.pdb_clean,0.4694,9.0
ranked_30.pdb_clean,0.4681,30.0
ranked_117.pdb_clean,0.4679,117.0
ranked_92.pdb_clean,0.4670,92.0
ranked_1.pdb_clean,0.4669,1.0
ranked_288.pdb_clean,0.4668,288.0
ranked_97.pdb_clean,0.4659,97.0
ranked_207.pdb_clean,0.4658,207.0
ranked_44.pdb_clean,0.4655,44.0
ranked_204.pdb_clean,0.4632,204.0
ranked_116.pdb_clean,0.4628,116.0
ranked_156.pdb_clean,0.4610,156.0
ranked_587.pdb_clean,0.4607,587.0
ranked_209.pdb_clean,0.4602,209.0
ranked_203.pdb_clean,0.4594,203.0
ranked_23.pdb_clean,0.4593,23.0
ranked_475.pdb_clean,0.4592,475.0
ranked_196.pdb_clean,0.4590,196.0
ranked_142.pdb_clean,0.4589,142.0
ranked_486.pdb_clean,0.4583,486.0
ranked_124.pdb_clean,0.4583,124.0
ranked_237.pdb_clean,0.4582,237.0
ranked_924.pdb_clean,0.4580,924.0
ranked_215.pdb_clean,0.4570,215.0
ranked_563.pdb_clean,0.4562,563.0
ranked_220.pdb_clean,0.4562,220.0
ranked_376.pdb_clean,0.4557,376.0
ranked_360.pdb_clean,0.4557,360.0
ranked_316.pdb_clean,0.4556,316.0
ranked_228.pdb_clean,0.4548,228.0
ranked_50.pdb_clean,0.4545,50.0
ranked_616.pdb_clean,0.4543,616.0
ranked_132.pdb_clean,0.4537,132.0
ranked_198.pdb_clean,0.4536,198.0
ranked_119.pdb_clean,0.4534,119.0
ranked_19.pdb_clean,0.4532,19.0
ranked_175.pdb_clean,0.4529,175.0
ranked_197.pdb_clean,0.4520,197.0
ranked_18.pdb_clean,0.4517,18.0
ranked_306.pdb_clean,0.4515,306.0
ranked_493.pdb_clean,0.4509,493.0
ranked_145.pdb_clean,0.4509,145.0
ranked_33.pdb_clean,0.4504,33.0
ranked_34.pdb_clean,0.4501,34.0
ranked_277.pdb_clean,0.4494,277.0
ranked_242.pdb_clean,0.4492,242.0
ranked_177.pdb_clean,0.4492,177.0
ranked_12.pdb_clean,0.4492,12.0
ranked_236.pdb_clean,0.4491,236.0
ranked_113.pdb_clean,0.4491,113.0
ranked_626.pdb_clean,0.4490,626.0
ranked_29.pdb_clean,0.4484,29.0
ranked_155.pdb_clean,0.4484,155.0
ranked_57.pdb_clean,0.4474,57.0
ranked_862.pdb_clean,0.4473,862.0
ranked_374.pdb_clean,0.4467,374.0
ranked_171.pdb_clean,0.4467,171.0
ranked_238.pdb_clean,0.4466,238.0
ranked_311.pdb_clean,0.4464,311.0
ranked_45.pdb_clean,0.4462,45.0
ranked_43.pdb_clean,0.4457,43.0
ranked_205.pdb_clean,0.4456,205.0
ranked_734.pdb_clean,0.4453,734.0
