complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7ui8,ranked_0.pdb,vina,-2.665,-14.975,  0.000,  0.000,  0.000, -6.403, 12.310, -6.403
7ui8,ranked_0.pdb,vinardo,-1.878,-10.549,  0.000,  0.000,  0.000, -8.534,  8.671, -8.534
7ui8,ranked_1.pdb,vina,-2.518,-14.146,  0.000,  0.000,  0.000, -6.493, 11.628, -6.493
7ui8,ranked_1.pdb,vinardo,1.702,-9.563, 0.000, 0.000, 0.000,-8.648, 7.861,-8.648
7ui8,ranked_2.pdb,vina,-2.428,-13.640,  0.000,  0.000,  0.000, -6.370, 11.212, -6.370
7ui8,ranked_2.pdb,vinardo,1.658,-9.314, 0.000, 0.000, 0.000,-8.527, 7.656,-8.527
7ui8,ranked_3.pdb,vina,-2.173,-12.209,  0.000,  0.000,  0.000, -6.612, 10.036, -6.612
7ui8,ranked_3.pdb,vinardo,1.300,-7.301, 0.000, 0.000, 0.000,-8.784, 6.002,-8.784
7ui8,ranked_4.pdb,vina,-2.443,-13.727,  0.000,  0.000,  0.000, -6.569, 11.283, -6.569
7ui8,ranked_4.pdb,vinardo,1.684,-9.464, 0.000, 0.000, 0.000,-8.785, 7.779,-8.785
7ui8,ranked_5.pdb,vina,-2.344,-13.170,  0.000,  0.000,  0.000, -6.330, 10.826, -6.330
7ui8,ranked_5.pdb,vinardo,1.571,-8.829, 0.000, 0.000, 0.000,-8.515, 7.258,-8.515
7ui8,ranked_6.pdb,vina,-2.423,-13.615,  0.000,  0.000,  0.000, -6.626, 11.191, -6.626
7ui8,ranked_6.pdb,vinardo,1.586,-8.909, 0.000, 0.000, 0.000,-8.736, 7.323,-8.736
7ui8,ranked_7.pdb,vina,-2.471,-13.882,  0.000,  0.000,  0.000, -6.348, 11.411, -6.348
7ui8,ranked_7.pdb,vinardo,1.673,-9.400, 0.000, 0.000, 0.000,-8.503, 7.727,-8.503
7ui8,ranked_8.pdb,vina,-2.536,-14.248,  0.000,  0.000,  0.000, -6.638, 11.712, -6.638
7ui8,ranked_8.pdb,vinardo,-1.793,-10.071,  0.000,  0.000,  0.000, -8.801,  8.279, -8.801
7ui8,ranked_9.pdb,vina,-2.470,-13.877,  0.000,  0.000,  0.000, -6.703, 11.407, -6.703
7ui8,ranked_9.pdb,vinardo,1.708,-9.595, 0.000, 0.000, 0.000,-8.816, 7.887,-8.816
7ui8,ranked_10.pdb,vina,-2.426,-13.632,  0.000,  0.000,  0.000, -6.584, 11.206, -6.584
