complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8ccw,ranked_0.pdb,vina,1.339,-2.434, 0.000, 0.000, 0.000,-0.066, 1.096,-0.066
8ccw,ranked_0.pdb,vinardo,1.025,-1.864, 0.000, 0.000, 0.000,-0.612, 0.839,-0.612
8ccw,ranked_1.pdb,vina,2.896,-5.266, 0.000, 0.000, 0.000, 0.379, 2.370, 0.379
8ccw,ranked_1.pdb,vinardo,2.314,-4.207, 0.000, 0.000, 0.000,-0.082, 1.894,-0.082
8ccw,ranked_2.pdb,vina,21.879, 39.787,  0.000,  0.000,  0.000,  1.168,-17.907,  1.168
8ccw,ranked_2.pdb,vinardo,25.249, 45.913,  0.000,  0.000,  0.000,  0.423,-20.665,  0.423
8ccw,ranked_3.pdb,vina,13.932, 25.335,  0.000,  0.000,  0.000,  1.270,-11.403,  1.270
8ccw,ranked_3.pdb,vinardo,16.523, 30.045,  0.000,  0.000,  0.000,  0.551,-13.523,  0.551
8ccw,ranked_4.pdb,vina,3.496,-6.357, 0.000, 0.000, 0.000, 0.382, 2.861, 0.382
8ccw,ranked_4.pdb,vinardo,2.843,-5.171, 0.000, 0.000, 0.000,-0.163, 2.327,-0.163
8ccw,ranked_5.pdb,vina,2.604,-4.734, 0.000, 0.000, 0.000, 0.686, 2.131, 0.686
8ccw,ranked_5.pdb,vinardo,1.946,-3.539, 0.000, 0.000, 0.000, 0.118, 1.593, 0.118
8ccw,ranked_6.pdb,vina,2.527,-4.595, 0.000, 0.000, 0.000, 1.135, 2.068, 1.135
8ccw,ranked_6.pdb,vinardo,1.790,-3.255, 0.000, 0.000, 0.000, 0.534, 1.465, 0.534
8ccw,ranked_7.pdb,vina,3.003,-5.461, 0.000, 0.000, 0.000, 0.839, 2.458, 0.839
8ccw,ranked_7.pdb,vinardo,2.265,-4.119, 0.000, 0.000, 0.000, 0.228, 1.854, 0.228
8ccw,ranked_8.pdb,vina,2.565,-4.664, 0.000, 0.000, 0.000, 1.069, 2.099, 1.069
8ccw,ranked_8.pdb,vinardo,1.821,-3.312, 0.000, 0.000, 0.000, 0.498, 1.491, 0.498
8ccw,ranked_9.pdb,vina,0.037, 0.067, 0.000, 0.000, 0.000,-0.778,-0.030,-0.778
8ccw,ranked_9.pdb,vinardo,0.633, 1.151, 0.000, 0.000, 0.000,-0.924,-0.518,-0.924
8ccw,ranked_10.pdb,vina,2.540,-4.619, 0.000, 0.000, 0.000, 1.339, 2.079, 1.339
8ccw,ranked_10.pdb,vinardo,1.754,-3.189, 0.000, 0.000, 0.000, 0.702, 1.435, 0.702
8ccw,ranked_11.pdb,vina,2.781,-5.057, 0.000, 0.000, 0.000, 1.033, 2.276, 1.033
8ccw,ranked_11.pdb,vinardo,2.120,-3.856, 0.000, 0.000, 0.000, 0.390, 1.735, 0.390
8ccw,ranked_12.pdb,vina,2.677,-4.867, 0.000, 0.000, 0.000, 1.094, 2.191, 1.094
8ccw,ranked_12.pdb,vinardo,2.001,-3.638, 0.000, 0.000, 0.000, 0.463, 1.637, 0.463
8ccw,ranked_13.pdb,vina,0.269,-0.488, 0.000, 0.000, 0.000,-0.918, 0.220,-0.918
8ccw,ranked_13.pdb,vinardo,0.047,-0.085, 0.000, 0.000, 0.000,-1.166, 0.038,-1.166
8ccw,ranked_14.pdb,vina,2.580,-4.692, 0.000, 0.000, 0.000, 1.062, 2.112, 1.062
8ccw,ranked_14.pdb,vinardo,1.909,-3.471, 0.000, 0.000, 0.000, 0.427, 1.562, 0.427
8ccw,ranked_15.pdb,vina,0.577,-1.049, 0.000, 0.000, 0.000,-0.879, 0.472,-0.879
8ccw,ranked_15.pdb,vinardo,0.163,-0.297, 0.000, 0.000, 0.000,-1.140, 0.134,-1.140
8ccw,ranked_16.pdb,vina,2.858,-5.196, 0.000, 0.000, 0.000, 1.452, 2.339, 1.452
8ccw,ranked_16.pdb,vinardo,2.092,-3.804, 0.000, 0.000, 0.000, 0.837, 1.712, 0.837
8ccw,ranked_17.pdb,vina,2.779,-5.054, 0.000, 0.000, 0.000, 1.505, 2.275, 1.505
8ccw,ranked_17.pdb,vinardo,2.102,-3.822, 0.000, 0.000, 0.000, 0.858, 1.720, 0.858
8ccw,ranked_18.pdb,vina,2.717,-4.941, 0.000, 0.000, 0.000, 1.422, 2.224, 1.422
8ccw,ranked_18.pdb,vinardo,1.976,-3.593, 0.000, 0.000, 0.000, 0.808, 1.617, 0.808
8ccw,ranked_19.pdb,vina,2.673,-4.861, 0.000, 0.000, 0.000, 1.393, 2.188, 1.393
8ccw,ranked_19.pdb,vinardo,1.916,-3.485, 0.000, 0.000, 0.000, 0.745, 1.568, 0.745
8ccw,ranked_20.pdb,vina,5.641,10.258, 0.000, 0.000, 0.000, 1.159,-4.617, 1.159
8ccw,ranked_20.pdb,vinardo,7.667,13.941, 0.000, 0.000, 0.000, 0.563,-6.275, 0.563
8ccw,ranked_21.pdb,vina,36.318, 66.042,  0.000,  0.000,  0.000,  2.122,-29.724,  2.122
8ccw,ranked_21.pdb,vinardo,38.012, 69.122,  0.000,  0.000,  0.000,  1.292,-31.110,  1.292
8ccw,ranked_22.pdb,vina,3.593,-6.533, 0.000, 0.000, 0.000, 1.888, 2.940, 1.888
8ccw,ranked_22.pdb,vinardo,2.526,-4.593, 0.000, 0.000, 0.000, 1.245, 2.067, 1.245
8ccw,ranked_23.pdb,vina,36.680, 66.700,  0.000,  0.000,  0.000,  1.243,-30.020,  1.243
8ccw,ranked_23.pdb,vinardo,38.615, 70.219,  0.000,  0.000,  0.000,  0.549,-31.604,  0.549
8ccw,ranked_24.pdb,vina,13.281, 24.150,  0.000,  0.000,  0.000,  3.329,-10.869,  3.329
8ccw,ranked_24.pdb,vinardo,15.130, 27.513,  0.000,  0.000,  0.000,  2.867,-12.383,  2.867
8ccw,ranked_25.pdb,vina,14.522, 26.408,  0.000,  0.000,  0.000,  1.556,-11.886,  1.556
8ccw,ranked_25.pdb,vinardo,15.605, 28.376,  0.000,  0.000,  0.000,  0.761,-12.771,  0.761
8ccw,ranked_26.pdb,vina,20.608, 37.474,  0.000,  0.000,  0.000, -0.209,-16.866, -0.209
8ccw,ranked_26.pdb,vinardo,21.393, 38.902,  0.000,  0.000,  0.000, -0.173,-17.509, -0.173
8ccw,ranked_27.pdb,vina,40.343, 73.362,  0.000,  0.000,  0.000,  4.446,-33.018,  4.446
8ccw,ranked_27.pdb,vinardo,45.442, 82.633,  0.000,  0.000,  0.000,  3.505,-37.191,  3.505
8ccw,ranked_28.pdb,vina,2.811, 5.111, 0.000, 0.000, 0.000, 0.080,-2.300, 0.080
8ccw,ranked_28.pdb,vinardo,4.440, 8.073, 0.000, 0.000, 0.000,-0.271,-3.633,-0.271
8ccw,ranked_29.pdb,vina,8.934,16.246, 0.000, 0.000, 0.000, 0.877,-7.312, 0.877
8ccw,ranked_29.pdb,vinardo,1.772,21.407, 0.000, 0.000, 0.000, 0.449,-9.635, 0.449
8ccw,ranked_30.pdb,vina,2.524, 4.590, 0.000, 0.000, 0.000, 0.218,-2.066, 0.218
8ccw,ranked_30.pdb,vinardo,4.122, 7.495, 0.000, 0.000, 0.000,-0.147,-3.373,-0.147
8ccw,ranked_31.pdb,vina,2.933, 5.334, 0.000, 0.000, 0.000, 0.184,-2.401, 0.184
8ccw,ranked_31.pdb,vinardo,4.503, 8.189, 0.000, 0.000, 0.000,-0.171,-3.686,-0.171
8ccw,ranked_32.pdb,vina,2.948, 5.361, 0.000, 0.000, 0.000, 0.191,-2.413, 0.191
8ccw,ranked_32.pdb,vinardo,4.578, 8.325, 0.000, 0.000, 0.000,-0.155,-3.747,-0.155
8ccw,ranked_33.pdb,vina,2.558, 4.651, 0.000, 0.000, 0.000, 0.220,-2.093, 0.220
8ccw,ranked_33.pdb,vinardo,4.173, 7.588, 0.000, 0.000, 0.000,-0.152,-3.415,-0.152
8ccw,ranked_34.pdb,vina,15.155, 27.559,  0.000,  0.000,  0.000,  1.303,-12.403,  1.303
8ccw,ranked_34.pdb,vinardo,16.749, 30.456,  0.000,  0.000,  0.000,  0.740,-13.708,  0.740
8ccw,ranked_35.pdb,vina,2.062, 3.750, 0.000, 0.000, 0.000, 0.450,-1.688, 0.450
8ccw,ranked_35.pdb,vinardo,3.701, 6.730, 0.000, 0.000, 0.000, 0.046,-3.029, 0.046
8ccw,ranked_36.pdb,vina,2.055, 3.737, 0.000, 0.000, 0.000, 1.768,-1.682, 1.768
8ccw,ranked_36.pdb,vinardo,3.485, 6.338, 0.000, 0.000, 0.000, 1.249,-2.852, 1.249
8ccw,ranked_37.pdb,vina,13.364, 24.302,  0.000,  0.000,  0.000,  1.400,-10.938,  1.400
8ccw,ranked_37.pdb,vinardo,14.749, 26.820,  0.000,  0.000,  0.000,  0.807,-12.071,  0.807
8ccw,ranked_38.pdb,vina,21.286, 38.706,  0.000,  0.000,  0.000,  1.902,-17.421,  1.902
8ccw,ranked_38.pdb,vinardo,22.605, 41.107,  0.000,  0.000,  0.000,  1.240,-18.501,  1.240
8ccw,ranked_39.pdb,vina,6.653,12.098, 0.000, 0.000, 0.000, 1.269,-5.445, 1.269
8ccw,ranked_39.pdb,vinardo,8.853,16.098, 0.000, 0.000, 0.000, 0.726,-7.245, 0.726
8ccw,ranked_40.pdb,vina,2.965, 5.393, 0.000, 0.000, 0.000, 0.411,-2.427, 0.411
8ccw,ranked_40.pdb,vinardo,4.614, 8.391, 0.000, 0.000, 0.000, 0.025,-3.777, 0.025
8ccw,ranked_41.pdb,vina,3.331, 6.058, 0.000, 0.000, 0.000, 0.331,-2.727, 0.331
8ccw,ranked_41.pdb,vinardo,4.979, 9.055, 0.000, 0.000, 0.000,-0.052,-4.075,-0.052
8ccw,ranked_42.pdb,vina,9.591,17.440, 0.000, 0.000, 0.000, 3.691,-7.849, 3.691
8ccw,ranked_42.pdb,vinardo,13.847, 25.181,  0.000,  0.000,  0.000,  2.822,-11.333,  2.822
8ccw,ranked_43.pdb,vina,14.712, 26.752,  0.000,  0.000,  0.000,  1.622,-12.041,  1.622
8ccw,ranked_43.pdb,vinardo,16.573, 30.136,  0.000,  0.000,  0.000,  1.021,-13.564,  1.021
8ccw,ranked_44.pdb,vina,17.472, 31.772,  0.000,  0.000,  0.000,  0.933,-14.300,  0.933
8ccw,ranked_44.pdb,vinardo,19.779, 35.967,  0.000,  0.000,  0.000,  0.440,-16.188,  0.440
8ccw,ranked_45.pdb,vina,2.899, 5.272, 0.000, 0.000, 0.000, 0.429,-2.373, 0.429
8ccw,ranked_45.pdb,vinardo,4.718, 8.579, 0.000, 0.000, 0.000, 0.039,-3.861, 0.039
8ccw,ranked_46.pdb,vina,18.593, 33.810,  0.000,  0.000,  0.000,  1.234,-15.217,  1.234
8ccw,ranked_46.pdb,vinardo,20.638, 37.528,  0.000,  0.000,  0.000,  0.655,-16.891,  0.655
8ccw,ranked_47.pdb,vina,15.324, 27.866,  0.000,  0.000,  0.000,  2.630,-12.542,  2.630
8ccw,ranked_47.pdb,vinardo,16.719, 30.403,  0.000,  0.000,  0.000,  1.874,-13.684,  1.874
8ccw,ranked_48.pdb,vina,15.360, 27.931,  0.000,  0.000,  0.000,  1.384,-12.571,  1.384
8ccw,ranked_48.pdb,vinardo,16.666, 30.306,  0.000,  0.000,  0.000,  0.822,-13.640,  0.822
8ccw,ranked_49.pdb,vina,2.776, 5.048, 0.000, 0.000, 0.000, 0.762,-2.272, 0.762
8ccw,ranked_49.pdb,vinardo,4.335, 7.883, 0.000, 0.000, 0.000, 0.315,-3.548, 0.315
8ccw,ranked_50.pdb,vina,13.578, 24.691,  0.000,  0.000,  0.000,  1.673,-11.113,  1.673
8ccw,ranked_50.pdb,vinardo,15.146, 27.542,  0.000,  0.000,  0.000,  1.069,-12.396,  1.069
8ccw,ranked_51.pdb,vina,5.432, 9.878, 0.000, 0.000, 0.000, 0.935,-4.446, 0.935
8ccw,ranked_51.pdb,vinardo,6.921,12.585, 0.000, 0.000, 0.000, 0.468,-5.664, 0.468
8ccw,ranked_52.pdb,vina,20.130, 36.605,  0.000,  0.000,  0.000,  1.802,-16.475,  1.802
8ccw,ranked_52.pdb,vinardo,21.123, 38.410,  0.000,  0.000,  0.000,  1.173,-17.288,  1.173
8ccw,ranked_53.pdb,vina,23.144, 42.087,  0.000,  0.000,  0.000,  0.676,-18.942,  0.676
8ccw,ranked_53.pdb,vinardo,24.678, 44.876,  0.000,  0.000,  0.000,  0.390,-20.198,  0.390
8ccw,ranked_54.pdb,vina,17.357, 31.562,  0.000,  0.000,  0.000,  1.433,-14.205,  1.433
8ccw,ranked_54.pdb,vinardo,19.319, 35.130,  0.000,  0.000,  0.000,  0.852,-15.811,  0.852
8ccw,ranked_55.pdb,vina,18.729, 34.058,  0.000,  0.000,  0.000,  1.744,-15.329,  1.744
8ccw,ranked_55.pdb,vinardo,19.923, 36.228,  0.000,  0.000,  0.000,  1.091,-16.306,  1.091
8ccw,ranked_56.pdb,vina,2.992, 5.441, 0.000, 0.000, 0.000, 0.376,-2.449, 0.376
8ccw,ranked_56.pdb,vinardo,4.625e+00, 8.410e+00, 0.000e+00, 0.000e+00, 0.000e+00,-1.000e-03,
 -3.785e+00,-1.000e-03
8ccw,ranked_57.pdb,vina,16.309, 29.656,  0.000,  0.000,  0.000,  1.474,-13.348,  1.474
8ccw,ranked_57.pdb,vinardo,17.897, 32.545,  0.000,  0.000,  0.000,  0.902,-14.648,  0.902
8ccw,ranked_58.pdb,vina,17.443, 31.719,  0.000,  0.000,  0.000,  2.258,-14.276,  2.258
8ccw,ranked_58.pdb,vinardo,18.739, 34.076,  0.000,  0.000,  0.000,  1.542,-15.337,  1.542
8ccw,ranked_59.pdb,vina,2.524, 4.589, 0.000, 0.000, 0.000, 0.770,-2.065, 0.770
8ccw,ranked_59.pdb,vinardo,4.397, 7.995, 0.000, 0.000, 0.000, 0.331,-3.599, 0.331
8ccw,ranked_60.pdb,vina,20.147, 36.637,  0.000,  0.000,  0.000,  2.203,-16.489,  2.203
8ccw,ranked_60.pdb,vinardo,21.774, 39.594,  0.000,  0.000,  0.000,  1.505,-17.821,  1.505
8ccw,ranked_61.pdb,vina,18.473, 33.593,  0.000,  0.000,  0.000,  2.096,-15.119,  2.096
8ccw,ranked_61.pdb,vinardo,19.975, 36.323,  0.000,  0.000,  0.000,  1.424,-16.348,  1.424
8ccw,ranked_62.pdb,vina,2.652, 4.822, 0.000, 0.000, 0.000, 0.819,-2.170, 0.819
8ccw,ranked_62.pdb,vinardo,4.378, 7.961, 0.000, 0.000, 0.000, 0.361,-3.583, 0.361
8ccw,ranked_63.pdb,vina,1.883, 3.424, 0.000, 0.000, 0.000, 0.899,-1.541, 0.899
8ccw,ranked_63.pdb,vinardo,3.827, 6.960, 0.000, 0.000, 0.000, 0.435,-3.132, 0.435
8ccw,ranked_64.pdb,vina,23.349, 42.458,  0.000,  0.000,  0.000,  1.369,-19.110,  1.369
8ccw,ranked_64.pdb,vinardo,25.197, 45.819,  0.000,  0.000,  0.000,  0.784,-20.622,  0.784
8ccw,ranked_65.pdb,vina,19.291, 35.079,  0.000,  0.000,  0.000,  2.131,-15.788,  2.131
8ccw,ranked_65.pdb,vinardo,20.311, 36.934,  0.000,  0.000,  0.000,  1.472,-16.623,  1.472
8ccw,ranked_66.pdb,vina,15.107, 27.471,  0.000,  0.000,  0.000,  1.620,-12.364,  1.620
8ccw,ranked_66.pdb,vinardo,17.109, 31.111,  0.000,  0.000,  0.000,  1.026,-14.003,  1.026
8ccw,ranked_67.pdb,vina,12.936, 23.524,  0.000,  0.000,  0.000,  1.729,-10.588,  1.729
8ccw,ranked_67.pdb,vinardo,15.013, 27.300,  0.000,  0.000,  0.000,  1.115,-12.287,  1.115
8ccw,ranked_68.pdb,vina,23.192, 42.174,  0.000,  0.000,  0.000,  1.928,-18.982,  1.928
8ccw,ranked_68.pdb,vinardo,24.557, 44.655,  0.000,  0.000,  0.000,  1.256,-20.098,  1.256
8ccw,ranked_69.pdb,vina,3.889, 7.073, 0.000, 0.000, 0.000, 0.762,-3.183, 0.762
8ccw,ranked_69.pdb,vinardo,5.729,10.417, 0.000, 0.000, 0.000, 0.303,-4.688, 0.303
8ccw,ranked_70.pdb,vina,20.264, 36.849,  0.000,  0.000,  0.000,  2.539,-16.585,  2.539
8ccw,ranked_70.pdb,vinardo,21.537, 39.164,  0.000,  0.000,  0.000,  1.810,-17.627,  1.810
8ccw,ranked_71.pdb,vina,2.016, 3.665, 0.000, 0.000, 0.000, 1.467,-1.650, 1.467
8ccw,ranked_71.pdb,vinardo,3.938, 7.161, 0.000, 0.000, 0.000, 0.938,-3.223, 0.938
8ccw,ranked_72.pdb,vina,8.731,15.877, 0.000, 0.000, 0.000, 2.096,-7.146, 2.096
8ccw,ranked_72.pdb,vinardo,0.787,19.616, 0.000, 0.000, 0.000, 1.454,-8.829, 1.454
8ccw,ranked_73.pdb,vina,19.926, 36.234,  0.000,  0.000,  0.000,  1.598,-16.308,  1.598
8ccw,ranked_73.pdb,vinardo,21.213, 38.574,  0.000,  0.000,  0.000,  0.986,-17.361,  0.986
8ccw,ranked_74.pdb,vina,2.676, 4.866, 0.000, 0.000, 0.000, 1.005,-2.190, 1.005
8ccw,ranked_74.pdb,vinardo,4.312, 7.841, 0.000, 0.000, 0.000, 0.496,-3.529, 0.496
8ccw,ranked_75.pdb,vina,6.473,11.771, 0.000, 0.000, 0.000, 1.263,-5.298, 1.263
8ccw,ranked_75.pdb,vinardo,9.057,16.470, 0.000, 0.000, 0.000, 0.782,-7.413, 0.782
8ccw,ranked_76.pdb,vina,4.211, 7.658, 0.000, 0.000, 0.000, 0.419,-3.447, 0.419
8ccw,ranked_76.pdb,vinardo,6.004,10.917, 0.000, 0.000, 0.000, 0.026,-4.914, 0.026
8ccw,ranked_77.pdb,vina,2.126,22.050, 0.000, 0.000, 0.000, 2.568,-9.924, 2.568
8ccw,ranked_77.pdb,vinardo,13.789, 25.075,  0.000,  0.000,  0.000,  1.820,-11.286,  1.820
8ccw,ranked_78.pdb,vina,3.694, 6.717, 0.000, 0.000, 0.000, 0.884,-3.023, 0.884
8ccw,ranked_78.pdb,vinardo,5.424, 9.864, 0.000, 0.000, 0.000, 0.437,-4.440, 0.437
8ccw,ranked_79.pdb,vina,1.824, 3.317, 0.000, 0.000, 0.000, 0.557,-1.493, 0.557
8ccw,ranked_79.pdb,vinardo,3.737, 6.796, 0.000, 0.000, 0.000, 0.162,-3.059, 0.162
8ccw,ranked_80.pdb,vina,2.544, 4.626, 0.000, 0.000, 0.000, 0.860,-2.082, 0.860
8ccw,ranked_80.pdb,vinardo,4.577, 8.323, 0.000, 0.000, 0.000, 0.413,-3.746, 0.413
8ccw,ranked_81.pdb,vina,2.542, 4.623, 0.000, 0.000, 0.000, 0.815,-2.081, 0.815
8ccw,ranked_81.pdb,vinardo,4.179, 7.600, 0.000, 0.000, 0.000, 0.348,-3.420, 0.348
8ccw,ranked_82.pdb,vina,5.904,10.737, 0.000, 0.000, 0.000, 1.270,-4.832, 1.270
8ccw,ranked_82.pdb,vinardo,8.025,14.592, 0.000, 0.000, 0.000, 0.722,-6.568, 0.722
8ccw,ranked_83.pdb,vina,18.093, 32.901,  0.000,  0.000,  0.000,  1.953,-14.808,  1.953
8ccw,ranked_83.pdb,vinardo,19.598, 35.638,  0.000,  0.000,  0.000,  1.310,-16.040,  1.310
8ccw,ranked_84.pdb,vina,22.744, 41.359,  0.000,  0.000,  0.000,  2.405,-18.615,  2.405
8ccw,ranked_84.pdb,vinardo,23.991, 43.627,  0.000,  0.000,  0.000,  1.696,-19.635,  1.696
8ccw,ranked_85.pdb,vina,18.104, 32.921,  0.000,  0.000,  0.000,  2.074,-14.817,  2.074
8ccw,ranked_85.pdb,vinardo,19.453, 35.374,  0.000,  0.000,  0.000,  1.430,-15.921,  1.430
8ccw,ranked_86.pdb,vina,25.867, 47.038,  0.000,  0.000,  0.000,  2.738,-21.171,  2.738
8ccw,ranked_86.pdb,vinardo,27.130, 49.335,  0.000,  0.000,  0.000,  1.988,-22.205,  1.988
8ccw,ranked_87.pdb,vina,12.925, 23.503,  0.000,  0.000,  0.000,  1.433,-10.578,  1.433
8ccw,ranked_87.pdb,vinardo,15.302, 27.825,  0.000,  0.000,  0.000,  0.892,-12.523,  0.892
8ccw,ranked_88.pdb,vina,24.317, 44.220,  0.000,  0.000,  0.000,  3.088,-19.902,  3.088
8ccw,ranked_88.pdb,vinardo,25.785, 46.888,  0.000,  0.000,  0.000,  2.259,-21.103,  2.259
8ccw,ranked_89.pdb,vina,2.066, 3.757, 0.000, 0.000, 0.000, 0.695,-1.691, 0.695
8ccw,ranked_89.pdb,vinardo,3.784, 6.881, 0.000, 0.000, 0.000, 0.267,-3.097, 0.267
8ccw,ranked_90.pdb,vina,25.074, 45.596,  0.000,  0.000,  0.000,  3.116,-20.522,  3.116
8ccw,ranked_90.pdb,vinardo,26.588, 48.349,  0.000,  0.000,  0.000,  2.279,-21.761,  2.279
8ccw,ranked_91.pdb,vina,13.641, 24.806,  0.000,  0.000,  0.000,  1.704,-11.164,  1.704
8ccw,ranked_91.pdb,vinardo,15.446, 28.088,  0.000,  0.000,  0.000,  1.087,-12.642,  1.087
8ccw,ranked_92.pdb,vina,4.188, 7.616, 0.000, 0.000, 0.000, 1.605,-3.428, 1.605
8ccw,ranked_92.pdb,vinardo,5.972,10.859, 0.000, 0.000, 0.000, 1.037,-4.888, 1.037
8ccw,ranked_93.pdb,vina,3.349, 6.091, 0.000, 0.000, 0.000, 1.128,-2.741, 1.128
8ccw,ranked_93.pdb,vinardo,5.562,10.114, 0.000, 0.000, 0.000, 0.636,-4.552, 0.636
8ccw,ranked_94.pdb,vina,4.793, 8.716, 0.000, 0.000, 0.000, 0.410,-3.923, 0.410
8ccw,ranked_94.pdb,vinardo,6.519,11.855, 0.000, 0.000, 0.000, 0.022,-5.336, 0.022
8ccw,ranked_95.pdb,vina,22.736, 41.343,  0.000,  0.000,  0.000,  2.437,-18.608,  2.437
