Filename,Value,AlphaFold Rank
ranked_438.pdb_clean,0.6873,438.0
ranked_583.pdb_clean,0.6787,583.0
ranked_561.pdb_clean,0.6752,561.0
ranked_575.pdb_clean,0.6735,575.0
ranked_458.pdb_clean,0.6681,458.0
ranked_381.pdb_clean,0.6675,381.0
ranked_517.pdb_clean,0.6665,517.0
ranked_563.pdb_clean,0.6664,563.0
ranked_435.pdb_clean,0.6663,435.0
ranked_509.pdb_clean,0.6657,509.0
ranked_382.pdb_clean,0.6653,382.0
ranked_475.pdb_clean,0.6652,475.0
ranked_402.pdb_clean,0.6635,402.0
ranked_459.pdb_clean,0.6632,459.0
ranked_564.pdb_clean,0.6624,564.0
ranked_603.pdb_clean,0.6620,603.0
ranked_286.pdb_clean,0.6609,286.0
ranked_372.pdb_clean,0.6606,372.0
ranked_315.pdb_clean,0.6583,315.0
ranked_464.pdb_clean,0.6582,464.0
ranked_422.pdb_clean,0.6582,422.0
ranked_348.pdb_clean,0.6582,348.0
ranked_543.pdb_clean,0.6579,543.0
ranked_380.pdb_clean,0.6548,380.0
ranked_252.pdb_clean,0.6542,252.0
ranked_524.pdb_clean,0.6539,524.0
ranked_481.pdb_clean,0.6536,481.0
ranked_556.pdb_clean,0.6535,556.0
ranked_267.pdb_clean,0.6534,267.0
ranked_423.pdb_clean,0.6533,423.0
ranked_518.pdb_clean,0.6532,518.0
ranked_414.pdb_clean,0.6516,414.0
ranked_460.pdb_clean,0.6502,460.0
ranked_269.pdb_clean,0.6496,269.0
ranked_363.pdb_clean,0.6493,363.0
ranked_845.pdb_clean,0.6484,845.0
ranked_371.pdb_clean,0.6484,371.0
ranked_505.pdb_clean,0.6473,505.0
ranked_430.pdb_clean,0.6469,430.0
ranked_392.pdb_clean,0.6456,392.0
ranked_331.pdb_clean,0.6450,331.0
ranked_232.pdb_clean,0.6444,232.0
ranked_608.pdb_clean,0.6442,608.0
ranked_330.pdb_clean,0.6435,330.0
ranked_420.pdb_clean,0.6429,420.0
ranked_483.pdb_clean,0.6420,483.0
ranked_577.pdb_clean,0.6403,577.0
ranked_506.pdb_clean,0.6390,506.0
ranked_418.pdb_clean,0.6380,418.0
ranked_359.pdb_clean,0.6378,359.0
ranked_610.pdb_clean,0.6368,610.0
ranked_530.pdb_clean,0.6362,530.0
ranked_572.pdb_clean,0.6335,572.0
ranked_507.pdb_clean,0.6326,507.0
ranked_375.pdb_clean,0.6321,375.0
ranked_632.pdb_clean,0.6306,632.0
ranked_200.pdb_clean,0.6289,200.0
ranked_788.pdb_clean,0.6284,788.0
ranked_844.pdb_clean,0.6264,844.0
ranked_367.pdb_clean,0.6262,367.0
ranked_500.pdb_clean,0.6254,500.0
ranked_181.pdb_clean,0.6227,181.0
ranked_493.pdb_clean,0.6226,493.0
ranked_471.pdb_clean,0.6226,471.0
ranked_319.pdb_clean,0.6206,319.0
ranked_472.pdb_clean,0.6178,472.0
ranked_393.pdb_clean,0.6174,393.0
ranked_332.pdb_clean,0.6167,332.0
ranked_124.pdb_clean,0.6167,124.0
ranked_69.pdb_clean,0.6137,69.0
ranked_922.pdb_clean,0.6128,922.0
ranked_539.pdb_clean,0.6120,539.0
ranked_424.pdb_clean,0.6117,424.0
ranked_333.pdb_clean,0.6112,333.0
ranked_804.pdb_clean,0.6103,804.0
ranked_79.pdb_clean,0.6091,79.0
ranked_432.pdb_clean,0.6089,432.0
ranked_536.pdb_clean,0.6072,536.0
ranked_138.pdb_clean,0.6047,138.0
ranked_470.pdb_clean,0.6043,470.0
ranked_940.pdb_clean,0.6037,940.0
ranked_765.pdb_clean,0.6037,765.0
ranked_325.pdb_clean,0.6035,325.0
ranked_368.pdb_clean,0.6034,368.0
ranked_118.pdb_clean,0.6033,118.0
ranked_474.pdb_clean,0.6017,474.0
ranked_928.pdb_clean,0.5973,928.0
ranked_123.pdb_clean,0.5933,123.0
ranked_547.pdb_clean,0.5928,547.0
ranked_602.pdb_clean,0.5909,602.0
ranked_257.pdb_clean,0.5901,257.0
ranked_622.pdb_clean,0.5899,622.0
ranked_995.pdb_clean,0.5895,995.0
ranked_605.pdb_clean,0.5892,605.0
ranked_238.pdb_clean,0.5892,238.0
ranked_613.pdb_clean,0.5891,613.0
ranked_513.pdb_clean,0.5887,513.0
ranked_696.pdb_clean,0.5877,696.0
ranked_256.pdb_clean,0.5868,256.0
ranked_544.pdb_clean,0.5841,544.0
ranked_582.pdb_clean,0.5831,582.0
