#  old_rank	structure_name		score
0	356	ranked_356.pdb_clean	663.1342088705458
1	687	ranked_687.pdb_clean	793.3957097651318
2	24	ranked_24.pdb_clean	835.4820140280665
3	992	ranked_992.pdb_clean	844.0495152386951
4	725	ranked_725.pdb_clean	885.9580281922954
5	484	ranked_484.pdb_clean	892.6257201013341
6	378	ranked_378.pdb_clean	907.1645346497037
7	380	ranked_380.pdb_clean	910.2745906488955
8	405	ranked_405.pdb_clean	917.0163780045178
9	54	ranked_54.pdb_clean	937.8045793179343
10	35	ranked_35.pdb_clean	970.6322097849259
11	362	ranked_362.pdb_clean	971.235247946652
12	10	ranked_10.pdb_clean	977.4126753942099
13	764	ranked_764.pdb_clean	981.0131146012195
14	117	ranked_117.pdb_clean	994.0667795554414
15	952	ranked_952.pdb_clean	997.3162347351667
16	649	ranked_649.pdb_clean	1030.3917043039105
17	410	ranked_410.pdb_clean	1048.5946593380052
18	358	ranked_358.pdb_clean	1055.6584228249078
19	28	ranked_28.pdb_clean	1063.4666896452163
20	112	ranked_112.pdb_clean	1066.9625815495237
21	132	ranked_132.pdb_clean	1069.0222724423384
22	221	ranked_221.pdb_clean	1076.6231837732532
23	773	ranked_773.pdb_clean	1117.6067117998298
24	45	ranked_45.pdb_clean	1129.7584607076524
25	730	ranked_730.pdb_clean	1137.7204391121422
26	504	ranked_504.pdb_clean	1139.3387616366572
27	70	ranked_70.pdb_clean	1139.719632586172
28	123	ranked_123.pdb_clean	1142.3854337818536
29	650	ranked_650.pdb_clean	1145.8566392175262
30	440	ranked_440.pdb_clean	1158.69371461032
31	155	ranked_155.pdb_clean	1160.9045560187153
32	398	ranked_398.pdb_clean	1162.7918801126614
33	244	ranked_244.pdb_clean	1163.9555449140335
34	767	ranked_767.pdb_clean	1166.0499608842836
35	920	ranked_920.pdb_clean	1168.9941417029163
36	575	ranked_575.pdb_clean	1173.1291330868423
37	562	ranked_562.pdb_clean	1174.3684957643263
38	347	ranked_347.pdb_clean	1176.8113064111003
39	331	ranked_331.pdb_clean	1177.0028682738882
40	613	ranked_613.pdb_clean	1178.2880398671755
41	2	ranked_2.pdb_clean	1178.6495038944718
42	247	ranked_247.pdb_clean	1178.670011966978
43	317	ranked_317.pdb_clean	1187.3135347080645
44	81	ranked_81.pdb_clean	1192.2668499085178
45	667	ranked_667.pdb_clean	1193.8981067198451
46	458	ranked_458.pdb_clean	1193.937344595652
47	644	ranked_644.pdb_clean	1196.3235520287299
48	514	ranked_514.pdb_clean	1200.5205573192059
49	92	ranked_92.pdb_clean	1210.4904251641224
50	330	ranked_330.pdb_clean	1213.2993686927396
51	166	ranked_166.pdb_clean	1215.1446523704526
52	807	ranked_807.pdb_clean	1217.4609616956432
53	26	ranked_26.pdb_clean	1217.51547364407
54	582	ranked_582.pdb_clean	1218.1357478277134
55	332	ranked_332.pdb_clean	1221.808119041794
56	87	ranked_87.pdb_clean	1225.2211650602644
57	842	ranked_842.pdb_clean	1230.1655957677192
58	151	ranked_151.pdb_clean	1230.3649255329742
59	148	ranked_148.pdb_clean	1230.5203023572437
