complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8are,ranked_0.pdb,vina,3.676, 7.545, 0.000, 0.000, 0.000,-1.355,-3.868,-1.355
8are,ranked_0.pdb,vinardo,4.576, 9.391, 0.000, 0.000, 0.000,-1.597,-4.815,-1.597
8are,ranked_1.pdb,vina,4.544, 9.327, 0.000, 0.000, 0.000,-1.350,-4.782,-1.350
8are,ranked_1.pdb,vinardo,5.384,11.049, 0.000, 0.000, 0.000,-1.603,-5.665,-1.603
8are,ranked_2.pdb,vina,6.587,13.519, 0.000, 0.000, 0.000,-1.337,-6.932,-1.337
8are,ranked_2.pdb,vinardo,7.544,15.482, 0.000, 0.000, 0.000,-1.595,-7.938,-1.595
8are,ranked_3.pdb,vina,6.762,13.877, 0.000, 0.000, 0.000,-1.300,-7.115,-1.300
8are,ranked_3.pdb,vinardo,7.388,15.162, 0.000, 0.000, 0.000,-1.564,-7.774,-1.564
8are,ranked_4.pdb,vina,7.380,15.146, 0.000, 0.000, 0.000,-1.256,-7.766,-1.256
8are,ranked_4.pdb,vinardo,8.152,16.730, 0.000, 0.000, 0.000,-1.546,-8.578,-1.546
8are,ranked_5.pdb,vina,5.880,12.068, 0.000, 0.000, 0.000,-1.261,-6.188,-1.261
8are,ranked_5.pdb,vinardo,6.762,13.878, 0.000, 0.000, 0.000,-1.543,-7.116,-1.543
8are,ranked_6.pdb,vina,7.532,15.458, 0.000, 0.000, 0.000,-1.316,-7.926,-1.316
8are,ranked_6.pdb,vinardo,8.564,17.576, 0.000, 0.000, 0.000,-1.586,-9.012,-1.586
8are,ranked_7.pdb,vina,10.969, 22.512,  0.000,  0.000,  0.000, -1.300,-11.543, -1.300
8are,ranked_7.pdb,vinardo,11.635, 23.878,  0.000,  0.000,  0.000, -1.571,-12.243, -1.571
8are,ranked_8.pdb,vina,7.588,15.572, 0.000, 0.000, 0.000,-1.163,-7.985,-1.163
8are,ranked_8.pdb,vinardo,8.334,17.104, 0.000, 0.000, 0.000,-1.479,-8.770,-1.479
8are,ranked_9.pdb,vina,8.313,17.061, 0.000, 0.000, 0.000,-1.280,-8.748,-1.280
8are,ranked_9.pdb,vinardo,9.306,19.099, 0.000, 0.000, 0.000,-1.594,-9.793,-1.594
8are,ranked_10.pdb,vina, 9.947, 20.414,  0.000,  0.000,  0.000, -1.322,-10.467, -1.322
