Filename,Value,AlphaFold Rank
ranked_321.pdb_clean,0.6573,321.0
ranked_703.pdb_clean,0.6470,703.0
ranked_4.pdb_clean,0.2602,4.0
ranked_0.pdb_clean,0.2592,0.0
ranked_98.pdb_clean,0.2591,98.0
ranked_159.pdb_clean,0.2590,159.0
ranked_233.pdb_clean,0.2589,233.0
ranked_172.pdb_clean,0.2587,172.0
ranked_88.pdb_clean,0.2586,88.0
ranked_29.pdb_clean,0.2586,29.0
ranked_229.pdb_clean,0.2585,229.0
ranked_81.pdb_clean,0.2584,81.0
ranked_72.pdb_clean,0.2583,72.0
ranked_173.pdb_clean,0.2583,173.0
ranked_156.pdb_clean,0.2583,156.0
ranked_116.pdb_clean,0.2583,116.0
ranked_38.pdb_clean,0.2582,38.0
ranked_21.pdb_clean,0.2582,21.0
ranked_198.pdb_clean,0.2582,198.0
ranked_61.pdb_clean,0.2581,61.0
ranked_50.pdb_clean,0.2581,50.0
ranked_40.pdb_clean,0.2581,40.0
ranked_231.pdb_clean,0.2581,231.0
ranked_19.pdb_clean,0.2581,19.0
ranked_126.pdb_clean,0.2581,126.0
ranked_125.pdb_clean,0.2581,125.0
ranked_90.pdb_clean,0.2580,90.0
ranked_46.pdb_clean,0.2580,46.0
ranked_204.pdb_clean,0.2580,204.0
ranked_175.pdb_clean,0.2580,175.0
ranked_111.pdb_clean,0.2580,111.0
ranked_257.pdb_clean,0.2579,257.0
ranked_146.pdb_clean,0.2579,146.0
ranked_137.pdb_clean,0.2579,137.0
ranked_30.pdb_clean,0.2578,30.0
ranked_192.pdb_clean,0.2578,192.0
ranked_189.pdb_clean,0.2578,189.0
ranked_133.pdb_clean,0.2578,133.0
ranked_16.pdb_clean,0.2577,16.0
ranked_161.pdb_clean,0.2577,161.0
ranked_62.pdb_clean,0.2576,62.0
ranked_44.pdb_clean,0.2576,44.0
ranked_23.pdb_clean,0.2576,23.0
ranked_183.pdb_clean,0.2576,183.0
ranked_150.pdb_clean,0.2576,150.0
ranked_124.pdb_clean,0.2576,124.0
ranked_67.pdb_clean,0.2575,67.0
ranked_55.pdb_clean,0.2575,55.0
ranked_51.pdb_clean,0.2575,51.0
ranked_207.pdb_clean,0.2575,207.0
ranked_205.pdb_clean,0.2575,205.0
ranked_141.pdb_clean,0.2575,141.0
ranked_134.pdb_clean,0.2575,134.0
ranked_100.pdb_clean,0.2575,100.0
ranked_42.pdb_clean,0.2574,42.0
ranked_142.pdb_clean,0.2574,142.0
ranked_112.pdb_clean,0.2574,112.0
ranked_93.pdb_clean,0.2573,93.0
ranked_91.pdb_clean,0.2573,91.0
ranked_54.pdb_clean,0.2573,54.0
ranked_49.pdb_clean,0.2573,49.0
ranked_219.pdb_clean,0.2573,219.0
ranked_139.pdb_clean,0.2573,139.0
ranked_115.pdb_clean,0.2573,115.0
ranked_104.pdb_clean,0.2573,104.0
ranked_8.pdb_clean,0.2572,8.0
ranked_85.pdb_clean,0.2572,85.0
ranked_57.pdb_clean,0.2572,57.0
ranked_130.pdb_clean,0.2572,130.0
ranked_120.pdb_clean,0.2572,120.0
ranked_59.pdb_clean,0.2571,59.0
ranked_48.pdb_clean,0.2571,48.0
ranked_47.pdb_clean,0.2571,47.0
ranked_10.pdb_clean,0.2571,10.0
ranked_109.pdb_clean,0.2571,109.0
ranked_420.pdb_clean,0.2570,420.0
ranked_31.pdb_clean,0.2570,31.0
ranked_22.pdb_clean,0.2570,22.0
ranked_226.pdb_clean,0.2570,226.0
ranked_194.pdb_clean,0.2570,194.0
ranked_84.pdb_clean,0.2569,84.0
ranked_75.pdb_clean,0.2569,75.0
ranked_278.pdb_clean,0.2569,278.0
ranked_236.pdb_clean,0.2569,236.0
ranked_200.pdb_clean,0.2569,200.0
ranked_180.pdb_clean,0.2569,180.0
ranked_993.pdb_clean,0.2568,993.0
ranked_69.pdb_clean,0.2568,69.0
ranked_41.pdb_clean,0.2568,41.0
ranked_254.pdb_clean,0.2568,254.0
ranked_14.pdb_clean,0.2568,14.0
