#  old_rank	structure_name		score
0	601	ranked_601.pdb_clean	-334.8587655359854
1	381	ranked_381.pdb_clean	-281.6979334819106
2	862	ranked_862.pdb_clean	-275.8254854659335
3	534	ranked_534.pdb_clean	-275.4349910615645
4	559	ranked_559.pdb_clean	-270.7283450609678
5	550	ranked_550.pdb_clean	-229.54080167635473
6	463	ranked_463.pdb_clean	-209.99702949469116
7	582	ranked_582.pdb_clean	-208.91028728762842
8	78	ranked_78.pdb_clean	-199.93868831470823
9	457	ranked_457.pdb_clean	-196.63989460252054
10	453	ranked_453.pdb_clean	-187.44240024498606
11	557	ranked_557.pdb_clean	-186.2543562860147
12	589	ranked_589.pdb_clean	-185.52817323146272
13	722	ranked_722.pdb_clean	-185.39700606736346
14	404	ranked_404.pdb_clean	-184.93813095593464
15	186	ranked_186.pdb_clean	-180.94910291346477
16	408	ranked_408.pdb_clean	-179.39245602199207
17	187	ranked_187.pdb_clean	-178.9298488414421
18	360	ranked_360.pdb_clean	-178.20672171636517
19	243	ranked_243.pdb_clean	-177.41371062151418
20	236	ranked_236.pdb_clean	-175.58237170488337
21	264	ranked_264.pdb_clean	-174.03457971055397
22	537	ranked_537.pdb_clean	-172.21995994927
23	532	ranked_532.pdb_clean	-171.63919640458673
24	434	ranked_434.pdb_clean	-170.94336888936039
25	447	ranked_447.pdb_clean	-167.7330806835734
26	524	ranked_524.pdb_clean	-167.354899558718
27	588	ranked_588.pdb_clean	-166.77954451546458
28	641	ranked_641.pdb_clean	-166.6048682575291
29	660	ranked_660.pdb_clean	-165.0841195686201
30	505	ranked_505.pdb_clean	-162.57564119941094
31	781	ranked_781.pdb_clean	-162.25446681194376
32	603	ranked_603.pdb_clean	-161.4221449402013
33	668	ranked_668.pdb_clean	-159.33181815197239
34	392	ranked_392.pdb_clean	-157.963779160267
35	437	ranked_437.pdb_clean	-157.51658018661055
36	580	ranked_580.pdb_clean	-157.22775390386659
37	886	ranked_886.pdb_clean	-156.95599813131284
38	318	ranked_318.pdb_clean	-152.56423866318585
39	594	ranked_594.pdb_clean	-152.25289444220115
40	698	ranked_698.pdb_clean	-150.6668512808059
41	940	ranked_940.pdb_clean	-149.44524728655628
42	471	ranked_471.pdb_clean	-148.50408695577977
43	552	ranked_552.pdb_clean	-146.94481955526058
44	541	ranked_541.pdb_clean	-146.5622186522524
45	679	ranked_679.pdb_clean	-145.86370727754132
46	957	ranked_957.pdb_clean	-145.23757281026815
47	501	ranked_501.pdb_clean	-144.60798099246608
48	422	ranked_422.pdb_clean	-144.38531953915123
49	431	ranked_431.pdb_clean	-143.74056323564747
50	483	ranked_483.pdb_clean	-143.73247686729206
51	701	ranked_701.pdb_clean	-142.2798547368708
52	178	ranked_178.pdb_clean	-141.60575545118274
53	312	ranked_312.pdb_clean	-140.7724567515579
54	296	ranked_296.pdb_clean	-140.6220339248055
55	446	ranked_446.pdb_clean	-140.40165068376956
56	433	ranked_433.pdb_clean	-140.11497250390693
57	635	ranked_635.pdb_clean	-138.38802378869747
58	364	ranked_364.pdb_clean	-137.71854587512044
59	376	ranked_376.pdb_clean	-137.3224800388631
60	338	ranked_338.pdb_clean	-136.7943964691416
61	407	ranked_407.pdb_clean	-136.77640242380534
62	805	ranked_805.pdb_clean	-135.96374481024125
63	646	ranked_646.pdb_clean	-133.59801803624262
64	496	ranked_496.pdb_clean	-131.9669636944934
65	618	ranked_618.pdb_clean	-131.9467292338028
66	680	ranked_680.pdb_clean	-131.28215830813738
67	467	ranked_467.pdb_clean	-130.84140156952577
68	259	ranked_259.pdb_clean	-129.21814310224616
69	865	ranked_865.pdb_clean	-128.95241822638195
70	681	ranked_681.pdb_clean	-128.91872356690322
71	45	ranked_45.pdb_clean	-128.65226416779467
72	695	ranked_695.pdb_clean	-127.41165850853393
73	605	ranked_605.pdb_clean	-127.28178151340997
74	361	ranked_361.pdb_clean	-127.03693222408612
