complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8bft,ranked_0.pdb,vina,19.545, 38.970,  0.000,  0.000,  0.000, 10.873,-19.425, 10.873
8bft,ranked_0.pdb,vinardo,22.362, 44.585,  0.000,  0.000,  0.000,  9.225,-22.224,  9.225
8bft,ranked_1.pdb,vina,25.921, 62.288,  0.000,  0.000,  0.000,  5.757,-36.368,  5.757
8bft,ranked_1.pdb,vinardo,27.460, 65.988,  0.000,  0.000,  0.000,  4.400,-38.528,  4.400
8bft,ranked_2.pdb,vina,54.867,125.433,  0.000,  0.000,  0.000,  4.866,-70.566,  4.866
8bft,ranked_2.pdb,vinardo,57.593,131.665,  0.000,  0.000,  0.000,  3.700,-74.072,  3.700
8bft,ranked_3.pdb,vina,23.163, 40.767,  0.000,  0.000,  0.000,  5.264,-17.604,  5.264
8bft,ranked_3.pdb,vinardo,26.124, 45.977,  0.000,  0.000,  0.000,  3.642,-19.854,  3.642
8bft,ranked_4.pdb,vina,44.009,105.756,  0.000,  0.000,  0.000,  6.405,-61.747,  6.405
8bft,ranked_4.pdb,vinardo,47.111,113.209,  0.000,  0.000,  0.000,  4.969,-66.098,  4.969
8bft,ranked_5.pdb,vina,54.504,130.974,  0.000,  0.000,  0.000,  4.006,-76.471,  4.006
8bft,ranked_5.pdb,vinardo,57.874,139.074,  0.000,  0.000,  0.000,  2.830,-81.200,  2.830
8bft,ranked_6.pdb,vina,48.537,116.636,  0.000,  0.000,  0.000,  8.293,-68.099,  8.293
8bft,ranked_6.pdb,vinardo,51.756,124.372,  0.000,  0.000,  0.000,  6.571,-72.616,  6.571
8bft,ranked_7.pdb,vina,57.055,137.106,  0.000,  0.000,  0.000,  4.625,-80.051,  4.625
8bft,ranked_7.pdb,vinardo,60.110,144.448,  0.000,  0.000,  0.000,  3.470,-84.337,  3.470
8bft,ranked_8.pdb,vina,4.051, 9.734, 0.000, 0.000, 0.000,11.017,-5.683,11.017
8bft,ranked_8.pdb,vinardo,4.273,10.268, 0.000, 0.000, 0.000,10.515,-5.995,10.515
8bft,ranked_9.pdb,vina,56.139,128.341,  0.000,  0.000,  0.000,  3.747,-72.202,  3.747
8bft,ranked_9.pdb,vinardo,59.156,135.238,  0.000,  0.000,  0.000,  2.692,-76.082,  2.692
8bft,ranked_10.pdb,vina,12.971, 31.170,  0.000,  0.000,  0.000,  9.876,-18.199,  9.876
8bft,ranked_10.pdb,vinardo,15.480, 37.198,  0.000,  0.000,  0.000,  9.033,-21.718,  9.033
8bft,ranked_11.pdb,vina,41.127, 98.830,  0.000,  0.000,  0.000,  1.049,-57.703,  1.049
8bft,ranked_11.pdb,vinardo,45.380,109.051,  0.000,  0.000,  0.000,  0.483,-63.670,  0.483
8bft,ranked_12.pdb,vina,45.707,109.835,  0.000,  0.000,  0.000,  5.231,-64.128,  5.231
8bft,ranked_12.pdb,vinardo,49.142,118.091,  0.000,  0.000,  0.000,  3.957,-68.949,  3.957
8bft,ranked_13.pdb,vina,34.230, 66.248,  0.000,  0.000,  0.000,  6.864,-32.018,  6.864
8bft,ranked_13.pdb,vinardo,38.067, 73.674,  0.000,  0.000,  0.000,  5.854,-35.607,  5.854
8bft,ranked_14.pdb,vina,47.036, 82.782,  0.000,  0.000,  0.000,  6.467,-35.746,  6.467
8bft,ranked_14.pdb,vinardo,47.957, 84.403,  0.000,  0.000,  0.000,  6.547,-36.446,  6.547
8bft,ranked_15.pdb,vina,44.703,107.423,  0.000,  0.000,  0.000,  5.218,-62.720,  5.218
8bft,ranked_15.pdb,vinardo,47.519,114.190,  0.000,  0.000,  0.000,  3.737,-66.671,  3.737
8bft,ranked_16.pdb,vina,35.145, 84.455,  0.000,  0.000,  0.000,  5.994,-49.310,  5.994
8bft,ranked_16.pdb,vinardo,37.651, 90.476,  0.000,  0.000,  0.000,  4.607,-52.826,  4.607
8bft,ranked_17.pdb,vina,43.085, 98.498,  0.000,  0.000,  0.000,  5.640,-55.412,  5.640
8bft,ranked_17.pdb,vinardo,45.838,104.792,  0.000,  0.000,  0.000,  4.215,-58.954,  4.215
8bft,ranked_18.pdb,vina,42.479, 97.113,  0.000,  0.000,  0.000,  5.567,-54.633,  5.567
8bft,ranked_18.pdb,vinardo,45.201,103.336,  0.000,  0.000,  0.000,  4.191,-58.134,  4.191
8bft,ranked_19.pdb,vina,15.265, 36.682,  0.000,  0.000,  0.000, 11.390,-21.417, 11.390
8bft,ranked_19.pdb,vinardo,14.813, 35.595,  0.000,  0.000,  0.000,  9.176,-20.783,  9.176
8bft,ranked_20.pdb,vina,39.266, 94.358,  0.000,  0.000,  0.000,  2.948,-55.092,  2.948
8bft,ranked_20.pdb,vinardo,42.349,101.767,  0.000,  0.000,  0.000,  2.132,-59.417,  2.132
8bft,ranked_21.pdb,vina,39.698, 95.395,  0.000,  0.000,  0.000,  6.614,-55.697,  6.614
8bft,ranked_21.pdb,vinardo,42.554,102.260,  0.000,  0.000,  0.000,  5.214,-59.706,  5.214
8bft,ranked_22.pdb,vina,16.325, 37.321,  0.000,  0.000,  0.000,  4.857,-20.996,  4.857
8bft,ranked_22.pdb,vinardo,18.104, 41.388,  0.000,  0.000,  0.000,  3.687,-23.284,  3.687
8bft,ranked_23.pdb,vina,40.256, 96.738,  0.000,  0.000,  0.000,  4.441,-56.481,  4.441
8bft,ranked_23.pdb,vinardo,42.235,101.493,  0.000,  0.000,  0.000,  3.424,-59.258,  3.424
8bft,ranked_24.pdb,vina,40.742, 97.905,  0.000,  0.000,  0.000,  7.094,-57.163,  7.094
8bft,ranked_24.pdb,vinardo,43.121,103.621,  0.000,  0.000,  0.000,  5.381,-60.500,  5.381
8bft,ranked_25.pdb,vina,30.001, 52.802,  0.000,  0.000,  0.000,  1.942,-22.800,  1.942
8bft,ranked_25.pdb,vinardo,31.533, 55.497,  0.000,  0.000,  0.000,  1.522,-23.964,  1.522
8bft,ranked_26.pdb,vina,42.232,101.486,  0.000,  0.000,  0.000, 10.683,-59.254, 10.683
