#  old_rank	structure_name		score
0	532	ranked_532.pdb_clean	-295.11356415698134
1	697	ranked_697.pdb_clean	-292.9337703753961
2	488	ranked_488.pdb_clean	-266.2173124676825
3	394	ranked_394.pdb_clean	-265.29128159877564
4	471	ranked_471.pdb_clean	-264.73765480914244
5	334	ranked_334.pdb_clean	-262.416167758487
6	880	ranked_880.pdb_clean	-262.09213633073523
7	398	ranked_398.pdb_clean	-261.8965901768421
8	470	ranked_470.pdb_clean	-256.5172994692654
9	399	ranked_399.pdb_clean	-254.12331600254964
10	767	ranked_767.pdb_clean	-254.04031198168389
11	449	ranked_449.pdb_clean	-252.34286208395986
12	588	ranked_588.pdb_clean	-250.7833354042741
13	531	ranked_531.pdb_clean	-249.47314339877613
14	428	ranked_428.pdb_clean	-246.25955978755456
15	491	ranked_491.pdb_clean	-243.78764141339906
16	405	ranked_405.pdb_clean	-242.80084618824037
17	407	ranked_407.pdb_clean	-242.03389038878026
18	521	ranked_521.pdb_clean	-241.03326452550272
19	500	ranked_500.pdb_clean	-240.795578869775
20	433	ranked_433.pdb_clean	-239.97980061306333
21	375	ranked_375.pdb_clean	-239.64320896622382
22	995	ranked_995.pdb_clean	-236.44648557147696
23	657	ranked_657.pdb_clean	-234.01985049794985
24	378	ranked_378.pdb_clean	-233.387529471724
25	418	ranked_418.pdb_clean	-232.8385384568184
26	336	ranked_336.pdb_clean	-230.14937149842405
27	380	ranked_380.pdb_clean	-229.61065080554334
28	468	ranked_468.pdb_clean	-229.43007593864695
29	325	ranked_325.pdb_clean	-228.70091837510995
30	392	ranked_392.pdb_clean	-228.6557257453302
31	396	ranked_396.pdb_clean	-228.50005694900221
32	320	ranked_320.pdb_clean	-227.5266258561789
33	511	ranked_511.pdb_clean	-226.995561145855
34	505	ranked_505.pdb_clean	-226.8048576930796
35	651	ranked_651.pdb_clean	-225.87410835216917
36	356	ranked_356.pdb_clean	-225.58794736934556
37	483	ranked_483.pdb_clean	-225.55622567082634
