Filename,Value,AlphaFold Rank
8OEP_AB,0.4909,
ranked_906.pdb_clean,0.3578,906.0
ranked_327.pdb_clean,0.3569,327.0
ranked_251.pdb_clean,0.3554,251.0
ranked_332.pdb_clean,0.3553,332.0
ranked_275.pdb_clean,0.3553,275.0
ranked_283.pdb_clean,0.3551,283.0
ranked_279.pdb_clean,0.3550,279.0
ranked_336.pdb_clean,0.3549,336.0
ranked_318.pdb_clean,0.3549,318.0
ranked_271.pdb_clean,0.3548,271.0
ranked_249.pdb_clean,0.3548,249.0
ranked_878.pdb_clean,0.3545,878.0
ranked_282.pdb_clean,0.3545,282.0
ranked_111.pdb_clean,0.3545,111.0
ranked_290.pdb_clean,0.3543,290.0
ranked_344.pdb_clean,0.3542,344.0
ranked_321.pdb_clean,0.3542,321.0
ranked_254.pdb_clean,0.3542,254.0
ranked_395.pdb_clean,0.3541,395.0
ranked_274.pdb_clean,0.3540,274.0
ranked_382.pdb_clean,0.3538,382.0
ranked_252.pdb_clean,0.3538,252.0
ranked_380.pdb_clean,0.3536,380.0
ranked_286.pdb_clean,0.3536,286.0
ranked_352.pdb_clean,0.3534,352.0
ranked_103.pdb_clean,0.3534,103.0
ranked_376.pdb_clean,0.3533,376.0
ranked_292.pdb_clean,0.3533,292.0
ranked_232.pdb_clean,0.3533,232.0
ranked_852.pdb_clean,0.3531,852.0
ranked_396.pdb_clean,0.3530,396.0
ranked_356.pdb_clean,0.3530,356.0
ranked_369.pdb_clean,0.3526,369.0
ranked_281.pdb_clean,0.3520,281.0
ranked_386.pdb_clean,0.3519,386.0
ranked_324.pdb_clean,0.3518,324.0
ranked_285.pdb_clean,0.3518,285.0
ranked_384.pdb_clean,0.3516,384.0
ranked_687.pdb_clean,0.3511,687.0
ranked_335.pdb_clean,0.3510,335.0
ranked_362.pdb_clean,0.3503,362.0
ranked_245.pdb_clean,0.3501,245.0
ranked_589.pdb_clean,0.3497,589.0
ranked_331.pdb_clean,0.3496,331.0
ranked_313.pdb_clean,0.3495,313.0
ranked_712.pdb_clean,0.3490,712.0
ranked_450.pdb_clean,0.3490,450.0
ranked_244.pdb_clean,0.3487,244.0
ranked_258.pdb_clean,0.3484,258.0
ranked_351.pdb_clean,0.3481,351.0
ranked_393.pdb_clean,0.3474,393.0
ranked_227.pdb_clean,0.3473,227.0
ranked_308.pdb_clean,0.3472,308.0
ranked_348.pdb_clean,0.3469,348.0
ranked_289.pdb_clean,0.3466,289.0
ranked_374.pdb_clean,0.3461,374.0
ranked_615.pdb_clean,0.3460,615.0
ranked_674.pdb_clean,0.3458,674.0
ranked_937.pdb_clean,0.3455,937.0
ranked_388.pdb_clean,0.3455,388.0
ranked_220.pdb_clean,0.3454,220.0
ranked_233.pdb_clean,0.3449,233.0
ranked_525.pdb_clean,0.3448,525.0
ranked_347.pdb_clean,0.3448,347.0
ranked_312.pdb_clean,0.3448,312.0
ranked_761.pdb_clean,0.3445,761.0
ranked_266.pdb_clean,0.3443,266.0
ranked_261.pdb_clean,0.3443,261.0
ranked_357.pdb_clean,0.3441,357.0
ranked_726.pdb_clean,0.3439,726.0
ranked_192.pdb_clean,0.3437,192.0
ranked_367.pdb_clean,0.3434,367.0
ranked_239.pdb_clean,0.3433,239.0
ranked_880.pdb_clean,0.3431,880.0
ranked_322.pdb_clean,0.3430,322.0
ranked_326.pdb_clean,0.3429,326.0
ranked_364.pdb_clean,0.3426,364.0
ranked_333.pdb_clean,0.3426,333.0
ranked_358.pdb_clean,0.3424,358.0
ranked_257.pdb_clean,0.3424,257.0
ranked_329.pdb_clean,0.3420,329.0
ranked_381.pdb_clean,0.3419,381.0
ranked_365.pdb_clean,0.3419,365.0
ranked_272.pdb_clean,0.3418,272.0
ranked_345.pdb_clean,0.3416,345.0
ranked_296.pdb_clean,0.3415,296.0
ranked_223.pdb_clean,0.3414,223.0
ranked_305.pdb_clean,0.3413,305.0
ranked_330.pdb_clean,0.3412,330.0
ranked_280.pdb_clean,0.3412,280.0
ranked_234.pdb_clean,0.3410,234.0
ranked_394.pdb_clean,0.3409,394.0
ranked_371.pdb_clean,0.3408,371.0
ranked_311.pdb_clean,0.3407,311.0
ranked_497.pdb_clean,0.3406,497.0
ranked_307.pdb_clean,0.3406,307.0
ranked_205.pdb_clean,0.3405,205.0
ranked_315.pdb_clean,0.3404,315.0
ranked_297.pdb_clean,0.3404,297.0
ranked_287.pdb_clean,0.3402,287.0
ranked_196.pdb_clean,0.3399,196.0
ranked_857.pdb_clean,0.3398,857.0
ranked_242.pdb_clean,0.3397,242.0
ranked_153.pdb_clean,0.3396,153.0
ranked_397.pdb_clean,0.3395,397.0
ranked_879.pdb_clean,0.3394,879.0
ranked_361.pdb_clean,0.3393,361.0
ranked_363.pdb_clean,0.3392,363.0
ranked_869.pdb_clean,0.3390,869.0
ranked_359.pdb_clean,0.3388,359.0
ranked_314.pdb_clean,0.3387,314.0
ranked_255.pdb_clean,0.3385,255.0
ranked_198.pdb_clean,0.3383,198.0
ranked_953.pdb_clean,0.3381,953.0
ranked_749.pdb_clean,0.3379,749.0
ranked_265.pdb_clean,0.3379,265.0
ranked_241.pdb_clean,0.3379,241.0
ranked_873.pdb_clean,0.3377,873.0
ranked_947.pdb_clean,0.3375,947.0
ranked_891.pdb_clean,0.3375,891.0
ranked_284.pdb_clean,0.3375,284.0
ranked_793.pdb_clean,0.3373,793.0
ranked_727.pdb_clean,0.3373,727.0
ranked_392.pdb_clean,0.3373,392.0
ranked_216.pdb_clean,0.3371,216.0
ranked_375.pdb_clean,0.3369,375.0
ranked_355.pdb_clean,0.3369,355.0
ranked_230.pdb_clean,0.3369,230.0
ranked_377.pdb_clean,0.3368,377.0
ranked_919.pdb_clean,0.3367,919.0
ranked_889.pdb_clean,0.3367,889.0
ranked_884.pdb_clean,0.3367,884.0
ranked_773.pdb_clean,0.3367,773.0
ranked_752.pdb_clean,0.3363,752.0
ranked_890.pdb_clean,0.3362,890.0
ranked_256.pdb_clean,0.3362,256.0
ranked_207.pdb_clean,0.3360,207.0
ranked_941.pdb_clean,0.3359,941.0
ranked_175.pdb_clean,0.3359,175.0
ranked_863.pdb_clean,0.3356,863.0
ranked_843.pdb_clean,0.3356,843.0
ranked_795.pdb_clean,0.3356,795.0
ranked_806.pdb_clean,0.3355,806.0
ranked_215.pdb_clean,0.3354,215.0
ranked_231.pdb_clean,0.3353,231.0
ranked_750.pdb_clean,0.3352,750.0
ranked_209.pdb_clean,0.3350,209.0
ranked_894.pdb_clean,0.3348,894.0
ranked_855.pdb_clean,0.3348,855.0
ranked_929.pdb_clean,0.3341,929.0
ranked_877.pdb_clean,0.3341,877.0
ranked_805.pdb_clean,0.3341,805.0
ranked_938.pdb_clean,0.3339,938.0
ranked_836.pdb_clean,0.3338,836.0
ranked_955.pdb_clean,0.3337,955.0
ranked_936.pdb_clean,0.3337,936.0
ranked_940.pdb_clean,0.3333,940.0
ranked_714.pdb_clean,0.3332,714.0
ranked_758.pdb_clean,0.3328,758.0
ranked_882.pdb_clean,0.3327,882.0
ranked_851.pdb_clean,0.3326,851.0
ranked_642.pdb_clean,0.3326,642.0
ranked_792.pdb_clean,0.3325,792.0
ranked_779.pdb_clean,0.3325,779.0
ranked_699.pdb_clean,0.3325,699.0
ranked_389.pdb_clean,0.3325,389.0
ranked_903.pdb_clean,0.3321,903.0
ranked_794.pdb_clean,0.3320,794.0
ranked_848.pdb_clean,0.3319,848.0
ranked_765.pdb_clean,0.3319,765.0
ranked_824.pdb_clean,0.3318,824.0
ranked_902.pdb_clean,0.3314,902.0
ranked_611.pdb_clean,0.3311,611.0
ranked_820.pdb_clean,0.3308,820.0
ranked_968.pdb_clean,0.3307,968.0
ranked_952.pdb_clean,0.3304,952.0
ranked_733.pdb_clean,0.3303,733.0
ranked_723.pdb_clean,0.3303,723.0
ranked_755.pdb_clean,0.3301,755.0
ranked_786.pdb_clean,0.3299,786.0
ranked_785.pdb_clean,0.3299,785.0
ranked_764.pdb_clean,0.3299,764.0
ranked_705.pdb_clean,0.3299,705.0
ranked_189.pdb_clean,0.3299,189.0
ranked_967.pdb_clean,0.3298,967.0
ranked_766.pdb_clean,0.3296,766.0
ranked_807.pdb_clean,0.3295,807.0
ranked_772.pdb_clean,0.3295,772.0
ranked_339.pdb_clean,0.3295,339.0
ranked_867.pdb_clean,0.3289,867.0
ranked_319.pdb_clean,0.3288,319.0
ranked_500.pdb_clean,0.3286,500.0
ranked_458.pdb_clean,0.3286,458.0
ranked_334.pdb_clean,0.3284,334.0
ranked_719.pdb_clean,0.3283,719.0
ranked_776.pdb_clean,0.3281,776.0
ranked_247.pdb_clean,0.3281,247.0
ranked_751.pdb_clean,0.3280,751.0
ranked_798.pdb_clean,0.3278,798.0
ranked_520.pdb_clean,0.3276,520.0
ranked_842.pdb_clean,0.3275,842.0
ranked_834.pdb_clean,0.3273,834.0
ranked_370.pdb_clean,0.3273,370.0
ranked_243.pdb_clean,0.3273,243.0
ranked_387.pdb_clean,0.3272,387.0
ranked_304.pdb_clean,0.3270,304.0
ranked_237.pdb_clean,0.3269,237.0
ranked_101.pdb_clean,0.3269,101.0
ranked_646.pdb_clean,0.3268,646.0
ranked_950.pdb_clean,0.3262,950.0
ranked_917.pdb_clean,0.3261,917.0
ranked_745.pdb_clean,0.3261,745.0
ranked_684.pdb_clean,0.3259,684.0
ranked_667.pdb_clean,0.3259,667.0
ranked_811.pdb_clean,0.3257,811.0
ranked_298.pdb_clean,0.3256,298.0
ranked_295.pdb_clean,0.3254,295.0
ranked_190.pdb_clean,0.3252,190.0
ranked_881.pdb_clean,0.3238,881.0
ranked_391.pdb_clean,0.3238,391.0
ranked_87.pdb_clean,0.3237,87.0
ranked_306.pdb_clean,0.3226,306.0
ranked_601.pdb_clean,0.3225,601.0
ranked_763.pdb_clean,0.3221,763.0
ranked_637.pdb_clean,0.3221,637.0
ranked_578.pdb_clean,0.3219,578.0
ranked_528.pdb_clean,0.3219,528.0
ranked_865.pdb_clean,0.3215,865.0
ranked_948.pdb_clean,0.3211,948.0
ranked_596.pdb_clean,0.3211,596.0
ranked_655.pdb_clean,0.3210,655.0
ranked_625.pdb_clean,0.3210,625.0
ranked_383.pdb_clean,0.3209,383.0
ranked_784.pdb_clean,0.3208,784.0
ranked_768.pdb_clean,0.3208,768.0
ranked_741.pdb_clean,0.3208,741.0
ranked_722.pdb_clean,0.3207,722.0
ranked_378.pdb_clean,0.3205,378.0
ranked_744.pdb_clean,0.3203,744.0
ranked_328.pdb_clean,0.3202,328.0
ranked_317.pdb_clean,0.3201,317.0
ranked_946.pdb_clean,0.3197,946.0
ranked_146.pdb_clean,0.3197,146.0
ranked_373.pdb_clean,0.3196,373.0
ranked_372.pdb_clean,0.3196,372.0
ranked_240.pdb_clean,0.3196,240.0
ranked_228.pdb_clean,0.3196,228.0
ranked_815.pdb_clean,0.3195,815.0
ranked_817.pdb_clean,0.3194,817.0
ranked_688.pdb_clean,0.3194,688.0
ranked_177.pdb_clean,0.3194,177.0
ranked_206.pdb_clean,0.3193,206.0
ranked_671.pdb_clean,0.3191,671.0
ranked_169.pdb_clean,0.3191,169.0
ranked_810.pdb_clean,0.3190,810.0
ranked_277.pdb_clean,0.3190,277.0
ranked_826.pdb_clean,0.3186,826.0
ranked_349.pdb_clean,0.3186,349.0
ranked_302.pdb_clean,0.3186,302.0
ranked_211.pdb_clean,0.3186,211.0
ranked_734.pdb_clean,0.3185,734.0
ranked_303.pdb_clean,0.3185,303.0
ranked_276.pdb_clean,0.3183,276.0
ranked_267.pdb_clean,0.3183,267.0
ranked_366.pdb_clean,0.3181,366.0
ranked_341.pdb_clean,0.3181,341.0
ranked_683.pdb_clean,0.3180,683.0
ranked_323.pdb_clean,0.3180,323.0
ranked_608.pdb_clean,0.3178,608.0
ranked_360.pdb_clean,0.3178,360.0
ranked_860.pdb_clean,0.3177,860.0
ranked_309.pdb_clean,0.3174,309.0
ranked_158.pdb_clean,0.3174,158.0
ranked_294.pdb_clean,0.3173,294.0
ranked_964.pdb_clean,0.3172,964.0
ranked_368.pdb_clean,0.3171,368.0
ranked_353.pdb_clean,0.3171,353.0
ranked_23.pdb_clean,0.3171,23.0
ranked_808.pdb_clean,0.3170,808.0
ranked_787.pdb_clean,0.3169,787.0
ranked_636.pdb_clean,0.3169,636.0
ranked_288.pdb_clean,0.3162,288.0
ranked_178.pdb_clean,0.3161,178.0
ranked_911.pdb_clean,0.3159,911.0
ranked_299.pdb_clean,0.3159,299.0
ranked_253.pdb_clean,0.3159,253.0
ranked_224.pdb_clean,0.3158,224.0
ranked_943.pdb_clean,0.3156,943.0
ranked_343.pdb_clean,0.3156,343.0
ranked_218.pdb_clean,0.3156,218.0
ranked_399.pdb_clean,0.3155,399.0
ranked_263.pdb_clean,0.3155,263.0
ranked_248.pdb_clean,0.3155,248.0
ranked_225.pdb_clean,0.3155,225.0
ranked_135.pdb_clean,0.3154,135.0
ranked_278.pdb_clean,0.3153,278.0
ranked_602.pdb_clean,0.3150,602.0
ranked_203.pdb_clean,0.3150,203.0
ranked_907.pdb_clean,0.3149,907.0
ranked_301.pdb_clean,0.3149,301.0
ranked_846.pdb_clean,0.3147,846.0
ranked_691.pdb_clean,0.3147,691.0
ranked_291.pdb_clean,0.3147,291.0
ranked_250.pdb_clean,0.3147,250.0
ranked_760.pdb_clean,0.3146,760.0
ranked_213.pdb_clean,0.3145,213.0
ranked_563.pdb_clean,0.3143,563.0
ranked_678.pdb_clean,0.3141,678.0
ranked_664.pdb_clean,0.3141,664.0
ranked_630.pdb_clean,0.3141,630.0
ranked_385.pdb_clean,0.3141,385.0
ranked_379.pdb_clean,0.3141,379.0
ranked_325.pdb_clean,0.3140,325.0
ranked_866.pdb_clean,0.3139,866.0
ranked_693.pdb_clean,0.3139,693.0
ranked_633.pdb_clean,0.3139,633.0
ranked_337.pdb_clean,0.3139,337.0
ranked_310.pdb_clean,0.3139,310.0
ranked_340.pdb_clean,0.3137,340.0
ranked_390.pdb_clean,0.3133,390.0
ranked_269.pdb_clean,0.3133,269.0
ranked_262.pdb_clean,0.3132,262.0
ranked_300.pdb_clean,0.3131,300.0
ranked_201.pdb_clean,0.3129,201.0
ranked_514.pdb_clean,0.3126,514.0
ranked_457.pdb_clean,0.3121,457.0
ranked_874.pdb_clean,0.3120,874.0
ranked_913.pdb_clean,0.3118,913.0
ranked_562.pdb_clean,0.3117,562.0
ranked_944.pdb_clean,0.3116,944.0
ranked_657.pdb_clean,0.3116,657.0
ranked_102.pdb_clean,0.3116,102.0
ranked_767.pdb_clean,0.3113,767.0
ranked_436.pdb_clean,0.3113,436.0
ranked_238.pdb_clean,0.3113,238.0
ranked_354.pdb_clean,0.3112,354.0
ranked_219.pdb_clean,0.3110,219.0
ranked_210.pdb_clean,0.3105,210.0
ranked_864.pdb_clean,0.3104,864.0
ranked_246.pdb_clean,0.3103,246.0
ranked_270.pdb_clean,0.3100,270.0
ranked_825.pdb_clean,0.3099,825.0
ranked_346.pdb_clean,0.3099,346.0
ranked_499.pdb_clean,0.3098,499.0
ranked_463.pdb_clean,0.3098,463.0
ranked_260.pdb_clean,0.3097,260.0
ranked_724.pdb_clean,0.3095,724.0
ranked_618.pdb_clean,0.3092,618.0
ranked_515.pdb_clean,0.3092,515.0
ranked_922.pdb_clean,0.3091,922.0
ranked_696.pdb_clean,0.3090,696.0
ranked_650.pdb_clean,0.3090,650.0
ranked_402.pdb_clean,0.3089,402.0
ranked_160.pdb_clean,0.3088,160.0
ranked_961.pdb_clean,0.3087,961.0
ranked_799.pdb_clean,0.3087,799.0
ranked_466.pdb_clean,0.3087,466.0
ranked_690.pdb_clean,0.3086,690.0
ranked_479.pdb_clean,0.3086,479.0
ranked_508.pdb_clean,0.3085,508.0
ranked_969.pdb_clean,0.3084,969.0
ranked_513.pdb_clean,0.3083,513.0
ranked_293.pdb_clean,0.3083,293.0
ranked_444.pdb_clean,0.3082,444.0
ranked_406.pdb_clean,0.3082,406.0
ranked_845.pdb_clean,0.3081,845.0
ranked_570.pdb_clean,0.3080,570.0
