complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7z5l,ranked_0.pdb,vina, 0.785,  5.560,  0.000,  0.000,  0.000,-14.655, -4.775,-14.655
7z5l,ranked_0.pdb,vinardo, 1.815, 12.853,  0.000,  0.000,  0.000,-17.855,-11.038,-17.855
7z5l,ranked_1.pdb,vina, 0.918,  6.499,  0.000,  0.000,  0.000,-14.517, -5.581,-14.517
7z5l,ranked_1.pdb,vinardo, 2.028, 14.356,  0.000,  0.000,  0.000,-17.721,-12.329,-17.721
7z5l,ranked_2.pdb,vina, 1.203,  8.516,  0.000,  0.000,  0.000,-12.214, -7.314,-12.214
7z5l,ranked_2.pdb,vinardo, 2.300, 16.282,  0.000,  0.000,  0.000,-15.670,-13.983,-15.670
7z5l,ranked_3.pdb,vina, 1.169,  8.277,  0.000,  0.000,  0.000,-15.419, -7.108,-15.419
7z5l,ranked_3.pdb,vinardo, 2.225, 15.750,  0.000,  0.000,  0.000,-18.634,-13.525,-18.634
7z5l,ranked_4.pdb,vina, 1.377,  9.749,  0.000,  0.000,  0.000,-15.199, -8.372,-15.199
7z5l,ranked_4.pdb,vinardo, 2.548, 18.041,  0.000,  0.000,  0.000,-18.088,-15.493,-18.088
7z5l,ranked_5.pdb,vina, 1.125,  7.967,  0.000,  0.000,  0.000,-13.750, -6.842,-13.750
7z5l,ranked_5.pdb,vinardo, 2.210, 15.644,  0.000,  0.000,  0.000,-17.206,-13.434,-17.206
7z5l,ranked_6.pdb,vina, 1.061,  7.510,  0.000,  0.000,  0.000,-14.833, -6.449,-14.833
7z5l,ranked_6.pdb,vinardo, 2.182, 15.450,  0.000,  0.000,  0.000,-18.219,-13.267,-18.219
7z5l,ranked_7.pdb,vina, 1.210,  8.568,  0.000,  0.000,  0.000,-15.005, -7.358,-15.005
7z5l,ranked_7.pdb,vinardo, 2.296, 16.256,  0.000,  0.000,  0.000,-18.115,-13.960,-18.115
7z5l,ranked_8.pdb,vina, 1.015,  7.183,  0.000,  0.000,  0.000,-14.364, -6.169,-14.364
7z5l,ranked_8.pdb,vinardo, 2.096, 14.840,  0.000,  0.000,  0.000,-17.150,-12.744,-17.150
7z5l,ranked_9.pdb,vina, 0.983,  6.959,  0.000,  0.000,  0.000,-14.402, -5.976,-14.402
7z5l,ranked_9.pdb,vinardo, 2.015, 14.264,  0.000,  0.000,  0.000,-17.102,-12.249,-17.102
7z5l,ranked_10.pdb,vina, 0.804,  5.694,  0.000,  0.000,  0.000,-14.466, -4.889,-14.466
7z5l,ranked_10.pdb,vinardo, 1.893, 13.402,  0.000,  0.000,  0.000,-17.330,-11.509,-17.330
7z5l,ranked_11.pdb,vina, 1.028,  7.276,  0.000,  0.000,  0.000,-14.439, -6.249,-14.439
7z5l,ranked_11.pdb,vinardo, 2.084, 14.756,  0.000,  0.000,  0.000,-17.582,-12.672,-17.582
7z5l,ranked_12.pdb,vina, 1.432, 10.141,  0.000,  0.000,  0.000,-14.207, -8.709,-14.207
7z5l,ranked_12.pdb,vinardo, 2.508, 17.760,  0.000,  0.000,  0.000,-16.864,-15.251,-16.864
7z5l,ranked_13.pdb,vina, 1.262,  8.934,  0.000,  0.000,  0.000,-14.699, -7.672,-14.699
7z5l,ranked_13.pdb,vinardo, 2.328, 16.484,  0.000,  0.000,  0.000,-17.313,-14.156,-17.313
7z5l,ranked_14.pdb,vina, 1.308,  9.257,  0.000,  0.000,  0.000,-14.728, -7.949,-14.728
7z5l,ranked_14.pdb,vinardo, 2.446, 17.315,  0.000,  0.000,  0.000,-17.887,-14.870,-17.887
7z5l,ranked_15.pdb,vina, 0.974,  6.897,  0.000,  0.000,  0.000,-14.698, -5.923,-14.698
7z5l,ranked_15.pdb,vinardo, 2.024, 14.328,  0.000,  0.000,  0.000,-17.489,-12.304,-17.489
7z5l,ranked_16.pdb,vina, 1.075,  7.614,  0.000,  0.000,  0.000,-14.771, -6.538,-14.771
7z5l,ranked_16.pdb,vinardo, 2.191, 15.510,  0.000,  0.000,  0.000,-18.025,-13.320,-18.025
7z5l,ranked_17.pdb,vina, 1.031,  7.301,  0.000,  0.000,  0.000,-13.786, -6.269,-13.786
7z5l,ranked_17.pdb,vinardo, 2.104, 14.893,  0.000,  0.000,  0.000,-16.990,-12.790,-16.990
7z5l,ranked_18.pdb,vina, 1.013,  7.171,  0.000,  0.000,  0.000,-14.866, -6.158,-14.866
7z5l,ranked_18.pdb,vinardo, 2.078, 14.712,  0.000,  0.000,  0.000,-17.986,-12.634,-17.986
7z5l,ranked_19.pdb,vina, 0.913,  6.463,  0.000,  0.000,  0.000,-15.391, -5.550,-15.391
7z5l,ranked_19.pdb,vinardo, 2.005, 14.196,  0.000,  0.000,  0.000,-18.444,-12.191,-18.444
7z5l,ranked_20.pdb,vina, 1.251,  8.854,  0.000,  0.000,  0.000,-12.851, -7.603,-12.851
7z5l,ranked_20.pdb,vinardo, 2.360, 16.708,  0.000,  0.000,  0.000,-16.465,-14.348,-16.465
7z5l,ranked_21.pdb,vina, 1.125,  7.964,  0.000,  0.000,  0.000,-13.585, -6.839,-13.585
7z5l,ranked_21.pdb,vinardo, 2.223, 15.741,  0.000,  0.000,  0.000,-16.735,-13.518,-16.735
7z5l,ranked_22.pdb,vina, 0.850,  6.019,  0.000,  0.000,  0.000,-15.395, -5.169,-15.395
7z5l,ranked_22.pdb,vinardo, 1.884, 13.339,  0.000,  0.000,  0.000,-18.265,-11.455,-18.265
7z5l,ranked_23.pdb,vina, 0.893,  6.325,  0.000,  0.000,  0.000,-14.978, -5.431,-14.978
7z5l,ranked_23.pdb,vinardo, 1.990, 14.088,  0.000,  0.000,  0.000,-17.933,-12.098,-17.933
7z5l,ranked_24.pdb,vina, 1.164,  8.238,  0.000,  0.000,  0.000,-14.809, -7.074,-14.809
7z5l,ranked_24.pdb,vinardo, 2.283, 16.163,  0.000,  0.000,  0.000,-17.912,-13.880,-17.912
7z5l,ranked_25.pdb,vina, 0.887,  6.282,  0.000,  0.000,  0.000,-13.185, -5.395,-13.185
7z5l,ranked_25.pdb,vinardo, 1.968, 13.932,  0.000,  0.000,  0.000,-16.508,-11.964,-16.508
7z5l,ranked_26.pdb,vina, 1.134,  8.029,  0.000,  0.000,  0.000,-13.353, -6.895,-13.353
7z5l,ranked_26.pdb,vinardo, 2.266, 16.046,  0.000,  0.000,  0.000,-16.618,-13.780,-16.618
7z5l,ranked_27.pdb,vina, 1.009,  7.143,  0.000,  0.000,  0.000,-13.373, -6.134,-13.373
7z5l,ranked_27.pdb,vinardo, 2.088, 14.784,  0.000,  0.000,  0.000,-16.559,-12.696,-16.559
7z5l,ranked_28.pdb,vina, 1.372,  9.711,  0.000,  0.000,  0.000,-15.059, -8.339,-15.059
7z5l,ranked_28.pdb,vinardo, 2.510, 17.772,  0.000,  0.000,  0.000,-17.974,-15.262,-17.974
7z5l,ranked_29.pdb,vina, 0.852,  6.035,  0.000,  0.000,  0.000,-15.473, -5.183,-15.473
7z5l,ranked_29.pdb,vinardo, 1.856, 13.141,  0.000,  0.000,  0.000,-18.427,-11.285,-18.427
7z5l,ranked_30.pdb,vina, 1.041,  7.369,  0.000,  0.000,  0.000,-14.511, -6.328,-14.511
7z5l,ranked_30.pdb,vinardo, 2.141, 15.161,  0.000,  0.000,  0.000,-17.620,-13.019,-17.620
7z5l,ranked_31.pdb,vina, 1.145,  8.110,  0.000,  0.000,  0.000,-14.565, -6.964,-14.565
7z5l,ranked_31.pdb,vinardo, 2.275, 16.106,  0.000,  0.000,  0.000,-17.549,-13.831,-17.549
7z5l,ranked_32.pdb,vina, 1.497, 10.598,  0.000,  0.000,  0.000,-14.843, -9.101,-14.843
7z5l,ranked_32.pdb,vinardo, 2.618, 18.538,  0.000,  0.000,  0.000,-17.553,-15.919,-17.553
7z5l,ranked_33.pdb,vina, 1.433, 10.146,  0.000,  0.000,  0.000,-13.761, -8.713,-13.761
7z5l,ranked_33.pdb,vinardo, 2.560, 18.121,  0.000,  0.000,  0.000,-16.428,-15.562,-16.428
7z5l,ranked_34.pdb,vina, 1.324,  9.375,  0.000,  0.000,  0.000,-14.598, -8.051,-14.598
7z5l,ranked_34.pdb,vinardo, 2.505, 17.736,  0.000,  0.000,  0.000,-17.575,-15.231,-17.575
