#  old_rank	structure_name		score
0	141	ranked_141.pdb_clean	-381.64332577390076
1	945	ranked_945.pdb_clean	-370.13389442381106
2	446	ranked_446.pdb_clean	-364.65229396540224
3	326	ranked_326.pdb_clean	-352.4534068591149
4	483	ranked_483.pdb_clean	-339.2814335429928
5	758	ranked_758.pdb_clean	-338.3386571657667
6	799	ranked_799.pdb_clean	-337.1946527043236
7	925	ranked_925.pdb_clean	-334.90449245770236
8	657	ranked_657.pdb_clean	-334.683520995469
9	85	ranked_85.pdb_clean	-333.8401765266376
10	730	ranked_730.pdb_clean	-331.16163326370423
11	455	ranked_455.pdb_clean	-330.0448099071458
12	374	ranked_374.pdb_clean	-329.47627956171453
13	302	ranked_302.pdb_clean	-327.5637361576542
14	367	ranked_367.pdb_clean	-327.04654081609795
15	104	ranked_104.pdb_clean	-324.24724775244397
16	38	ranked_38.pdb_clean	-323.77623948224726
17	137	ranked_137.pdb_clean	-321.6307669913624
18	406	ranked_406.pdb_clean	-318.10206944661473
19	191	ranked_191.pdb_clean	-317.19349423931277
20	293	ranked_293.pdb_clean	-317.13340637093853
21	41	ranked_41.pdb_clean	-316.73177447179137
22	8	ranked_8.pdb_clean	-315.9628505325227
23	428	ranked_428.pdb_clean	-314.9079405324934
24	954	ranked_954.pdb_clean	-314.16427725407317
25	558	ranked_558.pdb_clean	-313.13784430453774
26	132	ranked_132.pdb_clean	-312.8790564046964
27	364	ranked_364.pdb_clean	-312.7562733846652
28	745	ranked_745.pdb_clean	-312.0531156192072
29	688	ranked_688.pdb_clean	-311.1945542845931
30	220	ranked_220.pdb_clean	-309.1263797061413
31	975	ranked_975.pdb_clean	-308.53937037671767
32	227	ranked_227.pdb_clean	-308.3623053428741
33	746	ranked_746.pdb_clean	-306.0733605719041
34	176	ranked_176.pdb_clean	-305.1657896833691
35	235	ranked_235.pdb_clean	-304.7157733671287
36	803	ranked_803.pdb_clean	-304.66772848100743
37	544	ranked_544.pdb_clean	-304.0472695700793
38	985	ranked_985.pdb_clean	-303.6631430435788
39	36	ranked_36.pdb_clean	-303.0431239800525
40	637	ranked_637.pdb_clean	-302.4465647121751
41	72	ranked_72.pdb_clean	-302.3276401783335
42	930	ranked_930.pdb_clean	-302.2544998460466
43	470	ranked_470.pdb_clean	-302.0785462142812
44	654	ranked_654.pdb_clean	-301.99121119697105
45	16	ranked_16.pdb_clean	-301.78268638202263
46	508	ranked_508.pdb_clean	-301.27306667971004
47	572	ranked_572.pdb_clean	-300.6633279170987
48	215	ranked_215.pdb_clean	-300.5598681778467
49	522	ranked_522.pdb_clean	-300.3297109862491
50	157	ranked_157.pdb_clean	-299.051022292398
51	94	ranked_94.pdb_clean	-299.0125113601086
52	243	ranked_243.pdb_clean	-298.89146060784026
53	532	ranked_532.pdb_clean	-298.87759011502277
54	554	ranked_554.pdb_clean	-298.15695422411125
55	528	ranked_528.pdb_clean	-297.44914080104104
56	777	ranked_777.pdb_clean	-297.3852220731135
57	357	ranked_357.pdb_clean	-297.05417181746884
58	296	ranked_296.pdb_clean	-296.71261155527344
59	424	ranked_424.pdb_clean	-295.92882952677627
60	370	ranked_370.pdb_clean	-295.67901325808543
61	308	ranked_308.pdb_clean	-295.28399446027373
62	323	ranked_323.pdb_clean	-294.9378645262133
63	852	ranked_852.pdb_clean	-294.6115097376605
64	264	ranked_264.pdb_clean	-294.3582138586433
65	919	ranked_919.pdb_clean	-294.25832308986895
66	4	ranked_4.pdb_clean	-294.2124038313014
67	972	ranked_972.pdb_clean	-293.98493376170995
68	155	ranked_155.pdb_clean	-293.96679414467826
69	69	ranked_69.pdb_clean	-292.7285652820466
70	940	ranked_940.pdb_clean	-292.53782170879316
71	171	ranked_171.pdb_clean	-292.3959521660496
72	130	ranked_130.pdb_clean	-292.38749500905874
73	727	ranked_727.pdb_clean	-291.1205264164381
74	246	ranked_246.pdb_clean	-290.9342388903157
75	182	ranked_182.pdb_clean	-290.93252893336404
76	167	ranked_167.pdb_clean	-289.4609005486803
77	93	ranked_93.pdb_clean	-289.27230364157225
78	671	ranked_671.pdb_clean	-288.4279370270992
79	192	ranked_192.pdb_clean	-288.3589898007536
80	178	ranked_178.pdb_clean	-288.068167662164
81	603	ranked_603.pdb_clean	-287.4219286932147
82	142	ranked_142.pdb_clean	-287.05181057415376
83	380	ranked_380.pdb_clean	-286.89705792593577
84	895	ranked_895.pdb_clean	-286.6447644233958
85	346	ranked_346.pdb_clean	-286.57055530508467
86	732	ranked_732.pdb_clean	-285.54195412028946
87	129	ranked_129.pdb_clean	-285.35302452141633
88	950	ranked_950.pdb_clean	-284.9667503606122
