complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7qwv,ranked_0.pdb,vina, 8.094, 36.010,  0.000,  0.000,  0.000, -3.367,-27.916, -3.367
7qwv,ranked_0.pdb,vinardo,10.380, 46.182,  0.000,  0.000,  0.000, -8.480,-35.802, -8.480
7qwv,ranked_1.pdb,vina,12.826, 57.064,  0.000,  0.000,  0.000, -2.232,-44.238, -2.232
7qwv,ranked_1.pdb,vinardo,14.732, 65.543,  0.000,  0.000,  0.000, -7.020,-50.812, -7.020
7qwv,ranked_2.pdb,vina,0.894, 3.977, 0.000, 0.000, 0.000,-5.068,-3.083,-5.068
7qwv,ranked_2.pdb,vinardo, 2.756, 12.262,  0.000,  0.000,  0.000,-10.099, -9.506,-10.099
7qwv,ranked_3.pdb,vina,11.464, 51.006,  0.000,  0.000,  0.000, -3.627,-39.542, -3.627
7qwv,ranked_3.pdb,vinardo,13.476, 59.958,  0.000,  0.000,  0.000, -8.211,-46.482, -8.211
7qwv,ranked_4.pdb,vina, 8.700, 38.708,  0.000,  0.000,  0.000, -2.985,-30.008, -2.985
7qwv,ranked_4.pdb,vinardo,10.909, 48.536,  0.000,  0.000,  0.000, -8.119,-37.627, -8.119
7qwv,ranked_5.pdb,vina,0.998,-4.441, 0.000, 0.000, 0.000,-5.330, 3.443,-5.330
7qwv,ranked_5.pdb,vinardo,0.443, 1.973, 0.000, 0.000, 0.000,-9.540,-1.529,-9.540
7qwv,ranked_6.pdb,vina, 3.558, 15.832,  0.000,  0.000,  0.000, -3.890,-12.273, -3.890
7qwv,ranked_6.pdb,vinardo, 5.354, 23.821,  0.000,  0.000,  0.000, -8.824,-18.467, -8.824
7qwv,ranked_7.pdb,vina,1.445, 6.431, 0.000, 0.000, 0.000,-4.767,-4.985,-4.767
7qwv,ranked_7.pdb,vinardo, 2.968, 13.205,  0.000,  0.000,  0.000, -9.983,-10.237, -9.983
7qwv,ranked_8.pdb,vina, 4.496, 20.001,  0.000,  0.000,  0.000, -3.599,-15.506, -3.599
7qwv,ranked_8.pdb,vinardo, 6.894, 30.671,  0.000,  0.000,  0.000, -8.596,-23.777, -8.596
7qwv,ranked_9.pdb,vina,0.199, 0.885, 0.000, 0.000, 0.000,-3.546,-0.686,-3.546
7qwv,ranked_9.pdb,vinardo,1.707, 7.593, 0.000, 0.000, 0.000,-8.826,-5.887,-8.826
7qwv,ranked_10.pdb,vina, 5.053, 22.480,  0.000,  0.000,  0.000, -2.839,-17.427, -2.839
7qwv,ranked_10.pdb,vinardo, 7.506, 33.393,  0.000,  0.000,  0.000, -7.997,-25.888, -7.997
7qwv,ranked_11.pdb,vina,2.500,11.121, 0.000, 0.000, 0.000,-4.513,-8.622,-4.513
7qwv,ranked_11.pdb,vinardo, 4.698, 20.900,  0.000,  0.000,  0.000, -8.712,-16.203, -8.712
7qwv,ranked_12.pdb,vina, 5.116, 22.761,  0.000,  0.000,  0.000, -2.398,-17.645, -2.398
7qwv,ranked_12.pdb,vinardo, 7.648, 34.027,  0.000,  0.000,  0.000, -7.590,-26.379, -7.590
7qwv,ranked_13.pdb,vina, 7.076, 31.481,  0.000,  0.000,  0.000, -2.617,-24.405, -2.617
7qwv,ranked_13.pdb,vinardo, 9.224, 41.038,  0.000,  0.000,  0.000, -7.797,-31.814, -7.797
7qwv,ranked_14.pdb,vina,1.195, 5.315, 0.000, 0.000, 0.000,-5.245,-4.120,-5.245
7qwv,ranked_14.pdb,vinardo,2.704,12.031, 0.000, 0.000, 0.000,-9.850,-9.327,-9.850
7qwv,ranked_15.pdb,vina,0.017, 0.078, 0.000, 0.000, 0.000,-3.435,-0.060,-3.435
7qwv,ranked_15.pdb,vinardo,1.390, 6.186, 0.000, 0.000, 0.000,-8.886,-4.796,-8.886
7qwv,ranked_16.pdb,vina,2.140, 9.523, 0.000, 0.000, 0.000,-3.559,-7.383,-3.559
7qwv,ranked_16.pdb,vinardo, 3.907, 17.384,  0.000,  0.000,  0.000, -8.655,-13.477, -8.655
7qwv,ranked_17.pdb,vina,1.203, 5.352, 0.000, 0.000, 0.000,-5.343,-4.149,-5.343
7qwv,ranked_17.pdb,vinardo,2.683,11.939, 0.000, 0.000, 0.000,-9.985,-9.255,-9.985
7qwv,ranked_18.pdb,vina,13.396, 59.599,  0.000,  0.000,  0.000, -2.389,-46.204, -2.389
7qwv,ranked_18.pdb,vinardo,15.681, 69.768,  0.000,  0.000,  0.000, -7.388,-54.087, -7.388
7qwv,ranked_19.pdb,vina,0.849, 3.778, 0.000, 0.000, 0.000,-4.522,-2.928,-4.522
7qwv,ranked_19.pdb,vinardo,2.346,10.439, 0.000, 0.000, 0.000,-9.888,-8.092,-9.888
7qwv,ranked_20.pdb,vina,1.918, 8.534, 0.000, 0.000, 0.000,-4.369,-6.616,-4.369
7qwv,ranked_20.pdb,vinardo, 3.797, 16.892,  0.000,  0.000,  0.000, -8.902,-13.095, -8.902
7qwv,ranked_21.pdb,vina, 3.972, 17.672,  0.000,  0.000,  0.000, -2.998,-13.700, -2.998
7qwv,ranked_21.pdb,vinardo, 6.009, 26.733,  0.000,  0.000,  0.000, -8.090,-20.725, -8.090
7qwv,ranked_22.pdb,vina,1.396,-6.212, 0.000, 0.000, 0.000,-3.958, 4.816,-3.958
7qwv,ranked_22.pdb,vinardo,0.067,-0.299, 0.000, 0.000, 0.000,-9.122, 0.231,-9.122
7qwv,ranked_23.pdb,vina,1.607, 7.148, 0.000, 0.000, 0.000,-5.224,-5.541,-5.224
7qwv,ranked_23.pdb,vinardo, 3.266, 14.533,  0.000,  0.000,  0.000, -9.845,-11.266, -9.845
7qwv,ranked_24.pdb,vina, 4.322, 19.228,  0.000,  0.000,  0.000, -3.240,-14.906, -3.240
