#  old_rank	structure_name		score
0	999	ranked_999.pdb_clean	-273.37413597727624
1	852	ranked_852.pdb_clean	-269.8459330211084
2	804	ranked_804.pdb_clean	-265.54740703707006
3	828	ranked_828.pdb_clean	-263.00364643450064
4	941	ranked_941.pdb_clean	-262.42533945024013
5	818	ranked_818.pdb_clean	-261.91694958396727
6	795	ranked_795.pdb_clean	-260.6182709079529
7	963	ranked_963.pdb_clean	-260.236829324194
8	745	ranked_745.pdb_clean	-259.86073514152537
9	851	ranked_851.pdb_clean	-259.23772660194277
10	766	ranked_766.pdb_clean	-255.81276727023385
11	682	ranked_682.pdb_clean	-255.716898078563
12	723	ranked_723.pdb_clean	-255.1758131503675
13	933	ranked_933.pdb_clean	-254.4670248248324
14	680	ranked_680.pdb_clean	-253.48036928972425
15	696	ranked_696.pdb_clean	-252.0171642468257
16	788	ranked_788.pdb_clean	-251.64957081726658
17	692	ranked_692.pdb_clean	-251.252090472658
18	925	ranked_925.pdb_clean	-250.92527310401863
19	717	ranked_717.pdb_clean	-250.19980590243316
20	679	ranked_679.pdb_clean	-249.30495599915582
21	729	ranked_729.pdb_clean	-249.2247615934852
22	636	ranked_636.pdb_clean	-248.94289158857117
23	31	ranked_31.pdb_clean	-246.44048798029692
24	243	ranked_243.pdb_clean	-245.43411534782229
25	985	ranked_985.pdb_clean	-242.80805417521907
26	417	ranked_417.pdb_clean	-242.49511405420196
27	909	ranked_909.pdb_clean	-242.07400609968388
28	135	ranked_135.pdb_clean	-241.90709685960246
29	84	ranked_84.pdb_clean	-241.02372971585947
30	725	ranked_725.pdb_clean	-240.6247214187101
31	20	ranked_20.pdb_clean	-239.64628191089122
32	105	ranked_105.pdb_clean	-238.11854377125346
33	19	ranked_19.pdb_clean	-237.77692291098631
34	18	ranked_18.pdb_clean	-237.40639737649673
35	664	ranked_664.pdb_clean	-237.10953944476788
36	431	ranked_431.pdb_clean	-236.95142037604822
37	25	ranked_25.pdb_clean	-236.57624368682798
38	0	ranked_0.pdb_clean	-235.70594826616832
39	89	ranked_89.pdb_clean	-235.46276078183178
40	220	ranked_220.pdb_clean	-234.98654703128452
41	102	ranked_102.pdb_clean	-234.97752958709756
42	3	ranked_3.pdb_clean	-233.76980823104287
43	998	ranked_998.pdb_clean	-232.21603150359041
44	630	ranked_630.pdb_clean	-231.50743178431762
45	561	ranked_561.pdb_clean	-231.47850758179771
46	221	ranked_221.pdb_clean	-230.64178506534412
47	39	ranked_39.pdb_clean	-230.56962193505606
48	950	ranked_950.pdb_clean	-230.34478512115552
49	106	ranked_106.pdb_clean	-230.20577105634442
50	435	ranked_435.pdb_clean	-229.99929552610425
51	81	ranked_81.pdb_clean	-229.9256192282958
52	531	ranked_531.pdb_clean	-229.5111372046218
53	54	ranked_54.pdb_clean	-229.06480235981186
54	88	ranked_88.pdb_clean	-229.04290878187837
55	831	ranked_831.pdb_clean	-228.68312465267616
56	618	ranked_618.pdb_clean	-227.37728868102852
57	648	ranked_648.pdb_clean	-227.35430399433776
58	530	ranked_530.pdb_clean	-226.86201658039718
59	485	ranked_485.pdb_clean	-226.8280630585127
60	396	ranked_396.pdb_clean	-226.68957003528106
61	536	ranked_536.pdb_clean	-226.6683377020996
62	76	ranked_76.pdb_clean	-226.25781892908032
63	14	ranked_14.pdb_clean	-225.8914929931464
64	812	ranked_812.pdb_clean	-224.9971837713413
65	631	ranked_631.pdb_clean	-224.04053511553977
66	779	ranked_779.pdb_clean	-223.9126385195661
67	96	ranked_96.pdb_clean	-223.87981241307767
68	114	ranked_114.pdb_clean	-223.58478921244176
69	428	ranked_428.pdb_clean	-223.1082642460862
70	576	ranked_576.pdb_clean	-223.10097132205283
