complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
7sxj,ranked_0.pdb,vina,-2.057,-10.354,  0.000,  0.000,  0.000, -7.870,  8.297, -7.870
7sxj,ranked_0.pdb,vinardo,-1.342, -6.755,  0.000,  0.000,  0.000,-12.129,  5.413,-12.129
7sxj,ranked_1.pdb,vina,1.360,-6.844, 0.000, 0.000, 0.000,-7.959, 5.484,-7.959
7sxj,ranked_1.pdb,vinardo,-0.726, -3.653,  0.000,  0.000,  0.000,-12.294,  2.928,-12.294
7sxj,ranked_2.pdb,vina,-2.195,-11.051,  0.000,  0.000,  0.000, -8.130,  8.856, -8.130
7sxj,ranked_2.pdb,vinardo,-1.490, -7.498,  0.000,  0.000,  0.000,-12.093,  6.009,-12.093
7sxj,ranked_3.pdb,vina,1.843,-9.279, 0.000, 0.000, 0.000,-7.744, 7.436,-7.744
7sxj,ranked_3.pdb,vinardo,-1.152, -5.798,  0.000,  0.000,  0.000,-12.124,  4.646,-12.124
7sxj,ranked_4.pdb,vina,-2.103,-10.584,  0.000,  0.000,  0.000, -8.064,  8.481, -8.064
7sxj,ranked_4.pdb,vinardo,-1.374, -6.918,  0.000,  0.000,  0.000,-12.316,  5.544,-12.316
7sxj,ranked_5.pdb,vina,-2.071,-10.427,  0.000,  0.000,  0.000, -7.899,  8.355, -7.899
7sxj,ranked_5.pdb,vinardo,-1.365, -6.870,  0.000,  0.000,  0.000,-12.296,  5.505,-12.296
7sxj,ranked_6.pdb,vina,-2.104,-10.591,  0.000,  0.000,  0.000, -7.927,  8.487, -7.927
7sxj,ranked_6.pdb,vinardo,-1.403, -7.063,  0.000,  0.000,  0.000,-12.282,  5.660,-12.282
7sxj,ranked_7.pdb,vina,-2.390,-12.030,  0.000,  0.000,  0.000, -8.212,  9.640, -8.212
7sxj,ranked_7.pdb,vinardo,-1.691, -8.510,  0.000,  0.000,  0.000,-12.542,  6.819,-12.542
7sxj,ranked_8.pdb,vina,1.237,-6.225, 0.000, 0.000, 0.000,-8.298, 4.988,-8.298
7sxj,ranked_8.pdb,vinardo,-0.724, -3.647,  0.000,  0.000,  0.000,-12.455,  2.922,-12.455
7sxj,ranked_9.pdb,vina,1.786,-8.990, 0.000, 0.000, 0.000,-8.031, 7.204,-8.031
7sxj,ranked_9.pdb,vinardo,-1.104, -5.556,  0.000,  0.000,  0.000,-12.320,  4.452,-12.320
7sxj,ranked_10.pdb,vina,-2.011,-10.121,  0.000,  0.000,  0.000, -8.320,  8.111, -8.320
7sxj,ranked_10.pdb,vinardo,-1.228, -6.182,  0.000,  0.000,  0.000,-12.787,  4.954,-12.787
7sxj,ranked_11.pdb,vina,1.847,-9.298, 0.000, 0.000, 0.000,-8.137, 7.451,-8.137
7sxj,ranked_11.pdb,vinardo,-1.283, -6.461,  0.000,  0.000,  0.000,-12.369,  5.177,-12.369
7sxj,ranked_12.pdb,vina,1.977,-9.954, 0.000, 0.000, 0.000,-7.956, 7.976,-7.956
7sxj,ranked_12.pdb,vinardo,-1.280, -6.442,  0.000,  0.000,  0.000,-12.359,  5.162,-12.359
7sxj,ranked_13.pdb,vina,-2.111,-10.624,  0.000,  0.000,  0.000, -8.410,  8.513, -8.410
7sxj,ranked_13.pdb,vinardo,-1.423, -7.161,  0.000,  0.000,  0.000,-12.578,  5.739,-12.578
7sxj,ranked_14.pdb,vina,-2.101,-10.574,  0.000,  0.000,  0.000, -7.922,  8.474, -7.922
7sxj,ranked_14.pdb,vinardo,-1.388, -6.989,  0.000,  0.000,  0.000,-12.314,  5.600,-12.314
7sxj,ranked_15.pdb,vina,1.972,-9.928, 0.000, 0.000, 0.000,-8.009, 7.956,-8.009
7sxj,ranked_15.pdb,vinardo,-1.269, -6.386,  0.000,  0.000,  0.000,-12.373,  5.117,-12.373
7sxj,ranked_16.pdb,vina,1.846,-9.293, 0.000, 0.000, 0.000,-8.042, 7.447,-8.042
7sxj,ranked_16.pdb,vinardo,-1.138, -5.730,  0.000,  0.000,  0.000,-12.291,  4.592,-12.291
7sxj,ranked_17.pdb,vina,-2.053,-10.336,  0.000,  0.000,  0.000, -8.463,  8.283, -8.463
7sxj,ranked_17.pdb,vinardo,-1.246, -6.273,  0.000,  0.000,  0.000,-12.890,  5.027,-12.890
7sxj,ranked_18.pdb,vina,-2.039,-10.263,  0.000,  0.000,  0.000, -7.430,  8.224, -7.430
7sxj,ranked_18.pdb,vinardo,-1.346, -6.775,  0.000,  0.000,  0.000,-12.014,  5.429,-12.014
7sxj,ranked_19.pdb,vina,1.835,-9.237, 0.000, 0.000, 0.000,-8.194, 7.402,-8.194
7sxj,ranked_19.pdb,vinardo,-1.132, -5.696,  0.000,  0.000,  0.000,-12.529,  4.565,-12.529
7sxj,ranked_20.pdb,vina,1.869,-9.409, 0.000, 0.000, 0.000,-7.956, 7.540,-7.956
7sxj,ranked_20.pdb,vinardo,-1.160, -5.837,  0.000,  0.000,  0.000,-12.262,  4.677,-12.262
7sxj,ranked_21.pdb,vina,-2.114,-10.642,  0.000,  0.000,  0.000, -8.360,  8.528, -8.360
7sxj,ranked_21.pdb,vinardo,-1.322, -6.655,  0.000,  0.000,  0.000,-12.788,  5.333,-12.788
7sxj,ranked_22.pdb,vina,1.861,-9.368, 0.000, 0.000, 0.000,-7.950, 7.507,-7.950
7sxj,ranked_22.pdb,vinardo,-1.297, -6.529,  0.000,  0.000,  0.000,-12.516,  5.232,-12.516
7sxj,ranked_23.pdb,vina,-2.065,-10.396,  0.000,  0.000,  0.000, -8.408,  8.331, -8.408
7sxj,ranked_23.pdb,vinardo,-1.240, -6.243,  0.000,  0.000,  0.000,-12.683,  5.002,-12.683
7sxj,ranked_24.pdb,vina,1.971,-9.923, 0.000, 0.000, 0.000,-8.052, 7.951,-8.052
7sxj,ranked_24.pdb,vinardo,-1.250, -6.290,  0.000,  0.000,  0.000,-12.261,  5.040,-12.261
7sxj,ranked_25.pdb,vina,1.871,-9.420, 0.000, 0.000, 0.000,-8.226, 7.548,-8.226
7sxj,ranked_25.pdb,vinardo,-1.188, -5.981,  0.000,  0.000,  0.000,-12.718,  4.793,-12.718
7sxj,ranked_26.pdb,vina,-2.232,-11.234,  0.000,  0.000,  0.000, -7.726,  9.002, -7.726
