#  old_rank	structure_name		score
0	617	ranked_617.pdb_clean	45.1790966079803
1	441	ranked_441.pdb_clean	61.00873301788688
2	549	ranked_549.pdb_clean	70.32618231928184
3	475	ranked_475.pdb_clean	76.31786975868877
4	516	ranked_516.pdb_clean	76.76721084471892
5	720	ranked_720.pdb_clean	78.56356335642079
6	716	ranked_716.pdb_clean	104.65519547244584
7	523	ranked_523.pdb_clean	111.22253076476109
8	565	ranked_565.pdb_clean	113.11109619860183
9	769	ranked_769.pdb_clean	125.49025267277916
10	632	ranked_632.pdb_clean	125.76744815355367
11	623	ranked_623.pdb_clean	127.80511580629737
12	526	ranked_526.pdb_clean	130.14430696837354
13	657	ranked_657.pdb_clean	131.39629986050176
14	583	ranked_583.pdb_clean	134.3778664199305
15	308	ranked_308.pdb_clean	139.65821482159743
16	791	ranked_791.pdb_clean	142.75040236753097
17	486	ranked_486.pdb_clean	142.87211701053138
18	492	ranked_492.pdb_clean	149.80083224471065
19	462	ranked_462.pdb_clean	150.33518244309852
20	511	ranked_511.pdb_clean	150.50268851543228
21	585	ranked_585.pdb_clean	152.00357348942686
22	675	ranked_675.pdb_clean	152.0862650281884
23	557	ranked_557.pdb_clean	155.19627983699274
24	636	ranked_636.pdb_clean	156.20409195066554
25	789	ranked_789.pdb_clean	156.81577313965425
26	575	ranked_575.pdb_clean	164.33064302221925
27	710	ranked_710.pdb_clean	166.0787581220565
28	387	ranked_387.pdb_clean	167.0730654230934
29	531	ranked_531.pdb_clean	167.59554018874076
30	381	ranked_381.pdb_clean	169.57233116450948
31	698	ranked_698.pdb_clean	173.1118866828308
32	651	ranked_651.pdb_clean	173.6639511365634
33	604	ranked_604.pdb_clean	174.88499195942137
34	493	ranked_493.pdb_clean	179.99474490279817
35	496	ranked_496.pdb_clean	184.61834461745946
36	785	ranked_785.pdb_clean	188.5708460578399
37	680	ranked_680.pdb_clean	189.60265995954808
38	443	ranked_443.pdb_clean	191.40707490120184
39	686	ranked_686.pdb_clean	192.4536997594725
40	597	ranked_597.pdb_clean	193.20592847594003
41	850	ranked_850.pdb_clean	198.70244511447976
42	312	ranked_312.pdb_clean	201.55073763233366
43	594	ranked_594.pdb_clean	203.60326737628623
44	587	ranked_587.pdb_clean	205.65523177385478
45	510	ranked_510.pdb_clean	211.29223653102883
46	619	ranked_619.pdb_clean	212.60980750691982
47	500	ranked_500.pdb_clean	218.26033547575594
48	503	ranked_503.pdb_clean	218.42010832359767
49	536	ranked_536.pdb_clean	222.0987996386604
50	661	ranked_661.pdb_clean	223.37751297829664
51	609	ranked_609.pdb_clean	229.59695154897133
52	586	ranked_586.pdb_clean	233.70626493630658
53	663	ranked_663.pdb_clean	234.5883791169972
54	582	ranked_582.pdb_clean	235.206525110744
55	699	ranked_699.pdb_clean	244.4425126876854
56	765	ranked_765.pdb_clean	245.92308262812293
57	199	ranked_199.pdb_clean	248.70120176782865
58	733	ranked_733.pdb_clean	249.08128760791072
59	764	ranked_764.pdb_clean	249.64254154252188
60	602	ranked_602.pdb_clean	250.34600913448548
61	634	ranked_634.pdb_clean	252.06701493877387
62	167	ranked_167.pdb_clean	252.93085552557693
63	673	ranked_673.pdb_clean	252.93240698526103
64	843	ranked_843.pdb_clean	257.02007343236465
65	600	ranked_600.pdb_clean	257.8142019820103
66	707	ranked_707.pdb_clean	260.0563873512852
67	797	ranked_797.pdb_clean	260.37640842784543
68	652	ranked_652.pdb_clean	260.8259508161394
69	608	ranked_608.pdb_clean	260.95025109835075
70	518	ranked_518.pdb_clean	263.4418457319045
71	532	ranked_532.pdb_clean	270.4123723205833
72	780	ranked_780.pdb_clean	272.85551535489714
73	641	ranked_641.pdb_clean	277.64373152558187
74	598	ranked_598.pdb_clean	279.7298941664053
75	497	ranked_497.pdb_clean	286.1781576472554
76	796	ranked_796.pdb_clean	290.58076090329666
77	552	ranked_552.pdb_clean	291.97097604040414
78	635	ranked_635.pdb_clean	298.1290073944727
79	442	ranked_442.pdb_clean	298.5435389315489
80	660	ranked_660.pdb_clean	302.4435875235223
81	841	ranked_841.pdb_clean	302.88482352973136
82	870	ranked_870.pdb_clean	308.8065619862337
83	735	ranked_735.pdb_clean	310.74769984331215
