complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8dvl,ranked_0.pdb,vina,2.460, 9.364, 0.000, 0.000, 0.000,12.296,-6.903,12.296
8dvl,ranked_0.pdb,vinardo, 3.635, 13.835,  0.000,  0.000,  0.000,  9.336,-10.200,  9.336
8dvl,ranked_1.pdb,vina,0.648,-2.468, 0.000, 0.000, 0.000,15.903, 1.819,15.903
8dvl,ranked_1.pdb,vinardo,0.034,-0.131, 0.000, 0.000, 0.000,11.380, 0.096,11.380
8dvl,ranked_2.pdb,vina,0.917,-3.492, 0.000, 0.000, 0.000,14.990, 2.574,14.990
8dvl,ranked_2.pdb,vinardo,0.014, 0.052, 0.000, 0.000, 0.000,10.690,-0.038,10.690
8dvl,ranked_3.pdb,vina,1.100,-4.186, 0.000, 0.000, 0.000,19.335, 3.086,19.335
8dvl,ranked_3.pdb,vinardo,0.406,-1.544, 0.000, 0.000, 0.000,14.732, 1.138,14.732
8dvl,ranked_4.pdb,vina,0.441,-1.680, 0.000, 0.000, 0.000,14.772, 1.239,14.772
8dvl,ranked_4.pdb,vinardo,0.590, 2.245, 0.000, 0.000, 0.000,10.962,-1.655,10.962
8dvl,ranked_5.pdb,vina,0.783, 2.979, 0.000, 0.000, 0.000,14.965,-2.196,14.965
8dvl,ranked_5.pdb,vinardo,1.724, 6.562, 0.000, 0.000, 0.000,10.382,-4.838,10.382
8dvl,ranked_6.pdb,vina,1.286,-4.895, 0.000, 0.000, 0.000,15.446, 3.609,15.446
8dvl,ranked_6.pdb,vinardo,0.374,-1.424, 0.000, 0.000, 0.000,11.113, 1.050,11.113
8dvl,ranked_7.pdb,vina,1.224,-4.657, 0.000, 0.000, 0.000,15.901, 3.434,15.901
8dvl,ranked_7.pdb,vinardo,0.353,-1.344, 0.000, 0.000, 0.000,11.532, 0.991,11.532
8dvl,ranked_8.pdb,vina,1.071, 4.075, 0.000, 0.000, 0.000,15.158,-3.004,15.158
8dvl,ranked_8.pdb,vinardo,2.211, 8.414, 0.000, 0.000, 0.000,10.564,-6.203,10.564
8dvl,ranked_9.pdb,vina,0.020, 0.075, 0.000, 0.000, 0.000,14.980,-0.055,14.980
8dvl,ranked_9.pdb,vinardo,0.891, 3.392, 0.000, 0.000, 0.000,10.422,-2.501,10.422
