complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8c3h,ranked_0.pdb,vina,1.833,-4.726, 0.000, 0.000, 0.000, 1.408, 2.893, 1.408
8c3h,ranked_0.pdb,vinardo,0.665,-1.714, 0.000, 0.000, 0.000, 0.474, 1.049, 0.474
8c3h,ranked_1.pdb,vina,1.880,-4.848, 0.000, 0.000, 0.000, 1.000, 2.968, 1.000
8c3h,ranked_1.pdb,vinardo,0.737,-1.900, 0.000, 0.000, 0.000, 0.087, 1.163, 0.087
8c3h,ranked_2.pdb,vina,1.914,-4.934, 0.000, 0.000, 0.000, 1.167, 3.021, 1.167
8c3h,ranked_2.pdb,vinardo,0.758,-1.954, 0.000, 0.000, 0.000, 0.278, 1.196, 0.278
8c3h,ranked_3.pdb,vina,2.133,-5.500, 0.000, 0.000, 0.000, 0.876, 3.367, 0.876
8c3h,ranked_3.pdb,vinardo,1.031,-2.658, 0.000, 0.000, 0.000,-0.075, 1.627,-0.075
8c3h,ranked_4.pdb,vina,1.678,-4.327, 0.000, 0.000, 0.000, 0.576, 2.649, 0.576
8c3h,ranked_4.pdb,vinardo,0.500,-1.290, 0.000, 0.000, 0.000,-0.323, 0.790,-0.323
8c3h,ranked_5.pdb,vina,1.754,-4.522, 0.000, 0.000, 0.000, 0.852, 2.768, 0.852
8c3h,ranked_5.pdb,vinardo,0.603,-1.555, 0.000, 0.000, 0.000, 0.034, 0.952, 0.034
8c3h,ranked_6.pdb,vina,1.938,-4.998, 0.000, 0.000, 0.000, 1.235, 3.059, 1.235
8c3h,ranked_6.pdb,vinardo,0.791,-2.041, 0.000, 0.000, 0.000, 0.351, 1.249, 0.351
8c3h,ranked_7.pdb,vina,1.939,-4.999, 0.000, 0.000, 0.000, 1.132, 3.060, 1.132
8c3h,ranked_7.pdb,vinardo,0.787,-2.030, 0.000, 0.000, 0.000, 0.186, 1.243, 0.186
8c3h,ranked_8.pdb,vina,1.952,-5.032, 0.000, 0.000, 0.000, 1.037, 3.081, 1.037
8c3h,ranked_8.pdb,vinardo,0.816,-2.104, 0.000, 0.000, 0.000, 0.165, 1.288, 0.165
8c3h,ranked_9.pdb,vina,2.002,-5.161, 0.000, 0.000, 0.000, 0.966, 3.160, 0.966
8c3h,ranked_9.pdb,vinardo,0.880,-2.270, 0.000, 0.000, 0.000, 0.080, 1.389, 0.080
8c3h,ranked_10.pdb,vina,2.088,-5.383, 0.000, 0.000, 0.000, 0.827, 3.295, 0.827
8c3h,ranked_10.pdb,vinardo,0.948,-2.445, 0.000, 0.000, 0.000,-0.079, 1.497,-0.079
8c3h,ranked_11.pdb,vina,1.894,-4.884, 0.000, 0.000, 0.000, 1.149, 2.990, 1.149
8c3h,ranked_11.pdb,vinardo,0.726,-1.873, 0.000, 0.000, 0.000, 0.267, 1.146, 0.267
8c3h,ranked_12.pdb,vina,1.925,-4.963, 0.000, 0.000, 0.000, 0.991, 3.038, 0.991
8c3h,ranked_12.pdb,vinardo,0.762,-1.964, 0.000, 0.000, 0.000, 0.110, 1.202, 0.110
8c3h,ranked_13.pdb,vina,1.193,-3.075, 0.000, 0.000, 0.000,-1.723, 1.882,-1.723
