Filename,Value,AlphaFold Rank
ranked_145.pdb_clean,0.6386,145.0
ranked_150.pdb_clean,0.6375,150.0
ranked_133.pdb_clean,0.6374,133.0
ranked_188.pdb_clean,0.6372,188.0
ranked_13.pdb_clean,0.6372,13.0
ranked_146.pdb_clean,0.6371,146.0
ranked_1.pdb_clean,0.6364,1.0
ranked_3.pdb_clean,0.6362,3.0
ranked_219.pdb_clean,0.6361,219.0
ranked_10.pdb_clean,0.6359,10.0
ranked_89.pdb_clean,0.6358,89.0
ranked_254.pdb_clean,0.6354,254.0
ranked_2.pdb_clean,0.6352,2.0
ranked_11.pdb_clean,0.6350,11.0
ranked_7.pdb_clean,0.6348,7.0
ranked_264.pdb_clean,0.6344,264.0
8D51_AB,0.6344,
ranked_16.pdb_clean,0.6341,16.0
ranked_206.pdb_clean,0.6337,206.0
ranked_128.pdb_clean,0.6336,128.0
ranked_40.pdb_clean,0.6335,40.0
ranked_296.pdb_clean,0.6330,296.0
ranked_14.pdb_clean,0.6326,14.0
ranked_147.pdb_clean,0.6326,147.0
ranked_5.pdb_clean,0.6323,5.0
ranked_56.pdb_clean,0.6323,56.0
ranked_208.pdb_clean,0.6323,208.0
ranked_0.pdb_clean,0.6323,0.0
ranked_170.pdb_clean,0.6320,170.0
ranked_6.pdb_clean,0.6319,6.0
ranked_55.pdb_clean,0.6318,55.0
ranked_125.pdb_clean,0.6318,125.0
ranked_180.pdb_clean,0.6316,180.0
ranked_159.pdb_clean,0.6313,159.0
ranked_227.pdb_clean,0.6312,227.0
ranked_21.pdb_clean,0.6310,21.0
ranked_8.pdb_clean,0.6308,8.0
ranked_15.pdb_clean,0.6308,15.0
ranked_17.pdb_clean,0.6305,17.0
ranked_65.pdb_clean,0.6304,65.0
ranked_25.pdb_clean,0.6304,25.0
ranked_155.pdb_clean,0.6304,155.0
ranked_297.pdb_clean,0.6301,297.0
ranked_182.pdb_clean,0.6301,182.0
ranked_115.pdb_clean,0.6301,115.0
ranked_365.pdb_clean,0.6300,365.0
ranked_132.pdb_clean,0.6300,132.0
ranked_119.pdb_clean,0.6300,119.0
ranked_97.pdb_clean,0.6299,97.0
ranked_153.pdb_clean,0.6299,153.0
ranked_95.pdb_clean,0.6294,95.0
ranked_28.pdb_clean,0.6294,28.0
ranked_242.pdb_clean,0.6293,242.0
ranked_9.pdb_clean,0.6291,9.0
ranked_394.pdb_clean,0.6290,394.0
ranked_285.pdb_clean,0.6289,285.0
ranked_225.pdb_clean,0.6288,225.0
ranked_148.pdb_clean,0.6287,148.0
ranked_100.pdb_clean,0.6287,100.0
ranked_399.pdb_clean,0.6285,399.0
ranked_269.pdb_clean,0.6284,269.0
ranked_123.pdb_clean,0.6284,123.0
ranked_214.pdb_clean,0.6282,214.0
ranked_167.pdb_clean,0.6282,167.0
ranked_209.pdb_clean,0.6279,209.0
ranked_135.pdb_clean,0.6278,135.0
ranked_4.pdb_clean,0.6277,4.0
ranked_29.pdb_clean,0.6276,29.0
ranked_351.pdb_clean,0.6275,351.0
ranked_223.pdb_clean,0.6273,223.0
ranked_139.pdb_clean,0.6273,139.0
ranked_244.pdb_clean,0.6272,244.0
ranked_195.pdb_clean,0.6272,195.0
ranked_224.pdb_clean,0.6271,224.0
ranked_193.pdb_clean,0.6270,193.0
ranked_107.pdb_clean,0.6269,107.0
ranked_71.pdb_clean,0.6268,71.0
ranked_129.pdb_clean,0.6268,129.0
ranked_31.pdb_clean,0.6267,31.0
ranked_257.pdb_clean,0.6267,257.0
ranked_265.pdb_clean,0.6266,265.0
ranked_86.pdb_clean,0.6265,86.0
ranked_78.pdb_clean,0.6264,78.0
ranked_430.pdb_clean,0.6264,430.0
ranked_142.pdb_clean,0.6262,142.0
ranked_445.pdb_clean,0.6261,445.0
ranked_18.pdb_clean,0.6260,18.0
ranked_53.pdb_clean,0.6259,53.0
ranked_19.pdb_clean,0.6259,19.0
ranked_116.pdb_clean,0.6256,116.0
ranked_67.pdb_clean,0.6254,67.0
ranked_24.pdb_clean,0.6254,24.0
ranked_331.pdb_clean,0.6252,331.0
ranked_68.pdb_clean,0.6251,68.0
ranked_215.pdb_clean,0.6251,215.0
ranked_50.pdb_clean,0.6249,50.0
ranked_310.pdb_clean,0.6249,310.0
ranked_247.pdb_clean,0.6246,247.0
ranked_425.pdb_clean,0.6245,425.0
ranked_80.pdb_clean,0.6244,80.0
ranked_398.pdb_clean,0.6244,398.0
