complex_id,file,scoring_function,total,lig_inter,flex_inter,other_inter,flex_intra,lig_intra,torsions,best_pose_lig_intra
8are,ranked_0.pdb,vina,12.552, 25.761,  0.000,  0.000,  0.000, -1.314,-13.208, -1.314
8are,ranked_0.pdb,vinardo,14.275, 29.296,  0.000,  0.000,  0.000, -1.653,-15.021, -1.653
8are,ranked_1.pdb,vina,14.413, 29.581,  0.000,  0.000,  0.000, -1.212,-15.167, -1.212
8are,ranked_1.pdb,vinardo,15.838, 32.504,  0.000,  0.000,  0.000, -1.561,-16.666, -1.561
8are,ranked_2.pdb,vina,13.591, 27.892,  0.000,  0.000,  0.000, -1.164,-14.301, -1.164
8are,ranked_2.pdb,vinardo,15.551, 31.915,  0.000,  0.000,  0.000, -1.532,-16.364, -1.532
8are,ranked_3.pdb,vina,12.116, 24.864,  0.000,  0.000,  0.000, -1.298,-12.749, -1.298
8are,ranked_3.pdb,vinardo,13.746, 28.211,  0.000,  0.000,  0.000, -1.643,-14.465, -1.643
8are,ranked_4.pdb,vina,15.159, 31.110,  0.000,  0.000,  0.000, -1.197,-15.951, -1.197
8are,ranked_4.pdb,vinardo,16.888, 34.658,  0.000,  0.000,  0.000, -1.552,-17.771, -1.552
8are,ranked_5.pdb,vina,14.088, 28.913,  0.000,  0.000,  0.000, -1.095,-14.825, -1.095
8are,ranked_5.pdb,vinardo,15.913, 32.658,  0.000,  0.000,  0.000, -1.487,-16.745, -1.487
8are,ranked_6.pdb,vina,15.417, 31.639,  0.000,  0.000,  0.000, -1.261,-16.223, -1.261
8are,ranked_6.pdb,vinardo,17.146, 35.189,  0.000,  0.000,  0.000, -1.610,-18.042, -1.610
8are,ranked_7.pdb,vina,14.499, 29.756,  0.000,  0.000,  0.000, -1.221,-15.257, -1.221
8are,ranked_7.pdb,vinardo,16.164, 33.173,  0.000,  0.000,  0.000, -1.588,-17.009, -1.588
8are,ranked_8.pdb,vina,18.110, 37.167,  0.000,  0.000,  0.000, -1.226,-19.057, -1.226
8are,ranked_8.pdb,vinardo,19.242, 39.490,  0.000,  0.000,  0.000, -1.583,-20.248, -1.583
8are,ranked_9.pdb,vina,13.011, 26.702,  0.000,  0.000,  0.000, -1.154,-13.691, -1.154
8are,ranked_9.pdb,vinardo,14.930, 30.640,  0.000,  0.000,  0.000, -1.531,-15.710, -1.531
8are,ranked_10.pdb,vina,16.311, 33.476,  0.000,  0.000,  0.000, -1.074,-17.164, -1.074
8are,ranked_10.pdb,vinardo,18.193, 37.336,  0.000,  0.000,  0.000, -1.481,-19.144, -1.481
8are,ranked_11.pdb,vina,13.829, 28.381,  0.000,  0.000,  0.000, -1.233,-14.552, -1.233
8are,ranked_11.pdb,vinardo,15.681, 32.182,  0.000,  0.000,  0.000, -1.592,-16.501, -1.592
